text,lang,langFam,category,origin
Cause this is our song #49al3 #GiletsJaunes https://t.co/tRuXHYbaBZ,French,Indo-European,,NonNative
"Emmanuel Macron officially declared the war to French people. Everyone should wake up, fight and burn this fascist government. This is the biggest dictatorship, and if we don't fight, we will lose everything, Emmanuel Macron will destroy everything. 🔥

#GreveGenerale #49al3 https://t.co/ILD4GrHdeO",French,Indo-European,,NonNative
"Remember, remember, the 5th of November... 
#49al3 https://t.co/0jiEMLJDXj",French,Indo-European,,NonNative
Gros week-end #cesars #49al3 https://t.co/h7WyHjy4Op,French,Indo-European,,NonNative
Two young people were arrested during the demonstration against the bew labour law #lyon #loitravail #49al3 https://t.co/W2GdoLr6nD,French,Indo-European,,NonNative
When brutal Underwood says hi to brutal Valls #49al3 #loitravailnonmerci #MotionDeCensure  https://t.co/O5REnE66rA,French,Indo-European,,NonNative
Just to clarify (or not) our current political issues in terms that everybody will understand... #49al3 #IronManuel https://t.co/ZR9rVN9Iw8,French,Indo-European,,NonNative
"The Most enormous #bullshit I've seen Since many years
@fhollande is safeguarding Democracy ? WRONG ! #ViolencesPolicieres
#49Al3 https://t.co/HCHo3f7iR4",French,Indo-European,,NonNative
#49al3 SHAME !,French,Indo-European,,NonNative
#HouseOfCards trolls French PM for planning to force through his labour law reform. His #Clapback 😂😂😂 #49al3 https://t.co/AuHHdYFMGq,French,Indo-European,,NonNative
Hollande current mood #49al3 #LoiTravail #cdanslair https://t.co/2eHEP1VNva,French,Indo-European,,NonNative
"The latest La Na'Touch, le Journal! https://t.co/ZyPmg49XjW Thanks to @chando41 @FranceHouseHunt #concours #49al3",French,Indo-European,,NonNative
"#49al3 
The place to be .... https://t.co/jAWz3CTjiK",French,Indo-European,,NonNative
I'm reaady #DirectAN #LoiTravail #49al3 https://t.co/zVFYyCZ4FI,French,Indo-European,,NonNative
"Democracy may be overrated, history never is. #49al3 https://t.co/qGF8xgqEnq",French,Indo-European,,NonNative
"🎺Saturday Night Feaver 🎶
Mad in #France 🤪
#49al3 😷 https://t.co/j6T2hZnFwq",French,Indo-European,,NonNative
Police contre pompiers. Police against Firefighter in France #GiletsJaunes #14marstousUnis #49al3 #toulouse #GreveGenerale #ReformeRetraites #Acte69 #LREM #YellowVests #France #Lallement #LallementDemission https://t.co/SByeue0jzg,French,Indo-European,,NonNative
@ManonAubryFr #49al3 = crime ⚠️,French,Indo-European,,NonNative
#49al3 from #LaREM #Cesar https://t.co/L5EBmN30uo,French,Indo-European,,NonNative
Democratie is overrated #49al3 https://t.co/bwYmw5nGXO,French,Indo-European,,NonNative
Remember ! ⁦@GDarmanin⁩ #49al3 https://t.co/mdBuJ9AH4U,French,Indo-European,,NonNative
"Get the feeling that the current French govt sure of bad results in the upcoming municipal elections decided to pass the Labour Reforms yesterday by using Art. 49.3. A preemptive move to sweep aside any possibility of revolt due to the poor result.
#49al3",French,Indo-European,,NonNative
"@GDeleur Hello protest, hello March! #49al3 https://t.co/FN0fTa21B7",French,Indo-European,,NonNative
ok Marty McFly. #49al3 https://t.co/3Ty3GtYYAN,French,Indo-European,,NonNative
Orwellien. #49al3 https://t.co/BJlztNwUAv,French,Indo-European,,NonNative
"#49al3 Virginie Despentes #polanski

We need now a Revolution",French,Indo-European,,NonNative
"wondering about going on all out strike until the 22nd March, feels really counterintuitive teaching during state of emergency measures #49al3",French,Indo-European,,NonNative
Current mood. #article493 #49al3 https://t.co/qmg9qYGTF9,French,Indo-European,,NonNative
This is not a method . This is provocation !  #49al3,French,Indo-European,,NonNative
"A rough time for macronistes 
#DirectAN #reformedesretraites #49al3 https://t.co/JNEvORBq3N",French,Indo-European,,NonNative
