text,lang,langFam,category,origin
Jumping towards #AUTGER like ... 😂 #da27 https://t.co/Rx8ouuhjvd,German,Indo-European,,NonNative
"NEUER! 👊💥 #AUTGER 

Looking for a better goalkeeper like... https://t.co/dp1kwoGKiz",German,Indo-European,,NonNative
"Class is permanent 😍 #NeuerTheWall

#DieMannschaft #ZSMMN #AUTGER 0-1 https://t.co/tTrcfVYNG5",German,Indo-European,,NonNative
It's like he never left 👐 ⛔ #NeuerTheWall #AUTGER https://t.co/YfDrvwGFiw,German,Indo-European,,NonNative
"MATCHDAY 🇦🇹🇩🇪 
#ZSMMN #DieMannschaft #AUTGER https://t.co/KysHxxy4EU",German,Indo-European,,NonNative
"He's back 👍

#DieMannschaft #ZSMMN #AUTGER 0-1 https://t.co/d6pBzzPWf2",German,Indo-European,,NonNative
Great to see @Manuel_Neuer make his comeback after 2️⃣5️⃣9️⃣ days! ☺️👍 #NeuerTheWall #AUTGER https://t.co/jZSgJYhn7r,German,Indo-European,,NonNative
"A 90-minute pause in the friendship 😉🤝 

🔴⚪ #MiaSanMia #AUTGER https://t.co/0F1uJKqBVu",German,Indo-European,,NonNative
Comeback nach 259 Tagen: @Manuel_Neuer! 🙌 #NeuerTheWall #AUTGER https://t.co/By1M0gh9ZR,German,Indo-European,,NonNative
"🇦🇹🇩🇪 Finally! ⚽

#AUTGER #WorldCup https://t.co/wFjl55O180",German,Indo-European,,NonNative
"WHAT A HIT FROM WALDSCHMIDT 🚀

#U21EURO #AUTGER (14') 0-1 https://t.co/DTqmSFAhjd",German,Indo-European,,NonNative
"Our starting XI for 🇦🇹 🆚 🇩🇪

#U21EURO #AUTGER https://t.co/6yFLUrrBIH",German,Indo-European,,NonNative
"Semi-finals and #Tokyo2020 here we come! 🙌

#U21EURO #AUTGER https://t.co/8VOYlSBFNB",German,Indo-European,,NonNative
"15 minutes to chase the win 🔥

#U21EURO #AUTGER 1-1 https://t.co/I2hH6H6A0F",German,Indo-European,,NonNative
"A @MesutOzil1088 goal ✅
@Manuel_Neuer saves ✅
No rain! ✅

A solid first 45 minutes in Austria 🇦🇹🇩🇪

#DieMannschaft #ZSMMN #AUTGER 0-1 https://t.co/yAvUqOoycf",German,Indo-European,,NonNative
"How about this for a finish from Luca Waldschmidt! 🚀

Watch  #AUTGER in the #U21EURO live on Sky Sports Football NOW!

📺 #DENSRB is live on Sky Sports PL https://t.co/Apl9DzUmfg",German,Indo-European,,NonNative
"Game over 😞 Our first #WorldCup dress rehearsal ends in defeat in Austria 🇦🇹🇩🇪

#DieMannschaft #ZSMMN #AUTGER 2-1 https://t.co/lq9GAUs7TX",German,Indo-European,,NonNative
"Luca Waldschmidt goal tally update: 

⚽⚽⚽⚽⚽

#U21EURO #AUTGER https://t.co/KxZbRG2MnW",German,Indo-European,,NonNative
"🎶 I believe I can fly 🎶 ✈️

@Manuel_Neuer #NeuerTheWall #DieMannschaft #AUTGER https://t.co/rGCOCnuhTu",German,Indo-European,,NonNative
"Worth the wait! ⚽

#DieMannschaft #ZSMMN #AUTGER 0-1 https://t.co/5WdrZHjSl0",German,Indo-European,,NonNative
"That's a world-class stop from @Manuel_Neuer to deny Grillitsch! 💪 (32')

#DieMannschaft #ZSMMN #AUTGER 0-1 https://t.co/8TBWthNZR0",German,Indo-European,,NonNative
"Loud and proud 🇩🇪

#U21EURO #AUTGER 1-1 https://t.co/MtUqT78QOO",German,Indo-European,,NonNative
"Bundestrainer Joachim #Löw im Interview nach #AUTGER 🇦🇹🇩🇪
➡️ https://t.co/k98s3IT22E
#ZSMMN #DieMannschaft https://t.co/ru7CAQCcmn",German,Indo-European,,NonNative
"Let's get the job done, boys! 🇩🇪 

#U21EURO #AUTGER (1') https://t.co/G2ltJXwrRL",German,Indo-European,,NonNative
"🇩🇪 Welcome back, @woodyinho! Bleib gesund! #AUTGER 💪 https://t.co/xuCHkVF5fA",German,Indo-European,,NonNative
"It was going so well... 🙈

Another Austria goal, comeback needed! (70')

#DieMannschaft #ZSMMN #AUTGER [2]-1 https://t.co/Bv6Oojpa1Q",German,Indo-European,,NonNative
"Flashback 😁🇦🇹 

⏬⏬ #AUTGER ⏬⏬ https://t.co/cNT24lhDF1",German,Indo-European,,NonNative
"Austria are level 😕 Hinteregger got some power behind that volley. No chance. (53')

#DieMannschaft #ZSMMN #AUTGER [1]-1 https://t.co/FdhoUW8vAc",German,Indo-European,,NonNative
"Full time in Klagenfurt 🇦🇹🇩🇪

Austria and @David_Alaba record a 2-1 friendly win over @DFB_Team_EN. #AUTGER https://t.co/eIhEXlvrZi",German,Indo-European,,NonNative
"💟 #MiaSanMia 

Enjoy all the best photos from #AUTGER last night on our facebook page 📸

➡️ https://t.co/iBV94QuOeZ https://t.co/68w1JOVJdz",German,Indo-European,,NonNative
"💬 @woodyinho: ""We played very well in the first half, but we didn't play much football after the break. Today showed that we still have a lot of work to do.""

#DieMannschaft #ZSMMN #AUTGER https://t.co/yCoylchWMw",German,Indo-European,,NonNative
"🇩🇪 #U21EURO top scorer Luca Waldschmidt with a 🚀 😱

#AUTGER @DFB_Junioren",German,Indo-European,,NonNative
"Not the result he wanted, but a VERY welcome sight for @DFB_Team_EN and @FCBayernEN in Klagenfurt this evening 👀👐 #AUTGER https://t.co/y2zXas6snn",German,Indo-European,,NonNative
"Austria getting very excited early in this half 😳 They almost have a second, but it's another fantastic save from @Manuel_Neuer! (56')

#DieMannschaft #ZSMMN #AUTGER 1-1 https://t.co/xigv0ASk0g",German,Indo-European,,NonNative
"The defending champions have their first pre-tournament friendly this evening 🇦🇹🇩🇪

Follow #AUTGER on our live blog 👉 https://t.co/pcgYnEYeJc https://t.co/Meb0M1B3pr",German,Indo-European,,NonNative
Germany's U21s lead in Austria courtesy of an absolute humdinger by Luca Waldschmidt! Unstoppable hit by the young Freiburg forward. #AUTGER https://t.co/lyxThlWsPt,German,Indo-European,,NonNative
"Hard-fought draw sees Germany through to the semis 🔥

#AUTGER recap: https://t.co/G35lUhci94

#U21EURO https://t.co/n2A0mc0wT0",German,Indo-European,,NonNative
Team 🇦🇹 #AUTGER https://t.co/Loz7zt3i7T,German,Indo-European,,NonNative
"The reason why Leroy #Sané is struggling so much in matches for the national team is his role which pushes him into central areas.
Since there is pressure applied from every side, you need:
• good pre-orientation
• tight ball control
which he lacks...

#AUTGER #DieMannschaft https://t.co/eWvjJbaGu6",German,Indo-European,,NonNative
"The U21s will reach the semi-finals if... 📊

All the permutations ahead of tonight's clash with Austria 👉 https://t.co/n1tRJM6PF3

#U21EURO #AUTGER https://t.co/RdNpxx8Bti",German,Indo-European,,NonNative
"💬 Nils #Petersen: ""We had a few good chances in the first half and could have made more of some counterattacks. We couldn't break down the Austrian defence in the second 45."" 

#DieMannschaft #ZSMMN #AUTGER https://t.co/DgX1UTntrl",German,Indo-European,,NonNative
"Crunch time at @UEFAUnder21! 💥

Our boys need a point against Austria from 21:00 CEST tonight to guarantee a place in the semi-finals 🇦🇹🇩🇪

#U21EURO #AUTGER https://t.co/o786i7J55d",German,Indo-European,,NonNative
"Time for fresh firepower 🔥 #Löw has added Timo #Werner, Julian #Draxler and @Mario_Gomez to the fray. #Brandt, @MesutOzil1088 and #Petersen are off 🔁 (77')

#DieMannschaft #ZSMMN #AUTGER 2-1 https://t.co/Da9MVnG6U0",German,Indo-European,,NonNative
"That's the end of @LeroySane19's shift, and here comes @woodyinho for his return 🔁 (68')

#DieMannschaft #ZSMMN #AUTGER 1-1 https://t.co/pDoHck2CFR",German,Indo-European,,NonNative
"Another Germany change. @IlkayGuendogan makes way for Leon #Goretzka 🔁 (56')

#DieMannschaft #ZSMMN #AUTGER 1-1 https://t.co/T9UAgH4mWD",German,Indo-European,,NonNative
"💬 Luca #Waldschmidt: ""We feel good as a team, we're just having fun.""

#U21EURO #AUTGER https://t.co/749D2useQP",German,Indo-European,,NonNative
"Could have been a second for @MesutOzil1089 there, but this time he doesn't quite connect. Strong start from the boys 💪 (15')

#DieMannschaft #ZSMMN #AUTGER 0-1 https://t.co/QzqhxlZlh5",German,Indo-European,,NonNative
"And in the red corner 🥊

#U21EURO #AUTGER https://t.co/Q3LFCJP3gf",German,Indo-European,,NonNative
"32 - Austria have beaten Germany for the first time in almost 32 years and after 10 games without a win (D1 9L), when they won 4-1 back in October 1986. Eternity. #AUTGER https://t.co/cl42lWsRR5",German,Indo-European,,NonNative
"#U21EURO Matchday! 🎉🙌⚽️

🇩🇰🆚🇷🇸  
🇦🇹🆚🇩🇪  
#DENSRB #AUTGER https://t.co/8zq4j7IF7Z",German,Indo-European,,NonNative
"""A lot was bad today.""

No smiles from Joachim Löw after Germany's loss to Austria. #AUTGER https://t.co/0bEURaEoMe",German,Indo-European,,NonNative
Austria has just beaten Germany 2-1. Feels as if we had won the World Cup #AUTGER https://t.co/wvqSPW7g4V,German,Indo-European,,NonNative
"A thrilling first half comes to an end and this one could go either way. 

#U21EURO #AUTGER 1-1 (45') https://t.co/xrusbnt8HC",German,Indo-European,,NonNative
"HT | Austria 0-1 Germany 

#AUTGER https://t.co/BCPxF6SGXX",German,Indo-European,,NonNative
"Our first change of the night: 

Suat Serdar is introduced in place of Florian Neuhaus 🔄
 
#U21EURO #AUTGER 1-1 (56') https://t.co/abeXKA0K8m",German,Indo-European,,NonNative
"Robin #Koch is on for Maxi #Eggestein with seven minutes left to play. 🔄

#U21EURO #AUTGER 1-1 https://t.co/h3jRwXKihp",German,Indo-European,,NonNative
"💬 ""It didn't really sink in until we were on the bus.""

@henrichs39 talks about reaching the semi-finals and his unfortunate suspension 👉
 https://t.co/Dhl8TTZdP2

#U21EURO #AUTGER https://t.co/eoV8Ypbzii",German,Indo-European,,NonNative
„A Quarter Pounder with Cheese?“ #AUTGER https://t.co/ijz2y6kDog,German,Indo-European,,NonNative
MATCHDAY 🇦🇹 🇩🇪 #AUTGER #U21EURO #OEFB https://t.co/NsETYRPxy9,German,Indo-European,,NonNative
"HINTEREGEEEEEEEEEEEEER!!!!!! ❤️

What a hit son! He learnt that at #FCA, you know 😉 #AUTGER https://t.co/rGUXnfnJhw",German,Indo-European,,NonNative
"⏰ FULL TIME! ⏰

🇩🇪 Holders Germany qualify for semi-finals
🇩🇰 Second-placed Denmark miss out on last four
🇦🇹 Austria finish third in Group B

#U21EURO #DENSRB #AUTGER",German,Indo-European,,NonNative
"RUN, BOY, RUN!🏃‍♂️🌬️

👀 @jonatah 

⚽️ 1:1 #AUTGER 
#U21 🇩🇪 #Herzzeigen https://t.co/xVbzmLHczQ",German,Indo-European,,NonNative
"One step closer, Flo! 🇩🇪

#DieFohlen #AUTGER https://t.co/zvDr4dYbdZ",German,Indo-European,,NonNative
Joachim Löw said he will sit down with Manuel Neuer on Sunday once more before he makes his final decision on whether to include him in the squad. #AUTGER,German,Indo-European,,NonNative
"*starts a Marco Reus prayer circle*

rt to be in the circle

#autger",German,Indo-European,,NonNative
"Austrian reaction to first victory against Germany in over 30 yrs, predictably subdued. Today’s @krone_at...#AUTGER https://t.co/A9RNUfPqcy",German,Indo-European,,NonNative
