text,lang,langFam,category,origin
Say no to nazism #28ηΟκτωβριου https://t.co/hgeQFasY3D,Greek,Indo-European,,NonNative
*Fixed* #28ηΟκτωβριου https://t.co/41CRBsnatm,Greek,Indo-European,,NonNative
Happy #OXIDAY!  🇬🇷 #28ηΟκτωβριου https://t.co/XxpgFJJZ40,Greek,Indo-European,,NonNative
Proud to be Greek!! 🇬🇷 #ΟΧΙ #28ηΟκτωβρίου https://t.co/AEmZmAYZPG,Greek,Indo-European,,NonNative
"#28ηΟκτωβριου
My dearest Greek brothers around the globe! Happy National Day! Never forget the heroes who kicked out foreign troops in WW2. https://t.co/sJJSUNb8LN",Greek,Indo-European,,NonNative
Back at the village home as we continue  with renovations. Kids found an old flag the previous owner had left behind. They insisted we put it out for tomorrow's public holiday. #28ηοκτωβρίου #ΟΧΙ https://t.co/DjYquGEdYj,Greek,Indo-European,,NonNative
"Οχι day, 28 October, symbolises the unity and bravery of the Greeks in 1940, who stood tall and resisted against the Axis Powers in WW2, when Ioannis Metaxas said 'οχι' to the ultimatum by fascist Italian Mussolini. Never forget the sacrifices of our soldiers! 🇬🇷 #28ηΟκτωβρίου https://t.co/Ts9CRuIePu",Greek,Indo-European,,NonNative
National holiday in Greece today and we are looking forward for the parade! 🇬🇷 #CatsofTwitter #28ηΟκτωβριου https://t.co/avMQs6FtjT,Greek,Indo-European,,NonNative
"“When the entire world had lost all hope, the Greek people dared to question the invincibility of the German monster"" #28ηΟκτωβρίου #oxiday",Greek,Indo-European,,NonNative
"Odysseus Elytis, who was awarded the 1979 Nobel Prize for Literature, fought as an officer on the Albanian front during the Greco-Italian War of 1940.  
His experiences were later written into his magnum opus, ""Axion Esti"". #28ηΟκτωβριου https://t.co/0HSVYrX4dW",Greek,Indo-European,,NonNative
"Think out of the box people #MontyPython #28ηΟκτωβριου 

https://t.co/P1mFXaxwbS",Greek,Indo-European,,NonNative
"""Hence, we will not say that Greeks fight like heroes but that heroes fight like Greeks.”  W.Churchill
#OchiDay #28ηΟκτωβριου 🇬🇷 https://t.co/TvYNISj5g2",Greek,Indo-European,,NonNative
Celebrating the heroic Greeks of WW2 who are constantly inspiring the Greeks of today! #28ηΟκτωβριου #ΖήτωηΕλλάς https://t.co/XOI3SYkT7z,Greek,Indo-European,,NonNative
"Greek Epos.
#oxiday #28ηΟκτωβριου #oxi https://t.co/wq0aTJ2XZH",Greek,Indo-European,,NonNative
"75 years ago today, Greece saved the Allies' asses by saying no to the ultimatum offered by Mussolini 💙🇬🇷 #oxiday2015 #28ηΟκτωβρίου",Greek,Indo-European,,NonNative
"""OXI Day""#28ηΟκτωβριου #ΧρονιαΠολλα https://t.co/tK6OK1nWGx https://t.co/dFD3Fgp3Ca",Greek,Indo-European,,NonNative
"#28October1940 - The people of #Greece, not dictator Metaxas, said the proud ""NO"" to the fascist invaders of #Mussolini. Long live the resistance of the fighters of the #EAM-#ELAS! #28ηΟκτωβριου https://t.co/9ixplzLi8y",Greek,Indo-European,,NonNative
"The attack starts on October 28 at 05:30.

Let us never forget the sacrifices made for the Πατρίδα, by those who have gone before us. 

Days like today are a cause for reflection and remembrance, but also pride for the Great Nation that is Greece.

#28ηΟκτωβρίου #ΟΧΙ #OxiDay https://t.co/Y6c0via50y",Greek,Indo-European,,NonNative
"Mood.
#28ηΟκτωβριου https://t.co/c4gSHuPkvy",Greek,Indo-European,,NonNative
#greeknationalday: Santorini... 28th October National Day  #28ηοκτωβρίου https://t.co/jrEzULy3mY https://t.co/XQ0YK3sOIt,Greek,Indo-European,,NonNative
"WW II
#28ηΟκτωβριου https://t.co/iDSqGMGtCl",Greek,Indo-European,,NonNative
"Ohi Day | #28ηΟκτωβρίου 
 
#ohiday #nationalday #greece #hellas #oxi #mvneverstops https://t.co/AHPNsGsOdf",Greek,Indo-European,,NonNative
"#28ηΟκτωβρίου #Greece says #Όχι (No) to fascist dictator Mussolini on 28 Oct 1940, rejecting ultimatum that Axis forces enter Greek territory &amp; occupy strategic sites. Greece enters #WWII giving hope to many in the world that the Axis powers could be defeated #Oxi #OxiDay https://t.co/jXtMWxPAR1",Greek,Indo-European,,NonNative
"Mornin' to the whole universe!Btw,today it's a special day for the Greek population!♥#28ηΟκτωβριου",Greek,Indo-European,,NonNative
#Χρόνια #πολλά #Ελλαδα #ΟΧΙ #28ηοκτωβριου🇬🇷 #Ελληνικη #σημαια #ελληνικησημαια #Elliniki #simaia #Greek #National #Flag #oxiday #greekflag #alicestarjewelry #inlove with my #country #mycity #Athens #greekjewelry #supportgreece #buygreek #Greek #love https://t.co/BXy6bTulBB https://t.co/LzzZTxvLww,Greek,Indo-European,,NonNative
We are proud of THIS FLAG...we are believers of the FREEDOM...WE ARE PROUD GREEKS🇬🇷🇬🇷 #28ηΟκτωβριου 1940 #hellas #hellenism #OxiDay #OXI #Μεταξάς https://t.co/TziRXn6uGD,Greek,Indo-European,,NonNative
"OXI DAY | ""NO"" Day https://t.co/8t5Kr48YGX #28ηΟκτωβρίου #ΟΧΙ #ΧρονιαΠολλα #parelasi #Μεταξας #greece #visitgreece https://t.co/zetIACnZ8d",Greek,Indo-European,,NonNative
Wishing our Greek team and all of our friends in #Greece a Happy #OhiDay! #28ηΟκτωβριου #OxiDay https://t.co/R4YXFXEYXv,Greek,Indo-European,,NonNative
#28ηΟκτωβριου #greece#corinth https://t.co/u0WwDdxSO3,Greek,Indo-European,,NonNative
Translator Kimon Friar describes how poet Odysseas #Elytis perceived #Greece's war-time resistance: #28ηΟκτωβριου: https://t.co/SE0Uge4sex,Greek,Indo-European,,NonNative
"On days like today, let us never forget the sacrifices made for the Πατρίδα, by those who have gone before us. 

Days like today are a cause for reflection and remembrance, but also pride for the Great Nation that is Greece.

#28ηΟκτωβρίου #ΟΧΙ https://t.co/573GQ5W8s0",Greek,Indo-European,,NonNative
"Happy National Oxi Day to all our fellow #GreekClique
Freedom is never free. 
Today we celebrate freedom.
#OchiDay #oxiday
#28ηΟκτωβριου https://t.co/BbCCtiWyB3",Greek,Indo-European,,NonNative
"OXI DAY | ""NO"" Day https://t.co/8t5Kr48YGX … #28ηΟκτωβρίου #ΟΧΙ #ΧρονιαΠολλα #parelasi #greece https://t.co/CuKRBgN87N",Greek,Indo-European,,NonNative
"Today, Greeks all over the world celebrate the day our small country refused to simply lay down and allow Axis forces to occupy our land. We honour the service and sacrifice of the people who fought and died so that today we can be free. Today and always #οχι #28ηΟκτωβριου",Greek,Indo-European,,NonNative
Commemorating in #London the 28th October 1940 &amp; the #Greeks that chose #freedom over comfort. #Orthodoxy #Greece #28ηΟκτωβριου https://t.co/0lHDu2qqIT,Greek,Indo-European,,NonNative
"it's ironic that on this day in 1940 we said no to nazis but now people are voting for them, democracy has been so fucked #28ηΟκτωβριου",Greek,Indo-European,,NonNative
"Winston Churchill: ""Heroes fight like Greeks"" #28ηΟκτωβρίου 
https://t.co/fMUhuBc4ia",Greek,Indo-European,,NonNative
"SAY NO TO FACISM! #ΕπέτειοςτουΌχι #28ηΟκτωβριου
#OhiDay #No #Nein #28.10.1940 https://t.co/n5BfqhVp19",Greek,Indo-European,,NonNative
"Today is the anniversary of my people (the Greeks) saying ""HELL NO"" to fascism &amp; making ultimate sacrifice for it.

#OxiDay 
#28ηΟκτωβρίου",Greek,Indo-European,,NonNative
"A man kisses his son as they walk past a #Greek army tank before a military parade at the northern port city of #Thessaloniki, #Greece, Sunday, Oct. 28, 2018. @AP_Images / @JohnPapanikos
#photography #28ηΟκτωβριου #photojournalism https://t.co/3yg4g1JML7",Greek,Indo-European,,NonNative
Happy #OXIday #Greece🇬🇷 #28ηΟκτωβρίου https://t.co/CEHhUhR46Q,Greek,Indo-European,,NonNative
#28ηΟκτωβριου celebrations in the #greek #cultural center of #berlin #OXIDay https://t.co/aRvH4yMqKE,Greek,Indo-European,,NonNative
"Also, happy October 28th to all my fellow Greek followers ( if I have anyone 😂 ). #Ochi #28ηΟκτωβριου",Greek,Indo-European,,NonNative
"Today all #Grekaddicts around the world celebrate! OXI day, is an important part of Greeces' modern history which is celebrated each year on #28ηοκτωβριου. 
-
Xronia Polla #Greece from Grekaddict team!🇬🇷 https://t.co/OVcpw70fIW",Greek,Indo-European,,NonNative
"People attend a student #parade commemorating the entrance of #Greece in WWII back in 1940, at the northern #Greek city of #Thessaloniki, on Saturday, Oct. 27, 2018. Copyright : @JohnPapanikos 
#photography #photojournalism #28ηΟκτωβριου https://t.co/hrtlk6hP3k",Greek,Indo-European,,NonNative
"Greeks’ National Day💙
#28ηΟκτωβριου 
Parading with a bunch of friends that will last forever 🖤❤️ https://t.co/u7EdrXzs7s",Greek,Indo-European,,NonNative
Tom Cruise did it better #ZEUS #28ηΟκτωβριου,Greek,Indo-European,,NonNative
"Those are the gender neutral emojis offered by the #iOS132 update. What are your thoughts about?
#technovation19 #28ηΟκτωβριου https://t.co/2Ny54wYynp",Greek,Indo-European,,NonNative
"#music #musicisking #musicislife #musicismylife #rock #28ηΟκτωβριου #OxiDay #shoppingstar #GynaikaXwrisOnoma #monday #MondayMood #sunset #goodnight 
Take another little piece of my heart now, baby..
Janis Joplin - Piece of Heart 
https://t.co/9T4EmweKNG https://t.co/fKcc4xMIRe",Greek,Indo-European,,NonNative
Shopping star . #28ηΟκτωβριου https://t.co/mZCkL7tP3A,Greek,Indo-European,,NonNative
