text,lang,langFam,category,origin
"#99535_88585_AgainstCAA 
Thanks @Jayant_R_Patil sir for your support https://t.co/gmGYGUBu03",Indian,Indo-Aryan,,NonNative
"#99535_88585_AgainstCAA
Miss call on this number! https://t.co/QYzGDxTZ28",Indian,Indo-Aryan,,NonNative
"#99535_88585_AgainstCAA
Ghus k maren gy😁😝 let's see what happened next https://t.co/gJAefbLgaB",Indian,Indo-Aryan,,NonNative
"#99535_88585_AgainstCAA

Did my bit.. I'm using two numbers and dialled this number from both .. https://t.co/8qLnsPBsZa",Indian,Indo-Aryan,,NonNative
"I support the initiative.
I have given miss call. It's your turn. 
#99535_88585_AgainstCAA
@jarariya91 https://t.co/rtHszc6xie",Indian,Indo-Aryan,,NonNative
"#99535_88585_AgainstCAA
#99535_88585_AgainstCAA
#99535_88585_AgainstCAA
#99535_88585_AgainstCAA
#99535_88585_AgainstCAA
#99535_88585_AgainstCAA
#99535_88585_AgainstCAA
always against CAA https://t.co/awt6t7uxKW",Indian,Indo-Aryan,,NonNative
"#99535_88585_AgainstCAA support these dadis of Delhi
#IndiaAgainstCAA_NPR_NRC https://t.co/KKdtpOFKdT",Indian,Indo-Aryan,,NonNative
"Pic of the day from Hyderabad👇👇👇

#99535_88585_AgainstCAA https://t.co/9feRyHonA3",Indian,Indo-Aryan,,NonNative
"#99535_88585_AgainstCAA
#CAA_NRC_Protest 
#CAA_NRC_Protest 
#CAA_NRC_Protest 
#99535-88585-againstCAA
IF YOU LOVE INDIA &amp; INDIAN CONSTITUTION....SO PLZZ MISS CALL ON THIS NUMBER 9953588585 https://t.co/EG3RU2zs37",Indian,Indo-Aryan,,NonNative
"India Reject CAA NRC
#TrendingagainstCAA
#99535_88585_AgainstCAA https://t.co/cUAUAIH4mH",Indian,Indo-Aryan,,NonNative
"I am against CAA, NRC and NPR. 
Guys call in this number 9953588585

#AzadiForAzad
#99535_88585_AgainstCAA https://t.co/GtOHWmzC84",Indian,Indo-Aryan,,NonNative
A Midnight Protest against #CAA_NRC by giving miss call #99535_88585_AgainstCAA . https://t.co/BuMmzUpXiJ,Indian,Indo-Aryan,,NonNative
"#99535_88585_AgainstCAA
Join the battle https://t.co/o1Ug1CBgXu",Indian,Indo-Aryan,,NonNative
"The Graffiti &amp; street art like these symbolise voices of social change, protest &amp; expressions of community desire. History will remember how these peaceful students made use of art as their political weapon. #CAA_NRC_Protest  #99535_88585_AgainstCAA
https://t.co/V7ELs2niGH",Indian,Indo-Aryan,,NonNative
"#99535_88585_AgainstCAA
Permission given only 1000.. now count ..
It's countless https://t.co/s1ErwxUJP9",Indian,Indo-Aryan,,NonNative
I had what about? Please call and save our beautiful nation. #99535_88585_AgainstCAA https://t.co/zHf7MJuwnt,Indian,Indo-Aryan,,NonNative
"But who is Miss Kaul? Any photo plz?😍
#99535_88585_AgainstCAA https://t.co/0ZslqvsBAO",Indian,Indo-Aryan,,NonNative
#99535_88585_AgainstCAA self written poem... must read. and share it https://t.co/iGKuSwFXFo,Indian,Indo-Aryan,,NonNative
"Save Constitution, Save India!

Give a missed call to: 99535 88585

#99535_88585_AgainstCAA https://t.co/J4Ur7xBF9X",Indian,Indo-Aryan,,NonNative
"Kindly Read this poem.. 

#99535_88585_AgainstCAA https://t.co/UXzDB3Li9s",Indian,Indo-Aryan,,NonNative
India Reject CAA #99535_88585_AgainstCAA https://t.co/1my7GhLeKi,Indian,Indo-Aryan,,NonNative
"#99535_88585_AgainstCAA
Miss Call please 🙏🙏
Save to Constitution 
#99535_88585_AgainstCAA https://t.co/uLsPAqQExy https://t.co/uE1hDPXg0Z",Indian,Indo-Aryan,,NonNative
"She REJECT this nonsense 😂
#99535_88585_AgainstCAA https://t.co/T15SEEAppu",Indian,Indo-Aryan,,NonNative
"#99535_88585_AgainstCAA is an initiative started by @jarariya91 

It's a national campaign to counter BJP's fake propaganda. https://t.co/NPfJt3S5b9",Indian,Indo-Aryan,,NonNative
"Your heard voice of sun, now hear voice of other planets...

#AzadiForAzad
#99535_88585_AgainstCAA https://t.co/B4UJp8qWwn",Indian,Indo-Aryan,,NonNative
"Yes i am against CAA , NRC and NPR #99535_88585_AgainstCAA",Indian,Indo-Aryan,,NonNative
"#99535_88585_AgainstCAA
#99535_88585_AgainstCAA
#99535_88585_AgainstCAA
#99535_88585_AgainstCAA
#99535_88585_AgainstCAA
#99535_88585_AgainstCAA
#99535_88585_AgainstCAA
#99535_88585_AgainstCAA
#99535_88585_AgainstCAA
#99535_88585_AgainstCAA
CALL KAREIN",Indian,Indo-Aryan,,NonNative
"Apart from giving Citizenship', It seems like CAA is also giving
Free Netflix
New 'Friends'
Sex Talk
Live Chat with Sunny Leone
10 GB Mobile Data
And many more things.

#99535_88585_AgainstCAA https://t.co/atqMg4nuLW",Indian,Indo-Aryan,,NonNative
"#99535_88585_AgainstCAA
Miss call on this number! https://t.co/8dJTLHe2lW",Indian,Indo-Aryan,,NonNative
Please give missed call against CAA and NRC 🙏🙏🙏 #99535_88585_AgainstCAA https://t.co/KRr14kfrCN,Indian,Indo-Aryan,,NonNative
What the f*k 😂😂😂😂😂  this is Trending..🤣🤣🤣 #99535_88585_AgainstCAA https://t.co/CN0DGX1HnA,Indian,Indo-Aryan,,NonNative
"Ouchhhh BJP walo ko lag gai hai jor ki.
@AmitShah sir plz raise money of your guys.
#IndiaAgainstCAA_NPR_NRC 
#99535_88585_AgainstCAA https://t.co/mEyhFUFN6R",Indian,Indo-Aryan,,NonNative
We the People of India are against this unconstitutional law. #99535_88585_AgainstCAA,Indian,Indo-Aryan,,NonNative
"For our future generations... Please call this number : 9953588585.

#99535_88585_AgainstCAA https://t.co/qAydwZvwSP",Indian,Indo-Aryan,,NonNative
"The least you can do is to give a missed call on this Number 9535 88585 and Forward it to 10 People / groups on whatsapp!
Inquilab Zindabaad !
#99535_88585_AgainstCAA
#IndiaAgainstCAA_NPR_NRC https://t.co/DhRUQFhgPV",Indian,Indo-Aryan,,NonNative
"I did!

Now it's ur turn 
9953588585 

#99535_88585_AgainstCAA https://t.co/QC4s91BtIa",Indian,Indo-Aryan,,NonNative
Constitution of INDIA #99535_88585_AgainstCAA,Indian,Indo-Aryan,,NonNative
"#99535_88585_AgainstCAA
Can call on this no for opposing CAA/NRC/NPR https://t.co/T46LSOoXaU",Indian,Indo-Aryan,,NonNative
"Gulzar: A Biography | The Face Behind the Words | From Samporan Singh Ka... https://t.co/nGRoSfws1U via @YouTube
#WinningSid
#Iranattack
#HappyBirthdayDeepikaPadukone
#ZeeCineAwardsTamil2020
#99535_88585_AgainstCAA
#Vidal
#Rakitic
#Romero
#BrandonWilliams
#GreenZone",Indian,Indo-Aryan,,NonNative
"Never came so sly government?
Who did nothing but deceive the people?

This is the IT cell of BJP and RSS?

#IndiaRejectsCAA_NRC_NPR
#99535_88585_AgainstCAA
#हमभीआज़ाद
#मोदी_एंटीनेशनल_हैं

https://t.co/evDxWkdcop",Indian,Indo-Aryan,,NonNative
"This is more than Shameful. It shows till what extent @BJP4India can go to shine there politics and fulfill propoganda. They are a disgrace to “Indian Culture.”
But it’s not completely there fault they are just following there leaders footsteps.

#99535_88585_AgainstCAA https://t.co/eEMxTCaxtc",Indian,Indo-Aryan,,NonNative
