text,lang,langFam,category,origin
"#NationalDressUpYourPetDay #DressUpYourPetDay

""Our dog thinks he is the coolest and most handsome boy in the world... ""

📹ig: puphutch https://t.co/NdcdppGUtt",English,Native,,Native
These are the superheroes we need 🐶💥 #NationalDressUpYourPetDay https://t.co/ho0UfvnlmH,English,Native,,Native
Looks like Lori and her pets are dressed up fancy today!🐾🎩🕶👟👕🧣🐶🐱🐤#TheLoudHouse #NationalDressUpYourPetDay https://t.co/e48AaRNool,English,Native,,Native
We got exactly what you need for #NationalDressUpYourPetDay! 🐶 https://t.co/7iHreAUIgY,English,Native,,Native
"Always dressed to impress! Which of these Super-Pets would be your partner? 🐶😻
#NationalDressUpYourPetDay https://t.co/gJqaYhzdkd",English,Native,,Native
"They're not laughing anymore...
#NationalDressUpYourPetDay https://t.co/NmhrdYW4q6",English,Native,,Native
#nationaldressupyourpetday ~ MST3K style... https://t.co/3ajsNwHc6G,English,Native,,Native
It’s #NationalDressUpYourPetDay today and Zeus thinks this is kind of a big dill. Are you dressing up? https://t.co/vIvM8s6evl,English,Native,,Native
Spyro! Have you done something with your hair?!? How could we miss out on #NationalDressUpYourPetDay 🐶🐲 https://t.co/vvdqTBi1hG,English,Native,,Native
#NationalDressUpYourPetDay Guilty. #TartanTuesday https://t.co/TOck85mxGk,English,Native,,Native
For #NationalDressUpYourPetDay we're throwing back to behind the scenes filming of our Police Navidad video. Tymo and Lubo loved their reindeer ears! https://t.co/ms3VUbmUiC,English,Native,,Native
"We don't know in what country it is #nationaldressupyourpetday so it'll have to be #internationaldressupyourpetday for us, not that we like that sort of thing 😒🐕 
Old 🎄pics: https://t.co/AW5IimO39Q",English,Native,,Native
Oddly I’ve found I’m for this! In the winter when I wants warms. #NationalDressUpYourPetDay https://t.co/Xu6UzdW8p8,English,Native,,Native
"❤️🐶❤️ #GIVEAWAY ❤️🐱❤️

Tomorrow is #NationalDressUpYourPetDay! WIN a #Bloomex bouquet!

Enter:
🔺 Like &amp; Retweet
🔺 Comment your pet's name
➕ BONUS: email a photo of your pet to contest@bloomex.ca

Ends 1/22/19
https://t.co/HZLxQ1vQ9P
Details: https://t.co/wcHOyhXRGi https://t.co/0jFZ8dBo3K",English,Native,,Native
My coworkers heard it's #NationalDressUpYourPetDay so they made me put on this super cool All-Star game t-shirt. You can get one just like mine in the Body Shop https://t.co/PIOr3wCt8R https://t.co/crrV2H5HFm,English,Native,,Native
"Happy #NationalDressUpYourPetDay! 🐩

Audrey Hepburn and Mr. Famous photogtaphed on the set of Breakfast at Tiffany's, 1961 https://t.co/XCGjfw1uwS",English,Native,,Native
"#NationalDressUpYourPetDay Superpussy ""I dare you to grab me"" https://t.co/KTbJTKbCB5",English,Native,,Native
"It’s #NationalDressUpYourPetDay! Let’s see all the #MetsPets out there…

We’ll share some of our favorites! 🐶🐱 https://t.co/FxQsAHKT9w",English,Native,,Native
"Fashion icons. 🐶 

#NationalDressUpYourPetDay https://t.co/j426PEfE4F",English,Native,,Native
