text,lang,langFam,category,origin
"#BTSTOUR2020_RUSSIA look , our country is very big https://t.co/gV6qrEOzRB",Russian,Indo-European,,NonNative
"We can do this together,Joon🖇✨🐣
#BTSTOUR2020_RUSSIA https://t.co/cfEQmsNz66",Russian,Indo-European,,NonNative
"I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
💜💜💜💜💜💜

#BTSTOUR2020_RUSSIA https://t.co/7Qpccx03jj",Russian,Indo-European,,NonNative
i mean this. THIS. thanks #BTSTOUR2020_RUSSIA https://t.co/AEnqCavBWC,Russian,Indo-European,,NonNative
"#BTSTOUR2020_RUSSIA
Let you repeat it again?🇷🇺💜🇷🇺💜🇷🇺💜🇷🇺💜🇷🇺💜🇷🇺💜🇷🇺💜🇷🇺💜🇷🇺💜 https://t.co/mzmQA6to3G",Russian,Indo-European,,NonNative
Please.... You haven’t been there for 7 years! #BTSTOUR2020_RUSSIA https://t.co/2VrhLA0qHL,Russian,Indo-European,,NonNative
Please let me see my heroes #BTSTOUR2020_RUSSIA https://t.co/KHOpBMMlN7,Russian,Indo-European,,NonNative
"You are already half Russian (we guys understood this a long time ago) you gave yourself away
#BTSTOUR2020_RUSSIA https://t.co/oSzQYfuqJd",Russian,Indo-European,,NonNative
"this is me every year when bts isn’t coming to russia again: 🤡🤡🤡
#BTSTOUR2020_RUSSIA",Russian,Indo-European,,NonNative
"#BTSinRussia2020 #BTSTOUR2020_RUSSIA
PLEASE https://t.co/UoBYSD6BzX",Russian,Indo-European,,NonNative
"RUSSIA
make some noise for BTS
#MapOfTheSoulRussiaBTS
#BTSTOUR2020_RUSSIA
#MapOfTheRussiaBTS
#BTSinRussia2020 https://t.co/lRMYI9n2qT",Russian,Indo-European,,NonNative
someday we will see such a post #BTSTOUR2020_RUSSIA https://t.co/OMLPDT88Mv,Russian,Indo-European,,NonNative
"PLEASE COME TO RUSSIA 🇷🇺🇷🇺😭😭😭🇷🇺🇷🇺🇷🇺😭😭😭😭🇷🇺🇷🇺🇷🇺
#BTSTOUR2020_RUSSIA https://t.co/VLKrdRP0T3",Russian,Indo-European,,NonNative
"it’s been 6 years,,, kinda sad rn
#BTSTOUR2020_RUSSIA https://t.co/ATQijs1CM8",Russian,Indo-European,,NonNative
"I wanna be a rap star
I wanna be the top
I wanna be a rockstar
I want it all mine
I wanna be rich
I wanna be the king
I wanna go win
I wanna be …

Interlude : Shadow @BTS_twt
#BTSTOUR2020_Russia #MapOfTheRUSSIA #FindTheSoulWithRuARMY https://t.co/yIPvg6WUpC",Russian,Indo-European,,NonNative
"We look forward to seeing you🤗💜 
#BTSTOUR2020_Russia
#MapOfTheSoulRussiaBTS
#BTSCOMETORUSSIA https://t.co/l2m4AQd6rG",Russian,Indo-European,,NonNative
"I should learn history but I sitting and watching YouTube oh yea #BTSTOUR2020_RUSSIA
#MapOfTheRussiaBTS",Russian,Indo-European,,NonNative
"#BTSTOUR2020_RUSSIA
«I am your hope. You are my hope»
— J-Hope https://t.co/t7O6G0Gnuw",Russian,Indo-European,,NonNative
"#BTSTOUR2020_RUSSIA
We won't give up our hope!!!",Russian,Indo-European,,NonNative
WE ARE BULLETPROOF 💜 love u guys 🥺 @bts_bighit @BTS_twt @BigHitEnt  #btstour2020_russia https://t.co/3ZUXg43tEb,Russian,Indo-European,,NonNative
My boys @BTS_twt @bts_bighit @BigHitEnt I proud of you 💜 #BTSTour2020 #btstour2020_russia https://t.co/E0Zf2cKerK,Russian,Indo-European,,NonNative
#BTSTOUR2020_RUSSIA Please come to Russia this year @BTS_twt @bts_bighit @BigHitEnt  Ru-army is waiting for you with impatience💜💜💜💜💜💜💜💜Sometimes it's sad that you don't include Russia in the list of world tours... We hope for your understanding😘,Russian,Indo-European,,NonNative
"We are waiting for you!💗

#BTSTOUR2020_Russia
#MAPOFTHESOULRUSSIABTS https://t.co/U9GlRiMGtV",Russian,Indo-European,,NonNative
"No way!
Twit again and again @BTS_twt 
#BTSTOUR2020_RUSSIA
#MapOfTheSoulRussiaBTS
#MapOfTheRussiaBTS https://t.co/TcHTd4jMHf",Russian,Indo-European,,NonNative
"#BTSTOUR2020_RUSSIA 
He drinks like my grandfather 

my grandfather by the way russian
#MapOfTheRussiaBTS @BTS_twt @bts_bighit https://t.co/0e805TVZ57",Russian,Indo-European,,NonNative
"omg I've connected the dots....

#BTS #MapOfTheSoulTour
#MapOfTheSoulTourRussia
#BTSTOUR2020_RUSSIA
@bts_bighit @BigHitEnt @BTS_twt https://t.co/qxfbjbMLb8",Russian,Indo-European,,NonNative
"@BigHitEnt pls dm me we need to talk

#MapOfTheRussiaBTS
#BTSinRussia2020
#BTSTOUR2020_RUSSIA",Russian,Indo-European,,NonNative
"@BTSVotingFam @BTS_twt We purple BTS 🥺🇷🇺

#BoyWithLuv #BestMusicVideo #iHeartAwards 
@BTS_twt #MapOfTheRussiaBTS #BTSTOUR2020_RUSSIA",Russian,Indo-European,,NonNative
"#MapOfTheRussiaBTS
notice us please
#BTSTOUR2020_RUSSIA

@BTS_twt",Russian,Indo-European,,NonNative
@red_semi_sweet please #BTSTOUR2020_RUSSIA https://t.co/zFyTiSoOVJ,Russian,Indo-European,,NonNative
"@armyfolowtrick Please help to Russian army. Just use this hashtag
#BTSTOUR2020_RUSSIA",Russian,Indo-European,,NonNative
"It's one of the biggest dreams of my life and of all ru-army's, not kidding.... just want to feel all this atmosphere and energy, sing together with boys, cry, smile and just be happy!
We have stadiums... We hope...we believe 💜🇷🇺✨ #BTSTOUR2020_RUSSIA @BTS_twt",Russian,Indo-European,,NonNative
Please @BigHitEnt! Remember when @BTS_twt came to Russia in 2014? We still support them and love them soooooooo much and even more! We miss and want to see our precious boys 💜💜💜💜💜💜💜💜💜💜💜💜💜🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺 #BTSinRussia2020 #BTSTour #BTSTOUR2020_RUSSIA,Russian,Indo-European,,NonNative
"please @BigHitEnt give concerts in Moscow and in St. Petersburg. you have been waiting for 6 years a lot of fans. I believe that you really will notice Russia and will come more often. love you @BTS_twt
#BTSTOUR2020_RUSSIA",Russian,Indo-European,,NonNative
@BigHitEnt I want you to meet someone . meet Russia !!! #BTSinRussia2020 #BTSTOUR2020_RUSSIA #ComeToRussiaBTS https://t.co/TZmTIqT2Yq,Russian,Indo-European,,NonNative
"His smile 

#BTS #BTSGrammys2020 #GRAMMYAwards2020 #BTSTOUR2020_RUSSIA #JHOPE https://t.co/FMihnzEnFf",Russian,Indo-European,,NonNative
"#BTSTOUR2020_Russia @BTS_twt  #BigHit  #BTS #BTS_Russia Hi guys! Today all RuArmy don't sleep, we all hope and believe that you will come to our country this year! Take care of yourself, we love you! BORAHAE 💜
사랑해 https://t.co/eoOf2EwWxt",Russian,Indo-European,,NonNative
"#MAPOFTHESOULRUSSIABTS
#BTSTOUR2020_Russia
Please came to Russia",Russian,Indo-European,,NonNative
"luzhniki Stadium Its total seating capacity of 81,000 makes it the largest football stadium in Russia and one of the largest stadiums in Europe.🇷🇺💜
 #MapOfTheSoulRussiaBTS
#BTSTOUR2020_Russia
#MapOfTheRussiaBTS https://t.co/jzvoTCOLqM",Russian,Indo-European,,NonNative
