text,lang,langFam,category,origin
"For so long time, we used to have much fear when hearing the sound of a warplane in the sky, but today, we're sure those warplanes we hear their sounds are not going to bomb neither a house, nor a school, nor a hospital, a market, a bakery..
They are 100% peaceful 
#BaharKalkanı https://t.co/bkFjmFHIJX",Turkish,Turkic,,NonNative
"Meanwhile in Beirut, Lebanon!

#BaharKalkanı https://t.co/nByVUAG9MP",Turkish,Turkic,,NonNative
"Neither the USA nor Russia nor Iran brought peace of mind to Syria.  Turkey will bring peace.
 #BaharKalkanı #Turkey 🇹🇷💥✈️ https://t.co/we1a5qM07k",Turkish,Turkic,,NonNative
God protect Turkish soldiers ❤❤ #BAHARKALKANI #AzerbaijanstandswithTurkey https://t.co/C7TzTt4Pd5,Turkish,Turkic,,NonNative
"#BaharKalkanı we dont know if it was 2 or 3 air-crafts 
so what does the VAR says??? :D https://t.co/MXOR4Yb509",Turkish,Turkic,,NonNative
"Excuse me how can i get to İdlib ? 
#turksilahlikuvvetleri #BaharKalkanı https://t.co/2Ks8fPIqDH",Turkish,Turkic,,NonNative
"Operation 🇹🇷 
#BaharKalkanı #İdlib #İdlip https://t.co/RCT5OJ6lLi",Turkish,Turkic,,NonNative
#BaharKalkanı is going on guys https://t.co/oxeBjaCuWJ,Turkish,Turkic,,NonNative
"Good luck Europe
▫️ #ΕΒΡΟΣ - Evros

#BaharKalkanı #Greece #Turkey #IStandWithGreece #GreeceUnderAttack #ΕΒΡΟΣ https://t.co/crjvnm4t5P",Turkish,Turkic,,NonNative
"Kids , We didn’t come for petroleum , we came for showing the beauties of nature , we came to share our love , we came for creating a more livable world... #DünyanınEnGüçlüOrdusuyuz #bismilah #Turks #BAHARKALKANI #GreeceUnderAttack #سوريا #بسم_الله https://t.co/BiBhb13MuS",Turkish,Turkic,,NonNative
Only Turkish man is enough for changing the world #BAHARKALKANI https://t.co/dIclCihAcu,Turkish,Turkic,,NonNative
1 Mart 2020 #baharkalkani https://t.co/nHyKxzRr2n,Turkish,Turkic,,NonNative
"How many air defense systems of the regime destroyed today?

#BAHARKALKANI https://t.co/4G6OxdrWPf",Turkish,Turkic,,NonNative
"Heroic Turkish soldier! 🇹🇷
#BaharKalkanı https://t.co/Tdu61pfwHE",Turkish,Turkic,,NonNative
How many warplanes shot down by Turkish Air Force? #BaharKalkanı https://t.co/SYoY4GnAF4,Turkish,Turkic,,NonNative
"Spring comes with Turkey 🇹🇷

#BAHARKALKANI https://t.co/51rVA27gse",Turkish,Turkic,,NonNative
"Go ahead and crush the enemy.
May Allah protect the Turkish soldiers. Ameen
#BaharKalkanı https://t.co/zXrLALvtQ7",Turkish,Turkic,,NonNative
"Greek media: They are not refugees, they are terrorists.

Terrorist 👇🏻 

Please don't touch the Greeks. 🙏
#IStandWithGreece
#BaharKalkanı https://t.co/Y7CLFvzimH",Turkish,Turkic,,NonNative
"How are you Taksim
#BaharKalkanı https://t.co/GGexvfuL9k",Turkish,Turkic,,NonNative
"New drone footage showing how the Turkish Army destroys Assad regime’s facilities, tanks and armoured vehicles in Idlib released. 

#BaharKalkanı
#BaharKalkanıHarekatı
#Syria
#İdlip
#Turkey
#Russia

https://t.co/L4UI0NhfGB",Turkish,Turkic,,NonNative
"Turkish Armed Forces artillery batteries continue to hit the positions of the Assad regime on the Idlib and Aleppo lines.
#OperationSpringShield
#BaharKalkanı https://t.co/kaYji8lF6T",Turkish,Turkic,,NonNative
This is Game of Drones #BaharKalkani   #Idlib #Pazarkule @Selcuk https://t.co/U6qaT81hKb,Turkish,Turkic,,NonNative
#BAHARKALKANI hamd ile 🇹🇷💞🇹🇷 https://t.co/3xKV27jgKr,Turkish,Turkic,,NonNative
Turkish pilots show what Turkey is tring to spread in Middle East #BaharKalkanı https://t.co/xPVULhUZ5J,Turkish,Turkic,,NonNative
"#Breaking 
Turkish drones did a great job today.  Assad regime and Russian-controlled (backed) many terrorist groups were destroyed one by one.
#OperationSpringShield
#BaharKalkanı https://t.co/CUNw5XV4iW",Turkish,Turkic,,NonNative
"#BaharKalkanı
welcome to the party.
@mod_russia

 https://t.co/Cr2KDIEv6Y",Turkish,Turkic,,NonNative
Love is in the air 😍 #BaharKalkanı https://t.co/V2kxlKMADQ,Turkish,Turkic,,NonNative
Aminnn🙏🏻🙏🏻  #BAHARKALKANI https://t.co/21KIq2ao2z,Turkish,Turkic,,NonNative
"#BAHARKALKANI 

Erdogan's soldiers = ISIS https://t.co/iQOzr8LF5h",Turkish,Turkic,,NonNative
"Hit that.
 + we hit it, sir. 
-More hit
#درع_الربيع
#SpringShield 
#BaharKalkanı #Syria #Idlib   #سورياادلب🇹🇷🇹🇷🇹🇷 https://t.co/ew4w1p3JJ2",Turkish,Turkic,,NonNative
"#BaharKalkanı 🇹🇷🇹🇷
#OperationSpringShield 🇹🇷
My love for my country is in another level ❤️🇹🇷 https://t.co/M0XzPFMGmv",Turkish,Turkic,,NonNative
"Selçuk Bayraktar, the man who changed the fate of the Middle East .
We're proud of you🇹🇷
#operationspringshield
#Turks 
#BAHARKALKANI https://t.co/MhXb9rm3LD",Turkish,Turkic,,NonNative
"How many SU-24 down today?
#BAHARKALKANI https://t.co/26b9kYqkar",Turkish,Turkic,,NonNative
"#BaharKalkanıHarekatı #BAHARKALKANI 
May Allah protect our brave Turkish army🇹🇷may the victory be ours🇹🇷♥️
🇹🇷🇹🇷🇹🇷Vur mehmedim🇹🇷🇹🇷🇹🇷 https://t.co/NCnJVIqZea",Turkish,Turkic,,NonNative
"#IndianMuslimsInDanger

kiling the muslims mother and her child.where are you wold #osasuna 
#BaharKalkanı #星街すいせい3D https://t.co/AQLG9GG5J0",Turkish,Turkic,,NonNative
Last  army of islam is coming #BaharKalkanı https://t.co/EOX7vEFpdU,Turkish,Turkic,,NonNative
"It's rewind time
#BaharKalkanı https://t.co/UAZucdZ447",Turkish,Turkic,,NonNative
"Fine, we'll get you another one...

#BAHARKALKANI https://t.co/4itdZXT09w",Turkish,Turkic,,NonNative
Amin. #BAHARKALKANI https://t.co/iYz0bsHTAO,Turkish,Turkic,,NonNative
We want to play a game. #BAHARKALKANI https://t.co/K9ro0J0Hwr,Turkish,Turkic,,NonNative
#BAHARKALKANI Are you ready??? https://t.co/VVZTOTTXus,Turkish,Turkic,,NonNative
"Amin
Amin
Amin
#adaletvakti 
#BaharKalkanı https://t.co/nl3ouirxWV",Turkish,Turkic,,NonNative
"#BaharKalkanı
Amin https://t.co/6AimRT1jFm",Turkish,Turkic,,NonNative
"Only god knows whats behind that look 😅
Commander of the operation 
Retweet 👇
Follow👇
#BaharKalkanı 
#baharkalkaniharekati 
#BaharKalkanıOperasyonu https://t.co/mBjbelzssj",Turkish,Turkic,,NonNative
