text,url,lang
"""Managing our ocean"" with @LaurencePessez @BNPParibas @PhilippineHuc @surfridereurope et Marina Rachline @EuroJedi #ChangeNOW2020 https://t.co/sYDvs9FEWI",https://twitter.com/wavesofchange/status/1223260577289637893,french
"The ecological #transition will require massive investments, with the need to reallocate money... thru investments to fight climate change, tools like #climetrics and innovative #sustainablefinance solutions. #ChangeNOW2020 #esg #greenbounds : is there a #responsiblecapitalism ? https://t.co/Z3mtxxJoDW",https://twitter.com/Charlotte__Grey/status/1222839519881388033,french
"🌏 World Expo for the Planet 🌏
PILI will be at the great summit Change Now [Grand Palais 30/01-1/02] with a new blue pigment to be tested in various materials, if you whish to test it on your industrial application, we'll be happy to meet you!
@changeNOWsummit
#ChangeNOW2020 https://t.co/IqpOpcPu9b",https://twitter.com/_PILIbio/status/1218129113120235521,french
"#sustainablefashion ""We need to act as Fashion represents 1/3 of plastics in the ocean"" @brunepoirson #Fashionact @PublicisMediaFr @PublicisGroupe #ChangeNOW2020 #heroesofchange https://t.co/ISjnCFFHxj",https://twitter.com/AdelCha/status/1222834311029719040,french
"""Marine transportation represents about 80% of the transport of all the goods we consume! We're working with ship owners, ship builders, financers, like @BNPParibas to make it more responsible"" @PhilippineHuc @surfridereurope #ChangeNOW2020 https://t.co/Ew2yWVtNX1",https://twitter.com/Intra4Good/status/1223262967388569600,french
We’re proud supporters of #changenow2020! Join @katborlongan at 16:15 to chat about #impact + #frenchtech: https://t.co/YRbjjOEhxK #heroesofchange https://t.co/EQqmnTHhtm,https://twitter.com/LaFrenchTech/status/1222833217776037889,french
#ChangeNOW2020 Summit in Paris : great innovations to give positive impact to our Society ! The startups accelerated by @Dassault3DS are here to change the world 🌎 https://t.co/PdRBqwIIG0,https://twitter.com/3DEXPERIENCELab/status/1223258364362268674,french
Far away from le grand palais... a good reason to #ChangeNOW2020 @TaraOcean_ @PlasticOdyssey https://t.co/mv046kN7pU,https://twitter.com/noplasticfrance/status/1223584394411216896,french
Proud to have our CFO Ramon Fernandez representing Orange at the ChangeNOW roundtable on Business with Values : « Sustainability is now as important a topic for Orange as is growth » #ChangeNOW2020 #BienVivreLeDigital https://t.co/ZmOu41nyws,https://twitter.com/CGKaberry/status/1222855986177888256,french
Happy to present to @ChristopheBechu this morning at @changeNOWsummit our redesigned #carbon sink. This concrete solution developed by @suez and @FermentalgCom improves air quality by turning pollution into green energy. #SmartCity #ChangeNOW2020 #SUEZ4air https://t.co/eDmiWdxHwq,https://twitter.com/BertrandCamus/status/1223284433832304641,french
"#AI For All ? Really ?
Fantastic data In could become garbage data Out. Careful, #AI was made by code and each line of it is a decision. #AI is not only data. Nice approach @gbuffet ! @Uchange_ #ChangeNOW2020 https://t.co/DD0QlCCOPo",https://twitter.com/rija_soa/status/1223228726894264320,french
"The @BNPParibas Head of CSR,  @LaurencePessez is speaking at @changeNOWsummit on the topic “Managing our ocean”

The bank is helping companies to perform their transition through 2 ways: Investment and Innovation

#ChangeNOW2020 #PositiveBanking https://t.co/H2P8zdqt6w",https://twitter.com/al1_levy/status/1223261164001538050,french
I saw the private sector of tomorrow at #ChangeNOW2020 | #Innovations #GrandPalais #Paris #Bcorp #SDG @changeNOWsummit https://t.co/769QaBP64v,https://twitter.com/radard/status/1223609714946256896,french
"This is it @changeNOWsummit has just started! 

Interesting session this morning with my first #HeroesOfChange  who are fighting against food waste 
 #ChangeNOW2020 https://t.co/pFfpx5keg8",https://twitter.com/CyrielleHariel/status/1222883063295827968,french
"“The rest of the world is talking about problems, and here we are talking about solutions.” @bertrandpiccard à @changeNOWsummit 💡⚡️✨ #HeroesOfChange #ChangeNOW2020 https://t.co/qdBPkpvDiu",https://twitter.com/EcoAct_FR/status/1222800789061672961,french
NO MORE EXCUSES TO ACT! SDG Action Manager for business just launched at @changeNOWsummit A free tool to help enterprises measure and implement the #GlobalGoals @PavanSukhdev @Lise_Kingo @EmmanuelFaber #changeNOW2020 https://t.co/BVJR880UCg,https://twitter.com/PurProjet/status/1223251985618690049,french
"#ChangeNOW2020 : “WE ARE NOT HERE TO THINK, WE ARE HERE TO ACT!” ✊🏻🌍
#ActForImpact @WE_BNPP @WAI_BNPP @BNPParibas @mabanque_bnpp https://t.co/90Kc8EM3tT",https://twitter.com/AnsquerCeline/status/1223537690190274560,french
"💬 « Innovate is the art to make things new, differently. From now on, we have a responsibility to act differently. Our daily life, our businesses, our leisures, our holidays must be different » #UseItAgain #CircularEconomy ♻️ #ChangeNOW2020 #HereosOfChange #TrimaranUltim https://t.co/bqnCWTYlH4",https://twitter.com/USEITAGAIN_SAIL/status/1222880576107089922,french
« How AI can help predict and reduce health and psychosocial risks within the company? » @axionable on stage à @changeNOWsummit ! #ChangeNOW2020 #heroesofchange  @gwendalbihan @berger_data @floriansb https://t.co/o9tm2e6zYg,https://twitter.com/axionable/status/1222819497784025088,french
