text,url,lang
"Welcome to France...
#covid19 #covoid19france #CoronavirusFrance https://t.co/6J5nE3Znl4",https://twitter.com/CachetMarie/status/1234982904750456832,french
Here we are : #CoronavirusFrance #COVID19france 01/03/2020 https://t.co/VGOVkcCXcB,https://twitter.com/tonywan82/status/1234034359797239810,french
"BREAKING NEWS : The culture minister of France, Franck Riester is now infected. 

He was present to the Council of ministers five days ago, so he probably infected other ministers and maybe Macron !

#coronavirus #CoronavirusFrance #Coronavid19 #CoronaOutbreak https://t.co/mEJZow5Pg7",https://twitter.com/OdysseusIthake/status/1237094048269242368,french
#COVID19france  #CoronavirusFrance #coronavirus  about to make capitalism collapse https://t.co/b38Iv0b1ah,https://twitter.com/Lo_reng/status/1237334484044976128,french
"Come get me #coronavirus I'm just waiting for u

#Coronavirusflorida #CoronavirusFrance https://t.co/9yfcEce9lX",https://twitter.com/GomesAnthony13/status/1234430874764091393,french
Ex-æquo ! — Both France and Germany now have over 1000 {confirmed} infectés cases #coronavirus #CoronavirusFrance #coronavirusdeutschland https://t.co/7rAapC1Tqy,https://twitter.com/reverseyourmind/status/1236700921566056449,french
This is what you get in France when you do a twitter search #CoronavirusFrance .... a link to a governmental information site. https://t.co/GWjJ41GaRq,https://twitter.com/lifesafeast/status/1234186793232281600,french
"The director of the health ministry - the French surgeon general - is reading an very serious update on #CoronavirusFrance with stats, precautions, etc and actually used the expression « fake news » in English in reference to lies and misinformation. 😀",https://twitter.com/lifesafeast/status/1235638500248207362,french
"#CoronavirusFrance 
                                                 WE DIT IT !

https://t.co/Sdf8MeopwC https://t.co/9UigmJu6wK",https://twitter.com/Ellissego/status/1234117019714363393,french
"#CoronavirusFrance #France on Sunday banned all gatherings of more than 1,000 people in a bid to curb the spread of #COVID2019

Health minister Olivier #Véran says the country's #coronavirus alert remains at #stage2 ⤵️ https://t.co/MpGyTGUmbk",https://twitter.com/France24_en/status/1236956652135501825,french
"A TAAAAABLE
#CoronavirusFrance https://t.co/zpV3oJo3Db",https://twitter.com/_Rantanplan_42/status/1237325086421639168,french
"The French CEO of Aeroports de Paris (ADP) Augustin Romanet is now infected. He's in quarantine but his health state isn't preoccupying.

ADP owns and manages the Parisian international airports Charles de Gaulle Airport, Orly Airport and Le Bourget Airport. 

#CoronavirusFrance https://t.co/DIiC8JEpWK",https://twitter.com/OdysseusIthake/status/1236984072087506949,french
Another delayed opening @MuseeLouvre I’m not an expert on disease control but given the #CoronavirusFrance it seems like a terrible idea to force crowds to wait outside for a museum that may not open. https://t.co/6g4kU7C5CM,https://twitter.com/postmodernclio/status/1234054735054954496,french
