text,url,lang
Cause this is our song #49al3 #GiletsJaunes https://t.co/tRuXHYbaBZ,https://twitter.com/PastequeBloc/status/1233889502042697728,french
"Emmanuel Macron officially declared the war to French people. Everyone should wake up, fight and burn this fascist government. This is the biggest dictatorship, and if we don't fight, we will lose everything, Emmanuel Macron will destroy everything. 🔥

#GreveGenerale #49al3 https://t.co/ILD4GrHdeO",https://twitter.com/percemer/status/1233881687517540356,french
"Remember, remember, the 5th of November... 
#49al3 https://t.co/0jiEMLJDXj",https://twitter.com/AurelieMariani/status/1233821417751355392,french
Gros week-end #cesars #49al3 https://t.co/h7WyHjy4Op,https://twitter.com/Torzka/status/1233858404906610688,french
Two young people were arrested during the demonstration against the bew labour law #lyon #loitravail #49al3 https://t.co/W2GdoLr6nD,https://twitter.com/PantVal/status/732591753417609216,french
When brutal Underwood says hi to brutal Valls #49al3 #loitravailnonmerci #MotionDeCensure  https://t.co/O5REnE66rA,https://twitter.com/NogueiraCeline/status/730510506205810689,french
Just to clarify (or not) our current political issues in terms that everybody will understand... #49al3 #IronManuel https://t.co/ZR9rVN9Iw8,https://twitter.com/hurubas/status/730478902741745665,french
"The Most enormous #bullshit I've seen Since many years
@fhollande is safeguarding Democracy ? WRONG ! #ViolencesPolicieres
#49Al3 https://t.co/HCHo3f7iR4",https://twitter.com/500a1b4c/status/778139337452060673,french
#49al3 SHAME !,https://twitter.com/9Dust/status/1233868219187945474,french
#HouseOfCards trolls French PM for planning to force through his labour law reform. His #Clapback 😂😂😂 #49al3 https://t.co/AuHHdYFMGq,https://twitter.com/BateFelix/status/730395211776536576,french
Hollande current mood #49al3 #LoiTravail #cdanslair https://t.co/2eHEP1VNva,https://twitter.com/deastellarum/status/730077416392171520,french
"The latest La Na'Touch, le Journal! https://t.co/ZyPmg49XjW Thanks to @chando41 @FranceHouseHunt #concours #49al3",https://twitter.com/LaNaTouch/status/761855746560692224,french
"#49al3 
The place to be .... https://t.co/jAWz3CTjiK",https://twitter.com/bonste/status/1233810364778844161,french
I'm reaady #DirectAN #LoiTravail #49al3 https://t.co/zVFYyCZ4FI,https://twitter.com/LaFeeElliot/status/750312417058512896,french
"Democracy may be overrated, history never is. #49al3 https://t.co/qGF8xgqEnq",https://twitter.com/redprogress/status/731027267875438592,french
"🎺Saturday Night Feaver 🎶
Mad in #France 🤪
#49al3 😷 https://t.co/j6T2hZnFwq",https://twitter.com/JMFLB/status/1234045198637969409,french
Police contre pompiers. Police against Firefighter in France #GiletsJaunes #14marstousUnis #49al3 #toulouse #GreveGenerale #ReformeRetraites #Acte69 #LREM #YellowVests #France #Lallement #LallementDemission https://t.co/SByeue0jzg,https://twitter.com/NicAnonymous1/status/1236777517396213761,french
@ManonAubryFr #49al3 = crime ⚠️,https://twitter.com/AHcCamille/status/1237320966247575552,french
#49al3 from #LaREM #Cesar https://t.co/L5EBmN30uo,https://twitter.com/gregbill88/status/1236193148512219142,french
Democratie is overrated #49al3 https://t.co/bwYmw5nGXO,https://twitter.com/DexIcarus/status/1234096685405659139,french
Remember ! ⁦@GDarmanin⁩ #49al3 https://t.co/mdBuJ9AH4U,https://twitter.com/MazzorboP/status/1234082788393005056,french
"Get the feeling that the current French govt sure of bad results in the upcoming municipal elections decided to pass the Labour Reforms yesterday by using Art. 49.3. A preemptive move to sweep aside any possibility of revolt due to the poor result.
#49al3",https://twitter.com/tenam/status/1234081624855367680,french
"@GDeleur Hello protest, hello March! #49al3 https://t.co/FN0fTa21B7",https://twitter.com/HannabelleV/status/1234049048870637569,french
ok Marty McFly. #49al3 https://t.co/3Ty3GtYYAN,https://twitter.com/simnico971/status/1234246696474992643,french
Orwellien. #49al3 https://t.co/BJlztNwUAv,https://twitter.com/simnico971/status/1234228412153257985,french
"#49al3 Virginie Despentes #polanski

We need now a Revolution",https://twitter.com/FredSherman33/status/1234218089266470918,french
"wondering about going on all out strike until the 22nd March, feels really counterintuitive teaching during state of emergency measures #49al3",https://twitter.com/laserveuse2/status/1234207220373577728,french
Current mood. #article493 #49al3 https://t.co/qmg9qYGTF9,https://twitter.com/de_sarsfield/status/1234087540791091202,french
This is not a method . This is provocation !  #49al3,https://twitter.com/jojopl76/status/1234048484950642688,french
"A rough time for macronistes 
#DirectAN #reformedesretraites #49al3 https://t.co/JNEvORBq3N",https://twitter.com/MandabaRegis/status/1234019295425966087,french
"Surprise ?

#49al3 #reformedesretraites https://t.co/9j22njcIFJ",https://twitter.com/Lvsimplement/status/1233997302441881600,french
1984  George Orwell                              #49al3 #reformedesretraites https://t.co/UxXRFNtQxC,https://twitter.com/utopiedoccaz/status/1235258264633389062,french
"Error 49.3 democracy not found !

#49al3 #ComedieFrancaise #OperaNational #Retraites https://t.co/I8BdF9fqhA",https://twitter.com/MagnusRadius/status/1234426620775104513,french
"D'actualité avec le #49al3 

#GreveGenerale 

🎵get up 🎶stand up🎵stand up🎶for your right🎵

https://t.co/WMw4LY2jUW",https://twitter.com/ZazooClx/status/1234397642471485442,french
@EPhilippePM Oops! #49al3 #49alinea3 49.3 https://t.co/hoEf8qiGQC,https://twitter.com/thibtub/status/1234075160480710660,french
No One Is Innocent - Nomenklatura #LoiTravail #NuitDebout #49al3 #Anonymous #blackbloc https://t.co/axhrgkEk1m,https://twitter.com/YannHoneymouth/status/750446956997140480,french
French prime minister  to reform  labour laws by decree https://t.co/WOOd00D96B #EtatdUrgence #GlobalDebout #NuitDebout #49al3 #LoiTravail,https://twitter.com/ChemsOnline/status/730364404672409601,french
How to fix our broken democracy #GlobalDebout #NuitDebout #49al3 #LoiTravail https://t.co/ajqJApOy7Y,https://twitter.com/ChemsOnline/status/730363405236879360,french
Archive #49al3 https://t.co/UJFyGFSEQJ,https://twitter.com/mazoudemetz/status/1234477522542366720,french
"The French government is going to use #49al3 (the third subparagraph in article 49 of the constitution) in the parliament to force the legislative process of its plan to reform the national pension system!
Macron 1 - 0 Marianne https://t.co/s4L1cOgXc5",https://twitter.com/ahmed_traina/status/1234184752271372288,french
Oops... #49al3 https://t.co/LhsYhUH9PA,https://twitter.com/Benjami24302479/status/1234170687692189696,french
"The show must go on.
#Municipales2020 #COVIDー19 #CoronavirusFrance #49al3 https://t.co/Ltu2NAaiId",https://twitter.com/AlexRingess/status/1234077512545820673,french
you talking to me ? You want a 49-3 on your gueule ? #Vendredi13 #LoiTravail #MacronStyle #49al3 https://t.co/3DZoQlweJd,https://twitter.com/B___Orel/status/730963530560765952,french
"@manuelvalls answers to a fictional character, but he doesn't listen Fr citizens. Where is the democracy? #49al3  https://t.co/edD2rwTOa7",https://twitter.com/schmitteb/status/730482631222112256,french
I don't know the future but i feel like a storm is coming. 😱 #Coronavid19 #49al3 #Cesar2020,https://twitter.com/AqmeBBL/status/1233911573179224064,french
"#49al3
remember people are not numbers 
remenber our number scare murderers https://t.co/nOYsmg0L7Z",https://twitter.com/Zurvan_Zunryse/status/1233859666196779010,french
@HouseofCards @manuelvalls thanks for support franck ! Democracy is down #49al3 #Futur #Humanity #Elysium https://t.co/TYxqL0mGHK   @YouTube,https://twitter.com/Tian_A1/status/730471457038422017,french
"Yep, Franck &amp; French Prime Minister @manuelvalls are on the same page. Democracy is so overrated. #LoiTravail #49al3 https://t.co/J22fGnzaNv",https://twitter.com/NousCitoyensUS/status/730463318003965952,french
"#49al3 is the new ""Jacques a dit"" !",https://twitter.com/Charl_e_sA/status/730411405023793152,french
RT HouseofCards: manuelvalls Democracy is so overrated. #LoiTravail #49al3 https://t.co/i5qWw5S8xH,https://twitter.com/etienneflynn/status/730399310077173760,french
Best tweet ever ? @manuelvalls #FranckUnderwood #49al3  https://t.co/gQfm04XmJs,https://twitter.com/AmandineMonteil/status/730380533000179712,french
"Wait around and wait around and pretty soon you won't be around.
George Woodman
Le petit chat est mort. #49al3 https://t.co/ikYEw4hW4e",https://twitter.com/RouchetG/status/750477351553683456,french
40 people arrested and Denfert-controlled. They come from the Bourse du Travail #manif5juillet #LoiTravail #49al3 https://t.co/qD7u4dJ1ME,https://twitter.com/krsxyz/status/750298542074454016,french
There's something rotten in the kingdom of Mankind ! #Hamlet #49al3 #loitravailnonmerci #Gattazexit #GlobalDebout https://t.co/pigWEotdRU,https://twitter.com/RouchetG/status/748291929985581057,french
Hi @POTUS have u ever thought about #49al3 in order to prevent ur citizen from buying guns easily?Talk w/ @manuelvalls he can help u.Regards,https://twitter.com/BaKouabe/status/742063280617840640,french
Funny exchange between @HouseofCards and @manuelvalls on the #49al3 constitutional tool to overcome Parliament block https://t.co/rVjONr327n,https://twitter.com/AGarnero/status/730441879620308992,french
"Retweeted House of Cards (@HouseofCards):

@manuelvalls Democracy is so overrated. #LoiTravail #49al3... https://t.co/P6VnoKaQF3",https://twitter.com/elaedanla/status/730421201257037824,french
"""Vote for #LoiMacron. 
- Non way. 
-Sudo vote for #LoiMacron !
- Okay.""

#49al3 #Valls #SystemeEnBug",https://twitter.com/Anargondin/status/610842692734570496,french
"Bitch, Don't Kill My Vibe ! #LoiMacron #49al3",https://twitter.com/carryingbanner/status/567774568270811137,french
