text,url,lang
"My video on how Polanski's Cesar feels to me as a victime of child/teen sexual abuse is now captioned in english : https://t.co/MLR6sarGou

#CesarDeLaHonte #JeSuisVictime",https://twitter.com/hparadoxa/status/1234203300691693568,french
"Adèle Haenel attending #cesars2020 having hopes that they will never award something to a rapist, that the film industry might've changed for better. Shame to those who says she shouldn't have come. Reflect on yourself &amp; ask if you still have your humanity. #CesarDeLaHonte",https://twitter.com/invertednote/status/1234126557586702339,french
"“Polanski fled and found refuge in France. In France, we accept rapists on the run because they’re artists. It’s a problem of French society.” 

#rapeculture #CesarDeLaHonte

https://t.co/o4dHcvc5UI",https://twitter.com/JaccuseP/status/1234474676820303877,french
"Mood
#CesarDeLaHonte https://t.co/3x2eRV8Np9",https://twitter.com/Sabri_Naah/status/1234418580151832577,french
"*TW: Rape* 
Powerful text expressing the outrage many felt when #Polanski won the #CesarAwards for best director. A must read. #CesarDeLaHonte  https://t.co/0AcHdDzrDr",https://twitter.com/GeorgiaVrakas/status/1234284863173341186,french
Incredible illustration by one of the women in my forthcoming book. 🖌 Eliane Cheung. #AdeleHaenel #CesarDeLaHonte https://t.co/j225fGzxTM,https://twitter.com/LostNCheeseland/status/1234529188784332803,french
Florence Foresti GUYS 👏🏻👏🏻  #CesarDeLaHonte #Cesar2020 #cyrilhanouna https://t.co/iaymaB4uRA,https://twitter.com/Juliette_s_m/status/1237063021140328449,french
"Thank you #AdeleHaenel . 
#CesarDeLaHonte #Cesar2020 #FlorenceForesti #Polanski https://t.co/wnhYClbqRg",https://twitter.com/badmiaou/status/1234059430574071815,french
"https://t.co/GWG2dtSew4
 You are my queen @dairingtia
#Violanski #CesarDeLaHonte",https://twitter.com/EmilieModini/status/1234232488349880321,french
Polanski’s ‘Oscar’ divides elite world of French cinema https://t.co/3EoAoiYO0T #CesarDeLaHonte #Violanski,https://twitter.com/KhadyMany/status/1234628932256792576,french
"Juliette Binoche came to save us! #CesarDeLaHonte #Polanski #Cesar2020

(At least she said it better than the other actresses...) https://t.co/9Ph6uoLEXU",https://twitter.com/canyou_sonicme/status/1234661609689116673,french
"I shouldn’t be surprised but I am. 

#Violanski #pedoland #Polanski #cesardelahonte",https://twitter.com/aqua_sprite/status/1234091747518476288,french
#CesarDeLaHonte Olivier Carbone https://t.co/SbDqptWX3A,https://twitter.com/Pizzicati3579/status/1235226521461194753,french
"Shame on you @jmblanquer.

#cesars2020 #CesarDeLaHonte #Polanski https://t.co/qSkgAIIJY1",https://twitter.com/EMacronNonMerci/status/1235924001073098754,french
🤢🤢🤢 Full support #AdeleHaenel #Balancetonporc #CesarDeLaHonte #CesarsDeLaHonte #OlivierCarbone #Connard #Fdp https://t.co/CdmxvDMA2f,https://twitter.com/AlkaLilly/status/1235482475863908352,french
"Weinstein, Polanski and beyond: The ripening fruits of #MeToo, by Jennifer Izaakson.

#adelehanael #Cesar2020 #CesarDeLaHonte #Polanski #pedocriminel #Weinstein #cesarawards 

https://t.co/1gkbdjLVs9 https://t.co/lQTQUMzKTt",https://twitter.com/PaturotFrancie1/status/1235263260091437056,french
"@toi_moi_elle_75 @portraitmoviemx @IndieWire France may not be the good exemple to follow...
#CesarDeLaHonte",https://twitter.com/diane_selwyn/status/1235150692173729792,french
@ZhangZhangZhang And right now ? What is your proposition to preserve occidentals countries from sexism ? Knowing that they are also sexists !!! #CesarDeLaHonte #MissFrance,https://twitter.com/Carletdesiles/status/1234803634338222080,french
"WONDERING WHY THAT PAEDOPHILE RAPIST KNOWN AS ""#Romanpolanski"" IS STILL ALIVE IN 2020? #Cesar #Cesars #Cesar2020 #CesarAwards #CesarAwards2020 #cesars2020 #CesarDeLaHonte #CesarsDeLaHonte",https://twitter.com/BombSniffingDog/status/1234226821589274625,french
@RoArquette Wish the Cesar heard you before... #CesarDeLaHonte,https://twitter.com/MilkConcentrate/status/1234071835979001858,french
