charTrigrams,wordBigrams,wordUnigrams
 th,,the
the,of the,to
he,in the,of
 to,in france,in
to,it s,a
ing,for the,and
ng,is the,is
on,on the,for
 in,at the,on
is,we are,you
nd,this is,we
re,want to,at
 an,the world,i
and,to the,it
in,don t,with
at,one of,s
ed,to be,are
 of,but i,our
of,is now,that
st,i am,this
er,i want,be
t t,have a,not
e t,need to,about
ion,the french,my
 co,thanks to,now
for,i m,france
s a,we need,from
 a,are not,so
n t,democracy is,french
e a,the new,but
 fo,so many,as
 is,with a,all
or,to this,by
s t,is a,t
 ma,to act,me
 re,in paris,have
ent,we have,was
nt,at with,want
ver,s a,what
tio,mainstream media,they
 be,to see,how
our,against the,do
you,they are,more
es,france is,against
 on,the most,here
 fr,to force,people
e w,is not,just
 yo,go on,your
t a,to me,he
e i,to a,new
ce,thanks for,like
an,is so,if
 wi,so overrated,will
 we,vote for,an
 no,in english,amp
 pr,that they,can
me,if you,still
al,france we,democracy
e s,in my,time
 so,thank you,its
it,what we,day
ter,to do,world
 at,a few,thanks
ur,talking about,were
d t,being a,many
th,more than,need
en,a black,some
 ha,raymond depardon,there
ut,thomas barbey,one
nce,the best,most
are,world is,very
e c,the end,fight
ere,managing our,when
hat,with the,or
ll,will be,his
e o,happy to,out
tha,to make,go
t i,here to,women
rea,proud to,who
 wa,at for,us
 st,the country,black
ow,sony unveils,great
 he,unveils an,media
as,an car,government
s i,car prototype,their
thi,prototype at,up
 ar,with and,le
 ou,and a,get
her,a human,really
we,human machine,no
e m,machine via,must
est,the revolt,won
ren,revolt against,happy
 ca,against is,polanski
wit,is spreading,than
le,spreading throughout,last
ers,media don,solutions
 wo,t want,paris
e p,want you,don
rs,you to,reform
e f,see this,news
ve,this we,twitter
 mo,are the,macron
 ne,the media,during
all,media now,place
ts,the city,overrated
ate,city of,know
 de,silence in,support
out,the latest,best
ou,the national,over
 it,national day,said
ati,day of,am
men,french government,good
ran,government s,make
ith,s pension,im
his,pension reform,proud
ch,as they,after
res,part of,into
 wh,the same,impact
man,ill be,business
ome,be there,see
t w,for you,police
t o,we can,city
t s,french people,pension
r t,people are,keep
s s,how do,countries
 la,people to,everything
 me,emmanuel macron,remember
pro,during the,end
ove,labour law,labour
f t,just to,says
d i,current mood,current
e b,get the,shame
par,that the,force
art,not a,m
pre,french prime,going
 bu,prime minister,feels
hin,to reform,found
ted,going to,minister
e d,the show,talking
bou,show must,ever
 i,must go,est
 fi,on your,u
ort,like a,help
now,is coming,between
 s,a dit,video
enc,wait around,cesar
ay,around and,english
ust,won t,rape
g t,from the,full
rt,there s,follow
n a,in order,why
ill,order to,much
anc,can help,maybe
ons,and on,happen
ly,tool to,man
et,over the,hashtag
han,my video,being
 di,video on,days
se,on how,could
sta,how polanski,sony
 su,polanski s,big
ins,s cesar,hospital
 se,cesar feels,de
con,feels to,ocean
e n,me as,change
 li,as a,summit
 pa,a victime,act
be,victime of,has
ns,of child,food
n f,child teen,health
ess,teen sexual,team
s f,sexual abuse,european
ear,abuse is,infected
ste,now captioned,revolt
 go,captioned in,workers
 pe,those who,mainstream
n i,shouldn t,brussels
 sh,you still,latest
 vi,refuge in,national
oun,its a,part
y t,of french,same
und,when won,should
ect,won the,visited
ain,you are,having
 do,at least,find
ant,may not,brutal
s w,right now,emmanuel
o t,as is,everyone
d a,the cesar,week
ist,men are,two
eve,are trash,since
te,i wanna,mood
 ch,my heart,la
 te,and that,may
ive,to happen,bad
wor,to talk,any
kin,can be,d
