text,url,lang
from Berlin🌸💜🖤#DerSchwarzeSchwan https://t.co/shkzUCsmkx,https://twitter.com/leen0506/status/1219693761883725830,german
"#DerSchwarzeSchwan 

LET‘S GET IT 💜 https://t.co/q77jMS2bFE",https://twitter.com/dohakookie_/status/1219683254162292736,german
i’m streaming from erfurt 🖤🦢 @BangtanGER_twt #DerSchwarzeSchwan https://t.co/75yhnZObss,https://twitter.com/heartthrobkoo/status/1219693952573550593,german
"We can do this 🇩🇪-&gt; #1
Our time to shine #DerSchwarzeSchwan
@BTS_twt https://t.co/FZRaui0qyD",https://twitter.com/mue_jen/status/1219699870770122756,german
a streaming tag is trending in germany I'm so proud #DerSchwarzeSchwan https://t.co/hBKSxxYMXm,https://twitter.com/a32619/status/1219696053244563456,german
go germany!! 😁 #DerSchwarzeSchwan https://t.co/62rRGv3eFg,https://twitter.com/bangtanshimkung/status/1219704896393564172,german
"LET‘S GET ITTTT GERMAN ARMYS 
#DerSchwarzeSchwan https://t.co/5hDx7Q3nDD",https://twitter.com/RMeriam_/status/1219683879281483776,german
im streaming from erfurt with luv. #DerSchwarzeSchwan https://t.co/sgFBgi3PR8,https://twitter.com/ginbasilsad/status/1219692013370642433,german
"Throwback to Hobi's German - so freaking good 😍💜
#DerSchwarzeSchwan
 https://t.co/Fv73JzXqfk",https://twitter.com/taekookphoria/status/1219710109519089664,german
German ARMYs trending with a streaming hashtag. #DerSchwarzeSchwan https://t.co/EgAHmxmBJv,https://twitter.com/mapofmysouI/status/1219699048036360192,german
"this part will be stuck in my head forever 
#derschwarzeschwan https://t.co/wtLLILnR2e",https://twitter.com/gguksbubbletea/status/1219681288308842496,german
German ARMYs have started a streaming party under #DerSchwarzeSchwan. Feel free to join us. ☺️ https://t.co/Qiflbbzoii,https://twitter.com/Sparkle_Moony/status/1219685501692719104,german
"WE CAN DO IT,ARMYs💜
#DerSchwarzeSchwan https://t.co/tZIrzSqQi4",https://twitter.com/thelegendbts_/status/1219686847019913217,german
"Okay German ARMY! 💜
We did it and we can hold it!
#DerSchwarzeSchwan
#BlackSwan https://t.co/1e0ofIWJs4",https://twitter.com/Renee80675320/status/1219703260866543617,german
Let’s go German Army! #DerSchwarzeSchwan https://t.co/JaZt90LiwL,https://twitter.com/BTS_Joonchild/status/1219695649777684481,german
"Keep streaming fam 💜💜💜 @BTS_twt
#DerSchwarzeSchwan https://t.co/O4Km03dN45",https://twitter.com/BTS_PavedDaWay/status/1219699185718583296,german
"Let's go!!!
#DerSchwarzeSchwan https://t.co/MjkzLCuPmJ",https://twitter.com/her_magicshop/status/1219688149414293505,german
"Day 4 here we go!! 🖤🦢
#DerSchwarzeSchwan https://t.co/iiDUAsKLnd",https://twitter.com/fairyyjeongguk/status/1219682094437322752,german
omg German ARMYS we’re doing great! Let’s go for #1 🤩 #DerSchwarzeSchwan https://t.co/E57hp4sKwy,https://twitter.com/teahjeon/status/1219694323899518979,german
Can you guess what German Armys are streaming from the hashtag? #DerSchwarzeSchwan,https://twitter.com/MillzIsPuppy/status/1219690808212889601,german
"German Army out here, doing a cosy streaming party #DerSchwarzeSchwan @BTS_twt https://t.co/ww6wHQZgah",https://twitter.com/MintKitten07/status/1219702223699152897,german
Whoop #DerSchwarzeSchwan https://t.co/jH7q6IDlch,https://twitter.com/__Eilis__/status/1219701731581399041,german
"stream black swan pls 🖤🦢
(near Bielefeld)
#DerSchwarzeSchwan https://t.co/0y3vwjam5R",https://twitter.com/devilknowsme/status/1219693196420227074,german
