text,url,lang
The #Bahncard is about ethics in games journalism,https://twitter.com/Demelium/status/540436554091859969,german
#BAHNCARD 100 FIRST CLASS generation 60+: main European states got it. #GERMANY no! #Austria: http://t.co/fLDSiQ4e8K http://t.co/ScAQ8HzHUa,https://twitter.com/peterzburg/status/606099693005893632,german
Long term goal: #BahnCard 100.,https://twitter.com/arndissler/status/1090267177079365633,german
Can't believe I found it!!! @DB_Bahn #bahncard http://t.co/umwZ4MQscK,https://twitter.com/StuFFmc/status/575214340208484352,german
Yay! Back to comfort. #bahncard  @ Schwarmstedt http://t.co/thzBZGxe,https://twitter.com/FrauLoermann/status/165379624824602625,german
"Interesting. Despite DB’s protests, HR maintains that abolishing the #BahnCard is still on DB board agenda next week http://t.co/iv5cfH15Wy",https://twitter.com/jonworth/status/540915778162556928,german
Rick Steve's #BahnCard cancellation form: http://ow.ly/4PiL5,https://twitter.com/ASchurrle/status/66806487795773440,german
took them a week to send it #bahncard http://t.co/GEemO7nI,https://twitter.com/KhangOff/status/195615771873906688,german
"I've been using @DB_Bahn for almost 2 months with the trial #BahnCard 100 and I must say I'm really enjoying it. I think their service is better than it's reputation. Friendly people, almost all trains arrived on time.",https://twitter.com/Peer_Rich/status/1020596386448977920,german
"#USAGBavariaCulturalTips: Price of Deutsche Bahn #BahnCard decreases.

• BahnCard 25 will cost €55.70 for 2nd class (instead of €62).

• BahnCard 50 will cost €229 for 2nd class (instead of €255).

https://t.co/4lUwB71ECE",https://twitter.com/USAGBavaria/status/1224396506087727104,german
With the #BahnCard 100 from Hamburg to any station in Denmark: Exchange money on the ferry and buy your ticket with the Danish Crew for 21€.,https://twitter.com/thomashaida/status/213524957190291457,german
#BahnCard for #Startups - really cool idea! And @DeutscheBahn_AG seems to be interested! #swwtfc,https://twitter.com/JustsoSoftware/status/648178048991395840,german
Just received my @DB_Bahn #BahnCard! A big THANKS to @msg_group for helping me to be more environmentally friendly during business trips 🚆🌱😁 https://t.co/XOP6HlIsFC,https://twitter.com/dashammerbeast/status/1189841010966315008,german
"@Blackhalo72 @Twilight71 An alternative might be to have a system similar to @railinfo_sbb's #halbtax or @DB_Presse's #bahncard which, particularly in the Swiss case, has almost universal uptake and means that very, very few passengers pay the ""full fare"" advertised. #transportfundingmodels",https://twitter.com/dcifoyle/status/1080454839182741504,german
"@ant_scholkmann #Stockholm airport is the same. Now, given the number of faculty commuters with #BahnCard 50/100, why don’t we lobby @DB_Bahn for subscribing to #EDUROAM?",https://twitter.com/bolognalab_HU/status/1057325975753687043,german
@patrickdet @DB_Bahn One does not simply cancel a #BahnCard after one year...,https://twitter.com/reibisch/status/1020379136181907456,german
@LNeckermann Who is in for a #crowdfunding of a #bahncard sneaker as @bladewing678 has suggested?,https://twitter.com/julia_holze/status/951205777624182787,german
