text,url,lang
"#dieUhrtickt 
demo for climate in Mainz https://t.co/NcaCjipQlV",https://twitter.com/tarannomehasti/status/1218168128242376704,german
"Some impressions from todays Climate strike in Mainz, Germany. More than 12 000 people! 

@pff_mainz @F4F_Mainz @S4F_Mainz 
#parentsforfuture #fridaysforfuture #scientists4future #Mainz #DieUhrTickt https://t.co/wt3yn1Zd2r",https://twitter.com/TomasKasemets/status/1218225595064246273,german
Mainz has Power! #FridaysForFuture  #DieUhrTickt https://t.co/5QiRqVeq0z,https://twitter.com/mswdresden/status/1202749533391863814,german
"Wondering how Germany is doing when it comes to coal? Have a listen 👇🤬
@FossilFreeDe #DieUhrTickt #datteln4 #AlleDörferBleiben #EndCoal https://t.co/cPglrMCP7I",https://twitter.com/By2020WeRiseUp/status/1218293875934224384,german
"@1FSVMainz05 make a clear statement on FB.

#parentsforfuture #fridaysforfuture #scientists4future 
#DieUhrTickt #mz1701

@F4F_Mainz @PFFSaarland @pff_mainz https://t.co/wOrfRdMyiD",https://twitter.com/TomasKasemets/status/1218214915049168897,german
"We need to become more conscious... urgently ⏳
#fridaysforfuture 🌏🚧🔐
.
.
.
#pdldortmund #dortmund #climatechange #dieuhrtickt #timeisrunning @ Stadt Dortmund https://t.co/b9XsfE2xsI",https://twitter.com/marisa_a_a/status/1175026932225851392,german
"Germany-Artensterben[#extinction]  1 of many topics of today's large demonstration under #DieUhrTickt [clock is ticking] in Mainz; 6th mass extinction taking place before our eyes. Let’s not destroy nature, ourselves. We're all connected. #AnimalRights @AnimalsAus @Animal_Watch https://t.co/YP1w8Cqsuo",https://twitter.com/EnviroEdgeNews/status/1218300994175623168,german
"How was the atmosphere at #dieUhrtickt in #Mainz?
@F4F_Mainz @pff_mainz @S4F_Mainz #FridaysForFuture #parentsforfuture",https://twitter.com/TomasKasemets/status/1218878845081702401,german
"@P4F_SE @parents4future @Fridays4future @GretaThunberg Wow! First figures too low! More than 12 000 in Mainz and might still not be the final figure!

#dieUhrTickt #FridaysForFuture #parentsforfuture #mz1701 
@P4F_SE @S4F_Mainz @pff_mainz",https://twitter.com/TomasKasemets/status/1218201863218257921,german
"Wow! The first counting were too low! Now updated to more than 12 000 in Mainz!

#dieUhrTickt #FridaysForFuture #parentsforfuture #mz1701 
@P4F_SE @S4F_Mainz @pff_mainz https://t.co/4g4DffzfE9",https://twitter.com/TomasKasemets/status/1218201478994763776,german
"First countings are out! More than 9000 on the streets of Mainz today! @P4F_SE @parents4future @Fridays4future 
@GretaThunberg 
#parentsforfuture #fridaysforfuture #DieUhrTickt #mz1701 https://t.co/zeAK3IZYaS",https://twitter.com/TomasKasemets/status/1218149214041014272,german
Welcome to Mainz to all the climate activists and supporters of a better tomorrow for our children and grandchildren. #DieUhrTickt #Mainz1701 #ParentsForFuture #FridaysForFuture https://t.co/1cd9lmgHxt,https://twitter.com/TomasKasemets/status/1218134666902937600,german
"⚡️ “Climate Strike, Mainz 17.1 #DieUhrTickt”

https://t.co/VjS6YE4rJz",https://twitter.com/TomasKasemets/status/1218123273592102919,german
Big day for all of us involved in climate and for future movements in and around mainz tomorrow! Expect it to surpass your expectations 😀. #parentsforfuture #FridaysForFurture #DieUhrTickt https://t.co/UGCGZnw9zX,https://twitter.com/TomasKasemets/status/1217884871080718337,german
"@F4F_Mainz will host a nation wide @FridayForFuture demonstration on the 17th of January. @pff_mainz are happy to play our part. 

#parentsforfuture #fridaysforfuture #climatecrisis #actnow #dieuhrtickt",https://twitter.com/TomasKasemets/status/1214904907775520768,german
