charNGrams,wordNGrams
 th,of the
the,in the
he,it s
ing,to the
ng,in germany
 in,
 to,the victims
in,for the
nd,let s
 an,on the
and,at the
is,i m
 a,for a
to,german armys
 of,have a
st,to be
ed,in a
or,attack in
of,all the
re,of a
man,with the
 fo,far right
an,streaming party
for,is a
at,victims of
er,for you
s a,it is
on,germany s
e a,what a
ger,the german
e t,i am
erm,this is
n t,right wing
rma,the world
 ge,that s
t t,will be
 wi,from the
 ha,can do
ter,and the
 co,terror attack
 is,a hug
es,german army
 be,more than
 st,the first
 on,to all
rea,time to
n a,you are
s t,with a
ll,we can
ion,join us
ay,the best
t s,streaming from
you,a streaming
hat,in mainz
 fr,in and
 s,the right
th,by the
e s,it was
str,to see
s i,a lot
any,on their
it,s a
 ar,and in
e i,can t
 yo,the racist
 it,thanks to
d t,for this
 we,for my
his,don t
 re,s get
 at,s the
e f,s go
thi,get it
 ma,black swan
day,could be
our,we need
ve,at in
t a,a better
 wh,all of
 no,it to
tha,have the
all,in an
me,looking forward
ly,forward to
ut,in our
al,and it
 de,there is
wit,german farmers
s o,farmers are
ts,right now
ith,thousands of
tio,way to
her,s in
d a,would be
le,are the
ny,the people
e w,of this
en,is still
nt,the same
e o,want to
ate,with this
 al,in this
r t,the terror
 so,as a
ght,we stand
rs,the only
ow,terrorist attack
ent,and his
t i,day and
ere,thanks for
as,thank you
 do,from to
ack,a minute
are,to have
e c,commemorate the
igh,after the
ver,in in
out,one of
tre,that we
g t,are you
we,in my
 wa,to go
ers,germany in
r a,they want
 go,a few
t w,is not
 sh,go home
 he,a big
 ne,today is
ati,on th
ur,trending in
ill,free hugs
ou,and a
te,do it
ist,be a
min,a children
ust,the hashtag
est,video of
e h,semi finals
ome,go german
fro,we are
 mo,st class
ck,what they
tin,at and
ce,today s
ot,we re
 pr,still not
 i,the streets
 fa,and for
ne,for future
y a,happy to
 wo,did not
s f,constitutional court
rom,can be
t o,back in
y t,lot of
s w,in berlin
ht,from bavaria
 se,their way
om,my favourite
d i,in today
se,today in
e b,and and
 ca,to talk
 tr,each other
y s,this today
art,is how
be,the for
ld,during the
one,go to
han,doing a
 ho,that they
ave,do you
 lo,proud of
arm,to for
o t,wing terrorist
e m,city of
not,the attack
 da,people with
my,victims in
end,but i
ain,m not
tri,is in
 pa,didn t
s g,the news
eve,is about
et,and we
f t,a problem
e d,shisha bar
s s,with you
sho,the in
ns,like the
con,have to
ead,neo nazi
 me,across germany
eam,attacks in
hav,nazis raus
 ou,raus nazis
mor,have been
 po,in his
y i,to a
e n,to this
tim,take a
 vi,shot dead
e r,at least
 fi,the time
 ch,shisha bars
 ab,of and
ear,it on
n o,m so
nal,y all
 am,and i
 le,of my
 ba,about a
 my,the brothers
ia,are in
res,to join
ess,trying to
tod,a great
oda,how to
ke,a day
n i,hug day
a s,you and
can,so i
so,hugging day
 hu,be able
ste,able to
ar,is trending
tra,about the
ss,children s
ted,in austria
t f,and here
 di,the semi
lin,first half
e p,a second
 pe,but it
 li,on our
ren,for your
ove,in klagenfurt
ry,and will
 si,lets get
ons,stuck in
ore,lets go
com,keep streaming
cti,stream black
 fe,our streaming
d b,on my
nce,the fear
mer,fear of
 te,use the
n m,this song
rt,is the
pro,the is
abo,instead of
ami,they do
ins,do what
wor,won t
att,these clean
hug,clean your
 cl,your windows
ys,windows for
s d,you via
men,impressions from
 na,climate strike
 mi,strike in
bou,germany is
eat,when it
ty,comes to
g a,of many
y w,was the
s b,too low
h t,than in
tac,welcome to
ort,for all
nst,of us
 pl,th of
g f,are happy
aus,to play
ant,i did
hin,court has
ch,assisted suicide
tta,suicide is
ple,is no
sta,we have
kin,right to
let,the current
sti,have no
 us,place in
 ri,today and
far,in love
ria,love with
 ra,to death
 ti,to comfort
tic,is happening
 su,farmers from
oth,bavaria and
lea,and thuringia
r s,thuringia on
pla,to berlin
cou,to protest
s h,their tractors
t h,demo in
ive,berlin on
hou,long term
rac,there s
s c,video from
how,in both
g i,the governments
 ta,will not
s n,german media
o s,media is
ide,when they
 hi,report on
 as,and more
ime,and low
rig,the future
 by,we were
by,fraction of
tho,of s
n g,than the
rie,the who
ks,home and
ake,or you
t d,you can
ass,will have
 ex,yesterday i
ure,racist terror
wha,in thanks
e g,german president
int,and hate
 sa,in to
ir,in have
n f,lead to
us,are a
tur,memorial service
now,service for
l t,president frank
d f,frank walter
par,walter steinmeier
ds,stand in
oul,in for
uld,and discrimination
cha,over the
t g,nine people
ad,the city
din,isn t
amp,to do
s p,to kill
fir,for and
d m,imagine all
rro,people living
y f,living life
 en,life in
d o,in peace
ble,say i
s m,not the
has,only one
und,lost in
wil,in mourning
ost,guy mass
n w,mass kills
iti,lets be
sin,those who
lly,t get
r w,get the
n s,place of
win,a shooting
ict,in which
err,the shooter
vic,but we
pre,this i
eop,a climate
t c,but that
s l,what we
rat,most at
t b,we just
f a,please join
 gr,germany has
ran,has a
app,with seven
ona,especially after
ine,our society
nte,is free
o i,make it
ice,every single
e e,and that
ori,good thing
ey,of it
e l,crew for
 bu,you all
y h,in from
ont,attack shows
n d,shows the
red,the need
rmy,need for
peo,for honesty
opl,honesty about
nde,about in
rst,or or
r f,i want
ong,should be
new,of all
ame,has been
tes,minute of
nin,of silence
e v,mean the
 ag,a free
 bo,talk about
tal,looks like
t p,german press
ery,here and
hea,the threat
 au,the far
but,right terrorist
who,terrorist attacks
ms,and me
son,in solidarity
der,solidarity with
k i,took to
y c,against far
am,right terrorism
