text,url,lang
15 years challenge #tokafetisxaras https://t.co/pj1oQYLDlo,https://twitter.com/TeamLeoHooligan/status/1212095000663797760,greek
"My  precious 
#tokafetisxaras https://t.co/yV4puLW7F9",https://twitter.com/tou_diafaniou/status/1220800207459364865,greek
16 years without sex and counting  #tokafetisxaras https://t.co/0IItrnJT1o,https://twitter.com/Astathios_/status/1212090997972312064,greek
They did it first  #tokafetisxaras https://t.co/aw1H8alUFv,https://twitter.com/xristoskaiti/status/1220808121926475776,greek
"And the oscar goes to...

Mr. Popotas! #Tokafetisxaras https://t.co/z9wYnHtlYy",https://twitter.com/short_starouba/status/1220799536026832906,greek
And it’s back✨ #ToKafeTisXaras ☕️ https://t.co/uPrSGFaaps,https://twitter.com/Phoebe1_/status/1212083909699219462,greek
"excuse me?

#tokafetisxaras https://t.co/loBeEMtfJE",https://twitter.com/2rganid_eht/status/1225877141897842688,greek
See you in a court of law #tokafetisxaras,https://twitter.com/FloraPasta/status/1212094732874264576,greek
"-I have the right to remain silent
-See you in the court of law
#tokafetisxaras",https://twitter.com/Paixtaras1924/status/1228419701690306569,greek
Mood #tokafetisxaras https://t.co/dtVVxwyhOr,https://twitter.com/JoeMojaki/status/1215730354000158721,greek
"Happy New Year..Enjoy 2004

oh wait... #tokafetisxaras",https://twitter.com/nikmamba1984/status/1212087565991501824,greek
"#tokafetisxaras like the old, good wine 🍷👏😂",https://twitter.com/mpetsi3/status/1213199183429210115,greek
TAFTS UNIVERSITY OF BOSTON? #tokafetisxaras,https://twitter.com/babayayaga/status/1220804062179942401,greek
One night stand 😂😂😂 #tokafetisxaras,https://twitter.com/PelagiaVasiliou/status/1212098064535736323,greek
"T U F T S TUFTS UNIVERSITY OF BOSTON HAHHAHAHHAHA
#tokafetisxaras",https://twitter.com/Mariliza13/status/1220804053208309766,greek
Trash tv is back.#tokafetisxaras,https://twitter.com/evamastor/status/1213192913104101376,greek
IS THAT A CROSS OVER EPISODE? #tokafetisxaras,https://twitter.com/supporturlocals/status/1220804239481503749,greek
"And the oscar goes to:
Periandros Popotas
#tokafetisxaras https://t.co/8JqinhE2cw",https://twitter.com/tou_diafaniou/status/1220811200289820672,greek
papadia where? #tokafetisxaras,https://twitter.com/PiedadGiagia/status/1212092016210927619,greek
#tokafetisxaras the only thing that matters in 2020,https://twitter.com/filterorbit/status/1212100258722975744,greek
in 2020 my resolution is to let go of star wars and become a full time  #tokafetisxaras stan,https://twitter.com/BENDEMPTl0N/status/1212169393565814785,greek
she's back! ❤❤❤👏👏👏 #tokafetisxaras,https://twitter.com/SilentEvil96/status/1212099006685437952,greek
I've just watched episode S04E04 of To Kafe Tis Xaras! #tokafetisxaras  #tvtime https://t.co/oDILPrAOvS https://t.co/CPBQtF5FCX,https://twitter.com/elenamjacobs/status/1221383766494662656,greek
Priest seduces old ladys ala Negrepontis #tokafetisxaras,https://twitter.com/mikenewphone/status/1230953171545182208,greek
"#kratasmystiko &gt; #tokafetisxaras 
Change my mind",https://twitter.com/wardolicious/status/1218247009808846849,greek
Rock n Roll🔥🔥🔥🔥🔥🔥#ToKafeTisXaras,https://twitter.com/SKridera/status/1233492823518928907,greek
#tokafetisxaras Baking powder? 😅,https://twitter.com/NikosVrOfficial/status/1215733204243681281,greek
THAT CLIFFHANGER BRO #tokafetisxaras,https://twitter.com/triviaxIove/status/1212098960082526211,greek
Trailer #ToKafeTisXaras,https://twitter.com/red_cafe95/status/1230958340089548800,greek
"they gonna pull a m.urder on the orient express plot lmao 
#tokafetisxaras",https://twitter.com/svtyeonjun/status/1215737886588440577,greek
Powder😂😂😂😂😂#tokafetisxaras,https://twitter.com/eniiii2/status/1215733402806181890,greek
#ToKafeTisXaras 2 clowns in one room!! 😷😷,https://twitter.com/red_cafe95/status/1220798830968479744,greek
Tafts University!!! 🤣 #tokafetisxaras,https://twitter.com/akis71611/status/1220804549772042241,greek
Happy birthday @ANT1TV #tokafetisxaras #petatifriteza,https://twitter.com/YiorgosChios/status/1212114539413725185,greek
"#tokafetisxaras
#BestFriendsFear
Sounds like a Friday plan!",https://twitter.com/NickSk81227/status/1215743037634174977,greek
"ITS AMAZING!!
CANT WAIT!!
#TOKAFETISXARAS #ANT1TV https://t.co/yhhNrq4GFc",https://twitter.com/greek_page90/status/1214305028695044097,greek
@Darkskin_Dija #tokafetisxaras popp,https://twitter.com/milotborovcii/status/1213312209830531073,greek
Trailer!!!! #ToKafeTisXaras,https://twitter.com/red_cafe95/status/1236030729315905542,greek
