text,url,lang
"Turks using old photo taken in Hungary  to slam Greece. 
They want to destabilize Greece and Europe 
Do not allow it
#IStandWithGreece 
#GreeceUnderAttack 
#μεταναστες 
#μεταναστευτικο 
#greece https://t.co/BUyW95iRoP",https://twitter.com/Electra59167043/status/1234412252146651137,greek
"The best thing is to defend your country
Homer's Iliad 

#IStandWithGreece 
#μεταναστες 
#μεταναστευτικο https://t.co/PM6OPIcwqD",https://twitter.com/Electra59167043/status/1234169993006387201,greek
"#IStandWithGreece
#μεταναστευτικο
#μεταναστες
#GreeceUnderAttack
In 480 BC, 300 Spartans and 700 Thespians fought against a much larger number of Persians at Thermopylae in order to defend Greece.
Centuries later Greek poet C.P 
Kavafy wrote https://t.co/PECNTTfR9w",https://twitter.com/Electra59167043/status/1234191125252116481,greek
"The Turks  accuse us of being cruel.  They 'forget"" Turkey is responsible for the Pontiac Greek genocide  and the invasion in Cyprus 
We dont take lessons from people who committed atrocities. 
#IStandWithGreece 
#GreeceUnderAttack 
#μεταναστες",https://twitter.com/Electra59167043/status/1234225633804406784,greek
"The borders of Greece are the external borders of Europe.
And the Greeks will defend them
For our Democracy, our Freedom, our Land and Europe

#IStandWithGreece 
#GreeceUnderAttack 
#μεταναστευτικο 
#μεταναστες https://t.co/H60a5srTLi",https://twitter.com/Electra59167043/status/1234198068922327040,greek
"The message is identical for those trying to illegally enter Greece. https://t.co/Q5KI5U11kM
#IstandforGreece #Greece_under_attack #μεταναστες",https://twitter.com/Cleitomachus/status/1234784288257773569,greek
"Proof that the Turks never accept they are wrong...they claim they did not invade Cyprus..
How can anyone trust them?
Brainwashed...
#IStandWithGreece 
#μεταναστες 
#GreeceUnderAttack 
#μεταναστευτικο https://t.co/o9PtN0mP9Y",https://twitter.com/Electra59167043/status/1234232838049947653,greek
"It is Greece's constitutional right to guard its borders. We take no responsibility for whatever happens to you in case you attempt to violate our borders.
#IStandWithGreece
#GreeceUnderAttack 
#μεταναστες 
#μεταναστευτικο 
#Greece",https://twitter.com/Electra59167043/status/1234408638120374274,greek
"We have received messages of support from all around Europe and non European countries. We are extremely grateful.
BUT...one of our favourites is missing
Hey #France, #French where are you?
#IStandWithGreece 
#GreeceUnderAttack 
#μεταναστες 
#μεταναστευτικο",https://twitter.com/Electra59167043/status/1234248660868722688,greek
"Migrants in Greece are prompted on social media to protest in order to pressurise the Greek authorities to open the borders. This is an attack against Greece and Europe
Spread the word
#IStandWithGreece 
#GreeceUnderAttack 
#μεταναστες 
#μεταναστευτικο https://t.co/NLGoBRpiLb",https://twitter.com/Electra59167043/status/1234372628078637057,greek
"Fellow Europeans Greece will defend Europe's borders.
Please 
1make people aware of the fake news Turkey spreads
2remamber that Greece's decisions are lawful
3.request that EU countries support Greece
Thank you
#IStandWithGreece 
#GreeceUnderAttack 
#μεταναστες",https://twitter.com/Electra59167043/status/1234439201027960832,greek
"Our PM has made it clear and the people fully support him.
We wish everybody well but we must protect our country and Europe 
#IStandWithGreece 
#GreeceUnderAttack 
#μεταναστες",https://twitter.com/Electra59167043/status/1234409514667040768,greek
"Do not always agree with @EvaKaili but well said! Greek women rule!
#IStandWithGreece 
#GreeceUnderAttack 
#μεταναστες #femalepower https://t.co/PxnqluNQyw",https://twitter.com/Electra59167043/status/1234453684995657728,greek
"@bogdanosk sorry but 
I will rephrase...no PSEUDO-Humanitarian pretence can hide the threat Turkey poses to Greece, EUROPE AND DEMOCRACY
#IStandWithGreece 
#GreeceUnderAttack 
#μεταναστες 
#μεταναστευτικο 
#Greece https://t.co/DSymvcWGgT",https://twitter.com/Electra59167043/status/1234417385764990977,greek
"Sickening as extremely promising and uplifting? 

They will not pass, they are not welcome. You will nto dictate to us who enters our country which already hosts more than 1 million #migrants. Get it? 

#μεταναστες #συνορα #Μυτιληνη #ΕΒΡΟΣ #Λεσβος https://t.co/Wx3977lJgA",https://twitter.com/JohnAndris/status/1234553959383212032,greek
"We are so grateful  for  the messages of support from all around the world. Thank you! 
#IStandWithGreece #StandWithGreece
#Greece 
#Greece_under_attack 
#Evros 
#ΕΒΡΟΣ 
#μεταναστες 
#GreeceDefendsEurope 
#Europe https://t.co/eK0Emebv9j",https://twitter.com/Electra59167043/status/1236591386121719815,greek
"#Εβρος
#EuropeanUnion #Europa #European #GreeceUnderAttack #Greece #Greece_Turkey_Borders #Greece_under_attack #greece2021 #Evros #Εβρος #Εβρο #μεταναστες #μεταναστευτικό #λαθρομετανάστες

#immigrants
Citizens of europe take actions. Press your govt. Protest. Yell if necessery.",https://twitter.com/Lena78683873/status/1236532407257399297,greek
"A big thank you to @DVanLangenhove Belgian MP and  for raising the Greek flag during his speech at the Belgian Parliament. Solidarity is what Greece and Europe need.
#IStandWithGreece
#GreeceDefendsEurope 
#greeceunderattack
#EuropeanUnion 
#greece
#μετανάστες
#μεταναστευτικο https://t.co/OVsYQ7ID6q",https://twitter.com/Electra59167043/status/1235672884766535681,greek
"Sebastian Kurz PM of Austria speaks the truth
The Bulgarian borders are free, the Turks direct the immigrants towards the Greek borders. #Greece_under_attack #IStandWithGreece #μεταναστες #μεταναστευτικο #Greece_under_attack #greece 
#greekborders https://t.co/eNDcFcLMTq",https://twitter.com/Electra59167043/status/1234846462233792514,greek
"Nothing more to add 
Thank you
#IStandWithGreece 
#Greece 
#GreeceUnderAttack 
#μεταναστες 
#μεταναστευτικο https://t.co/TkZZXWjffr",https://twitter.com/Electra59167043/status/1234753420038430720,greek
"Thank you
And this is why people will always stand with Greece
But mostly because throughout our long history we always fought against tyranny in order to.protect Freedom and Democracy 
#IStandWithGreece 
#GreeceUnderAttack 
#Greece 
#μεταναστες 
#μεταναστευτικο https://t.co/Lya3XaWooc",https://twitter.com/Electra59167043/status/1234753054219657216,greek
same old shit #istandwithGreece #μεταναστες #μεταναστευτικο #λαθρομεταναστευτικο #ΕΒΡΟΣ #its_an_invasion #Europe #EuropeUnderAttack #Evros #Greece #greekborders #Greece_Turkey_Borders #fakeTurkishPropaganda https://t.co/NL3i5VsCDs,https://twitter.com/VasilikiMi/status/1234744754216275968,greek
"I ask all the European people and people all around the world to stand with Greece against Erdogan's extortion
#istandwithGreece #μεταναστες #μεταναστευτικο #λαθρομεταναστευτικο #ΕΒΡΟΣ #its_an_invasion #Europe #EuropeUnderAttack #Evros #Greece #greekborders #Greece_Turkey_Borders",https://twitter.com/VasilikiMi/status/1234586683938611200,greek
"Best news ever!
#GreeceUnderAttack 
#ΕΒΡΟΣ #Turkey #Greece_Turkey_Borders 
#μεταναστες #IStandWithGreece https://t.co/WAXywXAJQ6",https://twitter.com/TinaMatina9/status/1234552377610555399,greek
"The  spreading of fake news and  photos of children by the Turks aiming to evoke emotions of pity and guilt is called psychological warfare
Greece had taken lawful action to protect its borders. People are aware of that
#IStandWithGreece
#GreeceUnderAttack 
#μεταναστες 
#greece",https://twitter.com/Electra59167043/status/1234489140206604288,greek
Even turkish sources reveal the nazi #Turkey #ridiculous_sultan #Erdogan blackmail/attack against #Greece #Syria.#IStandwithTurkey #IStandWithGreece #Turkish #Evros #ΕΒΡΟΣ #Λεσβο #Χιος #μεταναστευτικο #μεταναστες #Προσφυγες #Refugees #κυβερνηση_καρναβαλι https://t.co/8SdsUt49yz,https://twitter.com/ziburon/status/1234482685189533697,greek
"#tTurkey #nazi_state_slaver,#ridiculous_sultan #Erdogan discard uncountable poor refugees to overloaded #Greece via #Evros #ΕΒΡΟΣ #Λεσβος(a part of)#turkish_blackmail.#Refugees_hostages themselves denounce they 'r pushed by turkish police/army.#Refugeesgr #μεταναστες #USA #Russia https://t.co/Xy5Bkmc4lO",https://twitter.com/ziburon/status/1234111962545577992,greek
"#IStandWithGreece #GreeceUnderAttack #κυσεα
#μεταναστες #ΕΒΡΟΣ #εισβολεις #Greece 
MAYBE IT'S TIME TO GO F@CK YOURSELVES? https://t.co/pbmhqG4qM5",https://twitter.com/r1_gas/status/1234105749418147840,greek
"History repeats ☠

#IStandWithGreece
#Evros #Turkey #Turks #Erdogan #Syriya #İdlip #Εβρος #Εβρο #Ερντογαν #Ελλαδα #Greece #Greek #February29th #NeİsinizVarTuerkiyede #war #μεταναστευτικο #μεταναστες 

👉👉👉 https://t.co/Ak8IpZSuEI",https://twitter.com/GreeceAnalytica/status/1234077439183200257,greek
"EUROPE UNDER ATTACK!!!

#Εβρος #Εβρο #μεταναστευτικο #Λεσβος #μεταναστες  #Greece #Europe #EU #EuropeanUnion @vonderleyen @eucopresident @donaldtuskEPP @EU_Commission @EUCouncil @EUparliament @realDonaldTrump @matteosalvinimi @sebastiankurz @EP_President @JunckerEU https://t.co/GGE5LHckH4",https://twitter.com/gitsakis/status/1233853348908032000,greek
"""Talmud, is wrong. Living well isnt the best revenge. The best revenge, is revenge. Its mitzvah."" (Al Pacino in the ""Hunters"" S01E01).

Ayin Tachat Ayin (An Eye For An Eye) #μεταναστευτικο #μεταναστες #Εβρος #Τουρκια",https://twitter.com/ThimioV/status/1233840516095258624,greek
