charTrigrams,wordBigrams,wordUnigrams
 th,of the,the
the,,to
he,for the,of
 to,in the,and
ing,the greek,in
ng,on the,a
to,to the,is
nd,we are,for
 in,it s,greece
 an,at the,we
is,and the,you
and,don t,on
 of,bank bank,are
gre,in greece,s
e t,thank you,it
in,is the,greek
on,no to,all
 gr,the borders,at
ree,this is,that
e a,the world,this
of,is a,our
 fo,greece is,with
er,in london,not
s a,greece and,from
es,of europe,people
at,part of,your
re,to all,by
s t,as a,i
for,in a,today
t t,to be,they
or,reload greece,day
ce,and europe,borders
n t,do not,will
 re,in order,be
ll,the turks,as
ed,borders of,my
an,of our,europe
you,is an,no
 co,our country,an
 yo,greek borders,bank
ion,stand with,its
 a,will be,have
 st,human rights,them
 is,forget the,refugees
our,the turkish,do
day,with the,can
st,what is,about
sta,the border,amp
ts,we will,what
all,the day,but
rs,oxi day,us
ers,with a,has
ent,order to,t
ay,are the,turkey
d t,for our,who
 al,greece s,so
ece,fake news,turkish
 no,will not,up
 we,to protect,country
der,all of,against
 wi,the first,border
e i,the real,their
 ar,the greece,now
eec,it was,like
are,that s,happy
al,the th,me
as,the best,back
tio,to defend,start
 on,people who,london
 be,of greece,take
ur,the greeks,greeks
 pa,they are,thank
ter,its borders,when
e w,you in,over
hat,we have,amazing
r t,all around,event
e s,european countries,out
tha,the people,great
 ha,to greece,paok
we,are not,time
ver,around the,these
art,with greece,come
eek,all the,was
 bo,time to,more
e o,these are,get
rea,to invade,world
ou,against the,immigrants
s o,them in,don
 wh,the same,he
 pr,s a,human
me,i have,meat
 it,we can,mood
 me,my friend,th
nt,greek border,support
s i,from the,one
e p,over the,big
 fr,greek people,go
ill,the right,or
e g,thanks for,first
t a,in and,here
e b,the big,before
tur,the eu,panel
 at,illegal immigrants,turks
le,come to,never
it,to get,how
 ma,where is,right
y t,like to,well
ght,for a,his
e f,mood of,ready
eve,today in,war
ati,back to,look
o t,never forget,see
ate,on this,just
se,me down,days
igh,greek cup,best
his,the lead,did
ope,first leg,countries
oun,leg of,make
 s,the semi,news
ord,of greek,protect
e c,a great,if
ut,start ups,stand
th,start up,part
tin,speak on,rights
thi,startup competition,u
rde,want to,tonight
 he,is to,very
her,europe and,reload
s s,trying to,startup
en,it is,much
ry,is greece,european
ey,right to,where
 de,we take,please
ly,attempt to,eu
f t,our borders,made
 se,from all,must
 pe,spread the,history
t s,europe s,had
ist,the fake,only
 wa,but we,let
ek,protect our,help
 ou,well said,other
g t,and democracy,night
ke,not pass,say
ank,more than,keep
tar,and for,celebrate
e d,borders are,down
not,the european,off
ant,people and,team
ow,people all,entrepreneurs
com,people are,defend
ot,under attack,forget
 ca,ready to,freedom
est,as we,those
eur,no one,migrants
ns,the st,attack
s f,when the,said
ple,is on,than
bor,in your,during
t i,immigrants to,need
 so,if you,because
n a,you want,erdogan
rt,in our,even
ear,forces and,police
 da,you are,e
s w,the only,forces
 en,to help,illegal
y a,did it,after
ty,of a,good
ve,refugees and,tomorrow
ere,tear gas,two
wit,to take,know
eat,have a,work
 do,s not,starts
res,go back,national
pre,you can,pitch
 lo,and we,conference
urk,do this,old
 ta,do you,photo
 po,all over,want
y i,and especially,order
 di,that are,invade
ith,with us,around
 tu,to increase,fake
nal,increase the,always
 ne,is happening,pass
s p,for all,any
out,of them,fight
 ba,you have,new
ake,about to,city
 eu,look at,years
ch,i don,many
 le,keep the,should
e m,and children,thursday
s b,not to,enjoy
ity,greeks of,october
t o,can be,oxi
 go,like a,game
 fi,talking about,leg
rop,are a,challenge
cou,those who,join
et,of your,startups
fro,all my,mrs
om,let s,fought
e e,of today,cyprus
pro,need to,democracy
rat,today is,enter
 mi,big day,open
 sa,day in,welcome
 as,days before,flag
e r,what do,nothing
n s,i ll,same
end,its a,poor
rom,say no,army
 ev,national day,speak
t w,the sacrifices,live
hey,the parade,international
ntr,let us,stay
de,days like,saying
d a,like today,between
s m,that is,syria
 wo,are proud,again
nk,of this,find
ar,today we,better
ks,me no,really
r s,taking place,send
ht,shot me,friend
ess,the oscar,there
eop,oscar goes,real
opl,goes to,stop
r a,to to,nation
e h,the reds,thanks
ead,would like,humanity
han,in out,also
 li,the event,hope
uro,at lbs,times
ome,people in,left
tan,come and,wait
ide,ready for,tsiknopempti
peo,join the,proud
ort,you for,ww
ad,your dreams,parade
be,greece as,love
 am,a medical,cup
us,medical destination,teams
ons,destination panel,hub
y o,excited to,ideas
s c,hear mrs,exciting
 fa,other experts,competition
ck,to thank,robotics
nce,thank our,using
ain,on stage,land
ect,was a,anyone
g a,technologies that,attempt
 sh,that matter,which
 ch,matter robotics,million
 by,over skype,free
by,fought against,why
tod,against a,ever
oda,a much,children
n o,number of,via
ted,turkey is,under
wil,we dont,revenge
ran,greece are,states
man,will defend,criminal
ven,our land,enough
my,the message,shot
 ho,message is,law
ins,enter greece,put
one,that the,ago
sti,they did,call
 su,did not,friends
d o,how can,most
ack,can anyone,helps
ref,to you,gas
ld,in case,dear
unt,messages of,last
don,of support,coming
e l,support from,still
iti,one of,soldiers
 ex,to protest,difficult
ade,greek authorities,sacrifices
s g,attack against,military
d i,defend europe,invaders
e n,s borders,question
efu,borders please,re
 mo,make people,going
mor,aware of,would
rin,that greece,next
ren,has made,foreign
ove,country and,face
 te,but i,heroes
par,they will,hellenic
 la,than million,luck
ies,get it,won
lle,citizens of,heart
ust,is what,bring
te,towards the,bbq
ive,erdogan s,everyone
und,news and,lit
gra,by the,got
lea,protect its,forward
ish,poor refugees,wonderful
nte,refugees to,some
s n,they r,week
con,by turkish,axis
ave,best revenge,making
s e,s e,year
d w,an eye,place
tor,is ready,tasos
 hu,greece by,getting
 ag,forces to,through
nst,my country,ball
l t,country as,olympiacos
ne,get the,minutes
por,all these,lead
 bu,and illegal,penalty
ell,try to,match
y s,to enter,semi
sh,greece illegally,final
d s,to fight,football
din,fight against,young
ban,in their,follow
pe,land we,lbs
rie,we do,business
its,have an,excited
no,an obligation,rg
app,obligation to,ups
hav,to let,medical
ore,they have,hear
o a,have to,presentation
uge,to stay,thing
o s,stay in,dont
y w,made in,message
ian,to put,trying
