text,url,lang
"With each passing day the BJP government continues to provide an evidence for its lack of basic humanity. 

Azad is hope for millions in this country and should not have been jailed for registering his dissent in the first place! 

#AzadiForAzad 

https://t.co/j4DtqYcxsF",https://twitter.com/mehartweets/status/1213495250691534848,indian
"Every time in jail, he is tortured, deliberately harassed, denied food, drinking water &amp; medical treatment. #AzadiForAzad and #ProvideTreatmentImmediately https://t.co/mxwMXLCw6j",https://twitter.com/TheShudra/status/1213514651234787328,indian
"They think that by putting him in jail, they will suppress the rights and voice of the minorities.

They think wrong, it would never happen.. 
#FreeAzad #CAA_NRC_Protests
#AzadiForAzad https://t.co/RB2OsOtYRA",https://twitter.com/hadiyashafin/status/1216034900148740096,indian
"4 years ago a lawyer introduced me to ASJ Kamini Lau as the tigress of Tis Hazari. Well she definitely is a queen.
#KaminiLau 
#AzadiForAzad",https://twitter.com/shivangis23/status/1217024211195023361,indian
"Your heard voice of sun, now hear voice of other planets...

#AzadiForAzad
#99535_88585_AgainstCAA https://t.co/B4UJp8qWwn",https://twitter.com/ManuSinghMeena7/status/1213518110726250496,indian
This is happening in Delhi. I prefer calling him Ravan but #AzadiForAzad it is :) https://t.co/V2IIPAeK9b,https://twitter.com/AbbakkaHypatia/status/1215236234710093824,indian
"How can we forget this man amidst all the protests happening?
He is ill and may suffer a cardiac arrest but the police is not ready to give him any medical care..
Trend #azadiforazad on twitter https://t.co/ilzMPnMQGR",https://twitter.com/TrollBhakts/status/1213482094065680385,indian
"A million hit Hyderabad streets carrying memories of a Patel led genocidal annexure as well. At Malegaon,the 50,000 hijab clad women were also seeking answers to the muslim incarcerations over Hindutva blasts.They want new allies, leaders; Soft Hindutva not anymore #AzadiForAzad https://t.co/8Se8gzEoum",https://twitter.com/BasithSBY/status/1215535340427063297,indian
"When a Dalit stood on the gates of Jama Masjid encircled by Muslims, loved and hugged by Muslims, Muslims who rejected Shahi Imam you could sense a change is Inevitable A change which made a lot of power hungry people restless.
#AzadiForAzad
#ProvideTreatmentImmediately https://t.co/sOigYmu628",https://twitter.com/SuaveShahid/status/1213522643170648064,indian
I feel this attack is a major distraction to what’s happening with the arrests of our leaders! AZAD’a Health is NOT GOOD. Akhil Gagoi is still in jail with UAPA charges. PLEASE KEEP TALKING ABOUT THIS TOO. #AzadiForAzad #freeakhilgogoi,https://twitter.com/anticastecat/status/1214060026576429056,indian
"Why this change of mind, opinion &amp; judgement????🤔🙊
#AzadiForAzad",https://twitter.com/kirti_sd/status/1217457965709643777,indian
