text,url,lang
"This review made me cry 
What a lovely Person
Lods of luv to u bhai 

SWAGAT TO KRO HAMARA #Dabangg3
#Dabangg3Reviews https://t.co/TqTUKQ5Tg1",https://twitter.com/KapkotiAbhishek/status/1207936766360997888,indian
"Here Is My #Dabangg3 Movie
 Review.....!!
#Dabangg3Reviews.   !!

https://t.co/9w4hJnicwh",https://twitter.com/BobbyOfficiali/status/1207986916542402560,indian
Honest #Dabangg3Reviews From Inside The Theatres https://t.co/PLL1Rpqu6D,https://twitter.com/AkshaysCafe/status/1208057758186004481,indian
"#SKFCBIHAR celebration for a first day first show of #Dabangg3.

#Dabangg3Day #Dabangg3Reviews #Dabangg3InCinemas . https://t.co/r5Nf2YeEcn",https://twitter.com/FcBihar/status/1207973140715851776,indian
"Bhaitards after seeing the review of #Dabanng3 😂😂
#Dabangg3Reviews
https://t.co/7q2OK2k4tt",https://twitter.com/Itx_Ravi/status/1208064448776175616,indian
"Finally @BobbyOfficiali gave his much awaited #Dabangg3Reviews 😂😂
D-I-S-A-S-T-E-R https://t.co/kMO1Hly61d",https://twitter.com/Itz_Kamakshi/status/1207990639394246657,indian
"Even with protests and violence in many cities, @BeingSalmanKhan's #Dabangg3 saw a good opening with great collections 

#Dabangg3Day 
#Dabangg3Reviews   

https://t.co/1fTUxczWiN",https://twitter.com/etimes/status/1207960919680008193,indian
"*Team Salman Khan FC BIHAR* Celebrating First day first show of #dabangg3 at Patna.
Here the some glimpses of CELEBRATION

#Dabangg3Reviews
#Dabangg3Day https://t.co/F8ahKKIPUY",https://twitter.com/FcBihar/status/1208002286334570496,indian
"#Dabangg3Reviews 

Its definitely better then last two. The Salman khan is back to entertain. This time louder and wilder. it has lots of action, comedy and importantly a meaningful story. Kicchha sudeep Was killer in every frame. Sona n Siee did well.

Loved it
Rating⭐⭐⭐⭐ https://t.co/iZRt9oTUVO",https://twitter.com/BeingArmuu/status/1208051662767693824,indian
"#Dabangg3Reviews: Here's what the janta has to say about #Dabangg3! (via @etimes)

https://t.co/aQTb00Hf8e",https://twitter.com/timesofindia/status/1207973197603164161,indian
"Mh friend who went to watch #Dabangg3 hasn't returned yet he's not answering calls also 😭
Please pray for him that he returns home 😔 #Dabangg3Reviews",https://twitter.com/AkshayxRohit/status/1208004474700062720,indian
"Two similarities of @taran_adarsh tweet.
#Dabangg3Reviews https://t.co/qDpXoJC2iJ",https://twitter.com/ichets_hr/status/1207910637663244288,indian
"Yesterday waiter union ke majdoors tried to spread fake reviews of Dabangg3 out of fear.

Here are the real reviews which has started pouring in since morning.

#Dabangg3Review #Dabangg3Reviews https://t.co/CIDwt77oom",https://twitter.com/ibeingdevil/status/1207530911559901184,indian
"When @iamsrk pic has shown💥
Reactions🔥lit
#Dabangg3Day #Dabangg3MovieReview #Dabangg3Reviews https://t.co/SQJHcYvIAR",https://twitter.com/CroCroazSrkian/status/1207966682271977472,indian
"#Dabangg3Reviews by @KomalNahta ji
Lag Gye #Dabangg3 k to bde vaale
200 cr club looks like a distant Dream 🤣 https://t.co/hPmxjmRPZ3",https://twitter.com/haryyaanvi/status/1207979562274967552,indian
"Hey Friends, Now my this #Dabangg3Reviews is trending on 10th position on #YouTube in India. Thanks to all the viewers for trusting my Review! https://t.co/YbuGtMlvIW via @YouTube",https://twitter.com/kamaalrkhan/status/1207975992079343616,indian
"Celebrating X-MAS with Chulbul Pandey. 3rd Time to #Dabanng3 
#Dabangg3reviews #Dabangg3reviews 
@BeingSalmanKhan https://t.co/pn2rtSRj1h",https://twitter.com/mrpritam/status/1209675765240872960,indian
Finally watched #Dabangg3 and I Really liked it.The flashback part of Chulbul-Khushi is soul of the film &amp; how their sweet love story turns violent then vengeance against antagonist Bali Singh.Interval scene and climax r the major treat for Mass fans. #MustWatch #Dabangg3Reviews https://t.co/koPZnq6aF3,https://twitter.com/being_Deepz/status/1208439921121169409,indian
"Only one word "" Paisa Vasool""😍🔥,💯 And the #dabangg3 is full on Action , drama , emotional , comedy , Bhai ki Body😵🔥 And #ChulbulPandey is Back with swag &amp; Attitude😎🤘🔥

A perfect entertaining Mass movie of the year🤙🔥💯
#Dabangg3Day 

My rating : ⭐⭐⭐⭐
#Dabangg3Reviews https://t.co/vxkyI3oayS",https://twitter.com/adarshdubey083/status/1208022605451497472,indian
"#Dabangg3Reviews -

All Critics Review of dabangg3 

TOI - 1*/5
IndianExpress - 0.5*/5
Taran adersh -1*/5 
Bollywoodcapsule- 1.5*/5
Abk Bollywood- 1*/5
Koimoi - 1*/5
rahul - 2*/5
Movie Topic - 1*/5
Bollywood magic - 1.5*/5

Average Review - 1*/5

Critics says next Tubelight",https://twitter.com/RowdyDipak/status/1207527285659537408,indian
