charTrigrams,wordBigrams,wordUnigrams
 th,,you
you,don t,the
the,this is,is
is,of the,i
 yo,the world,of
he,thank you,to
ing,sing out,s
ng,is america,good
ou,i m,love
on,boy with,this
 to,with luv,it
n t,kazu shimura,on
 is,teenager forever,all
 of,it s,with
of,kasuga is,t
 li,let s,out
ove,have a,asuka
ve,j wavepop,your
aaa,wavepop of,day
ver,lights boy,for
to,in the,my
 s,can t,a
 ha,kiss amp,world
t s,amp cry,happy
for,see you,don
t t,you mr,america
asu,mr ayabe,so
thi,saturday night,have
www,night kasumin,j
 lo,bump of,luv
 so,of chicken,boy
ry,t move,thank
 fo,you play,very
lov,i was,forever
er,to the,sing
one,i love,and
ll,happy birthday,live
ow,that s,that
 mo,why i,me
day,imitation rain,test
at,a nice,song
s a,st live,m
e w,good morning,morning
 wa,am i,up
ave,you asuka,bts
ooo,your hair,kazu
ay,just now,shimura
 wo,got the,in
 wi,listen to,new
goo,on lights,can
ood,luv bts,tweet
 do,shadow ego,but
his,january kazu,little
e l,rabbit in,at
th,the moon,see
our,every day,mr
ery,day is,teenager
tha,is womens,night
or,womens day,hey
et,happy new,move
e a,new year,birthday
 am,year thank,was
out,you for,show
tio,for my,or
ion,my followers,what
mor,followers i,kasuga
 sh,i can,let
all,t tweet,like
 bo,tweet very,why
ur,very much,now
it,much but,nice
eve,but tweet,just
 da,tweet little,mate
hap,little by,time
app,by little,get
an,little at,wavepop
 ou,at my,lights
 ka,my own,year
don,own pace,much
ame,pace i,by
 st,i wish,wish
re,wish you,wonderful
 no,you a,kiss
ong,a wonderful,amp
ts,wonderful year,cry
wit,teenagers forever,nuts
ith,sold out,ayabe
wor,hey don,saturday
st,move mr,kasumin
ppy,mr this,bump
my,hey dont,chicken
 i,dont move,dont
 t,move wwwwww,wwwwww
ut,demon telephone,play
e y,dont forget,king
r f,play schedule,iphone
ore,hide livewww,tired
 ni,king gnu,more
igh,gnu teenager,congrats
ght,key station,has
p o,was tired,will
ey,tired of,be
y s,of my,super
ati,my memories,nothing
s t,memories and,jr
ed,and more,stop
 on,more nostalgia,no
 co,psycho pass,one
en,it was,o
hat,was very,feels
her,very pity,did
est,pity to,harry
shi,to lose,imitation
op,lose on,rain
 al,on the,must
u s,the lottery,st
suk,lottery of,amazing
uka,of aiko,english
 as,aiko s,please
in,s special,am
y d,special live,do
y i,live concert,not
 ne,concert on,about
r t,on mar,n
nk,mar and,born
s i,and congrats,hair
ch,congrats on,fantasy
le,on who,absolutely
 a,who has,solid
een,has been,tune
ger,been selected,got
sol,selected but,rock
kas,but thanks,doing
 ch,thanks to,listen
sin,to god,our
mer,god and,dark
ica,and my,shadow
