text,url,lang
"#NationalDressUpYourPetDay #DressUpYourPetDay

""Our dog thinks he is the coolest and most handsome boy in the world... ""

📹ig: puphutch https://t.co/NdcdppGUtt",https://twitter.com/realrobinhood18/status/1217078048899653632,english
These are the superheroes we need 🐶💥 #NationalDressUpYourPetDay https://t.co/ho0UfvnlmH,https://twitter.com/DCComics/status/1217144320962301954,english
Looks like Lori and her pets are dressed up fancy today!🐾🎩🕶👟👕🧣🐶🐱🐤#TheLoudHouse #NationalDressUpYourPetDay https://t.co/e48AaRNool,https://twitter.com/19Coolguy/status/1217254820651978757,english
We got exactly what you need for #NationalDressUpYourPetDay! 🐶 https://t.co/7iHreAUIgY,https://twitter.com/DisneylandToday/status/1217161976771682311,english
"Always dressed to impress! Which of these Super-Pets would be your partner? 🐶😻
#NationalDressUpYourPetDay https://t.co/gJqaYhzdkd",https://twitter.com/DCComicsKids/status/1217129128408821761,english
"They're not laughing anymore...
#NationalDressUpYourPetDay https://t.co/NmhrdYW4q6",https://twitter.com/DCSHG/status/1217129125162496000,english
#nationaldressupyourpetday ~ MST3K style... https://t.co/3ajsNwHc6G,https://twitter.com/AnnotatedMST/status/1217088342174642176,english
It’s #NationalDressUpYourPetDay today and Zeus thinks this is kind of a big dill. Are you dressing up? https://t.co/vIvM8s6evl,https://twitter.com/RSPofGB/status/1217093089950564353,english
Spyro! Have you done something with your hair?!? How could we miss out on #NationalDressUpYourPetDay 🐶🐲 https://t.co/vvdqTBi1hG,https://twitter.com/SpyroTheDragon/status/1217166595274899456,english
#NationalDressUpYourPetDay Guilty. #TartanTuesday https://t.co/TOck85mxGk,https://twitter.com/taft_jenny/status/1217066393734172672,english
For #NationalDressUpYourPetDay we're throwing back to behind the scenes filming of our Police Navidad video. Tymo and Lubo loved their reindeer ears! https://t.co/ms3VUbmUiC,https://twitter.com/Pf_K9s/status/1217129361909874693,english
"We don't know in what country it is #nationaldressupyourpetday so it'll have to be #internationaldressupyourpetday for us, not that we like that sort of thing 😒🐕 
Old 🎄pics: https://t.co/AW5IimO39Q",https://twitter.com/Woozle_Taffy/status/1217064734605938688,english
Oddly I’ve found I’m for this! In the winter when I wants warms. #NationalDressUpYourPetDay https://t.co/Xu6UzdW8p8,https://twitter.com/A_affirmations/status/1217072311834161154,english
My coworkers heard it's #NationalDressUpYourPetDay so they made me put on this super cool All-Star game t-shirt. You can get one just like mine in the Body Shop https://t.co/PIOr3wCt8R https://t.co/crrV2H5HFm,https://twitter.com/HotRodsTurbo/status/1217094543541264385,english
"Happy #NationalDressUpYourPetDay! 🐩

Audrey Hepburn and Mr. Famous photogtaphed on the set of Breakfast at Tiffany's, 1961 https://t.co/XCGjfw1uwS",https://twitter.com/SoAudreyHepburn/status/1217160163435528192,english
"#NationalDressUpYourPetDay Superpussy ""I dare you to grab me"" https://t.co/KTbJTKbCB5",https://twitter.com/keet0007/status/1217082250875097090,english
"It’s #NationalDressUpYourPetDay! Let’s see all the #MetsPets out there…

We’ll share some of our favorites! 🐶🐱 https://t.co/FxQsAHKT9w",https://twitter.com/Mets/status/1217154992643149824,english
"Fashion icons. 🐶 

#NationalDressUpYourPetDay https://t.co/j426PEfE4F",https://twitter.com/tigers/status/1217182168646082560,english
