text,url,lang
"#ThingsThatUniteUs
Our love of horror, no doubt. 💀🔪🖤 https://t.co/nSNyIznnR7",https://twitter.com/Halloween_1014/status/1213467189325565954,english
We share the same the same home  #ThingsThatUniteUs https://t.co/Vfyj4IHtxf,https://twitter.com/MrRaceBannon/status/1213463239935320068,english
#ThingsThatUniteUs compassion and empathy. #KindnessMatters https://t.co/sWqMSfwaQF,https://twitter.com/Karminatarian/status/1213463554365546497,english
#ThingsThatUniteUs the hope that Betty White lives forever. https://t.co/mqalbAB7Qb,https://twitter.com/Spaz791/status/1213460960742199297,english
"#thingsthatuniteus

Our love of MST3K, of course. https://t.co/mqPoR5LXkq",https://twitter.com/AnnotatedMST/status/1213493131158704133,english
"Our hatred for Mondays 
#ThingsThatUniteUs",https://twitter.com/ColoradoCatie/status/1213460128487358465,english
#ThingsThatUniteUs our anticipation of a game 56 days away https://t.co/PE09pYFHqk,https://twitter.com/leap_game/status/1213460460357459968,english
"Cat videos 

#ThingsThatUniteUs https://t.co/5rEAk6aKAV",https://twitter.com/lookatmyeyeball/status/1213468280427601921,english
#ThingsThatUniteUs Hashtag Games!,https://twitter.com/ricosuave60/status/1213461104887762945,english
We all love our pets #ThingsThatUniteUs https://t.co/SLjX9ZWvHG,https://twitter.com/SadlyCatless/status/1213460258414313473,english
"#ThingsThatUniteUs
Communities join forces to rebuild after natural disasters. https://t.co/j3nZvUBjtp",https://twitter.com/JustMyTweet/status/1213463543724617729,english
Anytime Trump lies it unites Democrats to vote his ass out.  #ThingsThatUniteUs https://t.co/dnz7a4DMZc,https://twitter.com/charley_ck14/status/1213461960819462144,english
#ThingsThatUniteUs scavenger hunts.,https://twitter.com/Karminatarian/status/1213461874995535873,english
Taking down a bully #ThingsThatUniteUs https://t.co/TQJhwTjMEl,https://twitter.com/mrjafri/status/1213461220327596033,english
"When The Beat Drops
#ThingsThatUniteUs https://t.co/GbpgpjHzAe",https://twitter.com/21pinch/status/1213461424883810304,english
"#ThingsThatUniteUs
Probably a shared hatred for Mondays 🤷🏻‍♀️🙄 https://t.co/zZ8EOu6VLN",https://twitter.com/Tomic_buckeT/status/1213460434122092544,english
"If we both like the same band, then we’re not strangers #ThingsThatUniteUs",https://twitter.com/jvbt82hhs/status/1213460736019705857,english
"#ThingsThatUniteUs
# games.",https://twitter.com/sunkisseeddd1/status/1213460373908668416,english
#ThingsThatUniteUs Love for Animals https://t.co/884QkhfiHR,https://twitter.com/ZarahBlue/status/1213470637538369536,english
"The need for anonymous, risk-free, human interaction.  #ThingsThatUniteUs",https://twitter.com/1urbanecowboy/status/1213468075132997637,english
"#ThingsThatUniteUs
Frustration with filling out forms https://t.co/QWP7wlrIBw",https://twitter.com/EFournierPhD/status/1213467138192805889,english
#ThingsThatUniteUs Baby Yoda https://t.co/qzKDnt1F4v,https://twitter.com/beskarandashes/status/1213461487219441668,english
"#ThingsThatUniteUs Music, the universal language. ❤🎵 https://t.co/weIQdV78TQ",https://twitter.com/ArmyOfEight/status/1213471935230808065,english
"#ThingsThatUniteUs
Pets” https://t.co/aStEEXFo03",https://twitter.com/GetChaLifeYet/status/1213460323837067265,english
