text,url,lang
"#BTSTOUR2020_RUSSIA look , our country is very big https://t.co/gV6qrEOzRB",https://twitter.com/a5rtAwEV4eNaJRe/status/1219702004940976133,russian
"We can do this together,Joon🖇✨🐣
#BTSTOUR2020_RUSSIA https://t.co/cfEQmsNz66",https://twitter.com/shoomyxx1/status/1220024475460292608,russian
"I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
I WANT BTS IN RUSSIA
💜💜💜💜💜💜

#BTSTOUR2020_RUSSIA https://t.co/7Qpccx03jj",https://twitter.com/Russia_sheep/status/1219689497757208580,russian
i mean this. THIS. thanks #BTSTOUR2020_RUSSIA https://t.co/AEnqCavBWC,https://twitter.com/whoekook/status/1219953732135399425,russian
"#BTSTOUR2020_RUSSIA
Let you repeat it again?🇷🇺💜🇷🇺💜🇷🇺💜🇷🇺💜🇷🇺💜🇷🇺💜🇷🇺💜🇷🇺💜🇷🇺💜 https://t.co/mzmQA6to3G",https://twitter.com/onsoty7aoty/status/1219995492735750146,russian
Please.... You haven’t been there for 7 years! #BTSTOUR2020_RUSSIA https://t.co/2VrhLA0qHL,https://twitter.com/Bgdbt90I92t4szT/status/1219990217874116608,russian
Please let me see my heroes #BTSTOUR2020_RUSSIA https://t.co/KHOpBMMlN7,https://twitter.com/Laidn__th/status/1220018081558409216,russian
"You are already half Russian (we guys understood this a long time ago) you gave yourself away
#BTSTOUR2020_RUSSIA https://t.co/oSzQYfuqJd",https://twitter.com/ariana_mullaeva/status/1219993260111941632,russian
"this is me every year when bts isn’t coming to russia again: 🤡🤡🤡
#BTSTOUR2020_RUSSIA",https://twitter.com/pojizneno2/status/1219976651322404864,russian
"#BTSinRussia2020 #BTSTOUR2020_RUSSIA
PLEASE https://t.co/UoBYSD6BzX",https://twitter.com/caxarok_yoongi/status/1220020586434453508,russian
"RUSSIA
make some noise for BTS
#MapOfTheSoulRussiaBTS
#BTSTOUR2020_RUSSIA
#MapOfTheRussiaBTS
#BTSinRussia2020 https://t.co/lRMYI9n2qT",https://twitter.com/onlyourmoon/status/1220368405703819270,russian
someday we will see such a post #BTSTOUR2020_RUSSIA https://t.co/OMLPDT88Mv,https://twitter.com/leveeel/status/1220594831526977536,russian
"PLEASE COME TO RUSSIA 🇷🇺🇷🇺😭😭😭🇷🇺🇷🇺🇷🇺😭😭😭😭🇷🇺🇷🇺🇷🇺
#BTSTOUR2020_RUSSIA https://t.co/VLKrdRP0T3",https://twitter.com/btsthebest2020/status/1219954602885439488,russian
"it’s been 6 years,,, kinda sad rn
#BTSTOUR2020_RUSSIA https://t.co/ATQijs1CM8",https://twitter.com/phatassjmn/status/1219982681221496832,russian
"I wanna be a rap star
I wanna be the top
I wanna be a rockstar
I want it all mine
I wanna be rich
I wanna be the king
I wanna go win
I wanna be …

Interlude : Shadow @BTS_twt
#BTSTOUR2020_Russia #MapOfTheRUSSIA #FindTheSoulWithRuARMY https://t.co/yIPvg6WUpC",https://twitter.com/DDdHPd00tDLiAci/status/1220726039715946501,russian
"We look forward to seeing you🤗💜 
#BTSTOUR2020_Russia
#MapOfTheSoulRussiaBTS
#BTSCOMETORUSSIA https://t.co/l2m4AQd6rG",https://twitter.com/VaryaBarbara/status/1220502366572679169,russian
"I should learn history but I sitting and watching YouTube oh yea #BTSTOUR2020_RUSSIA
#MapOfTheRussiaBTS",https://twitter.com/Sezgelium/status/1220062548587950081,russian
"#BTSTOUR2020_RUSSIA
«I am your hope. You are my hope»
— J-Hope https://t.co/t7O6G0Gnuw",https://twitter.com/_nightLunatic/status/1219994621792718854,russian
"#BTSTOUR2020_RUSSIA
We won't give up our hope!!!",https://twitter.com/EuginiaAmirael/status/1219705918415392769,russian
WE ARE BULLETPROOF 💜 love u guys 🥺 @bts_bighit @BTS_twt @BigHitEnt  #btstour2020_russia https://t.co/3ZUXg43tEb,https://twitter.com/Belieber00P/status/1234884366389727232,russian
