text,url,lang
"god is a woman and her name is Tiril Eckhoff
#биатлон https://t.co/CG2nUOicrE",https://twitter.com/ivanillacrusher/status/1218877883155931136,russian
My heart is breaking.... #биатлон #Olympics https://t.co/qefuopgNXN,https://twitter.com/charlie_rzk/status/964918370259931137,russian
"IN MY HEART 💙
#биатлон https://t.co/gkoyQWUslz",https://twitter.com/EmiliyaRez/status/842818620975669253,russian
"` antholz 2018

#биатлон https://t.co/FoQgTgKlgJ",https://twitter.com/carolnxt/status/1231658975587946497,russian
"dad and son

#биатлон https://t.co/NEUAo1aevA",https://twitter.com/carolnxt/status/1229060940588552193,russian
"Biathlon = love ❤
#биатлон #TMN18 https://t.co/G59C3HTCF0",https://twitter.com/EmiliyaRez/status/976877908798173184,russian
Only true 90s kids will remember this #биатлон https://t.co/a6yBrIbfPP,https://twitter.com/ks_dwain/status/977922173833752576,russian
"It's me today 
#биатлон https://t.co/y0hDXfAAS1",https://twitter.com/Sorenatsore/status/1084465803205005312,russian
Yaaaaaa! 🇫🇮🇫🇮🇫🇮🇫🇮🇫🇮🇫🇮🇫🇮🇫🇮Wonder woman of the world biathlon!🇫🇮🇫🇮🇫🇮🇫🇮🇫🇮 Finnish rocket🇫🇮🇫🇮🇫🇮🇫🇮🇫🇮🇫🇮🚀🚀🚀🚀🚀 #gokaisa #biathlon #biathlonworld #biathlon_is_my_life #biathlonfamily #биатлон #kaisamäkäräinen #kaisamakarainen #бхг  #тюмень https://t.co/XmS47YO4vI,https://twitter.com/blue_dobby/status/978140698942869504,russian
we are ready #Biathlon #биатлон https://t.co/tthgNM3wOo,https://twitter.com/ks_dwain/status/1103606737637122048,russian
"best✨🥰

#биатлон https://t.co/z2lrVHC6fG",https://twitter.com/_germionaSve_/status/1201267646861369344,russian
"When you won &amp; you're rock star! #MartinFourcade #биатлон #biathlon #Olympics 
https://t.co/2Apo7T0mwt https://t.co/S0mMbkxVW1",https://twitter.com/No_Ackles_/status/965203874993774592,russian
"no comments
  #биатлон https://t.co/BjVpqKyZLA",https://twitter.com/BadGuy54901338/status/1084453124994146305,russian
"No comments.

#биатлонХМ #биатлон #ХМ #ibu #biathlon https://t.co/KvZJ6gGKSg",https://twitter.com/ilove_hm/status/710847545040367617,russian
Ready for race in ➡ #Beitostølen #skidskytte #skiskyting #biathlon #биатлон https://t.co/AbngFRO2mx,https://twitter.com/TArwidson/status/801506298479181824,russian
"4. Young 👼🏼🌸

#биатлон 🇳🇴 https://t.co/Bf0BeoGpls",https://twitter.com/BKrilsik/status/1237123451313426432,russian
"1. In sunglasses 🌸🧡

#биатлон 🇳🇴❤️ https://t.co/R44AFODg36",https://twitter.com/BKrilsik/status/1236198176182464512,russian
"My girls 😭
#биатлон https://t.co/4K9aZKAdp9",https://twitter.com/little_gray_rat/status/1234559871816753152,russian
"Not bad, not bad. 
#Биатлон",https://twitter.com/Kyschik/status/1205800272930295808,russian
"winners
2018/2019
#biathlon #биатлон https://t.co/09xGUMAma2",https://twitter.com/ks_dwain/status/1110893668658003968,russian
"I'm wondering how an first vice- president of IBU can said such things? What a shame, IBU🤦🏼‍♀️ @biathlonworld #биатлон #гамза https://t.co/OJ5mcSIVh9",https://twitter.com/elonalok/status/1072941338428170241,russian
new season #biathlon #biathlonart #биатлон https://t.co/DGxjhyf5bV,https://twitter.com/ks_dwain/status/1045701617067151360,russian
"Batya is coming...
#biathlonislife
#биатлон https://t.co/cesnlFfXeo",https://twitter.com/bolakons/status/934759948797521921,russian
"This is the best team. 🇷🇺♥️
I'm happy that I live in Russia, because I can enjoy the success of this wonderful team. 🇷🇺♥️
#биатлон #HOL17 https://t.co/5PUAvHWdTs",https://twitter.com/Juliiiichka/status/842967724070518784,russian
"#Russia 🇷🇺 is the world Champion in #Biathlon Relay 🙋🙌🌌🎆🎖

#biathlonwm #BiathlonWorldCup #биатлон #Россия #поздравления",https://twitter.com/marco_belarus/status/832971199927959552,russian
Martin Fourcade watercolor portrait. Best biathlete. #biathlon #watercolor #биатлон #спорт #portrait https://t.co/ZQigIFxU39,https://twitter.com/stasiabu/status/812000312009625600,russian
Retweet &amp; share the feeling of 50m hitting golf ball size🔫👺🎿💓💗💕💔 #biathlon #биатлон #skiskyting… https://t.co/ReK5BRpFMF,https://twitter.com/TArwidson/status/761967892447526912,russian
stars. #biathlon #биатлон https://t.co/q5jUjqxJwk,https://twitter.com/ks_dwain/status/1037661384161542144,russian
"#биатлон
@SuperSvendsen you are still the best",https://twitter.com/irina_takishina/status/676106994739249152,russian
#Биатлон setup http://t.co/FsPoJmSmed,https://twitter.com/georgeolaworev/status/604970853256830976,russian
"goodbye @klahtibiathlon, these were great days with you! I will miss... #bwch2015 #biathlon #биатлон #sadness #kontiolahti",https://twitter.com/ianacowperwood/status/577531126333464578,russian
And again excellent shooting by Russia and back to 7th. Gunning for a podium!!! #biathlon #биатлон,https://twitter.com/SvenVink/status/576780225230610432,russian
Congrats !!! #yurlova for grand victory #биатлон #Biathlonwm http://t.co/7kTDvk8Ma2,https://twitter.com/shuubur/status/575715440514617345,russian
Two days until I go into the fire. All in. #Kontiolahti2015 #bwch2015 #skidskytte #biathlon #биатлон… https://t.co/dI42hr9ONk,https://twitter.com/TArwidson/status/575391329401753600,russian
"”Already before the beginning of the race I knew I would be fighting for medals."" -Anton Shipulin #bwch2015 #kontiolahti #биатлон",https://twitter.com/KlahtiBiathlon/status/574575416335319040,russian
"Simon @SimonSchempp, well done, today you're our hero in Russia ;) don't ask why ;) #биатлон #biathlon",https://twitter.com/the_tatti/status/564436145808080896,russian
Good job @DaryaDomracheva !! #win #biathlon #победа #биатлон http://t.co/8aEh4ccpZU,https://twitter.com/il_koshevoy/status/559005905501814787,russian
"Around the track. Today I used the right amount of shots, not disqualified👍 #twittski #skidskytte #biathlon #биатлон http://t.co/TYdtQSuO2I",https://twitter.com/TArwidson/status/555774924770791425,russian
Happy New Year http://t.co/2rNYJcdZcC #биатлон,https://twitter.com/sports_biathlon/status/549189810171023360,russian
the loser is @martinfkde #biathlon #биатлон,https://twitter.com/Novo_Rom86/status/546662662890074112,russian
Shipulin is the winner #biathlon #Russia #биатлон,https://twitter.com/Novo_Rom86/status/546659067746607104,russian
"Happy B'day, Zigy!! http://t.co/ktIjlJDVsk #биатлон",https://twitter.com/sports_biathlon/status/542591468318105600,russian
#биатлон @martinfkde bravo!!!!! You are tbest as usual!!!! 👏👏👏👏😘,https://twitter.com/Oxana_02/status/539082957546594304,russian
Fantasy Biathlon-2014/2015 http://t.co/QJ84jhM3Gj #биатлон,https://twitter.com/sports_biathlon/status/537623472713650176,russian
Martin Fourcade http://t.co/d3wJd42G0n #биатлон,https://twitter.com/sports_biathlon/status/452821626912919553,russian
Time to say goodbye http://t.co/GO8QXIf13T #биатлон,https://twitter.com/sports_biathlon/status/449290338213957634,russian
@NiallOfficial  Olympics look better #Олимпиада2014 #Sochi2014 #биатлон #Сочи2014 з2,https://twitter.com/Aminarryy/status/432534548786597888,russian
This time the French biotlonisty have overtaken all and won first place in the women's Sprint! #congratulation French women's #биатлон,https://twitter.com/annagokova/status/423827166464585728,russian
"Congrats Gabi, Tora  and Kaisa! Lovely podium! Good race! #Biathlon #Ruhpolding #биатлон",https://twitter.com/julia_dienkova/status/422320503580549120,russian
"Russian athletes won gold in relay race in France, well done! Our heroes biathlon! France came only at 6 place) #congratilation #биатлон",https://twitter.com/annagokova/status/411522640881664000,russian
"Now on live broadcast relay biathlon race held in France, so cool and beautiful #биатлон #mens #now #live",https://twitter.com/annagokova/status/411486487004610560,russian
#биатлон social media: http://t.co/ntNvlucJKr #SpotExpo #SpotExpoTrends,https://twitter.com/SpotExpoTrendRu/status/406091276858437634,russian
"Come on Simon, you have a wonderful chance! #Биатлон #Biathlon #ostersund #mixedrelay",https://twitter.com/julia_dienkova/status/404627625332588545,russian
"Whithout @SuperSvendsen  Fourcade M. does not have enough rivalry(( @SuperSvendsen , get well soon!!!!!! I miss you!!) #биатлон",https://twitter.com/krolikira/status/302105324633088000,russian
The show must go on! http://t.co/9t1T86uN #биатлон,https://twitter.com/sports_biathlon/status/288026121646256128,russian
New Year's biathlon http://t.co/pIsYIQFX #биатлон,https://twitter.com/sports_biathlon/status/283247512859598848,russian
Today pleasure for the hockey national team and a certain grief for biathlon... #hockey #biathlon #TeamRussia #хоккей #биатлон,https://twitter.com/Kapleva/status/280334710591332353,russian
I am very glad to results of the Tora Berger... I congratulate team of Norway #biathlon #биатлон,https://twitter.com/Kapleva/status/280333808644005888,russian
Today is the happiest day!)) Norway is CHAMPION!))) Сongratulations to both men and women)) #biathlon #биатлон,https://twitter.com/julikner/status/277802675603664896,russian
LOl ;D #biathlon #ostersund #russia #биатлон http://t.co/kEi0NsO1,https://twitter.com/sashapetrova23/status/275673123402162177,russian
truestory http://t.co/U4CBribq @tarjei_boe expert at eating bananas #biathlon #биатлон,https://twitter.com/BeliiVorobei/status/266065231787225088,russian
"#truestory http://t.co/1CsZ3FVh
@tarjei_boe expert at eating bananas #biathlon #биатлон",https://twitter.com/KatrinKul/status/266063412977614848,russian
Nordic Show 2012 http://t.co/hmwuFuq5 #биатлон,https://twitter.com/sports_biathlon/status/265950686116732928,russian
emilhegle and @tarjei_boe - accounts of norwegian guys on instagram #biathlon #биатлон,https://twitter.com/BeliiVorobei/status/265828467462004738,russian
SEXY http://t.co/FQECkirG #биатлон,https://twitter.com/sports_biathlon/status/249510797435351040,russian
Read My Mind: Summer Biathlon World Championships 2012! http://t.co/BYWR6rPt #biathlon #SummerBiathlon #Биатлон #ЛетнийБиталон,https://twitter.com/dennymart1n/status/248097647032926208,russian
+1 autograph-card to my collection #biathlon #биатлон,https://twitter.com/KatrinKul/status/215829947011448832,russian
rutracker http://t.co/BqzKF6Br... #russianmuddafuggaz #ugg #биатлон,https://twitter.com/BeliiVorobei/status/189083863371358210,russian
International Biathlon Union / Historic Relays at IBU YJWCH http://t.co/tFXfZNmI #biathlon #биатлон,https://twitter.com/antnv/status/172733722855079936,russian
Race posponed due to cold wether. New start time 13.30. #biathlon #биатлон,https://twitter.com/yuki_hedggi/status/167925819530940416,russian
"Congratulations to @SuperSvendsen !
You were good today)
Good luck in Finland #biathlon #биатлон http://t.co/J52IzLM9",https://twitter.com/KatrinKul/status/166175368355651584,russian
So excited #Makoveev is the winner today! He did an awesome job! *__* #biathlon #биатлон,https://twitter.com/gurianovamarina/status/157479521191346176,russian
run Forest! Run! #биатлон,https://twitter.com/v_yurchenko/status/154997886084591616,russian
Russian biathletes r the best *__* love them all &lt;3 #biathlon #биатлон,https://twitter.com/gurianovamarina/status/148413490523156480,russian
"Russion Biathlon Team ""DOUBLE TROUBLE"" #biathlon #биатлон",https://twitter.com/yuki_hedggi/status/142636954293518336,russian
