charTrigrams,wordBigrams,wordUnigrams
 th,in russia,i
 to,i want,russia
rus,want bts,in
uss,bts in,you
ssi,,the
the,russia i,to
sia,to russia,and
 ru,come to,we
you,i wanna,please
in,of the,bts
 yo,wanna be,of
 in,waiting for,want
e t,for you,for
 wa,in moscow,is
he,is the,a
and,please come,this
nd,want to,my
ia,you are,are
 i,we are,come
to,that you,it
is,in the,be
 an,we have,moscow
nt,russia and,our
ou,our country,hope
ing,this is,biathlon
ts,for bts,will
re,ru army,s
 co,it s,that
we,don t,us
ple,russia in,all
ng,are waiting,love
wan,love them,army
eas,love you,have
 be,you will,today
ve,we love,russian
ll,stadium in,wanna
lea,the world,see
me,bts concert,waiting
our,concert in,so
ase,give us,tour
 fo,us a,race
 we,russia please,country
on,i m,can
i w,the best,again
s i,we can,guys
for,for years,year
 ar,we will,t
ant,be a,give
bts,be the,world
of,i am,just
 of,hope you,not
e a,this year,them
n r,is waiting,m
e w,we hope,best
st,and again,team
an,my grandfather,big
 bt,we need,there
se,need to,me
or,notice us,time
ur,please help,your
my,russian army,won
ome,one of,with
 wo,the biggest,happy
 is,came to,stadium
 bi,much and,armys
his,see our,concert
s t,moscow and,new
t b,you have,good
at,a lot,at
it,lot of,on
 a,believe that,look
thi,will notice,very
 re,will come,let
com,to meet,been
 wi,to our,years
her,luzhniki stadium,when
a i,the largest,go
t i,would be,but
t a,so please,boys
d t,us see,ru
ay,i hope,don
e b,hope that,no
 ha,there are,need
e s,come true,notice
are,name is,help
rea,i live,believe
 lo,live in,came
sta,really want,much
tin,wait for,more
ath,have a,miss
ce,big hit,petersburg
 pl,a chance,really
er,with you,meet
ill,part of,what
est,moscow russia,true
ow,please bts,live
n t,russia moscow,chance
en,saint petersburg,enough
ys,russia we,re
day,my heart,ibu
 st,you re,relay
all,no comments,fourcade
arm,race in,well
rmy,not bad,women
e h,in relay,france
t t,martin fourcade,do
 mo,well done,together
thl,new year,mean
ry,the winner,heroes
e c,women s,already
 ca,in france,yourself
 do,expert at,coming
 me,at eating,make
ave,eating bananas,such
 he,look our,its
s a,country is,sad
lon,is very,star
 so,very big,am
be,can do,way
e i,do this,he
ld,this together,like
e o,together joon,grandfather
 ho,i mean,by
nce,mean this,one
hat,this this,biggest
 us,this thanks,dreams
mos,let you,smile
rt,you repeat,stadiums
bia,repeat it,remember
iat,it again,still
 ou,please you,lot
ear,you havent,hi
o r,havent been,luzhniki
a b,been there,largest
e r,there for,would
ope,please let,union
e u,let me,why
ove,me see,size
s w,see my,dream
con,my heroes,name
ert,are already,im
osc,already half,wait
sco,half russian,hit
cow,russian we,part
ion,we guys,saint
n f,guys understood,two
oun,understood this,dates
tha,this a,as
ain,a long,woman
r y,long time,heart
e l,time ago,only
 se,ago you,ready
 al,you gave,amp
 no,gave yourself,comments
wil,yourself away,bad
 go,is me,an
 sh,me every,first
hop,every year,wonderful
n a,year when,champion
gra,when bts,martin
not,bts isnt,goodbye
hlo,isnt coming,were
unt,coming to,days
et,russia again,podium
 it,russia make,congrats
e y,make some,shipulin
hav,some noise,simon
ent,noise for,done
 ye,someday we,job
yea,will see,winner
ne,see such,day
lov,such a,french
ait,a post,place
t s,its been,tora
us,been years,show
eam,years kinda,norway
y b,kinda sad,expert
let,sad rn,eating
t y,a rap,bananas
ere,rap star,run
e f,star i,joon
e m,the top,thanks
 my,top i,repeat
u a,a rockstar,havent
ian,rockstar i,half
ood,want it,understood
ch,it all,long
ann,all mine,ago
na,mine i,gave
ter,be rich,away
pe,rich i,every
won,the king,isnt
ive,king i,some
wai,wanna go,noise
g f,go win,someday
ati,win i,post
es,be interlude,kinda
 s,interlude shadow,rn
 on,we look,rap
f t,look forward,top
ot,forward to,rockstar
diu,to seeing,mine
ium,seeing you,rich
n m,i should,king
tod,should learn,win
oda,learn history,interlude
 fi,history but,shadow
rac,but i,forward
ace,i sitting,seeing
cou,sitting and,should
see,and watching,learn
y h,watching youtube,history
nde,youtube oh,sitting
der,oh yea,watching
ers,am your,youtube
 sa,your hope,oh
nna,are my,yea
d w,my hope,j
am,hope j,up
u w,j hope,bulletproof
 li,we won,u
t o,won t,proud
tou,t give,impatiencesometimes
y t,give up,include
d a,up our,list
y g,our hope,tours
ed,are bulletproof,understanding
one,bulletproof love,twit
 at,love u,drinks
s c,u guys,omg
d i,my boys,ve
n s,boys i,connected
ly,i proud,dots
d b,proud of,pls
m i,of you,dm
goo,russia this,talk
so,year ru,purple
