text,url,lang
"Let's take you like this. El Tigre #Falcao 🐯 #BugüngünlerdenGalatasaray 💛♥
#SVSvGS https://t.co/4xSshJn0zE",https://twitter.com/yozluu/status/1236688788442710016,turkish
The king is back 🦁💛❤️ #BuguenGuenlerdenGALATASARAY https://t.co/sTAR0bqjxf,https://twitter.com/pandofgod/status/1236667153157324800,turkish
"#bugüngünlerdengalatasaray ❤️💛
We are the best Galatasaray. @FALCAO  @GalatasaraySK https://t.co/jhoKJPk8Vr",https://twitter.com/sefikdaloglu/status/1234029043101655041,turkish
"MOOD
#BugünGünlerdenGALATASARAY  https://t.co/wczuccAiOL",https://twitter.com/iam4hmet/status/1236411488333692930,turkish
Step by step. 👑❤💛🦁 #BugünGünlerdenGALATASARAY https://t.co/ULIdwdrIWz,https://twitter.com/theiremaykac/status/1236423645012033537,turkish
"23 Loading 💛❤️🏆
#BugünGünlerdenGALATASARAY https://t.co/Efvoephbxz",https://twitter.com/pinarrby/status/1236440048897228801,turkish
"Hey Falcao we know how much you love your wife . Would you like to present a Hat-trick to your wife on International Women's Day? 
@FALCAO

#BugünGünlerdenGALATASARAY https://t.co/9O2cKJqsQK",https://twitter.com/basaraqgun/status/1236552575413035008,turkish
"18:00 REFERANS CAFE 
#BugünGünlerdenGALATASARAY #Hedef23
#ultrAslanLISE https://t.co/Gg87qk3NOk",https://twitter.com/ultrAslanLise70/status/1236403037419208710,turkish
"What's in your head, in your head?
Cimbombom!!!
#BugünGünlerdenGalatasaray",https://twitter.com/Berkan4434/status/1236552346836119552,turkish
"#BugünGünlerdenGALATASARAY
Believe
Fight
And Fuck",https://twitter.com/YYorsunfuatabi/status/1236520609741295616,turkish
Moda girelim #BugünGünlerdenGALATASARAY https://t.co/t5AVON0EDk,https://twitter.com/attavratnando/status/1203060094222716929,turkish
"We fight together, we win together. 🦁🦁

#BugünGünlerdenGALATASARAY

https://t.co/bUiL9Uvgpj",https://twitter.com/socios/status/1192909927750217728,turkish
"BELIEVE!

FIGHT!

WIN!

#BugünGünlerdenGALATASARAY

#ultrAslan https://t.co/4Lip7RJb08",https://twitter.com/ultrAslan/status/1186713933933137923,turkish
BAM BAM BAM #BugünGünlerdenGALATASARAY https://t.co/Ae8uu3du2r,https://twitter.com/HalilSoyletmez/status/1178785266632478727,turkish
"YOU WILL FEEL HELL ⚔ @PSG_inside @Co_Ultras_Paris

#BugünGünlerdenGALATASARAY https://t.co/g084IpMMVf",https://twitter.com/forzacimbomtr/status/1178777055628058629,turkish
"🏆KON2️⃣ANTRA3️⃣YON

#BugünGünlerdenGALATASARAY #BEN23RSİZ #YMSvGS https://t.co/emO7kTHO9y",https://twitter.com/LionFerhat_1905/status/1175633047825342465,turkish
"THE USUAL SUSPECTS ⚔️

#UCL #BugünGünlerdenGalatasaray https://t.co/WMHfXu9n6S",https://twitter.com/forzacimbomtr/status/1174066386697670656,turkish
"YOUR NIGHTMARE IS BACK AGAIN !
#BugünGünlerdenGALATASARAY
#ultrAslanUNI #ChampionsLeauge https://t.co/pNlXL8oePT",https://twitter.com/uAUNIAnadolu/status/1174066083650822144,turkish
"HERE WE GO AGAIN! @ChampionsLeague 
#BugünGünlerdenGALATASARAY #ultrAslanUNI https://t.co/tqCLv4n2MB",https://twitter.com/uAUNISakarya/status/1174065936430764037,turkish
"#BugünGünlerdenGALATASARAY

Today Lions Days, 
My team GALATASARAY... https://t.co/RxrjjaviPk",https://twitter.com/AhmetDuranHergn/status/1172457928223264769,turkish
"WE HAVE @didierdrogba THEY DON'T!

WELCOME LEGEND!

#BugünGünlerdenGALATASARAY

#ultrAslan https://t.co/06EIuC1xvN",https://twitter.com/ultrAslan/status/1114556797187235840,turkish
#BugünGünlerdenGALATASARAY We are coming... https://t.co/DU4ff0zOwf,https://twitter.com/themusti1905/status/1096890602229321729,turkish
"ONLY YOU!

#BugünGünlerdenGALATASARAY 
#HedefŞimdiAvrupa 

#ultrAslanAVRUPA https://t.co/EZ0CbQCbQe",https://twitter.com/ultrAslan_EU/status/1095967403106856961,turkish
@slbenfica_en @Galatasaray WELCOME TO HELL 🔥🔥🔥🔥 @SLBenfica #BugünGünlerdenGALATASARAY https://t.co/KmoaKfhVxj,https://twitter.com/TwitPrensi/status/1095804624647475215,turkish
👑 LEGEND! @didierdrogba #BugünGünlerdenGALATASARAY https://t.co/YY6uj1mQPT,https://twitter.com/CimbomFacts/status/1094345469835313154,turkish
"🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
Yeah, he's back! The King is back.
İ🔥M🔥P🔥A🔥R🔥A🔥T🔥O🔥R
🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
#BugünGünlerdenGALATASARAY https://t.co/1bUgstmI8F",https://twitter.com/alp_hacer/status/1088930140858519555,turkish
"''Emperor İs Coming''
#BugünGünlerdenGALATASARAY #KON2ANTRA2YON https://t.co/pknihUcQQn",https://twitter.com/KotuGnTaraftari/status/1088906977940508673,turkish
"#BugünGünlerdenGALATASARAY. 
Today Lions https://t.co/lzAbqDhCuF team GALATASARAY... https://t.co/zAYNMsewJ2",https://twitter.com/AhmetDuranHergn/status/1086488048286740480,turkish
Galatasaray is back 🤩 #BugünGünlerdenGALATASARAY https://t.co/96n7L5eT28,https://twitter.com/433CimBom/status/1076607059486035969,turkish
You can do that... #BugünGünlerdenGALATASARAY https://t.co/inbmeSCrHn,https://twitter.com/gsstatistictr/status/1076583155342159876,turkish
"Goollll

#BugünGünlerdenGALATASARAY 
#KenetlenBaşkaGalatasarayYok 
#KON2ANTRA2YON https://t.co/FKfA3h9mT3",https://twitter.com/ultrasky1905/status/1071444929791053824,turkish
"💖G
    💛A
         💖L
             💛A 
                  💖T
💛❤          💛A  Vakt'i Vuslat 💖💛
                 💖S
              💛A 
           💖R
      💛A 
💖Y
#BugünGünlerdenGalatasaray https://t.co/vVn9Nkr1P7",https://twitter.com/ayza26/status/1053029277418082305,turkish
"#BugünGünlerdenGALATASARAY
 We Came We Saw We Will Win

@GalaODahaVefali
@birol_19051905
@si1905bel
@Kuzeybatum
@House__LionS
@levent79
@svd_1905
@_DortYLDZL1905
@Ramazan_1905_
@rdvn58
@disiii_aslannn
@sodacibirinsan
@he_se
@ibraim_alc
@1905nrcn07
@Hlyyldz53
@_cimbomlugirl https://t.co/Dciv06i1he",https://twitter.com/Erhan_Aks/status/1047383085610946561,turkish
"KEEP CALM

AND

BELIEVE YOUR COLOURS!

😎

#BugünGünlerdenGALATASARAY

#ultrAslan https://t.co/ZuyspcWEV8",https://twitter.com/ultrAslan/status/1042105434235129856,turkish
"Welcome to Hell !!
#BugünGünlerdenGalatasaray",https://twitter.com/omertasbas17/status/1041982088759730176,turkish
"Knock knock! Guess who is back? 
#BugünGünlerdenGALATASARAY https://t.co/cc3Yiv1g9e",https://twitter.com/galareyiz/status/1041794063702343680,turkish
"Return of the King - Galatasaray #ChampionsLeague 2018-19

#BugünGünlerdenGALATASARAY #HedefŞimdiAvrupa #UCL #GSvLMFC https://t.co/h2ng9zAnSF",https://twitter.com/_oguzaydin_/status/1041794032421232641,turkish
"Match Day
#BugünGünlerdenGALATASARAY https://t.co/ukWXRChp8f",https://twitter.com/onurultras/status/972578713698230272,turkish
Show must go on #BugünGünlerdenGALATASARAY https://t.co/tPcnkaBumy,https://twitter.com/ErdemOzdemirck/status/972578069256065027,turkish
"UNSTOPPABLE MONSTER!

@BafGomis  #BugünGünlerdenGALATASARAY #Hedef21 https://t.co/TWeVwa20Yh",https://twitter.com/atatural/status/967113070869909509,turkish
Don't have any tactic or mactick just bam bam bamm  #BugünGünlerdenGALATASARAY https://t.co/OjpMlT5Xth,https://twitter.com/CoskunDursunn/status/966779990384807936,turkish
"Burn to be Champ!
#BugünGünlerdenGalatasaray @BafGomis #Hedef21 https://t.co/0INq7fdm2s",https://twitter.com/atatural/status/965144607263789056,turkish
"#BugünGünlerdenGALATASARAY 
💛❤️
Terim and his lions are coming! https://t.co/EY7bnFOAx6",https://twitter.com/emirayse/status/964967714312859648,turkish
"G💛L❤T💛S❤R💛Y         
                 🌟  🌟  🌟  🌟
#BugünGünlerdenGalatasaray https://t.co/BcQGBWUwz2",https://twitter.com/prozacetkisi_/status/963084928819847168,turkish
Are you ready? #BugünGünlerdenGALATASARAY https://t.co/L7NGAlgdfY,https://twitter.com/lukaszpoldi/status/962940361453834240,turkish
MATCHDAY 🦁 #BugünGünlerdenGALATASARAY https://t.co/bmnlXY8WPu,https://twitter.com/kIncmerve/status/956995884746772480,turkish
"God of Zaga!
#Galatasaray #BugünGünlerdenGALATASARAY #Hedef21 #CimbomunMacıVar 🌟🌟🌟🌟 https://t.co/8cQ6EmtBUv",https://twitter.com/TekKrallikGS/status/936949666075246592,turkish
"Iiiiit's Showtiiiiiimeeeeee!!! 💪😀💛❤
#BugünGünlerdenGALATASARAY!!!!
Ready to watch you winnn..
Ready to shout your goalsss..
Eager to see you standing strong at the top of the table my #CimBom! 😍🇹🇷🇺🇾",https://twitter.com/dreamereagle/status/934273883267649536,turkish
"Next Match 💛❤️
 #BugünGünlerdenGALATASARAY https://t.co/YrCTOCEyyP",https://twitter.com/yzcrmzn/status/924383393684574208,turkish
In @sffeghouli we trust! #BugünGünlerdenGalatasaray https://t.co/4PUlBK0kD7,https://twitter.com/HakanHatipoglu/status/914076020810100737,turkish
Lets go! Haydi Bismillah 3 points in our hands 😎😎😎🙏🙏🙏 #BugünGünlerdenGALATASARAY https://t.co/VaAj7ZRqM4,https://twitter.com/KhobirulFikri/status/913947222840041472,turkish
"Match Day
#BugünGünlerdenGalatasaray https://t.co/g3NNDX6ynr",https://twitter.com/onurultras/status/898654334908551168,turkish
"How many kids does it take to tackle @Podolski10? 😂

#BugünGünlerdenGALATASARAY #ThankYouPoldi https://t.co/Thfu7zBviZ",https://twitter.com/Dugout/status/872850139198697472,turkish
"⚽️❤️ @Podolski10 and his kid!

#ThankYouPoldi #WeAreTheArsenal #BugünGünlerdenGALATASARAY https://t.co/s35h7UtSJz",https://twitter.com/Dugout/status/871426574746308609,turkish
"💛❤️ @Podolski10 played his last game for @GalatasaraySK yesterday! 😥

#ThankYouPoldi #BugünGünlerdenGALATASARAY https://t.co/aY8bXI1sCz",https://twitter.com/Dugout/status/871274711023529984,turkish
"🔶🔴 @GalatasaraySK have officially unveiled their home kit for the 2017/18 season!

#BugünGünlerdenGALATASARAY #öncearma https://t.co/1kCWi4G4JJ",https://twitter.com/Dugout/status/867346662909505536,turkish
Matchday! #BugünGünlerdenGALATASARAY https://t.co/1mjm15vm9M,https://twitter.com/1905GSFANS/status/865312493375238144,turkish
"🏆 #OTD in 2012: @GalatasaraySK sealed their 18th league title vs. Fenerbahçe! ➡️ https://t.co/tye8fsqV4r 

#BugünGünlerdenGALATASARAY https://t.co/6RFSy3wPIe",https://twitter.com/Dugout/status/863031452975464448,turkish
"Throwback to 2013 when @GalatasaraySK hosted @realmadrid in the #UCL! 🔥

Video ➡️ https://t.co/85kwIYKss3

#BugünGünlerdenGALATASARAY #TBT https://t.co/3COsMtiTqk",https://twitter.com/Dugout/status/862694002830782464,turkish
MATCHDAY | #BugünGünlerdenGALATASARAY https://t.co/OIdHBhbeyy,https://twitter.com/TekYurekcom/status/851178274306785280,turkish
MATCHDAY | #BugünGünlerdenGALATASARAY https://t.co/hmhnFuQEGv,https://twitter.com/TekYurekcom/status/848643678860185601,turkish
"Felipe Melo went in goal for @GalatasaraySK in the 92nd minute and saved a penalty to win 1-0! 👏

#BugünGünlerdenGalatasaray https://t.co/fqQA367ie0",https://twitter.com/Dugout/status/824266378244923392,turkish
"Goals: ⚽️⚽️⚽️⚽️⚽️
Red cards: 🔴

It's only half-time at @GalatasaraySK! 

#BugünGünlerdenGalatasaray https://t.co/9zI7tHQTal",https://twitter.com/Dugout/status/823927985749323777,turkish
"Not long to go now! 

It's been a great comeback from @acmilan but @GalatasaraySK still lead! 

🇹🇷#BugünGünlerdenGalatasaray
🇮🇹#WeAreACMilan https://t.co/jmGHifilCf",https://twitter.com/Dugout/status/815629527200174081,turkish
"2014: 🏆 
2015: 🏆 
2016: 🏆 

@GalatasaraySK are looking to make it four consecutive Turkish Cup titles! 🇹🇷🏆 #BugünGünlerdenGalatasaray https://t.co/Lzlrtmntgf",https://twitter.com/Dugout/status/814110789963575296,turkish
Captain#10 #BugünGünlerdenGalatasaray https://t.co/CePuTQJVrp,https://twitter.com/wespoldi/status/790935768743174144,turkish
