text,url,lang
"🔴🔵 Good luck #Trabzonspot at league’s second part. My heart will be with you and all fans.

#BugünGünlerdenTrabzonspor https://t.co/BZ0Bl4jAe9",https://twitter.com/dzokora5/status/955008139799269376,turkish
"8 geliyor .! 🏆

🎵We are the champions🎵🎶

 #BugünGünlerdenTrabzonspor https://t.co/VX3tQIls8y",https://twitter.com/Behzatipekci/status/1231158521032515585,turkish
"Are you ready to hell? @FCBasel1893 

#BugünGünlerdenTRABZONSPOR https://t.co/rJZfUFAHSY",https://twitter.com/KuzeyTarafi/status/1179501306509189123,turkish
"🔥 MATCH DAY 
⚽️ Trabzonspor 🆚 FC Basel
🗓️ 03.10.2019 Thursday ⏰ 22.00
🏟️ Medical Park Stadium
📺 beIN Sports 
📲 #BugünGünlerdenTrabzonspor
⚡️ #BizBize #Yanyana #HaydiMaça #Trabzonspor 🔴🔵 #UEL https://t.co/BFcCWC8Me9",https://twitter.com/Trabzonspor_EN_/status/1179687961589248001,turkish
"🔥 MATCH DAY
⚽ Trabzonspor  🆚 Gaziantep FK
🗓 19.10.2019 Saturday  ⏰ 17.30
🏟 Medical Park Stadium
📺 beIN Sports 
📲 #BugünGünlerdenTrabzonspor 
⚡ #BizBize #Yanyana #HaydeMaça #Trabzonspor 🔴🔵 https://t.co/jfyQURcCVy",https://twitter.com/Trabzonspor_EN_/status/1185460446746370049,turkish
"""00.56"" Mood #BugünGünlerdenTrabzonspor https://t.co/HpHg2H1I5T",https://twitter.com/yaserakts/status/1223364491603255304,turkish
"We Trust You JOSE ERNESTO SOSA ! 💪🏻🔴🔵

#BugünGünlerdenTRABZONSPOR https://t.co/PVCYP0BHrg",https://twitter.com/61Kubi/status/957359335239274497,turkish
We are coming 😎 🔴🔵 @EuropaLeague #BugünGünlerdenTRABZONSPOR https://t.co/sI3RFAE4gp,https://twitter.com/Trabzonsporum/status/1159214142743547908,turkish
On the way of Merter #BugünGünlerdenTrabzonspor #taraftar https://t.co/cgG8XdhAfL,https://twitter.com/KobelsDaddy/status/980406104638271488,turkish
"You're grown. 
This day is your.

@DanielSturridge

#BugünGünlerdenTrabzonspor https://t.co/XQR7wQiPwV",https://twitter.com/huseyindeleport/status/1172979116162895872,turkish
"Heyy!!
#buguenguenlerdentrabzonspor ❤️ https://t.co/q8WQIw13MK",https://twitter.com/6161il/status/1228996118354198529,turkish
"Calm down and just watch it! 💪🏻❤💙
#BugünGünlerdenTrabzonspor https://t.co/z5NbIueFZP",https://twitter.com/vrosiii/status/1236239869875286020,turkish
"FULL+FULL TS

#BugünGünlerdenTrabzonspor https://t.co/6kDu5RKWo6",https://twitter.com/nisaay61/status/1223365413146386442,turkish
"🔥 MATCH DAY 🔴🔵 #ZTK
⚽️ Trabzonspor  🆚  Denizlispor
🗓️ 16.01.2020 Thursday ⏰ 20.30
🏟️ Medical Park Stadium
📺 ASpor
📲 #BugünGünlerdenTrabzonspor 
⚡️ #BizBize #Yanyana #HaydeMaça https://t.co/FmKeUARdCO",https://twitter.com/Trabzonspor_EN_/status/1217721036122312705,turkish
"Despite everything we believe that you will be champion, believe you too and win this match !

@Trabzonspor 

#BugünGünlerdenTrabzonspor https://t.co/9PVsNYxDNn",https://twitter.com/plaka61_TR/status/1188584431252099072,turkish
"Finally, because we missed so much ❤️💙

#BugünGünlerdenTrabzonspor 

@UEFA @EuropaLeague @ChampionsLeague @Trabzonspor https://t.co/RiBOpJ1vJG",https://twitter.com/plaka61_TR/status/1187112521599279105,turkish
"Are you ready @FCBasel1893

#BugünGünlerdenTrabzonspor https://t.co/kp1Q6SVQvS",https://twitter.com/Nihats_61/status/1179502920150192131,turkish
"Coming SOON! 😎
#BugünGünlerdenTrabzonspor https://t.co/zWVByVuWOX",https://twitter.com/cilginlar1980/status/1167043531426402304,turkish
"🔥 MATCH DAY 🔴🔵   
⚽ Trabzonspor 🆚 Malatyaspor
🗓 25.08.2019 Sunday ⏰ 19:15
🏟 Medical Park Stadium
📺 beIN Sports 
📲 #BugünGünlerdenTrabzonspor
⚡ #BizBize #Yanyana #HaydeMaça

#Trabzonspor 🔴🔵 https://t.co/4RyVrvl85L",https://twitter.com/Trabzonspor_EN_/status/1165546065434742784,turkish
"#We are coming 👊 🔴🔵 @ACSparta_CZ
#BugünGünlerdenTrabzonspor

https://t.co/tUwRVjNLzv",https://twitter.com/BMUsaklar/status/1159213330965434368,turkish
Matc day. #BugünGünlerdenTrabzonspor https://t.co/TCdiOlWf1w,https://twitter.com/NurgulGunaydin/status/1122000863676047360,turkish
#BugünGünlerdenTrabzonspor ! And #MATCHDAY Today is the day of Manchester United!,https://twitter.com/iamnilsuuu/status/562578292210143232,turkish
"@LegiaWarszawa entrusted to us we came back to take 💪😍😍
#BugünGünlerdenTRABZONSPOR
#TrabzonumunMaçıVar
#BordoMavi http://t.co/HlM9UpywJB",https://twitter.com/trabzonumoleyy/status/542929582895423488,turkish
"#CEHENNEM MELEKLERİ KARTAL AVINDA
Coming soon.. tonight at 7o'clock
#BugünGünlerdenTRABZONSPOR ! http://t.co/xZxilwLkIz",https://twitter.com/tt_trabzonspor/status/541550565059461120,turkish
Real mode on #BugünGünlerdenTRABZONSPOR,https://twitter.com/Elifatasoy61/status/537728226156494851,turkish
#BugünGünlerdenTRABZONSPOR Ready For Match ! @realflorentm http://t.co/18MrlBvrEW,https://twitter.com/hsynkpc/status/396960997283336193,turkish
#BugünGünlerdenTrabzonspor -VİDEO http://t.co/OXBRh6SG1I,https://twitter.com/Divaneyiz/status/396908030454792193,turkish
"Are You Ready ?

#BugünGünlerdenTRABZONSPOR",https://twitter.com/yaseminlermii/status/391866050242805761,turkish
There is fire in marmaris!! #bugüngünlerdentrabzonspor #birmeşaledesenyak http://t.co/wlrKwOZkyW,https://twitter.com/ozaneyupoglu/status/363408374169223170,turkish
