text,url,lang
"Is Asia Really Such A Place? May God Protect Us

#CoronaViruesue 

https://t.co/RGwr9yW9tn",https://twitter.com/OfficialJBVotes/status/1220635712929910785,turkish
"The bodies are everywhere in the hospital.
#coronaviruschina 
#CoronaViruesue 

 https://t.co/3mJvkbNTDL",https://twitter.com/BABAYAGa2_0/status/1224713695311339521,turkish
"#CoronaViruesue instead of tweeting about how disgusting China is, why not we focus more on keeping personal hygiene standards high and praying for the nations. Ah, humanity",https://twitter.com/thatfearlessgal/status/1220649474948657154,turkish
"A Chinese’s reaction to the west about recognizing #CoronaViruesue as Chinese virus.

He said: Don’t say Chinese virus, doesn’t belong to us...
#Chinese https://t.co/VqL9sUN5nd",https://twitter.com/rising_sun1992/status/1225830720842731521,turkish
"#China is preparing to burn 30 MILLION BODIES per day, if this is true, the numbers 😨
#CoronaViruesue #Coronavirius #coronaviruslombardia #coronavirusargentina #CoronavirusOutbreak #wuhancoronvirus #CoVid2019 #COVID19italia #COVID 
 https://t.co/pcb8tJOCQY",https://twitter.com/TScelzo/status/1232039574593064960,turkish
How I met with  #CoronaViruesue https://t.co/3vKw9UiZIr,https://twitter.com/onbesharfliisim/status/1230895331874832384,turkish
Technology in the way of fighting #CoronaViruesue in China https://t.co/d9E79bqc6J,https://twitter.com/EmilySc63084734/status/1231191004738248710,turkish
If I carry on seeing Chinese cuisine on my timeline #CoronaViruesue https://t.co/vFyphh5Xwr,https://twitter.com/melikegmscskn/status/1220705210882019329,turkish
"The Prime minister of China who had declared to Stop Islam in China Now went to Masjid to offer Namaz  and praying Allah against Corona virus.

#CoronaViruesue https://t.co/NjYy7YFiav",https://twitter.com/Gemini_Khi/status/1225458164579151873,turkish
"Aspects of #hearts all over the place this morning. Much needed with so much concern with #coronavirüsü 

#heartfilled 
#heartfilledwithlove 
#heartfilledwithjoy 
#heartfilledwithgratitude https://t.co/8jIbm0RO2X",https://twitter.com/SimplyCoachB/status/1237343828597542912,turkish
"#coronavirüsü #coronavirus
Be safe https://t.co/98dggEkPuZ",https://twitter.com/RomeoMogapi/status/1237302972578660352,turkish
Well damn .... #coronavirüsü https://t.co/tGrRoAzdIo,https://twitter.com/ThasLegend/status/1237273427553202176,turkish
"Completed and shipped for testing by the Moderna Inc., this might be the breakthrough everyone is waiting for. 💉 
#Corona #CoronaViruesue 
https://t.co/g0TXQXlpDk",https://twitter.com/IntEngineering/status/1232323663459950592,turkish
"Paki sources confirming Formal Emergency is declared by GOP in #Balochistan province bordering #Iran .
#COVID19 #Corona #CoronaViruesue https://t.co/X7vDEVQuCG",https://twitter.com/MeghUpdates/status/1231278951357485056,turkish
"#CoronaViruesue Is like a ( Spanish flue ) that infeacted about 500milion people in 1918-1920 the death toll estimated about 50 million or more, I think this #virus has made by powerfuls to decrease the population of the #world and impact the #Global #economic",https://twitter.com/RagirSaeed/status/1231187737262292993,turkish
"Video surfacing from #China showing a signs threatening people. 

First sign, “Going out is death, anyone goes out is an enemy.” 

Second sign, “We will break your feet if you go out, we will break your teeth if you argue.”

#coronavirus #COVID19 #CoronaViruesue #coronaviruswuhan https://t.co/cr4Co0GqT9",https://twitter.com/Hoffaktor_/status/1230993298199851009,turkish
"Stay safe 
#CoronaViruesue https://t.co/mQehVKO0qr",https://twitter.com/shan4rr/status/1230923951796256768,turkish
Solidarity with the People's Republic of China in its struggle against the #CoronaViruesue. You shall overcome!,https://twitter.com/ThatBoyKhalifax/status/1228637983332585473,turkish
