text,url,lang
"Kids , We didn’t come for petroleum , we came for showing the beauties of nature , we came to share our love , we came for creating a more livable world... #DünyanınEnGüçlüOrdusuyuz #bismilah #Turks #BAHARKALKANI #GreeceUnderAttack #سوريا #بسم_الله https://t.co/BiBhb13MuS",https://twitter.com/kayipdenizci1/status/1234216023534002176,turkish
Game of Drones #DünyanınEnGüçlüOrdusuyuz https://t.co/HQaPcEWsq5,https://twitter.com/nsyldrm06/status/1234220634416254976,turkish
This is Turkish Armed Forces #DünyanınEnGüçlüOrdusuyuz https://t.co/eoI43Nk7OL,https://twitter.com/nGS89612214/status/1234204832682168320,turkish
We said we dont like to war. We didnt say we didnt know! #dünyanınengüçlüordusuyuz https://t.co/CvwpNXKrNM,https://twitter.com/limitasimi/status/1234241538907090947,turkish
"#GeceyeBirSözBırak #samdaisyan #duenyanınengueclueordusuyuz Hello world and especially Europe, please a warm welcome for the refugees https://t.co/KSG71Sr21s",https://twitter.com/B_O_Z_O_K/status/1234257860286177281,turkish
"#DünyanınEnGüçlüOrdusuyuz
We are the most strongest army in the world
#WeAreAllTurkishSoldiers https://t.co/A3SNfnCOuK",https://twitter.com/lionintheforest/status/1234220569161355265,turkish
You know! we never rest..  Boom boom #TurkishArmedForces #cosmos #idlib #syria #DünyanınEnGüçlüOrdusuyuz #samdaisyan https://t.co/WhgJV0xzHj,https://twitter.com/isa_10der/status/1234259417861894148,turkish
"""Turkish army; No cleaner, stronger soldier was encountered in any army of the world than yours."" 🇹🇷 #DünyanınEnGüçlüOrdusuyuz https://t.co/o4j2Yte6Mw",https://twitter.com/CaelumProtector/status/1234267010013507584,turkish
Confused! #DünyanınEnGüçlüOrdusuyuz https://t.co/zQUaHJxLSE,https://twitter.com/ibrahimyanik/status/1234266292221333506,turkish
"#Turks are in #idlip

#DünyanınEnGüçlüOrdusuyuz https://t.co/3OsrePZXbY",https://twitter.com/ZaidAttas/status/1234232922128994305,turkish
"Let's war on equal terms.  Let's see who is strong 💪 #NeMutluTürkümDiyene
#mehmetciğinyanındayız #DünyanınEnGüçlüOrdusuyuz https://t.co/ridsNhzf04",https://twitter.com/limitasimi/status/1234306095079985152,turkish
Do you want to syria-russia? Be brave. War like a lion... #sat #sas #DünyanınEnGüçlüOrdusuyuz https://t.co/d1begGuBfm,https://twitter.com/limitasimi/status/1234311279470358529,turkish
"Those who did not know also learned, We said we do not want war, we did not say we do not know how to fight #DünyanınEnGüçlüOrdusuyuz https://t.co/MR5EPSk1VN",https://twitter.com/CSKNRSLN/status/1234249755531841537,turkish
"#GreeceUnderAttack they said ""the europeans are civilized"" but they havent different from animal at behaviour #DuenyanınEnGueclueOrdusuyuz",https://twitter.com/insan_tipik/status/1234229016225296384,turkish
"#DünyanınEnGüçlüOrdusuyuz In 1921, the Entente States fought not with the Turkish Army, but with the faith of the Turkish Nation. And no army in this world can beat a believing nation! The #Turks believed!",https://twitter.com/kirmizipersona/status/1234204206900355072,turkish
#DünyanınEnGüçlüOrdusuyuz Don't forget Gallipoli!,https://twitter.com/kirmizipersona/status/1234202833735516160,turkish
"We are here and ready!
 
#DünyanınEnGüçlüOrdusuyuz",https://twitter.com/dogan_soykan_/status/1234203159033151493,turkish
"#DünyanınEnGüçlüOrdusuyuz 
No doubt that Turkish forces are more. Powerful than brutal people and so called super powers of the world Pak-Turk forces are the pillars of every Muslim  country of tge world and these forces are against of them who kill innocent  Muslims Brutaly! 😡 https://t.co/K3BZtznAXy",https://twitter.com/InsafianRashid/status/1234338055013707776,turkish
"#DünyanınEnGüçlüOrdusuyuz
Wishing everyone a calm and peaceful day ..
https://t.co/gIBws78OA2",https://twitter.com/Bloggins4435/status/1234209623500034049,turkish
"#Turkish airstrike against a group of #pro-#Assad soldiers who were allegedly preparing to carry out a small  video recording drone.
While 
Here Turk dron attack an the pilots.😪
And

Video recorder drone reached to Afghanistan..😜
#Idlib #Syria  
#Dünyanınengüçlüordusuyuz https://t.co/XrbUaIXdLO",https://twitter.com/waliMasoom2917/status/1234259094992715777,turkish
"@lawgreece @RomanaVolny @NicAthens It's just untruth photoshop work. Nobody should do such things. Please don't spread  such things to others. Let me show you the truth about Turkish soldiers. Not image, just video and from Syria. 
#DünyanınEnGüçlüOrdusuyuz
 https://t.co/DA2sTJmz6B",https://twitter.com/basturkmerve/status/1234233880737132546,turkish
We are not a nation with an army. We are an army with a nation #DünyanınEnGüçlüOrdusuyuz,https://twitter.com/harunkulek/status/1234208316664033281,turkish
"Finally, a sane voice from EU circle. 

Turkey going in war NOT for border expansion or oil -- but to save innocent Syrian civilians who were bombed day in and day out. 

#DünyanınEnGüçlüOrdusuyuz https://t.co/rNwYemVQQ0",https://twitter.com/2munawar/status/1234254562464276480,turkish
"Turkis will defend the oppressed Muslims while other Muslim countries just neglected.
 #DünyanınEnGüçlüOrdusuyuz",https://twitter.com/DearReAkSe/status/1234336400469680129,turkish
"Why don’t presidents fight the war?
 Why do they always send the poor?
 Why don’t presidents fight the war?
 Why do they always send the poor?
 Why do they always send the poor?
 Why do they always send the poor?
 Why do they always send the poor?
#DünyanınEnGüçlüOrdusuyuz",https://twitter.com/sinapsmatik/status/1234336007585177601,turkish
"@lilacfoal You will taste death with Bessar.

SIHA and IHA are coming
start searching holes

#DuenyanınEnGueclueOrdusuyuz",https://twitter.com/ozer1905/status/1234252067478306816,turkish
Please find the attached file to see the one of the most powerful armies in the world 🇹🇷🇹🇷🇹🇷 ❤ #DuenyanınEnGueclueOrdusuyuz #Turks #BAHARKALKANI https://t.co/0diJBt7o2v,https://twitter.com/CivelekThe/status/1234345555817574400,turkish
#DünyanınEnGüçlüOrdusuyuz #Lübnan #Lebonan #Beirut THANK YOU LEBONAN. YOU ARE OUR BROTHERS 🇹🇷🇱🇧🇹🇷🇱🇧 https://t.co/xnZmyV0Fe2,https://twitter.com/gkcn777/status/1234275222209036288,turkish
"@nsyldrm06 #DünyanınEnGüçlüOrdusuyuz
King of the Drones😁 @Selcuk",https://twitter.com/nzn_66/status/1234264639527104514,turkish
"The war is getting more intense 
#DünyanınEnGüçlüOrdusuyuz https://t.co/WCGumdsjd8",https://twitter.com/ali_fasy/status/1234249835596984323,turkish
"We are not a nation that loves to shed blood.But when it comes to the homeland, we will cut the earth's veins if necessary 🇹🇷 #DünyanınEnGüçlüOrdusuyuz",https://twitter.com/KacaranErtugrul/status/1234249637315391489,turkish
"We fight for peace and ı belive that one day there will no war.Innocent
children will win this war. 
 #DünyanınEnGüçlüOrdusuyuz",https://twitter.com/Kirpi03216840/status/1234238034750705664,turkish
"#DünyanınEnGüçlüOrdusuyuz
TURKEY HAS THE MOST POWERFUL ARMY IN THE WORLD.
🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷",https://twitter.com/betulravzaa/status/1234216492050403329,turkish
Lord Of The DRONS 🇹🇷 #DünyanınEnGüçlüOrdusuyuz https://t.co/wK9gpbbz36,https://twitter.com/m_gozuk/status/1234214009974423556,turkish
"Trust in friends, fear in enemies 🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷
Evangel! We are coming🤘
We Turks are people who, throughout our history,have been the very embodiment of freedom and independence.ATATÜRK #Turks #TurkishSoldiers #Turkishmilitary #BAHARKALKANI #AdaletVakti #DünyanınEnGüçlüOrdusuyuz https://t.co/dR2jDkAitg",https://twitter.com/LadyBrain35/status/1234259392847077377,turkish
"@vkharlamkina @krokocot @CwREonBprlHt3Qs We don't know the terrorist Assad.

#DünyanınEnGüçlüOrdusuyuz",https://twitter.com/FENER_ADASI/status/1234240156372172800,turkish
"@evil21811 @alexbalalaika @KalkaniBahar Why are you on another country's territory?We protect our country from terrorist Assad.Return to your home 5000 km away! 
Keep crying!

#DünyanınEnGüçlüOrdusuyuz",https://twitter.com/FENER_ADASI/status/1234239166566862849,turkish
#DünyanınEnGüçlüOrdusuyuz   Stop the migrant invasion of Europe. https://t.co/GbfnqGcPtO,https://twitter.com/DSchrooner/status/1234225939963424771,turkish
"this is the Turkish army..
friend of the oppressed,
enemy of the tyrant..

#Turks #Idlib #eyesonidlib 
#killerindia #killerassad
#Syria 

#DünyanınEnGüçlüOrdusuyuz
#Bismillah 
#BAHARKALKANI https://t.co/iEnEpJa4UO",https://twitter.com/tugayreis41/status/1234210403128877059,turkish
