text,url,lang
"“A Hungary Stomach
An empty Wallet and 
A Broken Heart Can Teach You 
The Best Lesson Of Life”

 #perşembe",https://twitter.com/saidercan/status/1235472746047393792,turkish
Morning #Persembe 🍓 https://t.co/NVTOV3Knwq,https://twitter.com/asliberbeerr/status/1235446461661356032,turkish
"Ahh ah 🙄

#Persembe https://t.co/KEqu2Ocuho",https://twitter.com/rugyufile/status/1235644601827876864,turkish
https://t.co/aVbmOaQ9Vk #Thursday President Erdogan heading to Russia #SpringShieldOperation #BaharKalkanıHarekatı #Persembe,https://twitter.com/cover_up8d/status/1235515370250874882,turkish
#ThursdayThoughts #ThursdayMotivation #perşembe #thursdaymorning Amazing https://t.co/lBCevmbND7,https://twitter.com/soneerbozkurt/status/1235636936708182026,turkish
Work work 💕 #perşembe https://t.co/KsO646bizP,https://twitter.com/sevil_acar/status/1235498511829028864,turkish
"İETT vs KGB
                       FIGHT
#Persembe https://t.co/Ek9OGhqPRL",https://twitter.com/solokemann/status/1235498338616840193,turkish
"#HappyTuesday #Perşembe 

Don't wait until the weekend to relax and enjoy..😄

own picture/ my friends :) https://t.co/YGhaR5RX9y",https://twitter.com/InspiringPeopl6/status/1235459541334188032,turkish
@EdwardBedivere @HasTurkeyJoined I’ve got the best feeling about this week. #Perşembe https://t.co/XMO0qrvy8Q,https://twitter.com/mcgough_p/status/1236416389700780032,turkish
Ahhhhhh Cedric 🤦‍♀️😅😂 #perşembe https://t.co/QqtvlQgfO5,https://twitter.com/Katremia1/status/1235515573808873472,turkish
Morning from #perşembe.,https://twitter.com/keskingizem96/status/1235426530366545921,turkish
"Morning.....

#Persembe #gunaydin https://t.co/BJ1j26pfJT",https://twitter.com/Aliyoni_/status/1235485115784060928,turkish
"Cute pigeon...🕊️

#Pigeons #Birds #Cuteanimals #Funny  #Thursday #Perşembe https://t.co/VFPVBX6Orf",https://twitter.com/Barisgezer67/status/1235539095486631937,turkish
#ThursdayThoughts #ThursdayMotivation #perşembe #thursdaymorning Australia 🇦🇺 https://t.co/W5a3f1qg0X,https://twitter.com/soneerbozkurt/status/1235639091531853824,turkish
"There goes my baby with someone new
She sure looks happy, I sure am blue
She was my baby 'til he stepped in
Goodbye to romance that might have been

#perşembe",https://twitter.com/octavian_gaius/status/1235424879027064832,turkish
"It is not Turkey, it is not Greece, and it isn't the victims themselves that caused the mass displacement of millions of people and the Refugee crisis.
 It is son of a bitch in Damascus and his name is bashar al-assad. #RIPTwitter #Perşembe",https://twitter.com/AhmetAksekii/status/1235436977509429251,turkish
"The result will be observed by India by the end of Nov 2020. India must be ready for a military response on the lines of 65' war with Pakistan.The conditions will definitely be created by Pakistan, as seen from the chart of Pakistan.
Katy Perry #perşembe",https://twitter.com/astrologer_king/status/1235479100514418694,turkish
"Whoever eats the right of the poor orphan in my country...
#Persembe #Coronvirus #OKadarOEzgueruezKi",https://twitter.com/Ahmettyldz7/status/1235553909751590913,turkish
"show must go on. 

#OkadarÖzgürüzKi  #Persembe https://t.co/QrEobdKqyI",https://twitter.com/littlefisharch/status/1235553836699455493,turkish
Is it true? #gundem #Syria #Persembe https://t.co/2WYNg9iuHy,https://twitter.com/fassafisoo/status/1235532593711534081,turkish
"I saw your face
In a crowded place

#perşembe",https://twitter.com/octavian_gaius/status/1235438084302540800,turkish
#perşembe #cuma #RTE #putin National Aeronautics and Space Administration #Enjoy :)) https://t.co/mwgsewvyZP,https://twitter.com/sculptorgzde/status/1235585763800240128,turkish
"I'm not going to prefer to live as their slave !!

#Coronvirus #ailebknatananlarişbaşı #OKadarOEzgueruezKi #Persembe #YerliUygulamaBilenKazanır #Thursday",https://twitter.com/MaviS_MaviS16/status/1235522691286827008,turkish
Happy Birthday @Merihdemiral 🖤 #UCL  #HBD #Persembe  #Coronvirus https://t.co/7lmK6xza3d,https://twitter.com/B1JK90_3/status/1235515492305166337,turkish
"#BAHARKALKANI 
Turkish Bayrakatar TB2 is still flying over the western countryside of Aleppo, especially on the Dar Azza Aleppo road
#Idlib 
#Turkish 
#Persembe 
#Syrian https://t.co/OqZVSQEkDw",https://twitter.com/Ihssan_89/status/1235481281988788229,turkish
"“İ want something just like this”
#Persembe",https://twitter.com/serimetaf1/status/1235324281413918721,turkish
"@TSKGnkur  It doesn't end before we say it's over 😎🇹🇷🇹🇷🇹🇷

#WhatsApp 
#perşembe 
#cuma
#OperationSpringShield https://t.co/cwTxo4PiTu",https://twitter.com/YalancnnMumu5/status/1235133253717282817,turkish
"""When you cease to dream, you cease to live.""
Malcolm Forbes

#QuoteOfTheDay #design #creativedesign #thursday #perşembe #tasarım #marka #paristanbul",https://twitter.com/Paristanbuldsgn/status/1235502674457407489,turkish
"if you drink #kellepaca soup like Turkish people you can protect yourself.

 #Coronvirus #coronaviruswuhan #Koronovirus #CoronaVirusIran #Persembe #Killerindia #BlackSwan #Covid_19 https://t.co/J641pgUdtL",https://twitter.com/marcelloGarcio/status/1235432805762555904,turkish
