charTrigrams,wordBigrams,wordUnigrams
 th,,the
the,of the,to
he,in the,of
ing,we are,in
 to,don t,and
ng,the world,is
to,it s,a
is,to the,you
nd,to be,we
 in,will be,for
re,turkish army,i
 an,are you,are
e t,is the,s
ed,allah give,it
in,may allah,this
and,this is,on
 of,for the,be
on,are the,with
of,you ready,turkish
you,i m,will
st,the best,at
 yo,the turkish,my
e a,one of,turkey
er,going to,not
 is,the operation,day
n t,in syria,that
tur,it is,as
for,on the,from
 be,as a,t
or,the first,by
 wi,good day,but
s t,you will,our
ion,are coming,your
at,welcome to,world
 fo,by the,they
e s,at the,who
es,we came,time
 we,the most,good
t t,with the,like
e w,see the,love
ll,how many,all
 re,is a,army
 a,from the,how
we,the way,people
 co,time to,one
urk,day to,operation
 ar,to all,was
 wa,so much,do
ay,to hell,so
an,of drones,what
me,are not,allah
d t,with a,no
ve,the war,syria
ou,the poor,today
 st,we re,go
are,army started,more
tio,started the,war
 tu,operation may,an
s a,give strength,me
 wh,give victory,when
rea,day of,have
day,spring shield,amp
all,for a,he
e i,if you,first
ati,you can,see
ent,happy good,out
 he,to go,don
e o,first time,just
 on,is back,about
her,match day,coming
est,game of,best
 no,like to,his
thi,let s,watch
ut,do you,can
 ma,want to,ready
t a,like a,may
ts,turkish soldiers,if
 go,not a,there
nt,why do,has
his,do they,give
our,they always,its
 so,always send,them
as,send the,air
al,we will,great
 wo,they are,happy
ter,turkey will,show
 ha,shot down,going
 pr,turkey is,why
ey,a great,stop
ill,proud of,regime
 do,is coming,take
t s,there is,or
 mo,to take,su
le,the hero,now
 al,hero turkish,us
sta,strength allah,hell
it,the end,morning
 li,i have,m
 s,and the,china
e c,but i,up
t w,to watch,technology
th,be the,know
s i,and technology,here
ish,army in,were
ome,army of,syrian
 ca,who is,peace
e p,calm and,much
se,poor why,their
my,thank you,get
 it,war is,only
ow,the sky,down
ver,not going,new
s o,nor a,look
s s,excuse me,next
ch,down by,galatasaray
en,turkish air,welcome
com,allah protect,fight
sh,assad regime,re
f t,of you,last
ith,will see,started
 da,the turks,way
ur,the last,back
e m,when you,team
ere,is our,dont
 se,good luck,most
hat,won t,soldiers
ers,they don,video
o t,and his,win
s w,you re,assad
e f,is not,protect
 lo,what is,spring
y a,is this,make
e b,good morning,some
eve,i love,over
 i,end of,life
ar,into the,project
wit,in china,virus
rs,look at,drones
y t,such a,forces
kis,s a,want
 at,with you,those
t i,you i,did
 ch,waiting for,turks
 sh,ready for,been
be,m not,very
hin,my heart,god
 pe,ready to,d
g t,when i,many
h a,you like,proud
ot,we have,victory
art,keep calm,because
ly,day trabzonspor,two
r t,medical park,international
 fr,park stadium,where
 de,are proud,mood
ne,during the,believe
ce,made in,istanbul
ove,chinese people,match
one,we didnt,during
rki,to syria,chinese
n a,we do,came
per,do not,game
ime,know how,let
r a,but with,strong
wor,are here,country
ght,turkish forces,against
ry,forces are,everyone
n s,people and,such
e d,a nation,always
not,fight the,friends
igh,to see,russian
wil,the one,her
 ou,one day,live
ke,have been,wait
d a,to your,must
 ne,we used,miss
tha,used to,she
et,the sound,flying
 as,sound of,said
 ba,of a,say
ear,we hear,europe
 fi,a house,forget
out,bring peace,these
 me,is going,attack
min,the regime,other
ive,heroic turkish,fear
pro,turkish soldier,loading
 sa,by turkish,picture
eat,go ahead,would
ld,ahead and,again
ope,and crush,end
 te,crush the,needed
 su,the enemy,him
 mi,enemy may,cemre
e r,protect the,which
res,soldiers ameen,festival
