text,url,lang
"Billboard 🇺🇸 Update
Chart dated March 14, 2020

Hot 100
#68 #ON by @BTS_twt (-64)

BB 200
#3 #MapOfTheSoul7 (-2) 

Artist 100
#3 #BTS (-2) 

Keep streaming, ARMYs! 💜
#BoyWithLuv #BestMusicVideo #iHeartAwards https://t.co/bTgtg8mect",https://twitter.com/USARMYLovelies/status/1237123200955363329,native
There is only one JIN 💜 #BestMusicVideo  #BoyWithLuv  #iHeartAwards  @BTS_twt https://t.co/vDW7Xf1nBS,https://twitter.com/kathyflora/status/1237037241198710785,native
"BOB ROSS is trending 😂 
#BoyWithLuv #BestMusicVideo #iHeartAwards @BTS_twt https://t.co/44216qYdL3",https://twitter.com/modooborahae/status/1237212202173677568,native
"Imagine BTS performing ON in concert in front of 80,000 ARMY 😭 #BestMusicVideo  #BoyWithLuv  #iHeartAwards  @BTS_twt https://t.co/gF8HwIrTA2",https://twitter.com/kathyflora/status/1237103158179979264,native
"REMINDER,
for Armys to tag @BTS_twt 
to your posts that is about (Bts.)

▪Don't waste your post its very 
  useful for Social 50!

( #iheartAwards #BoyWithLuv
#BestMusicVideo ) https://t.co/QTVKqRPSge",https://twitter.com/BtsGreekleague/status/1237058154753658880,greek
"due to our lazy asses we are here with a small, almost nonexistent, gap and y'all still don't bother to RT + R3PLY with the hashta6 

#BoyWithLuv #BestMusicVideo #iHeartAwards @BTS_twt

https://t.co/QiAJ8GF1ir",https://twitter.com/btsluvvsarmy/status/1237097856877473792,indian
"🚨 The Gap is So Close 🚨
 
RETWEET, REPLY with keyword 'UGH ' 
+ HASHTAG #BoyWithLuv #BestMusicVideo #iHeartAwards @BTS_twt

https://t.co/NcjItsZ0tl",https://twitter.com/btsluvvsarmy/status/1236967946284490758,indian
"🥰💜🥰💜🥰💜🥰💜🥰

The love letter from BTS to ARMY 💌

☆Boy With Luv☆

#BestMusicVideo 
#BoyWithLuv 
#iHeartAwards 
@BTS_twt
💜🥰💜🥰💜🥰💜🥰💜 https://t.co/aX9LvzT0jH",https://twitter.com/Galaxy_B_T_S/status/1236463146232991744,japanese
Lead singer of the Biggest Band in the World 💜 💜💜💫#BestMusicVideo  #BoyWithLuv  #iHeartAwards  ⁦@BTS_twt⁩ https://t.co/SMJLw22j2s,https://twitter.com/kathyflora/status/1236086901674618880,native
JIN always looking after the babies💜 #iHeartAwards  #BoyWithLuv  #BestMusicVideo @BTS_twt https://t.co/i96C4oc6vs,https://twitter.com/kathyflora/status/1235997265455534080,native
