text,url,lang
"“The second I finished #GameofThrones, I wanted to go straight back to some form of television,” Sophie Turner told ELLE for our April issue. “Now that I’m out of it, I’m only starting to realize how incredible it was."" https://t.co/76p8EQkY72 https://t.co/9qaUcJ5Ouy",https://twitter.com/ELLEmagazine/status/1234799009493069824,native
Look what I came home to! Thanks Conleth Hill that's so wonderful!! #GameofThrones https://t.co/c6kPatuhWa,https://twitter.com/henshpaul/status/1234893847911641092,native
The Lannister army after they see Daenerys Targaryen’s dragon #GameOfThrones https://t.co/kE79KYA5tK,https://twitter.com/EddieDevaroux/status/1235266118199083008,native
mmmmmmm i love jorah mormont #GameofThrones #jorahmormont https://t.co/HDplNsFDGw,https://twitter.com/DearVenison/status/1234768440931561472,native
"#GameOfThrones' Emilia Clarke reveals the gift her brother stole from the set for her

https://t.co/y22w3JYzdn https://t.co/5CKQ7a2gLW",https://twitter.com/digitalspy/status/1234844774378635264,native
"That was her baby you monster.

#GameOfThrones https://t.co/cpQKYNXSpe",https://twitter.com/BlazyGardener/status/1235964859256365057,native
Meet the man behind the sound effects for the White Walkers and wights on #GameOfThrones https://t.co/UKtlDHDztf,https://twitter.com/EntInsider/status/1234711149100355584,native
Points were f—ing made. Amirite 😂 #AvatarTheLastAirbender #GameOfThrones https://t.co/rARGo0GqZV,https://twitter.com/Fiona_Murphey/status/1236693336729231362,native
Who is your fav. character of #GameOfThrones if u hve watched?? https://t.co/ynBxGB3mED,https://twitter.com/BOLLYWO93268287/status/1235905661919100930,indian
Deleted clip from #GameOfThrones https://t.co/BCyEgKvAdA,https://twitter.com/DelhiDecoded/status/1237053873069514752,indian
"Finally, I have been waiting for ages!!!
1. This 
2. Last book of #gameofthrones https://t.co/C3KlPWrMWO",https://twitter.com/necatibatur/status/1236002077907787776,turkish
The loves of my life!!! #GameOfThrones https://t.co/tXrJGK9byT,https://twitter.com/paul_semande/status/1235310256131125250,native
Scene Study. “Spoils of War” S7E4 #GameOfThrones https://t.co/fh9P7n9KwN,https://twitter.com/Cschultz12/status/1237136149388410886,native
"""Our show's like #GameofThrones, but in a trash field,"" — Norman Reedus on #TalkingDead",https://twitter.com/KirstenAcuna/status/1236836807972499457,native
"“The second I finished #GameofThrones, I wanted to go straight back to some form of television,” Sophie Turner told ELLE for our April issue. “Now that I’m out of it, I’m only starting to realize how incredible it was."" https://t.co/w4Tcb7FY8c https://t.co/cHqwuiUf9M",https://twitter.com/ninagarcia/status/1234837910572216321,native
"Dire wolf 🐺 💚
Acrylic on 16 x 24 
#artwork #painting #GameofThrones https://t.co/klZb80OJYF",https://twitter.com/MissArtTart/status/1234615635344318467,native
"Might be on late tonight, gonna finish #GameOfThrones and chill with the wife while the kids are out. https://t.co/oQt6QtZP30",https://twitter.com/TGN_TANK/status/1235603505647321094,native
"- The Rains of castamere
#GameOfThrones https://t.co/z0q44CZqks",https://twitter.com/LonelyinAlone/status/1235864130134740994,native
Emilia Clarke‘s brother swiped a gift for her from the #GameOfThrones set! https://t.co/MZqHaWXDSG,https://twitter.com/JustJared/status/1235472722563444741,native
"#GameOfThrones showrunners David Benioff and D.B. Weiss will reportedly appear in #Westworld S3

(via @TheWrap | https://t.co/ZRY9o4bnQH) https://t.co/CkLAyFs6kB",https://twitter.com/getFANDOM/status/1236041220222156801,native
"More recently, Max von Sydow played explorer Lor San Tekka in #StarWars: #TheForceAwakens and the Three-Eyed Raven on HBO's #GameofThrones — for which he received an Emmy nomination https://t.co/lPJQwxzrDy",https://twitter.com/THR/status/1237002572008960000,native
"Join some of the most creative storytellers in Hollywood who have worked on #GameOfThrones, Alias, The Neighborhood, 90210, Shape of Water to name a few. A limited number of 'Early Bird' tickets sales available for TuesdayNights Media Conference on May 1.⁣ Go to link in bio now! https://t.co/icCh6OPFwK",https://twitter.com/TuesdaynightsLA/status/1235248465942216707,native
"Raffle prize for @SnafuBjorn of Daenarys Targaryen :) 

#digitalart #GameofThrones https://t.co/VMFioiLNoY",https://twitter.com/Stromiiii/status/1234195837435154432,native
Kings Landing lives on #GameOfThrones https://t.co/lPLRPyR9aJ,https://twitter.com/Jakfirst/status/1235529527830482944,native
Liam Cunningham has appeared in more episodes of #LateLateShow than #GameOfThrones,https://twitter.com/betdaqsports/status/1236064523162759172,native
This one was actually really interesting to see too! I just painted shapes and did not do a base sketch for this at all #StartToFinish #GameOfThrones https://t.co/NPO9y6ptWM,https://twitter.com/NaomiMakesArt/status/1236790925658996736,native
Let's see what all the moaning is about #GameOfThrones #GameOfThronesseason8 https://t.co/YDzLtcrv2s,https://twitter.com/ceilesmammy/status/1236295484488265728,native
"I missed Throwback Thursday, but here's a throwback of my Drogo cosplay, anyway ✌️

📸: Matthew Kissau Photography
#cosplay #GameOfThrones https://t.co/rqCeBK0ahZ",https://twitter.com/MissChezza2/status/1236034327789441024,native
"World Book Day for the boys 2day #GameOfThrones, #wheresWally https://t.co/tCagHKYrd3",https://twitter.com/DonnaMo38164704/status/1235520443618144257,native
#TheWalkingDead had a #GameOfThrones feel to it tonight. The only difference is... when a battle is about to go down GOT delivers. There’s no to be continued next week. This happens all to often on TWD 😒 https://t.co/QBBtTjtDr6,https://twitter.com/vadert1me/status/1236855595157860353,native
"RIP the great #MaxVonSydow. A man with an incredible range, from #FlashGordon, #TheExorcist #Dune #MinorityReport #TheSeventhSeal #StarWars #ConanTheBarbarian #ShutterIsland #JamesBond &amp; #GameOfThrones, to name but a few. He was 90. https://t.co/sQByPWxovl",https://twitter.com/AvengersTvShow/status/1237018078636113933,native
"#GameOfThrones villain Jack Gleeson makes surprise TV return SIX years after King Joffrey role 

#GOT

https://t.co/iBz8rhacg4 https://t.co/d7uNa7GlzM",https://twitter.com/Daily_Express/status/1236200159760887814,native
"RIP #MaxVonSydow... You'll always be royalty to us..

#StarWars
#GameOfThrones https://t.co/wwNaGLN8jx",https://twitter.com/Allegedly_G/status/1237044172776931328,native
"'It was a disaster,' Sophie says about the red blazer dress she wore to #GameOfThrones castmates Kit Harington and Rose Leslie's wedding and we couldn't love her more https://t.co/VbHCp6g36B",https://twitter.com/ELLEUK/status/1235161356137123846,native
"King of cool, at last I finally meet Charles Dance!! #lfcc #LFCCspring #GameofThrones https://t.co/jdUenIqis5",https://twitter.com/mintygriff/status/1234136619629924352,native
In #bcm110 guessing what scene of #GameofThrones has everyone gasping and finding out it was the red wedding https://t.co/66EF92MIxA,https://twitter.com/tam_robbo/status/1236909424859656192,native
I’m really saddened to hear of the death of Swedish actor Max Von Sydow. He has been a majestic film presence throughout my life from his work with Ingmar Bergman through #StarWars &amp; #GameofThrones. https://t.co/G2rYJBk4J5,https://twitter.com/CHANNINGPOSTERS/status/1237057120568147978,native
"RIP the the Three Eyed Raven, Max Von Sydow #GameOfThrones",https://twitter.com/DavisG2042/status/1237024369454571520,native
I need me some GOT!!!! #GameofThrones https://t.co/JaMCKWDqRq,https://twitter.com/youplaytowin/status/1236804974933356544,native
"Lord Varys
#GameofThrones 
#GoT https://t.co/JelbvYiCS3",https://twitter.com/Doesitreallyma9/status/1237233268178792453,native
#GameOfThrones vibes tonight 💀💀#TheWalkingDeadUK https://t.co/GjfJPBraSe,https://twitter.com/natlinks85/status/1237133870245519364,native
#TheMountain still killin it #GameOfThrones #CleganesRBig https://t.co/k8kpBDsQU0,https://twitter.com/BlaineLeeds/status/1237128452999753728,native
"Am ready to be hurt again, but I still love you #GameOfThrones https://t.co/wZwEkBIPmi",https://twitter.com/LKingofeurope/status/1237086423834116096,native
"Missing wearing a bathing suit to a con dressed as Ygritte from #GameOfThrones smooching on Hound merch.

Also more proof that I need to be a red head asap https://t.co/xd4nYBeS3L",https://twitter.com/coffeebeanliver/status/1237085210354823173,native
Progress on my Tyrion Lannister pic! #art #got #GameOfThrones #wip https://t.co/RNPHkg8X4x,https://twitter.com/CartYoun/status/1237048178677108737,native
"DRACARYS 🐉🔥
#GameOfThrones #Dragontone #GOT https://t.co/IujrIcYy2j",https://twitter.com/KweenKortni/status/1237046647995203584,native
How the #GameofThrones dragons were designed https://t.co/Ovo3a5nOcD,https://twitter.com/EntInsider/status/1237015774948216832,native
"The White-Walkers are here, while we are busy playing the Game Of Thrones 
 #CoronavirusOutbreak 
#Got #GameOfThrones https://t.co/YhO8DBUb9x",https://twitter.com/TheQtiyapaGuy/status/1236205247275470849,indian
