text,url,lang
"Basically don’t be a cunt, wash your hands. #FlattenTheCurve #COVID2019 https://t.co/hOirmvxROD",https://twitter.com/JonathanPieNews/status/1237343388678131712,native
Your phone is filthy. Viruses can cling to glass surfaces for up to 96 hours. Do yourself a favor and take a second to clean up your electronics. Here's how: #COVID2019 https://t.co/YwlFZ67qmI,https://twitter.com/WIRED/status/1237354881423413248,native
#COVID2019 Me when someone coughs near me: https://t.co/ZOzrJgZaU3,https://twitter.com/unasseptable/status/1237337339032154112,native
Officially done with the internet!🤣🤣🤣#COVID2019 #JohnTravolta https://t.co/qVsO3n6pO9,https://twitter.com/AmmataCornwell/status/1237194568623366144,native
We have taken the decision to SUSPEND all running across our 20 groups until the #COVID2019 situation is resolved. This decision is being taken to protect all of our runners - but most especially those living in #Directprovision - We will continue to offer support remotely https://t.co/7h9dthVtSB,https://twitter.com/SanctuaryRunner/status/1237344106831060994,native
closing all the private colleges while keeping the majority of the public ones open is the most elitist fucking thing ever #cuny #COVID2019,https://twitter.com/thrjri/status/1237224298617724929,native
The only thing we need to shout about with #COVID2019 is to WASH YOUR HANDS please don't take short cuts it's something we should all be doing anyway. https://t.co/4ofyP6BObJ,https://twitter.com/WestmorlandCare/status/1237253569591607296,native
"Chronology of #COVID2019 spreading across the globe

The outbreak speed in #Iran further proves this regime has been lying about this catastrophe from day one.

 https://t.co/jimOsoMp2e",https://twitter.com/Laaask2/status/1237303311964835841,native
"Me on the Tom Joyner Cruise  now that travel cruise tickets are $20

#COVID2019 https://t.co/3EoY2647uS",https://twitter.com/tariqnasheed/status/1237192140607741952,native
One reason @POTUS &amp; his enablers failed to contain #COVID2019 is due to the myopic focus on China. The virus was also carried into the US from other countries &amp; US travelers. Calling it Chinese coronavirus is scientifically wrong &amp; as stupid as calling it the Italian coronavirus. https://t.co/T5SPlSaKaA,https://twitter.com/tedlieu/status/1237218087004295168,native
#COVID2019 Finally India shares two SARS-CoV-2 genome sequences. See details below - https://t.co/IAxZqYYUJK,https://twitter.com/yasVEENA/status/1237280155954864128,indian
Lollll the only #COVID2019 joke I can still laugh at https://t.co/J6c6aYOJuw,https://twitter.com/TheIDApprentice/status/1237191153859964928,native
Dear UK loo roll hoarders: suggest you install one of these instead #COVID2019 https://t.co/09JTxJLPoy,https://twitter.com/NeenaModi1/status/1237208746230550528,native
"This is a lie. There are verified Twitter accounts who attended CPAC, who are feeling ill. They are very pissed off right now. #COVID2019 https://t.co/Wuep8NRCim",https://twitter.com/BrandiLynn4Ever/status/1237204203925364737,native
"#COVID2019 can be carried by anyone: a US citizen, a Japanese tourist, an undocumented youth, or a Member of Congress. #Coronavirus doesn’t care about your party, gender or religion. It is not Chinese, it’s a virus.

Below are some myth busters from WHO.

https://t.co/L3U7PVwbHk",https://twitter.com/tedlieu/status/1237238588158312448,native
Imagine thinking we don’t need universal healthcare in the middle of #COVID2019,https://twitter.com/FredTJoseph/status/1237197411870703619,native
"For the record.
#COVID2019 #coronavirus #stopthehysteria https://t.co/84oujfK5dQ",https://twitter.com/foxlee16/status/1237355814911799296,native
"All eyes on Spain. 😷

It’s serious in Italy but all indications are that it will end up being far worse in Espania.  

#COVID2019 #CoronavirusOutbreak",https://twitter.com/MrMasonMills/status/1237352872821624834,native
Wtf is wrong with this country? I'll tell you what... Let people die it'll cost the govt less then actually helping them. Eh @BorisJohnson? Well done @Conservatives! #coronavirusuk #COVID2019 #CoronavirusOutbreak https://t.co/UrGDb6GIE0,https://twitter.com/MuslimahRev/status/1237352533993103361,native
"keep safe

@runjewels @KillerMike @therealelp #COVID2019 https://t.co/mUM1WhK4LD",https://twitter.com/slamuelrintoul/status/1237351686005575687,native
#Amsterdam 2019 ... are there cheap flights now due to #COVID2019 ?? ...🙄 I’m willing to risk it https://t.co/17VN4hd8dH,https://twitter.com/foria_web/status/1237351571811418112,native
"1st shift w/IAFF Local 3148, watching the GP’s presentation on #COVID2019 @IAFFNewsDesk https://t.co/zb6Ext3DnO",https://twitter.com/ShawnGillisAFFI/status/1237351025444519936,native
"Here is a snippet of my @BBCBreakfast interview this morning on #COVID2019 

The full interview is on my Instagram (link above in bio). 

#coronavirus #coronavirusuk https://t.co/czRv0mBr2x",https://twitter.com/DrAmirKhanGP/status/1237290688997449735,native
"A same visualization can be interpreted so differently 
#COVID2019 
@COVID19Update 
@gogogogoo20 https://t.co/gwANRdhK5z",https://twitter.com/LuoQiaoping/status/1237290128831365120,french
"#Kerala govt urges people to avoid public events, schools till 7th std closed from tomorrow, advises to avoid tuition classes, religious functions etc in view of #COVID2019 

@dhanyarajendran 
@anilkumartcym",https://twitter.com/aster_orn/status/1237281231923863552,indian
"It’s great that @RepMarkMeadows takes #COVID2019 serious rather than as a hoax.  It’s unforgivable that he abandoned his duty to #NC11 where 1 in 5 lack healthcare coverage in some counties.  I’ll focus on healthcare, poverty, education &amp; the environment when I’m in Congress
. https://t.co/QGXj1KzNSc",https://twitter.com/ColMorrisDavis/status/1237197552367341568,native
Tickets arrived today... wonder if it’ll still go ahead at the end of the month..!? @England #EngIta #COVID2019 https://t.co/Ty5heX75ui,https://twitter.com/garethcmitchell/status/1237353961809743878,native
"Could someone please cough on @realDonaldTrump ? Because the only way he'll give a shit about #COVID2019 is if he's infected. 
#TuesdayMotivation https://t.co/aNa9GH1hjn",https://twitter.com/ElizasOnCrack/status/1237347477805826048,native
"I feel bad for @SouthernRailUK because no matter what lengths they go to sterilise their trains, people will always be #dettypig 's ... #COVID2019 https://t.co/kmM0HMqSxV",https://twitter.com/itslewisjackson/status/1237340800842858496,native
"Even tho i'm sad af its ok
Its so unnecessary like the virus is not THAT bad as media tolds us
Dont over exaggerate
I'm just gonna wait for you a year again :) @Stray_Kids
#straykidsberlin
#STRAYKIDS
#COVID2019 https://t.co/K9nfR1J4qN",https://twitter.com/anna_gbel/status/1237339504781873152,german
"#COVID2019 #TamilNadu 24 hour control room numbers.

Please Retweet. #coronavirusindia https://t.co/vgwawQg0m1",https://twitter.com/albyjohnV/status/1237239703490809856,indian
"Italian intensive care physician provides a warning to the rest of the world on how rapid increase in cases overwhelmed their hospitals. We need to be proactive NOW! #COVID2019 #COVID19canada - @jasonvanschoor on #Threader
 https://t.co/N6y75kJsK2",https://twitter.com/jkwan_md/status/1237230539251343360,native
"If Trump does not kill us all, it won't be for lack of trying.

#Maddow #Trumpdemic #COVID2019",https://twitter.com/maddenifico/status/1237187262326149120,native
The market panicking while I wait for it to reach rock bottom so I can go all in. #COVID2019 #stockmarketcrash https://t.co/Qx9zMcspeV,https://twitter.com/imIANb/status/1237184254850801665,native
"We have a serious problem and we need to prepare. @realDonaldTrump stop being an idiot and in denial. and get the Country ready. 
#COVID2019 https://t.co/scD2mlFuNK",https://twitter.com/QCpoutine_inKY/status/1237350852203098114,french
Checking temperatures and quaratining people that are affected is not required or safe for the public? But letting them come through and spread is? 😂 @BorisJohnson This virus is a set up #done #COVID2019 https://t.co/Q0uLiIYeVV,https://twitter.com/NikitaMakwana/status/1237350437587693569,native
"☆
Continuing #AFCO_UKP because most politicians are failing in their due diligence and duty of care.
@EdwardJDavey 
☆
#COVID2019 
☆
#coronavirusuk
☆ https://t.co/Dx2qTu5b3k",https://twitter.com/anglo_dutch77/status/1237344263454801920,native
I see 56 #COVID2019 cases in India now as per https://t.co/kLAz3ViArW @dhanyarajendran @ndmaindia @MoHFW_INDIA @drharshvardhan @PTI_News @thenewsminute can you please confirm,https://twitter.com/Vandana_ya/status/1237325590006509568,indian
Wishing you #HappyHoli is a festival of full of joy and happiness ☺️ please keep safe and avoid crowd gathering #coronavirusindia #COVID2019 https://t.co/lPWNZag5XJ,https://twitter.com/harshitkalra98/status/1237240537201197056,indian
#COVID2019 This is a scammer https://t.co/NR0GoX6Psf,https://twitter.com/qcbugman/status/1237187060856995841,native
"Yes, clearly Italy &amp; Israel, which are literally closing their respective countries to combat #COVID2019, are part of giant conspiracy against #Trump to block his re-election.

#MAGA is nuts. https://t.co/oNdT8GSxJ5",https://twitter.com/MarkSZaidEsq/status/1237180538206683136,native
me checking to see if my friend was vaccinated yet for #COVID2019 https://t.co/Dg1MwMWRTC,https://twitter.com/Bottoms4Tulsi/status/1237252005447364608,native
"@realDonaldTrump Hahaha. Ok. Then don't quarantine and don't isolate any American, treat it like the flu then.

Imagine up to 1,000,000 Americans die from #COVID2019 im 2020. 

Will you be deleting your tweet? https://t.co/mjv63IuEu9",https://twitter.com/Beanditis1/status/1237231721017274368,native
"Giggity-gigitty goo!

#MattGaetz #COVID2019 #coronavirus https://t.co/USmnSpU4Xn",https://twitter.com/brifish59/status/1237228506238660609,native
"stay safe out there, folks. be sure to keep this in mind when washing your hands. #COVID2019 https://t.co/Q0v7a62tOS",https://twitter.com/sschreiber13/status/1237200614448345088,native
"Is this what winning looks like Mr. President @POTUS ?!? Just a reminder, this isn’t golf (the thing that has all your attention) where a low score is a good thing! #coronavirus #COVID2019 https://t.co/FMrGwuZ5yA",https://twitter.com/joe_cyborg/status/1237185498013024256,native
"Tonight we debunk the leftist media's lies about the coronavirus! #COVID2019
https://t.co/I3e1zifRTz https://t.co/q5wrf92QYF",https://twitter.com/scrowder/status/1237181627039510529,native
"I just got this first hand account from my friend who tested positive for Coronavirus.  

I wanted to share because there are so few cases that I have personally been engaged with.  This is the thread from our convo.  #COVID2019 

👇 https://t.co/wmPacOBvy4",https://twitter.com/JWilliamsFstmed/status/1237181086406340608,native
Point! #COVID2019 #CoronavirusOutbreak https://t.co/Gwv1NThB8z,https://twitter.com/ShivasaiLingam/status/1237180673745727488,native
"Nakakatuwa lang.

There's a maintenance guy who goes around every classroom in every building several times in a day, cleaning door knobs with alcohol.

Each elevator has a hand sanitizer.

Look how #COVID2019 galvanizes us into action.

#MaineMendoza • @mainedcm",https://twitter.com/earnestviewer/status/1237176387913408512,native
"Let's use our default hashy for now.

Ingat mga ka-Mainers! Let's be responsible in taking care of ourselves as we combat the #COVID2019 scare. Let's do our part. This is both a personal &amp; collective effort.

#MaineMendoza • @mainedcm",https://twitter.com/earnestviewer/status/1237173796047433728,native
"🚨🚨AFTER Trump knew about #coronavirus he STILL cut $700M to the CDC budget, $700M! #COVID2019 https://t.co/SBJHNHA68U",https://twitter.com/morethanmySLE/status/1237170081270059009,native
"Every elementary school should place this family friendly hand washing guide by the sinks.

#COVID2019 https://t.co/c2iVJzapJH",https://twitter.com/Eric49510654/status/1237168516790390785,native
"Report: Texas is one of the most prepared states for public health disasters in the U.S.

The report took into account Texas’ hospital preparedness, public health funding, water security, paid time off, seasonal flu vaccines &amp; patient safety. 

#COVID2019 https://t.co/AUvFwNGmPm",https://twitter.com/GregAbbott_TX/status/1237157222045700102,native
Every state has tests. Millions available. The delay was due at least in part to China not sharing the gene sequence. #COVID2019,https://twitter.com/MelissaAFrancis/status/1237150922490490881,native
"I, for one, am grateful that we are now telling people that the reason to attempt to avoid getting coronavirus is to avoid GIVING coronavirus to other people. You might not die. But someone else will. #COVID2019",https://twitter.com/mollywood/status/1237149894567055360,native
"Seema Verma, now speaking at Trump's #COVID2019 press conference, is currently under investigation for spending $2.25 million Health &amp; Human Services' budget to hire herself image consultants. #TrumpCrash https://t.co/Z8jSbKobrI",https://twitter.com/swingleft/status/1237149741214883842,native
Reporters ask President #Trump and Vice President Pence if they have been tested for the coronavirus. Pence said no. Trump ignored the question. Thanks @BrianKarem for asking during #coronavirus briefing. #COVID2019 https://t.co/SQ9lVcVtbb,https://twitter.com/RebeccaAguilar/status/1237149102338605056,native
Failed Casino Owners NOT Encouraged To Apply #TrumpCrash #COVID2019 #Trumpdemic https://t.co/Q4xY7qHCLg,https://twitter.com/peaceisactive/status/1237148920767275009,native
Instead of blaming Putin for messing with oil markets... Trump blamed the media... #TrumpCrash #COVID2019 #Trumpdemic https://t.co/gk4Czozu2U,https://twitter.com/peaceisactive/status/1237148352573251584,native
It's NOT a hoax... #TrumpCrash #COVID2019 #Trumpdemic https://t.co/lM3e7eVnsy,https://twitter.com/peaceisactive/status/1237147594184372226,native
"Fordham, Columbia, Princeton, Hofstra, and now NYU what is CUNY waiting for #CUNY #COVID2019 https://t.co/vsWWMKMd6n",https://twitter.com/jasonnnn_p/status/1237145122455859200,native
"Shit just got real.

South Boston just canceled their St Patrick’s Day Parade. ☘️ 🍺 

South Freakin Boston. Southie. 

#coronavirus #COVID2019 

https://t.co/EUIyXUYtWI",https://twitter.com/DMR09/status/1237144876531298310,native
"Here is some CDC guidance on #COVID2019: “Starting at age 60, there is an increasing risk of disease, and the risk increases with age.”

If you are 60 or older, do not listen to @realDonaldTrump because he has lied multiple times about this virus. Listen to @CDCgov &amp; your doctor. https://t.co/3T1rz07bvL",https://twitter.com/tedlieu/status/1237137910270316544,native
"Don’t panic 🦠 
#COVID2019 https://t.co/olZcJ10tqn",https://twitter.com/mulsirhc/status/1237136870238113792,native
Dow dropped 2000 points and it’s 70 degrees in Brooklyn mid-March. Yet both #COVID2019 &amp; Climate Change are FAKE NEWS?,https://twitter.com/mjfree/status/1237136657922633730,native
"Finally, your tech is filthy. Viruses can cling to glass surfaces for up to 96 hours. Here’s some quick tips on how to clean it up safely and effectively. #COVID2019 9/ https://t.co/41DT0k0izS",https://twitter.com/WIRED/status/1237135041039175680,native
You may be hearing some people say that the flu is deadlier than the novel coronavirus; that’s because they don’t really understand the math. Here’s a breakdown of the differences between the two viruses and what you should understand about #COVID2019: 1/,https://twitter.com/WIRED/status/1237135030675111936,native
"Wait... did PM Scott Morrison just claim he predicted coronavirus back in 2016?

#CoronavirusOutbreak #COVID2019 #auspol https://t.co/EhESS0emdo",https://twitter.com/wadeshipard/status/1237132881215946752,native
"""President Trump, hellbent on re-election, is focused on massaging numbers and silencing bearers of bad news. That’s what autocrats do. And it’s endangering lives."" 
Want proof? Look at all the folks wheeling @s at me about how #Covid2019 is just a flu. https://t.co/mEOIRHQuRO",https://twitter.com/JenSeniorNY/status/1237132055839936514,native
Flag at CPAC self quarantined after exposure to unknown virus! #CPACvirus #CPACPatientZero #coronavirus #COVID2019 #CPAC2020 https://t.co/qAWTDignIs,https://twitter.com/DwayneLGill/status/1237124368284737536,native
Paging @tedcruz @DrPaulGosar #COVID2019 https://t.co/zaOJeUvn4T,https://twitter.com/Jolene69950598/status/1237117982368845826,native
"Rep. Matt Gaetz, the Florida congressman who mocked coronavirus patients by wearing a gas mask on the House floor, is now in quarantine after being exposed to a patient at CPAC. He also flew on Air Force One with Trump today. #COVID2019 https://t.co/EbixQNlg4z",https://twitter.com/swingleft/status/1237113035195629569,native
I really appreciate my employer for  putting it in terms that I understand. #COVID2019 #coronavirus https://t.co/6QGP2YjwZE,https://twitter.com/rfallen72/status/1237097101458157570,native
How do I feel about the #COVID2019 panic? I’m not participating. Carry on.,https://twitter.com/scrowder/status/1237089887708270592,native
"Today's #TrumpCrash is the 11th worst percentage loss day in the HISTORY of the American stock markets.

Last year Donald Trump disbanded the Global Health Security unit President Obama created which could have fought the #COVID2019 virus earlier and more efficiently. https://t.co/mt4tN3wjW5",https://twitter.com/grantstern/status/1237113379489275904,native
"The CDC is now using a company for coronavirus test kits that Trump previously owned stock in and he has given no explanation about why we refused WHO kits in Feb. #25thAmendment 

Is Trump somehow benefiting from this #COVID2019 pandemic? My deep dive: https://t.co/ZcQB4Ebq9X",https://twitter.com/girlsreallyrule/status/1237086049739911169,native
"Using public toilets during the #COVID2019 outbreak

https://t.co/gTk63g8Zpy",https://twitter.com/tomj191/status/1237084521901764608,native
"Speaker Pelosi re: #coronavirus 

""In 2018 the president dismantled people in the National Security Agency. They had experts to anticipate, and to foresee something like #COVID2019 happening.

The president letting those people go was a very big mistake!

He NEVER replaced them."" https://t.co/VZHgzlCLxf",https://twitter.com/morethanmySLE/status/1237075717810204672,native
A simple graphic showing why delaying viral spread may help our health systems cope. #COVID2019 https://t.co/ga0ooDAbx0,https://twitter.com/PresRCPEdin/status/1237075096117927936,native
"A microbiologist on Channel 4 News says ""This is NOT the Flu. This is the most frightening virus I've seen in my career."" Boris Johnson says ""Take it on the chin"". Who to believe, the expert or the moron? #COVID2019 https://t.co/zTDmNSXVA8",https://twitter.com/RednorthUK/status/1237066764900589569,native
"#WritingCommunity if you are quarantined for two weeks, how will you spend the time? 

#COVID2019 https://t.co/smCvPcWw4M",https://twitter.com/LexiJLee/status/1237065411851624452,native
"From a reporter friend on the ground: family of the student who tested positive for #COVID2019 in 1 of St. Louis’ most affluent neighborhoods (after traveling to Italy) are defying quarantine. Father &amp; sister went to a school dance, mom went grocery shopping &amp; got her nails done.",https://twitter.com/mle_goldman/status/1237059125357342721,native
"Are you young?
Are you healthy?
Not bothered if you get #COVID2019?
Good for you, but DON’T be a spreader!
Avoidable deaths *will* happen if health systems can’t cope.
Do your bit to #FlattenTheCurve

https://t.co/YRATF0mxMP",https://twitter.com/Dr2NisreenAlwan/status/1237057199404470279,native
"Just a reminder that, as more Americans are asked to lock down, there are countless people who have no sick leave at their jobs, no insurance, and no kind of job security or healthcare to fall back on. #COVID2019",https://twitter.com/juliaioffe/status/1237056645253017600,native
If you think I'm exaggerating @realDonaldTrump's unique inability to cope with the #COVID2019 crisis might I suggest you take a look at his Twitter stream this AM. https://t.co/DLRxA4NVOq,https://twitter.com/dandrezner/status/1237028390525231105,native
"A dangerous virus can be prevented by something as simple as hand washing ! 
#COVID2019 https://t.co/iNzK6UUsl6",https://twitter.com/DrJoyeeta/status/1237004649011400705,indian
"We have 10 rolls of toilet paper.
Looking to swap for some decent duck jerky.
#COVID2019 
#coronavirus https://t.co/FvjviNilar",https://twitter.com/DoodleNessa/status/1236995528702996480,native
"The CDC is now using a company for coronavirus test kits that Trump previously owned stock in and there has been no explanation about why we refused WHO kits in Feb. #CPACvirus 

Is Trump somehow benefiting from this #COVID2019 pandemic? My deep dive here: https://t.co/ZcQB4Ebq9X",https://twitter.com/girlsreallyrule/status/1236986339771457536,native
"Ironically, the one ypu making fun is the least affected of #COVID2019 https://t.co/mdLAo7J9Op",https://twitter.com/rishibagree/status/1236983789596733441,indian
"Not my words, taken from FB, but in total agreement. 😠 #COVID2019 #PanicBuyingUK https://t.co/AwkS4IIyqB",https://twitter.com/loueezecee/status/1237003485658451968,native
Can't make this sh*t up!😅😂🤣😭 #MarketCrash    #CPACvirus    #ImpeachedForLife  #TrumpLiesAboutCoronavirus #DowJones #StockMarket #COVID2019 #CoronavirusOutbreak #MondayThoughts #MondayMotivaton #MondayMorning https://t.co/zn5EdP89ub,https://twitter.com/raggapegs/status/1236988267930832896,native
"New concerns for my sons life...

Julian chronically ill/at higher risk of dying from #COVID2019 #coronavirus

Detained w/out charge/non violent/should be released on bail 

""Corona virus spreads quickly in prisons""

""Health care in prisons  substandard""  https://t.co/arVk7uw4J6",https://twitter.com/MrsC_Assange/status/1236917836112519168,native
"The Nero analogy: As Trump fiddles like a fool on his golf course, America burns with coronavirus fever. Too stupid to figure it out and too greedy to give a damn about the afflicted, Trump is an absolute fiend leading the U.S. to sickness, slaughter, and ruin. 

#COVID2019 https://t.co/vF6jlYf8mQ",https://twitter.com/WordswithSteph/status/1236816470258200577,native
You know who you are. #COVID2019 https://t.co/fnDVdyppVO,https://twitter.com/SoVeryBrexit/status/1236782201162928128,native
"On #COVID2019, @BorisJohnson said:

“One of the theories is perhaps you could take it on the chin, take it all in one go &amp; allow #coronvirus to move through the population without really taking as many draconian measures.”

This is a CRAZY theory! #COVID19
https://t.co/usABMckLqf",https://twitter.com/StefSimanowitz/status/1236778356105981953,native
"As of ystdy, the US had tested fewer than 6,000 potential #coronavirus cases.

UK has tested 23,513 people.

By comparison, #SouthKorea tested 66,652 people in the first week after #COVID2019 was first diagnosed, &amp; has now tested 170,000+ ppl.

Italy has tested tens of thousands. https://t.co/eD0U01XIx1",https://twitter.com/StefSimanowitz/status/1236697752706351105,native
