text,url,lang
"Happy #InternationalWomensDay to the women that have most inspired me and many, many others in anime✨💙 https://t.co/2JyxRbTspP",https://twitter.com/OtachanShow/status/1237126079321686018,native
"If:
Breaking the Australian record for attendance of a women’s sporting event
billiejeanking 🎾 
Sexy 🏏 bats
and
🤰🏼
...don’t say #InternationalWomensDay, I don’t know what does 💗 Thanks to all the incredible people… https://t.co/3uPQHMbDUj",https://twitter.com/katyperry/status/1237277631046877184,native
Proud to have worked with such amazing and talented women!! Happy #InternationalWomensDay ! https://t.co/Jjg2PmAtEi,https://twitter.com/steveaoki/status/1236962441352728577,native
"Late post, but happy #InternationalWomensDay shoutout to the women who get shit done 🤟🏼 https://t.co/qzuNl8DYN7",https://twitter.com/axgrace_/status/1237276668932177920,native
"A bit late but Happy International Women’s Day to my mom Emilia Clarke 

#InternationalWomensDay https://t.co/W2mWeyg6tw",https://twitter.com/teddycIarke/status/1237002174439116801,native
"New podcast up! On #Internationalwomensday I had a great conversation with @KortneyOlson -- an entrepreneur, bodybuilder, athlete, and CEO of GRRRL  -- about breaking through stereotypes, leading with aloha, criminal justice reform and more!  https://t.co/uuqVMOC5Fn https://t.co/ZOwgUtsBwS",https://twitter.com/TulsiGabbard/status/1237131935874506753,native
"Fantastic #InternationalWomensDay reception tonight.

Thank you to all the inspiring women who came to talk about their experiences and the work they're doing to empower women across our country and around the world. https://t.co/xCRa7Ft6Nh",https://twitter.com/jeremycorbyn/status/1237133802486579200,native
"“each time a woman stands up for herself, without knowing it, possibly without claiming it, she stands up for all women”
— a little video i put together in honour of #InternationalWomensDay yesterday🖤
#duchessofsussex #meghanmarkle 
https://t.co/MyytsHYLKx https://t.co/A9xz2V5ApF",https://twitter.com/chxrleywebbfan/status/1237144720960348164,native
"I love this.

“How dare you assume I have no ability to think or see beyond my gender.” — @TulsiGabbard 

#Tulsi2020 #TulsiMediaBlackout #LetTulsiDebate #InternationalWomensDay #IWD #IWD2020 #InternationalWomenDay2020 https://t.co/9Pefo2h5lJ",https://twitter.com/DavidAtkins42/status/1237196849691463681,native
"Hey #MeToo activists, where the fuck are you all?! 

I guess #InternationalWomensDay has tired them all out, bless their virtuous, giddy little souls. https://t.co/11Lyll4TtY",https://twitter.com/godblesstoto/status/1236970916178952192,native
i live the dream everyday 💙💜#InternationalWomensDay https://t.co/9tq0iVkCb3,https://twitter.com/burke_savanna/status/1237170060696961025,native
"Unsurprising to see so many universities celebrating #InternationalWomensDay while also maintaining their gender pay gaps AND not taking sexual harrassment seriously. 

Don't just pretend to be committed to equality: fucking do something about it. #EveryWoman",https://twitter.com/UWankings/status/1236956208399032321,native
Brainstorming session of @ForumSaath London Chapter on #InternationalWomensDay https://t.co/6EPPdswB7A,https://twitter.com/mazdaki/status/1236990657497124864,native
Can you imagine getting to go to work with people who love you and lift you up every single day? There is nothing quite like it and I’m feeling so blessed 💕💕💕 So fitting to celebrate a new beginning with wonderful women on #InternationalWomensDay yesterday. https://t.co/gmEA04JzZG,https://twitter.com/MsKellySEAS/status/1237005376702251009,native
Happy #InternationalWomensDay to all the women out there getting it done. #YouandIAsMothers #WorkingMothers #MilkPrep https://t.co/mDZkFfG1GO,https://twitter.com/LauraPrepon/status/1237028507164839936,native
"we girls can do anything, right, barbie?

to celebrate #InternationalWomensDay and #HappyBirthdayBarbie, i drew four barbie characters that have inspired me to the the woman that i am today — strong, fearless, and obsessed with pink! 🥰

#art #artph #barbie #WomensHistoryMonth https://t.co/UEeqvZdRTE",https://twitter.com/summersnoqueen/status/1237245834028175360,native
"These PVAMU ladies has been joy to be around and they truly are the future. Happy International Women's Day to these queens.

#InternationalWomensDay #InternationalWomenDay #PVAMU https://t.co/XdDkR6SzwH",https://twitter.com/BrotherBrown719/status/1237150466640883712,native
Yesterday reminded me of my first #internationalwomensday March back in 2016 and my inspirational artwork 🧡 https://t.co/QvOv7GObEP,https://twitter.com/nicolacoughlan/status/1237157401721274368,native
"Honoured to speak at yesterday’s ‘Women of Wildlife’ event @AustraliaZoo on #InternationalWomensDay! We’re proud that our amazing zoo team is 70% female - I hope that together we can celebrate diversity, accomodate equality &amp; show kindness to everyone we share the world with. https://t.co/VE4s1Ydy48",https://twitter.com/RobertIrwin/status/1236981676581908481,native
"Celebrating #InternationalWomensDay together in style! ⚽️
 
@CamdenBrewery created an all-female foosball table for #IWD2020 yesterday - and the first game just had to be an all-Arsenal special! 😎 https://t.co/yVTnLUuDyW",https://twitter.com/Arsenal/status/1237001130263171077,native
For #InternationalWomensDay we'd like to shine a light on just some of the many incredible women at Stanford Radiology who inspire us. https://t.co/OMycAt2KRX,https://twitter.com/StanfordRad/status/1237133389255176192,native
"And the LA Marathon 2020, all 26.2 miles are done ✅. With very limited training time but a heart &amp; mind set on a goal, I improved my run time more than I had set out to 🙌🏼 AND I conquered this challenge on #InternationalWomensDay !#LAMarathon https://t.co/4DpyanOT4J",https://twitter.com/caguilarmunoz/status/1237137213135052800,native
late but #InternationalWomensDay 🖤 https://t.co/26pTkE7aBg,https://twitter.com/Beachh_baaabe/status/1237218406190981120,native
"In honor of #InternationalWomensDay and Women’s History Month, we hosted a team painting event with SoCal artist Wendy Stillman. THANK YOU to all the amazing Treyarch ladies making it happen every single day! #IWD2020 https://t.co/TgaJEbRz5u",https://twitter.com/Treyarch/status/1237162469597929472,native
In solidarity with women across the Americas! #ElVioladorEresTu #NiUnaMenos #8M2020 #InternationalWomensDay #DiaInternacionalDeLaMujer #DiaInternacionalDaMulher https://t.co/XohXATptqi,https://twitter.com/monicacgimenes/status/1237101256453140482,native
"Guys. Just because we've celebrated #InternationalWomensDay doesn't mean men are being valued any less or that there are issues men face that aren't as valid. Please be a bit more sophisticated in your thinking - the ""not all men etc etc"" argument is redundant &amp; self-defeating.🙄",https://twitter.com/JoeMoeonoKolio/status/1237085306068832269,native
We're proud to have so many amazing and talented women on our teams around the globe! #InternationalWomensDay  #IWD2020 https://t.co/oHt3KfV0Cm,https://twitter.com/CloudImperium/status/1237078390055653377,native
"💛 SAFE GIGS FOR WOMXN 💛

We're celebrating #InternationalWomensDay all week + we're extremely proud to be partnered with @safegigs4women 🤘

Everyone has the right to enjoy live music without being harassed + we're pleased to welcome the SGFW Volunteers with us next month 👏👏 https://t.co/7vUUueXJih",https://twitter.com/AYLFest/status/1237312347863240704,native
"Missing my mom today. 

Started career as a secretary after never attending college. 

Raised me and my brother with no money, but we never knew it. 

Taught herself computers in the 80’s and retired as a CIO of a major law firm in 2012.

Role model. 

#InternationalWomensDay",https://twitter.com/craigdaniel/status/1237079790454280192,native
Coming clean #InternationalWomensDay https://t.co/OMFtOXD3yq,https://twitter.com/Cutie_McBooty/status/1237133488073080833,native
