text,url,lang
"A German suspect was found dead in his apartment along with his mother's dead body. 

The terrorist attack took place in two different Shisha bars in German city #Hanau has left 11 people dead and many others critically injured.

A video from DW news.

 https://t.co/V4VqxspOoc",https://twitter.com/TomthunkitsMind/status/1237056629314588676,native
"Thread 

#hanau https://t.co/sYmQsGQaFt",https://twitter.com/Korallenherz/status/1234466990435323905,german
"This is an amazing episodes about racism, colonialist discourse, and German nationalism in the context of understanding the massacre in #Hanau. We need to start connecting the white supremacist strain in the mythologized national narratives of Europe and America. https://t.co/XR02aNUmsX",https://twitter.com/YousefKB/status/1234190454268157952,native
"How do you want to be proud of the country you are coming from with this? 

#Hanau #noafd #NotMyPresident https://t.co/gszRCKvbpq",https://twitter.com/MaYuTrue/status/1236988732408049665,german
"in this @east_podcast episode, I discussed with @DokhtareKolni and @denijeg the racist terror attack in #hanau, #germany.

thanks to @UrOrientalist for offering us the platform!

https://t.co/HmWMYvmVio https://t.co/eCDIxiXwiW",https://twitter.com/ademfer/status/1235541130147700736,german
"Germany “must face up to having underestimated the right wing terrorist threat for too long” 
President of Parliament Wolfgang Schäuble tells German MPs. 
Unusually German President Steinmeier present for debate on right wing extremism and hate following #Hanau attacks. https://t.co/uCbiNtLjIl",https://twitter.com/MKuefner/status/1235484241602981888,german
Excuse me?? #hanau #ministerpräsident https://t.co/GqNipa6cJL,https://twitter.com/Fatima13208731/status/1234464960765419521,german
"Germany's leaders are gathering in #Hanau to remember the victims of the racially-motivated attack.

Watch DW News live with coverage from #Hanau 

https://t.co/R34er0KmDT https://t.co/ro5tZwxRaT",https://twitter.com/dw_politics/status/1235264425319452672,german
"The racist murders in #Hanau have shown what European anti-immigrant bigotry has lead to.

The inhuman situation in #Greece and the governments' continued turning a blind eye and doing nothing of are a farewell letter to human rights.",https://twitter.com/linusdolder1/status/1234797393612361728,german
"„The victims were no foreigners!“

Strong signals against #racism and hate at today’s memorial for the victims of the terror assault in the Hessian city of #Hanau, February 19. 🥀

#hanaustehtzusammen https://t.co/T5WNDngTqW",https://twitter.com/Future_Remains/status/1235274140346613760,german
"My @UKFReview verdict of short film #Hanau 
https://t.co/p0IcbNQ7tC",https://twitter.com/JJB888/status/1235556398164934661,native
'As a sign of personal sympathy: Chancellor Merkel participated tonight in the moving memorial service for the victims of the attack in Hanau. Federal President Frank-Walter Steinmeier addressed the relatives and guests. #hanau #hanaustehtzusammen https://t.co/4sfN5lJSA0,https://twitter.com/GermanyInOz/status/1235307869861539844,german
"„Human dignity shall be inviolable“ (Art. 1, German Constitution). We @DIE_GDI stand in for this value, and take an explicit stand against racist attacks and discrimination in Germany and all over the world. #Hanau #saytheirnames #HumanRights #freedom #democracy",https://twitter.com/AnnaK_Hornidge/status/1235654845828231173,german
"Hate kills, love heals #spreadlove #againstracism #againsthate #hanau #fckafd #fcknzs #love #loverules #loveheals #TURNLEFTWHERETHEARTIS❤️ https://t.co/jRFwYuJbqk",https://twitter.com/PeWelzel/status/1235527220371865600,german
@CarloMasala1 Home is where the Gin comes from.                        #Hanau #Hessen https://t.co/OzCjkEuYa2,https://twitter.com/X10761611/status/1235469260148715521,german
"The Walking Dead
#fckafd #FCKNZS #assholemania 
#Hanau #hanaustehtzusammen #imagine https://t.co/gMAMKm5wBs",https://twitter.com/beurig/status/1235302364309004288,german
Make #Germany not great again #Hanau https://t.co/nrKFnyz7dq,https://twitter.com/riotgoy/status/1235299469412925441,native
"#March04: These are the latest #news from #Germany for you! #NewsDE
❗🆕🇩🇪👉 https://t.co/139sYAbLNp

#Hanau #Remember #Memorial #Merkel #Munich #IAA #Automobile #EMobility #Environment @BMVI https://t.co/m7BqvlepiJ",https://twitter.com/en_germany/status/1235236063624466434,german
Good commentary on #Hanau #racism https://t.co/JQkWTzUVuD,https://twitter.com/DynamicQuadrate/status/1235604177658601477,german
Politicians call for cohesion after Hanau attack: Nine people with foreign roots become #victims of a #racist attack in #Hanau. The city commemorated the victims in a moving #memorialservice. #Germany #Steinmeier #Merkel #NewsDE https://t.co/2TINwMUd6r,https://twitter.com/en_germany/status/1235500277668540416,german
"... ""Imagine there's no countries
It isn't hard to do
Nothing to kill or die for
And no religion too

Imagine all the people
Living life in peace...
You may say I'm a dreamer
But I'm not the only one""...

#hanau
#hanaustehtzusammen
#keinenmillimeternachrechts
#saytheirnames https://t.co/tTUBPjHdJH",https://twitter.com/irinakatinka/status/1235304071558565896,german
"#Hanau is holding a memorial service for the lives lost in an attack two weeks ago. Though the city is in mourning, local groups fighting racism have found renewed support in the aftermath of the shooting.

https://t.co/UnywSrChly",https://twitter.com/dw_politics/status/1235285382071279616,german
"#racism #xenophobia #extremism #Islamophobia are threats to international peace &amp; security.
We must speak louder to fight the bad, the destructive. We must speak even louder to promote the good, the positive.
The common sense must win!
#Hanau #Germany #Europe #RefugeesUnderAttack https://t.co/FGu2gyce1T",https://twitter.com/Kahraman_Hlsclk/status/1235281079977881601,turkish
"Memories 🤩

https://t.co/6A5vUVTYh3

#q #studioq #tattoo #tattoos #inkionaer #ink #hanau #frankfurt #ffm #maintal #mkk #happy #love https://t.co/mJYCuoGChV",https://twitter.com/studioQtattoo/status/1235248828070191104,german
@Battlefield Dont Rush the Content @Battlefield #Corona #Hanau,https://twitter.com/PhilioGronau/status/1235222072181297152,german
"A German suspect was found dead in his apartment along with his mother's dead body. 

The terrorist attack took place in two different Shisha bars in German city #Hanau has left 11 people dead and many others critically injured.

A video from DW news.

 https://t.co/V4VqxspOoc",https://twitter.com/TomthunkitsMind/status/1234967630500573188,native
"An expert group to tackle Islamophobia in Germany has been floated by Chancellor Angela Merkel's interior minister following the #Hanau terror attacks.

Yet we continue to have inaction from our government. What will it take for action?

https://t.co/rdj4zWaAe0",https://twitter.com/miqdaad/status/1234448268253368327,native
Snapped a few photos of this street tribute to the #Hanau victims last night 😢✊💔 https://t.co/LvIlzlZXL2,https://twitter.com/MollyOShah/status/1234424086211780610,native
Fantastic page by @faznet: After the deadly attacks of #hanau the #AfD leaders claimed that the #AfD were not xenophobic. Those who are should not be in the AfD and being un-German. The @faznet published this morning a full page of racist and xenophobic quotes from #AfD members. https://t.co/WPp3JiBfcI,https://twitter.com/BerndPorr/status/1235495464000253952,native
