charTrigrams,wordBigrams,wordUnigrams
 th,,you
you,don t,the
the,this is,is
is,of the,of
he,the world,i
 yo,thank you,to
ing,sing out,s
ng,is america,good
on,i m,love
ou,boy with,this
 to,with luv,it
n t,kazu shimura,on
 is,teenager forever,all
 of,it s,with
of,kasuga is,t
 li,let s,out
ove,have a,asuka
ve,j wavepop,your
aaa,wavepop of,day
ver,lights boy,for
to,in the,my
 ha,can t,a
for,kiss amp,world
t t,amp cry,happy
asu,see you,don
thi,you mr,america
www,mr ayabe,so
 lo,saturday night,have
 s,night kasumin,j
t s,bump of,luv
 so,of chicken,boy
ry,t move,thank
 fo,you play,very
lov,i was,forever
er,to the,sing
one,i love,and
ll,happy birthday,live
ow,that s,that
 mo,imitation rain,me
day,a nice,song
at,st live,m
s a,good morning,morning
e w,am i,up
 wa,you asuka,bts
ave,your hair,kazu
ooo,just now,shimura
ay,got the,in
 wo,listen to,new
 wi,on lights,can
goo,luv bts,tweet
ood,shadow ego,but
 do,january kazu,little
his,rabbit in,at
e l,the moon,see
th,every day,mr
our,day is,teenager
ery,is womens,night
tha,womens day,hey
or,happy new,move
e a,new year,birthday
 am,year thank,was
out,you for,show
tio,for my,or
ion,my followers,what
 sh,followers i,kasuga
all,i can,test
 bo,t tweet,let
ur,tweet very,like
it,very much,now
eve,much but,nice
 da,but tweet,just
hap,tweet little,mate
app,little by,time
an,by little,wavepop
et,little at,lights
 ou,at my,year
 ka,my own,much
don,own pace,by
ame,pace i,wish
 st,i wish,wonderful
mor,wish you,kiss
re,you a,amp
 no,a wonderful,cry
ong,wonderful year,nuts
ts,teenagers forever,ayabe
wit,sold out,saturday
ith,hey don,kasumin
wor,move mr,bump
st,mr this,chicken
ppy,hey dont,dont
my,dont move,wwwwww
 t,move wwwwww,play
ut,demon telephone,king
e y,dont forget,iphone
r f,play schedule,tired
ore,hide livewww,more
 ni,king gnu,congrats
igh,gnu teenager,has
ght,key station,will
p o,was tired,be
ey,tired of,super
y s,of my,nothing
ati,my memories,jr
s t,memories and,stop
ed,and more,no
 on,more nostalgia,one
 co,psycho pass,o
en,it was,feels
hat,was very,why
her,very pity,did
shi,pity to,harry
op,to lose,imitation
 al,lose on,rain
u s,on the,must
suk,the lottery,st
uka,lottery of,amazing
 as,of aiko,english
in,aiko s,please
y d,s special,am
 ne,special live,do
r t,live concert,not
nk,concert on,about
s i,on mar,n
 i,mar and,born
ch,and congrats,hair
le,congrats on,fantasy
 a,on who,absolutely
een,who has,solid
ger,has been,tune
sol,been selected,got
kas,selected but,rock
 ch,but thanks,get
sin,thanks to,doing
mer,to god,listen
ica,god and,our
 pl,and my,dark
