charTrigrams,wordBigrams,wordUnigrams
 th,of the,the
the,in the,to
he,to the,of
ing,this is,in
 to,at the,and
ng,for the,a
to,is a,is
nd,on the,for
 in,,you
is,to be,this
 an,it s,we
and,don t,are
ed,the world,i
re,all the,on
 of,we are,s
e t,and the,it
in,of a,that
of,is the,with
e a,to all,at
er,if you,all
on,in a,not
t t,the right,people
s a,with the,from
st,you are,they
 a,right to,was
at,the people,be
an,he is,who
or,are the,amp
 is,from the,our
n t,we will,have
for,thank you,my
es,far right,will
s t,all of,he
 fo,they are,as
ll,the victims,about
you,are not,but
 co,that the,by
 wh,in virginia,right
all,want to,no
 re,one of,your
e s,will not,what
 be,nd amendment,so
 ar,i m,today
 yo,the same,an
e w,attack in,women
d t,in richmond,up
 we,chandrashekhar azad,t
ion,has been,can
nt,have to,has
thi,it was,if
ts,on this,their
en,i am,against
his,it is,there
ent,in germany,gun
 no,you can,one
her,by the,now
ter,the media,day
 ha,for a,do
 wi,to take,just
ly,trying to,out
are,that s,how
as,you re,like
 st,as a,rights
men,we re,these
 on,of my,us
se,proud of,virginia
 pr,to have,more
ve,missed call,me
our,to see,his
tio,rally in,attack
e i,the most,turkish
hat,white supremacist,were
 de,those who,when
s i,up for,white
 wa,in this,them
 ca,i have,rally
rs,people who,or
ers,terrorist attack,why
 ma,medical care,know
ut,victims of,greece
ce,with a,world
ate,have a,azad
 wo,more than,being
le,is not,turkey
 al,like a,take
ver,we have,call
t a,gun rights,after
ay,right wing,many
e o,was the,protest
n a,the nd,germany
tha,law abiding,see
ou,who are,every
 at,going to,only
 he,thousands of,its
ght,in and,did
al,for our,give
we,happy to,happy
ere,the greek,those
man,the turkish,because
s o,miss call,been
th,turkish army,than
te,allah give,want
est,of this,dont
 am,after the,police
igh,these are,keep
 sh,there was,media
ist,second amendment,over
d a,out there,please
 do,is being,borders
me,what is,re
ill,to protest,country
 so,this number,army
r t,may allah,german
ur,we need,medical
ow,social security,war
y a,and to,don
ome,not a,support
s w,need to,some
pro,to keep,time
rea,i was,stand
 pe,to do,black
it,a white,here
e f,stand with,love
 me,if the,must
e p,people are,other
e c,to defend,him
day,the constitution,go
out,fake news,constitution
e m,you to,guns
g t,about the,had
ns,and i,law
 se,the only,violence
y t,of them,show
res,we can,yesterday
r a,give a,get
t s,all over,amendment
 fr,we must,europe
ati,do not,where
ot,the turks,should
 it,the borders,would
ar,our country,terrorist
ith,in syria,man
f t,in jail,state
wit,medical treatment,new
ry,shisha bars,news
 ri,on a,may
t w,he s,far
eve,have been,need
 s,the war,still
ple,there s,never
e b,s a,government
 mo,be a,great
ted,should be,any
t i,the left,human
 ou,a new,peaceful
tur,we stand,armed
 li,look at,care
ove,but i,refugees
not,no one,always
s s,there is,men
ey,did not,proud
tin,from a,thank
 vi,over the,syria
 su,against the,trump
o t,call on,most
han,the operation,last
e d,the women,life
e n,so many,again
sta,for all,first
ty,better than,two
der,how to,same
con,but we,also
 i,just a,citizens
rat,support the,racist
ad,the government,shot
d i,to a,she
e r,the last,greek
ons,to go,operation
 di,i had,victims
 po,you know,make
 as,is in,richmond
 fa,i would,nd
e h,for their,stop
ne,a day,protect
 gr,not be,woman
 ne,for my,border
ide,time to,m
ke,the crowd,better
 go,know what,good
ame,has the,way
 ra,the rally,say
ant,to protect,well
ack,some of,let
nst,the second,free
 la,if we,chandrashekhar
one,order to,india
om,the streets,even
 sa,you want,her
y w,the first,president
ave,in our,patriots
my,greece and,attacks
ia,of our,doing
rig,we do,im
 gu,human rights,number
 pa,azad is,farmers
oun,who has,biden
cal,jailed bcz,going
ote,bcz he,long
 ho,of india,arrested
n s,and many,look
ive,a missed,think
end,terror attack,another
sho,women who,americans
ain,womens day,down
e g,joe biden,missed
can,to me,am
y s,s the,dead
ht,up to,jail
mp,every day,allah
t o,vote for,save
rom,not only,northam
 tr,human right,u
med,would be,power
s c,did you,which
hey,was a,amazing
n i,to you,social
 lo,thanks to,made
ree,for your,party
ica,of those,fight
ck,a better,yet
amp,white men,back
ld,the national,left
eop,the racist,coming
 ch,they will,video
sti,part of,th
et,as the,america
y i,proud to,killed
ste,abiding citizens,regime
was,talk about,around
iti,but the,peace
peo,protect our,started
opl,is how,while
fro,around the,security
ort,the country,change
any,yesterday was,american
s f,can t,live
d b,are you,remember
 ge,i can,face
ear,they were,muslims
who,why we,nothing
 le,when the,crowd
ead,the state,defend
g a,the real,thousands
nce,started the,too
 hi,a few,work
be,are coming,turks
hin,for you,treatment
o s,come to,delhi
pre,is happening,caa
hav,the poor,miss
 ab,is an,very
n o,can do,strong
ust,and europe,already
lea,turkey is,said
now,of europe,thanks
ity,greece is,voice
ess,protest against,open
lly,the border,laws
urk,being denied,forget
s h,we want,second
eat,let s,democracy
com,against caa,come
 ta,attacks in,countries
s b,had a,release
att,international womens,shisha
s d,women of,terror
gre,you have,big
 bu,a single,trying
 da,when it,best
ect,women and,vote
ins,trump will,ever
o a,will beat,democrats
hou,a drum,didnt
ho,in his,talk
oth,a good,supremacist
 ev,that is,wing
d w,fighting for,says
 te,ralph northam,hate
ake,of virginia,group
 tu,the new,away
 ba,and they,under
r s,in my,racism
ss,like this,city
wom,like to,without
ny,of people,poor
 mi,are they,immigrants
s n,state of,international
t f,gun laws,single
 ag,white supremacists,through
rot,out of,d
str,the msm,something
s p,no violence,getting
tes,for gun,much
 bo,today and,nazis
wil,about it,fake
ope,that we,such
n w,the one,place
edi,to talk,hear
wor,men are,immediately
t h,this man,before
cha,to get,nation
rou,to hear,eu
ds,me to,soldiers
arm,a free,celebrate
ace,people were,joe
eri,the best,ve
 si,white nationalists,fighting
s m,richmond virginia,own
abo,try to,needs
art,of us,post
den,how the,va
e l,who is,governor
y o,to and,flag
how,me and,happening
cou,by a,hope
aga,i did,abiding
so,and more,denied
gun,and my,home
 fi,and in,together
tho,right now,march
nal,have the,children
ord,germany s,took
bou,the german,court
l t,lot of,forces
d o,go to,friends
ies,in order,syrian
rt,borders of,late
ch,you will,bernie
ks,greek borders,past
e e,to fight,then
 my,in your,wrong
enc,voice of,year
ge,his life,thing
ite,a hospital,years
ini,voice against,read
cti,s why,shooting
rin,to save,came
ice,of drones,send
und,do they,safe
ass,the terrorist,strength
but,how many,self
mor,army started,national
ric,operation may,yes
ber,give strength,saying
wer,give victory,guys
din,spring shield,though
ore,dead in,taken
tic,german city,off
ish,the far,history
min,right terrorist,air
kin,late but,weapons
nte,women s,young
s l,now he,constitutional
r w,that he,bad
gai,how can,fear
app,didn t,everything
ir,nelson mandela,others
us,you ve,order
whe,the man,share
lit,i d,govt
mer,for social,help
oli,security cuts,european
wha,the past,erdogan
dia,is on,health
erm,you should,mother
h a,at all,womens
 up,getting arrested,into
 by,the truth,future
ger,isn t,little
whi,we don,leaders
a s,t have,k
gin,doesn t,week
tre,to support,line
t c,you dont,tomorrow
up,when you,things
by,and not,humanity
tan,by someone,clear
har,what you,pass
nde,the other,carry
ona,about this,part
 im,pro gun,solidarity
sh,the police,each
 us,show up,safety
d s,but you,different
t p,the is,got
n r,is so,called
ont,see this,democratic
oda,happening in,across
de,people to,using
tod,supremacist rally,both
no,virginia was,anti
hes,there were,mainz
don,people at,night
por,on and,drones
ery,amendment rally,assad
 pl,with masks,bjp
red,i know,jailed
t b,that i,su
ren,of all,bars
use,in solidarity,female
eas,the threat,does
tac,what they,campaign
ern,the fake,states
r i,our rights,during
sts,man who,beat
nti,i think,put
tor,these people,anyone
 mu,the whole,raise
emo,up in,side
rma,you for,team
sup,dont know,words
ran,take away,feel
has,today in,w
pea,but a,ready
tte,on their,via
unt,it to,important
t m,today s,really
un,stand up,sign
tta,at least,terrorists
rac,here is,hello
oul,gun owners,breaking
 cr,of you,message
ind,when a,guy
l a,to stop,family
car,people and,scared
per,with my,incredible
n c,are all,nazi
r c,of these,pretty
get,so proud,threat
ens,what we,muslim
ful,be the,political
 ex,was no,themselves
lle,when they,injured
rit,must be,violent
cis,down by,standing
 na,bear arms,politicians
ase,won t,everyone
ms,across the,full
ure,is this,force
rem,take a,god
d m,people in,real
tri,armed insurrectionists,streets
dem,keep the,hey
t r,because he,ass
t d,day in,between
o b,what the,lets
ori,will be,berlin
ime,i love,french
ral,for this,found
ian,can be,days
ese,a nation,nor
s g,the th,provide
d f,under attack,game
d c,made a,victory
uld,in mainz,hanau
t g,a lot,celebrating
pol,the eu,equality
rde,video from,taking
 t,is still,problem
ys,city of,won
r o,where is,believe
ris,i don,could
ndi,t know,old
nat,thanks for,comes
nia,we dont,truth
h t,an attack,almost
efu,country and,wish
 en,by turkish,someone
id,to invade,control
ong,see the,st
ble,and we,pro
if,protect the,went
ugh,may suffer,antifa
 un,cardiac arrest,society
ee,even though,having
n b,of constitution,heres
ose,the jail,fascist
lin,scared of,tell
n p,delhi police,f
vir,the hell,masks
ic,he needs,freedom
int,the power,attention
 br,chandrasekhar azad,step
y b,denying medical,wont
 fe,caa nrc,ll
eac,solidarity with,silence
hei,game of,photo
rro,turkish soldiers,use
 ju,why do,done
e y,they always,wearing
sed,always send,activists
n m,send the,person
s r,shot down,protests
y m,a great,speak
m a,killed in,rt
ike,the hero,thread
 sp,hero turkish,times
ece,strength allah,large
 or,with his,try
ond,took place,mom
eir,many others,find
y d,the terror,lost
tim,the attack,illegal
y p,this morning,community
era,shisha bar,innocent
ntr,shot dead,migrants
err,on our,loved
y f,to my,bcz
age,my mom,immediate
ost,to celebrate,chandrasekhar
ell,women in,nrc
f a,to us,spring
hap,and other,girls
jus,change the,ladies
r r,a strong,seems
ans,arrested trying,lies
bor,had to,record
l o,a little,million
n h,is to,voted
o c,biden urged,civil
g i,urged to,movement
she,to about,lives
hit,about past,cuts
ten,past calls,maybe
rgi,calls for,once
 bl,should vote,fought
act,once again,guess
irg,the senate,ask
uti,it comes,whole
gra,beat biden,stupid
tak,biden like,voters
ron,a human,tonight
lic,on his,stay
 hu,are still,unconstitutional
hts,you don,usa
par,the reality,watching
 ye,it up,sick
pen,so much,arms
 gi,that has,protesting
mon,dont have,happen
ppo,to every,hes
hen,of his,defense
ele,being so,powerful
o p,do the,sure
y c,as i,msm
ine,attack on,given
mis,would you,watch
am,gov ralph,month
ays,the virginia,retweet
 ac,a peaceful,kill
r p,gun rally,makes
ct,red flag,speech
led,they re,blackface
tra,remember the,groups
d h,only one,difficult
ces,one day,virginians
y h,protest in,outside
lik,photos of,event
a b,to your,responsible
sto,the was,allowed
ali,rights and,morning
nor,show you,bring
e v,i dont,turn
aci,of their,protesters
see,media is,especially
o w,the gun,worth
ial,donald trump,brothers
pla,a clear,enough
way,s in,military
 ci,for an,few
spe,virginia gun,dear
do,y all,brother
rop,are with,wow
d d,of violence,welcome
sse,has to,current
did,with an,e
ast,will never,hard
o h,you the,art
ria,black men,invade
nds,of america,authorities
ict,the i,demand
een,up the,giving
war,gun control,next
rie,all day,justice
t n,are in,hospital
m t,a man,raised
tal,neo nazi,modi
hem,be an,denying
o i,they did,born
ror,each other,celebrated
tit,a photo,evidence
 ki,want you,interview
n f,please retweet,plan
l s,rights in,mandela
nts,and a,drum
oug,you do,calls
eme,and take,running
a c,people from,senate
ole,fight for,lead
som,showed up,run
 cl,dont forget,heard
a m,forget that,cause
mus,one wearing,true
tat,wearing a,democrat
mbe,the white,gov
try,group of,case
yin,black panthers,ralph
e u,were no,check
own,in america,actually
im,tried to,weeks
r h,t want,ago
ail,is for,neo
ous,amendment rights,mass
lac,of is,mind
rki,at this,kkk
ank,the future,arent
rke,self defense,hours
shi,attempt to,domestic
r f,for us,peacefully
 bi,up trash,sent
 op,off the,office
eed,the road,mostly
sen,is over,takes
cia,i want,used
d r,the us,y
hea,many of,supremacists
tru,of emergency,pictures
 ti,back to,expect
new,gun safety,petition
rme,the and,shootings
sha,in their,living
sin,is what,united
nin,do something,wait
 vo,responsible for,become
t y,allowed to,msnbc
arr,love and,todays
 kn,i ve,picture
kno,as you,mlk
gov,police and,stood
kis,and no,showing
 af,right of,huge
ile,not going,cold
o m,why are,serious
t l,god bless,capitol
ire,when i,king
ein,report on,least
 dr,constitutional rights,owners
ade,government is,truly
aus,peace and,youre
n d,where are,walking
s e,mlk day,street
ul,and our,charlottesville
iss,is at,including
g w,there are,sounds
far,s day,nationalists
 if,at in,issues
sid,is going,bless
lat,s no,whatever
len,and are,faces
 eu,are against,super
ven,will have,major
o d,get the,h
rge,single day,twitter
eec,who did,sorry
d p,wanted to,propaganda
tar,bad ass,enemy
a t,instead of,page
ref,able to,story
law,because we,gets
giv,to kill,sense
oin,looks like,written
tro,of its,grateful
hos,people have,christian
ls,the great,r
n e,northam out,sound
ssi,in case,climate
nit,this on,criminal
aza,grateful for,forward
r b,today we,special
em,the protests,parliament
upp,you all,lot
y l,welcome to,talking
pos,what a,reform
o f,forward to,end
cra,place in,pm
itu,well said,house
cit,german farmers,spread
n g,farmers are,along
hy,in berlin,arrest
rec,way to,hit
son,during the,dalit
che,not pass,tihar
t e,against a,cannot
d n,mainstream media,bail
ard,tear gas,leader
nk,here s,hell
ize,is one,indian
ep,may be,aiims
d e,due to,bit
wan,is coming,following
rd,democracy is,hero
rio,its borders,idlib
r m,european countries,shield
 ga,a big,body
nge,speech at,dw
dic,and this,kills
ivi,with greece,deadly
ely,my country,herself
bra,them in,gender
k a,has a,daughter
sel,my friend,supported
ook,do you,wants
dea,and especially,might
eek,with us,didn
eep,turkey s,nelson
ari,illegal immigrants,completely
dis,i hope,nice
a g,not to,isn
ich,talking about,leading
ani,of human,debate
erd,are a,doesn
vio,of your,reality
ema,treatment and,calling
tut,by muslims,failed
win,a change,honesty
lov,health is,west
ign,still in,legal
a p,denied medical,join
u a,jail for,matter
l c,why jailed,photos
orl,he raised,anymore
pat,raised voice,non
 ov,against modi,tour
cau,modi shah,donald
k t,shah s,lawmakers
wee,s dictatorship,happened
ras,dictatorship step,leave
key,step he,thats
zad,he jailed,image
ors,he spoken,politics
les,spoken in,emergency
l i,in favour,january
thr,favour of,latest
eal,constitution now,tyranny
