charTrigrams,wordBigrams,wordUnigrams
 th,it s,the
the,,to
he,of the,of
 to,in the,a
ing,new year,and
ng,your pet,in
to,to be,is
is,of your,i
nd,this is,for
 an,for the,you
 of,today is,my
you,to the,s
 yo,on the,it
of,happy new,this
and,to all,we
re,don t,your
 in,i m,on
 a,dress up,day
ed,the best,all
in,every day,happy
for,it is,with
 fo,the year,love
er,with a,our
or,of my,that
day,is the,today
our,dressed up,be
e t,one of,year
on,going to,are
ay,for a,us
at,as a,me
st,but i,new
 be,the world,up
e a,all the,so
s a,pet day,as
ll,your pets,amp
ur,of our,but
 is,is a,not
n t,want to,have
ve,in a,from
es,thank you,at
thi,all of,pet
s t,up your,t
 he,i am,who
t t,we are,its
 lo,so much,just
 we,in my,what
it,the day,out
all,let s,by
 wi,to my,no
 ha,to you,good
his,the first,was
 co,your furry,her
ou,do you,pets
ts,day of,can
ut,at the,one
e s,a great,do
her,day to,his
ear,a little,or
 i,happy to,about
 on,will be,he
my,to make,like
ver,the new,when
 wh,i love,here
 da,from the,how
me,way to,will
 re,for you,best
hat,to get,more
et,have a,them
 al,in this,first
ove,of us,she
t s,all my,they
 my,no to,friends
 pe,you all,their
d t,national dress,an
ion,us your,make
 s,that s,much
e i,to see,every
 do,be a,little
an,and a,dog
 it,of you,some
 fr,i have,time
 so,my friends,if
 ma,and the,now
 li,looking forward,get
res,good day,dress
 no,this year,great
eve,have to,national
tha,s so,people
s i,you can,see
 ou,time to,share
th,in their,everyone
 ne,ready for,world
e w,my favorite,let
ly,pics of,life
 st,love you,going
 me,send us,dressed
are,so i,im
en,with us,many
app,pic of,these
ar,can t,need
as,when you,were
e b,he s,there
le,good morning,know
 wa,for me,go
e o,check out,work
we,a hug,still
s o,for my,always
 ca,the time,don
ess,for all,days
t a,a new,m
nt,my life,way
y t,love your,has
ter,are the,want
ow,today and,favorite
al,of a,better
rea,are you,am
s s,we re,too
 sh,you to,hug
ent,some of,big
lov,last year,back
hap,show us,last
 go,furry friends,furry
 mo,its and,morning
out,we love,most
ere,did you,show
wit,here is,been
y i,its a,photos
 ho,photos of,looking
t i,need to,only
r t,like a,really
e f,do it,wish
tio,they are,off
 ye,and we,got
se,for your,re
ppy,to our,ll
ome,day is,pics
t o,and my,say
ry,a pet,had
ith,to everyone,picture
ce,i can,think
end,just a,thank
one,we all,mood
r p,if you,years
us,part of,greek
est,s the,cat
ate,by the,pic
 se,of this,enjoy
e c,is going,dont
s w,my heart,did
py,the end,into
n a,forward to,look
ati,year to,celebrate
e h,he is,friend
 am,when i,being
te,on this,over
 ar,is and,please
ill,to share,right
 wo,the last,home
e l,you know,ready
yea,happy and,him
e p,and that,may
r a,to have,because
ke,a few,live
ne,pets in,hope
s f,chance to,baby
 ev,into the,start
ery,a pic,heart
e d,furry friend,before
 fa,to celebrate,greece
ers,can be,could
hin,look at,old
t w,in and,made
d a,here s,never
pet,forget to,send
ss,my first,photo
e m,was a,girl
 us,is how,week
tod,thanks for,very
oda,everyone who,why
ch,in we,another
 bu,those who,tweet
o t,over the,tomorrow
 ch,full of,thanks
 pr,of love,even
be,love to,decade
ot,love for,mom
 gr,to love,fun
y f,out of,sure
ew,you and,end
not,isn t,forget
rs,in france,th
f t,be the,feel
r f,in greece,find
e y,oxi day,after
 as,happy good,meat
 dr,i need,amazing
y a,me and,which
ave,make a,would
sta,year and,video
ust,you need,gear
s b,a big,getting
eat,have you,thought
g t,back to,cats
e g,is so,ever
 fi,decided to,wait
t d,of his,special
s m,we will,u
 up,s and,than
so,a better,those
amp,happy national,full
ght,we can,kids
t m,a picture,free
tin,picture of,women
ld,if i,twitter
om,share your,take
new,a good,place
mp,forget the,also
gre,let us,give
art,the only,loved
 ge,like to,thing
e n,will not,put
 sa,and every,lets
 pi,is always,well
ood,to dress,cute
dre,this week,next
 pa,and for,win
mor,with the,two
man,the hashtag,post
han,it was,things
 le,what do,should
o m,you have,loves
rie,tweet us,other
s h,our pets,children
 ba,for i,everyday
 de,s a,watch
but,love and,few
s n,my little,ve
ive,the same,yes
ds,you are,cant
ree,so many,part
ns,more than,since
rat,amp the,check
y o,and i,down
 po,you do,music
up,today in,nice
kin,i wish,far
ck,i want,man
 hi,not only,d
n i,is now,hugs
y s,a special,needed
com,a happy,song
r s,has been,must
who,what are,ok
y w,wish you,against
hav,up the,come
 fu,i feel,thats
wor,about the,family
e r,diet from,forward
ake,to start,greeks
ore,na na,means
 en,on here,costumes
nce,new years,season
 at,this new,wearing
tur,first day,without
ure,she is,january
od,we got,dogs
g a,would be,wishing
 na,with your,oh
s c,share some,celebrating
t f,is your,again
igh,your favorite,animals
its,its national,hashtag
d w,what i,around
can,there s,lost
get,friends in,follow
har,is ready,bring
rom,such a,making
ien,this day,taking
 hu,few of,then
 su,to win,says
ys,here are,cuddle
fro,of me,said
fri,share a,proud
wee,you dress,thursday
d i,up as,late
ets,as an,help
 di,us a,health
hou,not a,boy
by,but a,something
ost,i ve,miss
 la,them to,game
n w,the good,below
y d,with these,join
d s,how about,makes
n o,not be,ones
rin,one day,heres
ted,with her,wear
 mu,we ll,pictures
 bo,us and,chance
wha,couldn t,tell
rt,my favourite,adorable
ant,i think,yet
ite,you think,starts
ple,up for,support
y b,prefer to,use
y l,all dressed,mind
lit,to a,retweet
t h,i thought,guy
how,to and,nothing
pic,s see,same
jus,to do,away
lly,could be,history
 tr,in your,needs
nds,she s,night
d h,i will,germany
ad,i just,guys
ons,our love,talk
o s,love of,german
goo,of course,learn
ty,not to,freedom
ist,a friend,france
d m,out for,wonderful
s l,looking for,left
ays,i was,house
now,things that,keep
whe,the most,project
hen,today i,happiness
y h,s national,beautiful
s p,a day,joy
 br,and what,style
