charTrigrams,wordBigrams,wordUnigrams
 sa,rampal ji,ji
 ma,ji maharaj,rampal
nt,saint rampal,s
 co,,i
er,n t,maharaj
al,golden age,saint
amp,must watch,come
en,sant rampal,the
 ra,tv pm,world
me,kabir yug,golden
st,golden time,time
 th,is come,watch
 go,watch sadhna,one
the,sadhna tv,t
t r,do n,kabir
on,it s,n
har,whole world,go
ram,time is,like
t s,yug come,we
com,spiritu knowledg,amp
an,i want,tv
 re,in golden,pm
i m,new year,happi
mpa,let s,in
ji,i m,age
ay,german armi,must
 wo,time come,a
pal,maharaj ji,god
ain,suprem god,it
rea,knowledg saint,love
 ji,lord kabir,today
ome,given saint,knowledg
int,kit harington,start
ara,ram rajya,is
in,rajya come,new
 st,follow saint,live
l j,no one,sant
 wa,rampalji maharaj,follow
nd,ishwar tv,year
aha,mani ratnam,yug
at,game throne,day
 li,knowledg given,everyon
raj,watch ishwar,see
e s,super bowl,peopl
sai,bank bank,you
ri,wo n,get
mah,watch sadhana,end
he,satyug come,satyug
 se,want bt,he
it,in russia,good
ld,i hope,let
ow,ca n,great
 s,winni pooh,india
n t,god kabir,sadhna
ar,the world,want
wor,pm must,look
ll,true spiritu,thi
n s,magnum opu,true
ter,bt in,know
 lo,russia i,armi
et,gon na,russia
 pr,i love,make
 ha,i think,do
 so,live happili,no
 be,stream parti,spiritu
art,happi birthday,all
i s,new era,play
 to,sadhana tv,back
ve,saint rampalji,devot
ear,devot god,first
aj,age come,whole
ch,channel pm,film
th,era come,us
eve,come must,human
day,tatvagyan saint,peac
man,at present,there
ver,golden era,best
ng,come soon,stream
sta,let go,next
n a,the pooh,would
 in,semi fin,use
old,s go,everi
 i,india vishwaguru,my
 ch,sister daughter,era
rt,qualiti seen,game
 fi,seen devote,now
ke,to know,wait
e t,of the,pooh
am,world saint,pleas
her,yug is,take
 fo,maharaj must,team
 he,ponniyin selvan,bt
re,dir s,m
one,are readi,societi
 de,wan na,season
 ne,cast religion,feel
eat,knowledg sant,bring
od,age children,dowri
t w,bring peac,that
now,kabir saheb,cast
 ti,everi human,earth
r s,in satyug,man
e c,world everyon,to
ant,peac harmoni,life
 pe,next schedul,with
ne,ice fire,present
est,we re,show
ir,a a,give
 ba,a miln,soon
den,come end,what
e w,that s,alway
t t,follow sant,need
 ev,come there,mani
orl,children obedi,way
rld,obedi respect,bank
yug,respect elder,shoot
ti,rampalji saheb,kalyug
tch,the whole,and
ght,p m,book
ug,kabir era,song
atc,present satyug,complet
 sh,maharaj s,win
lde,dowri system,work
ot,a new,say
 ka,age everyon,on
tim,savior world,german
 wi,the golden,part
app,come kalyug,fan
ime,true worship,still
gol,come leadership,readi
 po,the great,for
tar,leadership saint,think
ive,i wan,star
ead,time see,women
 am,first time,im
eri,great man,hope
con,winnie the,also
 ta,i ve,role
ust,braver believ,of
 tr,believ stronger,seri
ind,smarter think,vegetarian
ent,black swan,seen
 pa,with knowledg,given
bir,discipl saint,lord
wat,thread human,big
t p,messag for,right
 kn,come all,believ
kno,today qualiti,creat
 on,seen follow,lead
li,devote sant,th
pre,men women,daughter
and,knowledg told,actor
 al,maharaj bring,got
 ca,right path,anyon
igh,peac world,two
t b,know the,bear
 no,like heaven,becom
ing,rain time,rampalji
e p,becam widow,heaven
hap,today kalyug,said
end,t v,are
or,in world,super
ck,t eat,much
 fa,eat meat,even
d s,start saint,listen
t a,look forward,final
 we,kalki s,movi
str,match day,austria
 mu,max von,germani
res,von sydow,free
pro,song ice,suprem
e l,an experi,etc
 di,experi with,epic
 mo,with kit,last
ad,th februari,could
 da,februari am,at
 bo,old bear,dream
 an,stronger seem,name
lea,seem smarter,happen
abi,christoph robin,countri
thi,i ll,religion
t c,here s,worship
na,i read,guy
 do,s get,qualiti
 le,join us,predict
for,want go,so
ove,ji said,na
h s,world bound,boy
t g,year messag,kill
ong,god satyug,thank
ss,women sister,mother
ct,end complet,read
 su,elder mother,keep
ht,mother servic,anna
t m,becaus ram,re
 br,free india,hell
 pl,give us,lot
ia,sadhana channel,amaz
i w,today peopl,alreadi
eas,happili wed,full
id,wed without,winni
i t,without dowri,who
ion,the spiritu,atmospher
el,sadhna channel,begin
ast,path devot,kit
age,earth becom,thing
get,god fear,well
kab,way worship,match
e a,come tatvagyan,trend
per,satyug use,miss
ake,use rain,d
 ge,time son,children
ish,son die,if
le,die father,set
hi,father sister,tell
ill,widow at,power
 bi,etc golden,sadhana
all,new civilis,tatvagyan
t d,base spiritu,harington
 n,v pm,tonight
 en,go come,fire
t f,there noth,old
t l,noth world,bad
 t,world feel,anoth
e r,feel happi,wish
e g,happi in,minut
rd,everyon alway,never
san,alway keep,red
e b,keep mind,hi
son,mind world,dont
sho,world full,birthday
oun,full sorrow,here
han,god present,long
eam,spiritu atmospher,togeth
 si,ji golden,fight
sat,take naam,eat
l s,one consum,throne
is,take dowri,after
ok,want bright,sister
ike,bright futur,evil
 sp,futur then,ram
e f,then start,rajya
ppi,start follow,saheb
t e,maharaj he,hindu
ur,he creat,schedul
t h,creat heaven,head
ist,heaven earth,parti
see,earth sooner,elimin
go,now time,stori
lik,front eye,but
 ar,sacr land,your
ess,age start,real
pla,now ram,night
mp,must listen,help
ni,hindu saint,anim
we,mother daughter,stop
our,devote saint,rt
 ag,great hindu,second
ame,entir world,join
e i,predict foretel,paok
ood,prove saint,ishwar
tor,come to,consid
 gr,period film,biggest
ack,s shoot,ratnam
ven,good luck,dir
ee,i miss,king
 ho,pleas come,chief
oll,sophi turner,goal
 wh,emilia clark,hit
 te,the crown,beauti
owl,crown land,am
let,we are,congrat
hea,andi reid,how
i f,great season,talk
d t,one thing,told
 mi,next season,shot
s c,i n,rule
tre,the true,sing
e h,we miss,charact
e d,silli old,base
ook,s dream,our
ut,your braver,chang
ect,t get,eye
mus,last night,vote
n g,day i,marriag
n w,trend germani,becaus
di,go german,devote
oth,keep stream,channel
ste,armi stream,meat
cha,i need,tamil
 la,the best,bowl
hin,greek cup,proud
ew,first leg,when
 fr,i would,they
m s,ji bring,made
i r,kabir suprem,kid
 ru,right divid,famili
 me,divid name,wonder
r t,name cast,realli
ssi,religion etc,leadership
tv,etc as,better
ge,as sant,photo
arm,said golden,around
 is,come whole,messag
 pm,bound thread,black
adi,human new,hous
om,for all,welcom
ree,all delhi,u
der,delhi citizen,half
ic,anim kill,expect
yon,accord constitut,respect
und,constitut god,finish
 tv,everi man,wo
 ac,daughter mother,stadium
i c,servic devot,plan
min,maharaj give,drug
 ki,maharaj complet,theft
you,true devot,corrupt
ani,inspir knowledg,briberi
a t,told great,land
 us,great hindi,project
e e,hindi saint,galatasaray
 fe,peopl live,call
t i,live live,littl
v p,given sant,not
ere,bring golden,break
rit,all live,ca
low,the aim,hard
lov,aim saint,top
r a,ji everi,hear
cre,everi person,place
r b,that come,she
par,come lead,as
nk,lead everyon,noth
pl,everyon right,seem
new,onli sant,excit
g s,human happi,treat
gre,happi earth,forward
e m,becom like,fear
i p,one god,more
 cr,must know,v
god,know real,offici
tri,tv p,episod
us,golden yug,mind
 dr,daughter becam,an
sad,satyug possibl,intox
 ro,possibl tatvagyan,onli
ndi,s follow,lion
 gi,follow complet,widow
se,complet happi,harmoni
 ye,basi knowledg,savior
oda,maharaj discrimin,titl
ari,high low,sir
rin,maharaj a,magnum
ery,civilis base,opu
led,everyon afraid,novel
tod,afraid god,moscow
 hi,god use,congratul
i a,use follow,week
pi,follow good,person
ger,good polici,run
act,polici cheat,post
