charTrigrams,wordBigrams,wordUnigrams
 co,n t,s
er,small busi,amp
 in,intern scienc,i
st,scienc festiv,the
 re,india intern,scienc
ent,busi confer,we
nt,,busi
 pr,it s,confer
 st,we re,great
on,custom experi,us
con,let s,new
rea,i m,peopl
 th,start up,day
it,th india,t
t s,do n,today
ay,festiv kolkata,team
nd,look forward,it
est,join us,n
in,same small,india
ter,via video,intern
 pa,union minist,festiv
ll,stop booth,one
at,next week,small
 ma,reload greec,event
rt,first time,booth
art,hon bl,like
et,address th,custom
the,video confer,week
 am,panel discuss,year
 ne,good morn,come
ri,us booth,a
t c,s amp,start
 te,feder small,thank
th,la vega,take
com,bring togeth,show
 sc,women scientist,make
pro,amp t,go
nc,scienc teacher,technolog
 se,the uk,see
ar,corona viru,first
res,last day,get
sta,say hello,time
ct,come see,look
re,well done,video
an,confer pittsburgh,student
ien,visit us,meet
t t,ca n,innov
ear,wo n,need
 di,we need,next
 vi,the best,part
eve,scienc literatur,thi
 de,wash hand,via
mp,consum electron,talk
ow,electron show,re
 ex,say hi,experi
t p,first day,th
ss,t forget,learn
n s,there s,world
ch,if re,tech
 he,find us,minist
ect,larg busi,best
 to,three day,say
amp,thi week,join
pre,societi american,excit
ur,american militari,help
e s,militari engin,present
day,pittsburgh pa,ce
 s,confer week,stop
he,next level,viru
enc,we excit,discuss
all,i ve,particip
t a,st class,work
ke,look like,let
 sh,i feel,use
ess,take place,here
 li,two week,want
ort,startup competit,health
ist,would like,good
par,matter robot,pleas
 gr,it great,address
 we,watch live,kolkata
ver,address i,pm
eat,i spoke,case
 ca,scienc amp,do
 ch,scientist amp,if
cie,part india,watch
me,particip student,differ
 wo,scienc film,well
en,film festiv,know
gre,prime minist,opportun
sci,biswa bangla,support
 sa,bangla convent,coronaviru
rn,convent centr,visit
ind,student engin,two
ng,engin model,realli
n t,model competit,w
 le,scienc expo,share
lea,bl minist,read
li,stay safe,live
om,chines peopl,feder
int,here s,commun
oun,kazu shimura,startup
ead,per hour,greec
 en,soni unveil,how
 fi,unveil car,amaz
id,car prototyp,connect
 tr,prototyp human,you
ion,human machin,pittsburgh
 fo,machin via,same
r s,clean window,project
 me,window via,back
 bu,come say,still
per,day confer,also
nte,next gener,countri
 pe,great event,infect
 su,drop booth,up
 mi,booth say,happi
 fe,re thrill,panel
ic,deep dive,check
or,team booth,at
and,amp achiev,compani
 wa,s new,test
al,great day,attend
han,s talk,thing
sto,custom servic,nation
ake,re go,in
por,s make,die
for,great team,china
ia,year s,human
 ev,engin same,last
fer,same feder,way
t d,great start,dont
ck,project manag,import
ad,good thing,m
 go,opportun amp,keep
igh,you know,engin
sti,busi team,manag
i c,exhibit hall,care
el,i think,london
t f,next year,scientist
 bo,climat chang,trump
r p,new year,our
 us,it time,readi
end,we want,mani
 be,speak topic,speak
 sp,i saw,develop
i s,innov amp,safe
ust,startup pitch,would
ght,break new,st
eri,infect he,not
ld,boy s,film
wor,keep mind,uk
t m,last night,everi
e c,so much,follow
nfe,speak greec,tomorrow
 la,greec medic,report
 lo,medic destin,place
 i,destin panel,call
 ta,hear mr,news
ome,stay tune,presid
 so,we proud,state
 da,welcom semifinalist,spread
 ho,i ll,global
t e,bl pm,solut
 mo,pm shri,expo
 ha,narendra modi,hand
d s,modi ji,chines
ut,entrepreneur conclav,what
tur,amp technolog,competit
man,largest astrophys,lead
tra,student attempt,session
e p,lesson assembl,they
tec,pm inaugur,futur
e t,inaugur th,for
new,address audienc,product
ew,inaugur student,market
ven,expo part,miss
si,risen india,feel
ran,india research,bring
t w,research innov,travel
am,innov scienc,im
t i,scienc empow,women
hin,empow nation,big
exp,scienc technolog,reload
usi,kolkata video,school
act,world s,proud
der,scienc commun,pitch
ti,nation scienc,conclav
hea,teacher congress,inaugur
ern,i would,engag
her,demo flight,brand
cha,largest technolog,much
tar,technolog festiv,servic
 ac,aviat space,person
ont,space technolog,find
we,fighter jet,idea
us,advanc technolog,right
onf,i hope,forward
ech,protect us,month
thi,chines viru,think
r c,how i,give
ot,gon na,exhibit
se,i got,he
 al,hand sanit,made
iv,public health,challeng
cus,avoid get,said
und,love one,research
 pl,im tri,turkey
ill,go home,car
bus,ago i,cx
pl,custom effort,cc
eas,effort score,hear
t r,forget book,expert
tor,book hotel,everyon
 po,hotel room,to
dis,room show,now
ht,show la,morn
ani,vega the,there
tea,the discount,book
tom,discount hotel,industri
op,hotel rate,chang
eal,rate avail,partner
t l,click link,and
sho,year ago,american
cou,at ce,educ
ntr,talk town,got
 cu,last week,so
s s,look part,media
tri,team appli,model
nti,via cc,social
t b,these clean,wait
ide,confer come,greek
ree,custom engag,entrepreneur
are,gener custom,dr
how,day event,fli
chi,s uniqu,public
d c,copc inc,avoid
 ge,inc s,gener
one,gold standard,happen
ive,erni garcia,creat
 ba,s easi,tri
dia,two day,success
vir,our first,hope
t h,booth amp,consum
 br,amp let,continu
ant,let us,provid
boo,t shirt,win
spe,spend time,togeth
ne,great talk,director
e a,new excit,becom
ve,amp consum,photo
ce,inform session,organ
min,engag experi,appli
ron,futur custom,program
 fa,effortless experi,anoth
e i,great custom,room
t g,person experi,citi
our,great confer,inspir
pan,happen here,that
n a,catch s,could
oth,watch webinar,fight
 fr,engag amp,among
 im,achiev roi,latest
ag,amp proxim,friend
 do,proxim servic,flu
app,noth like,robot
car,silo bring,largest
i a,bradli sax,union
 cl,sax director,sponsor
rd,director guestpath,data
ndi,cx book,group
n c,s meet,scale
ers,oz s,even
pla,impact busi,healthcar
rep,see us,across
l s,day last,end
l c,visit booth,more
i p,event join,level
 ad,great job,stage
ate,need keep,impact
r a,today pm,effort
str,super excit,number
e b,excit attend,open
ina,we make,partnership
e r,make sure,class
tiv,great organ,found
eam,know amp,my
tte,s come,interview
eop,col paul,invest
ast,paul kremer,launch
att,kremer brief,franc
ed,remedi mission,young
ong,contract opportun,close
e f,partner larg,stay
nk,great connect,per
l b,day two,teacher
peo,finger cross,death
opl,week s,home
tal,keynot speaker,vega
ip,day today,be
ste,en rout,hour
ni,dji spark,ceo
 no,spark mini,power
eek,come visit,never
 ro,t miss,play
ten,ceo roundtabl,life
ner,same sbc,around
get,sbc confer,repres
sma,new orlean,winner
n i,confer visit,are
fes,confer the,ll
ari,day one,catch
 ye,great time,stori
l t,network learn,better
n m,learn opportun,will
ren,team need,strategi
ook,booth come,must
k s,need project,hospit
r t,s great,full
ere,success we,done
tic,we love,wonder
e m,attend same,announc
 ti,begin today,act
m s,learn use,congrat
t n,excit part,special
vid,busi partnership,problem
 pi,effect way,welcom
ard,attende come,award
 at,key consider,la
omp,far claus,long
rou,room r,train
d t,excit host,just
men,confer today,system
l a,he s,fund
p s,own busi,all
i t,pm today,featur
eng,right opportun,respons
eet,support small,is
n p,forward meet,acceler
ele,board member,offici
wee,congratul us,ago
 fu,us small,medic
 an,team win,soon
rat,busi award,electron
bl,what wonder,million
il,r amp,top
hi,dont miss,trend
rti,kick promis,prototyp
tim,promis extraordinari,wash
e l,extraordinari three,panic
t u,day feder,age
tod,safe amp,showcas
oda,long term,near
out,t believ,activ
ssi,deutsch bahn,interact
ing,bahncard cost,focu
ov,cost nd,achiev
 ce,nd class,patient
p c,class instead,break
tak,big thank,divers
e e,thank help,understand
 sm,s s,set
ok,till th,your
cor,would also,love
tha,like i,attende
mal,live work,nice
c f,i n,free
iru,arriv today,member
ons,i still,job
ese,take photo,design
sen,look good,lot
 wi,mani peopl,e
l p,so excit,societi
ini,today amp,avail
e n,pleas stop,govern
 t,the world,interest
up,singl word,instead
oot,t care,ticket
ass,person i,might
i m,manag ocean,airport
tch,grand palai,who
anc,great innov,german
imp,chang world,fun
xpe,solut develop,reduc
ici,food wast,allow
 si,rest world,mind
ek,world talk,iran
eed,to act,twitter
e d,we are,topic
gra,here to,air
as,daili life,measur
ain,challeng day,risk
a i,more info,clean
pit,the fight,control
un,it pleasur,prepar
tio,busi model,outbreak
 n,thank much,corona
d p,veri inspir,final
r d,impact startup,thought
s c,thank support,hon
ins,new the,bl
son,st februari,advanc
nde,full video,attempt
h s,want know,secur
rst,know check,famili
d m,check short,second
 jo,short film,istanbul
see,film dedic,due
ove,dedic contract,hotel
ee,contract film,inform
rec,film last,were
i d,last month,insight
 dr,month signatur,forget
 on,signatur partnership,enjoy
mar,partnership european,thrill
unt,european invest,without
d a,invest fund,an
s t,day ago,includ
eak,fake news,word
ppo,intern airport,roundtabl
s a,seem like,price
mor,need help,messag
sit,the end,cool
r m,wear mask,from
inn,that s,prime
hel,c est,three
od,take care,c
stu,just found,click
don,bori johnson,speaker
ame,johnson say,network
ey,the viru,increas
ank,coronaviru like,friday
ick,at event,current
sh,big day,decis
log,day tomorrow,post
r i,scale up,congratul
lik,young entrepreneur,arriv
isc,entrepreneur uk,pay
is,uk join,ever
l d,join forc,walk
e w,forc share,folk
top,share idea,alway
e h,idea lb,no
y s,pitch night,lie
alt,london busi,emerg
ati,busi school,posit
duc,good luck,saw
 fl,chanc meet,food
war,cultur innov,u
 ar,young peopl,link
 un,we look,europ
ach,next decad,yet
e g,launch global,wear
fir,global call,mask
ime,morn reload,someth
cit,day acceler,ye
tre,rg confer,protect
ond,hope see,night
n f,dream start,audienc
rtu,start reload,matter
olo,take lead,flight
n e,mr speak,on
n r,excit hear,shri
ike,mr chatziparasid,ji
pri,chatziparasid speak,held
you,topic alongsid,these
ork,new perspect,literatur
lk,alongsid mani,display
rac,mani expert,visitor
sid,make peopl,aircraft
not,thank amaz,itali
nno,hard work,vaccin
ru,the annual,point
den,startsmart confer,hi
inf,perfect pitch,guy
sur,get readi,awesom
 ra,and s,honor
cre,startup expo,screen
dre,have great,met
n w,we would,build
now,like thank,easi
ali,thank sponsor,hello
r w,semifinalist event,smart
vel,event take,digit
nov,place nation,practic
ang,nation hellen,account
go,hellen research,when
ol,research foundat,put
chn,vassili papakonstantin,everyth
 it,mitef greec,summit
oll,make greec,actual
ene,greec technolog,leader
s p,technolog hub,have
vis,technolog matter,record
im,work the,with
r l,that matter,offer
nne,per year,ai
g s,the robot,skill
shi,event a,concept
ir,today s,chanc
di,tech startup,process
k t,live hon,keynot
loo,shri narendra,far
 op,ji address,brief
nis,kolkata via,contract
hou,while deliv,transport
har,deliv address,larg
r f,basic scienc,pictur
h a,young women,major
fin,ashutosh sharma,host
tud,guin world,effect
c t,world record,r
lon,attempt make,suggest
de,assembl radio,own
r r,radio kit,valu
yea,amp entrepreneur,advic
nol,bud scientist,discov
ext,session india,profession
ris,astrophys lesson,believ
inc,student across,money
exc,across india,given
isi,festiv india,seriou
ori,thank everyon,d
ood,everyon support,possibl
ope,shri ji,listen
cas,ji inaugur,machin
tin,audienc biswa,reason
tru,minist india,germani
ak,competit meet,least
sup,india s,mc
edi,held kolkata,but
 bi,theme risen,anyon
mak,technolog minist,bad
mon,minist diplomat,light
m e,diplomat conclav,pari
oin,i mention,turn
alk,genom sequenc,action
via,effort experi,foundat
ata,i happi,wa
let,amp expo,forc
i i,video conferenc,trust
ell,scienc fiction,dream
ple,film part,tweet
acc,connect scienc,precaut
 na,vigyan manthan,quarantin
hno,the expo,town
n b,scientif amp,boy
low,scienc tech,high
i g,new age,mr
c s,age technolog,while
spo,minist visit,basic
le,visit scienc,assembl
t o,watch s,kit
o c,turn scienc,popul
lth,among children,scientif
i f,take scienc,children
ffe,state s,congress
dea,t council,imag
lin,year anoth,carri
ost,while address,as
og,address scienc,podcast
 hi,teacher nation,improv
las,young mind,beauti
gen,student scienc,voic
rk,literatur festiv,cultur
na,dr sanghamitra,celebr
eo,health research,speed
tan,research conclav,drop
hat,scienc citi,growth
way,health awar,access
