charTrigrams,wordBigrams,wordUnigrams
er,n t,i
 co,it s,s
st,,amp
ay,small busi,the
 th,new year,day
nd,i m,love
 re,busi confer,it
on,everi day,we
t s,we re,us
et,let s,happi
it,white supremacist,today
the,happi new,one
nt,nd amend,year
 st,i love,new
 ma,do n,t
day,kit harington,n
ll,your pet,thi
ri,pet day,like
ar,custom experi,right
 am,i think,peopl
 i,ca n,a
 pr,far right,gun
at,dress up,pet
rea,furri friend,go
re,gun right,women
 se,law abid,get
 li,i want,see
ver,i got,great
en,i ve,everi
ear,look forward,make
an,i hope,you
 lo,super bowl,know
e s,second amend,show
ter,here s,re
 wo,winni pooh,look
 pe,social secur,busi
eve,you know,take
 s,i would,time
ve,look like,say
est,last year,dress
 ne,terrorist attack,let
ow,we love,im
he,i d,think
 sh,i feel,need
ke,last night,best
th,intern women,virginia
ss,nation dress,want
 ca,the pooh,come
con,game throne,dont
 to,same small,first
 in,you n,share
in,gun law,if
mp,i dont,week
 be,the media,white
t t,i know,here
ent,could n,celebr
ght,white nationalist,thank
 we,shisha bar,friend
res,i need,live
 de,women s,he
 pa,first time,good
t p,i miss,confer
amp,show us,mani
ove,up your,thing
end,dress pet,last
li,send us,work
ck,good morn,ralli
 he,think i,support
ome,ice fire,still
 go,stop booth,trump
n t,joe biden,american
all,one day,what
rt,white men,start
igh,u s,team
ur,i n,my
t a,abid citizen,back
 da,did know,small
pro,gun owner,littl
and,love one,in
eri,if re,would
t c,women day,use
me,but i,booth
thi,gon na,keep
app,i ll,call
al,pic pet,your
 ev,join us,much
ess,t forget,photo
 wa,a a,and
 ha,a miln,no
sta,next week,got
her,us booth,world
ht,feder small,yesterday
 fa,like drum,pleas
ist,there s,dog
 sa,ralph northam,alway
 su,yesterday i,next
r s,ralli virginia,custom
n s,the peopl,m
 vi,la vega,so
 la,richmond virginia,give
 do,i still,pic
 le,the second,pooh
 ch,year ago,tri
men,day i,all
com,i thought,two
e t,emilia clark,peac
 po,in honor,well
 ho,got ta,season
ng,let us,life
man,pet dress,there
ne,the best,vote
 ye,winnie the,man
one,braver believ,to
eat,believ stronger,never
 us,smarter think,just
id,max von,way
us,von sydow,check
 di,song ice,law
ot,an experi,our
ame,experi with,everyon
or,with kit,amaz
t w,th februari,experi
 so,februari am,state
t d,nelson mandela,anoth
art,you ve,media
te,trump will,watch
ch,will beat,they
ill,secur cut,miss
 te,he s,hope
i s,think s,could
 fi,pro gun,how
ld,two week,post
 fo,peac protest,feel
e c,stay safe,also
ake,supremacist ralli,arm
 tr,donald trump,talk
e p,amend ralli,follow
hap,there noth,do
ad,gun control,stori
ort,open carri,read
ic,dont know,black
 me,take away,patriot
 ba,today s,far
ead,so proud,end
pre,peopl shot,game
ct,bear arm,attack
oun,say i,for
un,arm insurrectionist,nation
 gr,i say,guy
e a,im go,amend
for,like i,proud
 bo,sound like,big
per,re go,not
 an,mani other,that
ut,d like,w
 al,even though,protest
ti,next gener,men
 ex,day year,win
 wi,i start,wear
om,next season,stop
 gu,chanc win,on
lov,photo pet,play
 mo,share pic,better
t r,post pic,even
 ri,make sure,democrat
ect,tweet us,video
ew,year s,realli
ppi,s see,stand
lea,today i,pictur
i c,love pet,meet
t l,na na,join
hi,miss yesterday,left
 ta,old bear,presid
t b,stronger seem,hear
e l,seem smarter,bear
 no,christoph robin,she
 ra,the crown,find
ing,crown land,cat
sto,say hello,learn
 ge,come see,believ
t i,confer pittsburgh,help
d s,visit us,yet
our,wash hand,home
sho,the uk,favorit
e m,consum electron,run
t g,electron show,is
t m,arrest tri,th
ant,biden urg,thought
we,urg to,but
i t,to about,ll
 wh,about past,togeth
hin,past call,tweet
new,call for,ce
t f,for social,long
oth,civil right,secur
ion,get arrest,ve
you,i guess,old
 dr,beat biden,ever
e b,biden like,made
ack,we n,wish
ni,you re,via
han,amp stupid,happen
wor,gov ralph,these
tod,week s,nd
oda,gun ralli,up
ont,everi time,attend
 bu,time i,woman
l s,i wish,super
get,would like,book
