charTrigrams,wordBigrams,wordUnigrams
er,,greec
gre,n t,greek
 gr,bank bank,s
ree,greek border,the
 re,it s,border
ay,reload greec,day
 th,human right,we
 co,start up,peopl
st,oxi day,today
 st,greec europ,i
day,greec s,it
nd,fake news,europ
the,border europ,bank
sta,european countri,start
an,defend europ,countri
eec,europ s,refuge
on,protect border,amp
 pa,do n,take
ent,greek peopl,thank
at,illeg immigr,us
it,mood day,turkey
ec,today greec,right
art,look forward,come
eek,never forget,n
 bo,say no,t
der,take place,turkish
ter,greek cup,get
rea,first leg,time
ri,semi fin,human
 pr,startup competit,like
 to,matter robot,happi
nt,the best,no
 in,open border,back
rt,greec defend,london
t t,well said,support
ek,enter countri,make
tur,around world,go
in,stand greec,look
ght,tear ga,say
 ma,go back,celebr
he,the real,amaz
ke,i n,event
igh,the greek,startup
 fo,let s,great
ar,big day,paok
oun,i ll,help
ord,nation day,team
 me,forget sacrific,they
eve,no fascist,and
en,let us,thi
 de,day like,world
rde,like today,stand
et,me no,see
 se,and oscar,nation
 s,oscar goe,meat
 pe,it amaz,mood
ist,leg semi,th
t s,would like,reload
ank,speak greec,invad
tar,greec medic,protect
ad,medic destin,you
com,destin panel,a
ll,hear mr,big
ake,panel discuss,immigr
est,welcom semifinalist,readi
eur,the turk,war
 we,we dont,first
bor,the border,that
ver,border greec,pitch
ht,extern border,panel
and,europ and,turk
ear,the messag,defend
n t,enter greec,illeg
ch,how anyon,enter
 en,guard border,never
eat,take respons,one
pre,messag support,attack
ck,support around,well
me,greek author,to
 da,s border,part
urk,border pleas,forc
 ta,make peopl,know
 po,peopl awar,year
 lo,support greec,photo
 tu,erdogan s,do
res,poor refuge,best
or,best reveng,european
 ne,s e,speak
t p,an eye,even
nk,polic forc,let
 ba,tri enter,friend
 eu,greec illeg,u
 le,intern law,tonight
rop,countri stay,keep
cou,ca n,work
tri,help greec,excit
r s,defend border,use
pro,help refuge,in
 mi,refugees migr,much
e p,i dream,open
 go,e u,pleas
 fi,s first,eu
 wa,first time,made
 al,dear peopl,must
ng,peopl difficult,pass
e t,difficult night,need
 he,night greec,new
al,greec especi,night
t e,especi greek,my
end,peopl protect,enjoy
 ev,pleas stand,up
i s,stand us,want
ntr,us stand,order
for,stand right,forget
ion,greec attack,freedom
op,eu border,tri
r p,syria shame,news
eop,fuck crimin,law
opl,turkish militari,said
ow,turkey s,erdogan
ead,what happen,e
 sa,come greec,fight
e g,allahu akbar,good
ti,refuge migrant,tomorrow
 li,greec fail,citi
uro,keep border,what
peo,women children,so
pl,gon na,two
t g,presid erdogan,love
ort,border gate,wait
 wo,europ we,parad
t c,foreign polici,challeng
we,talk human,entrepreneur
 fa,real face,join
li,thing matter,confer
 di,much stronger,present
all,side greec,old
id,greec the,for
t a,good luck,how
sh,that s,happen
ect,wo n,around
 ch,we are,spread
 am,fat tuesday,fake
tod,grill meat,alway
oda,meat today,histori
ey,the amaz,armi
ant,masqu parti,live
man,parti today,send
ic,need know,polic
 su,get lit,fuck
 so,lit lit,not
ack,greec today,w
ct,eat meat,give
ven,meat day,sacrific
unt,s ok,hope
ill,s go,mani
tha,today celebr,talk
ref,thank share,matter
 te,proud greek,learn
par,around globe,thursday
 la,happi nation,me
 ex,axi power,share
 an,metaxa said,found
 ca,when entir,octob
ss,entir world,oxi
lea,world lost,follow
han,lost hope,red
ish,hope greek,game
t l,peopl dare,meet
n s,dare question,minut
e b,question invinc,leg
tan,invinc german,mr
 fr,german monster,idea
con,us never,technolog
re,sacrific made,robot
th,made gone,thing
e s,gone us,fought
se,us day,democraci
ld,today caus,messag
 hu,caus reflect,migrant
 ho,reflect remembr,welcom
ome,remembr also,action
d g,also pride,flag
ess,pride great,noth
n p,great nation,call
por,nation greec,poor
und,th octob,state
 no,axi forc,on
ope,today s,intern
k b,we proud,stay
ban,day no,syria
t m,no day,dream
rn,free today,power
t w,celebr freedom,find
t b,world celebr,better
app,commemor th,last
ell,day said,realli
k t,militari parad,real
d s,octob th,stop
uge,piec heart,also
k s,the parad,left
ian,go me,face
nte,no xeni,particip
sti,amaz fantast,bring
 ri,i love,tsiknopempti
hat,my name,grill
 ha,black eye,wonder
e a,eye pea,week
 sh,better love,proud
efu,defeat paok,ww
 be,martin name,offer
her,start xi,cup
t r,leg match,goal
ass,face paok,penalti
i t,st leg,match
lon,vs kick,off
ok,kick off,hub
cha,the big,acceler
ele,after min,launch
ond,see court,competit
aaa,court law,respons
 us,taft univers,cypru
ate,univers of,land
us,of boston,accept
get,at event,anyon
 tr,day tomorrow,attempt
lle,young entrepreneur,violat
rd,entrepreneur uk,wish
hap,uk join,million
our,join forc,free
wor,forc share,ever
war,share idea,children
ur,idea lb,via
fug,pitch night,reveng
ust,london busi,eye
ut,busi school,close
e r,we look,crimin
 ar,launch global,enough
pea,global call,unit
r t,good morn,differ
adi,morn reload,if
t f,day acceler,shot
ve,well done,put
t h,rg confer,he
hel,dream start,ago
fin,start reload,is
up,mr speak,respect
t d,excit hear,interest
 sp,mr chatziparasid,ga
 ac,chatziparasid speak,dear
 ge,speak topic,kick
n c,topic alongsid,all
att,alongsid mani,still
e e,mani expert,care
d w,stay tune,soldier
spe,hard work,member
ast,startsmart confer,difficult
tim,perfect pitch,bomb
ood,startup expo,expert
tch,we would,have
tak,like thank,militari
n b,thank sponsor,fail
r g,semifinalist event,where
tte,event take,side
di,place nation,watch
n r,nation hellen,question
rep,hellen research,re
tio,research foundat,would
n m,vassili papakonstantin,next
mp,mitef greec,foreign
 im,make greec,opportun
tor,greec technolog,of
ni,technolog hub,hero
ge,technolog matter,hellen
ive,that matter,at
i p,event a,luck
amp,turk use,end
c s,use old,heart
per,old photo,bbq
r a,photo taken,eat
ard,taken hungari,month
ne,hungari slam,festiv
d t,slam greec,everyon
iti,greec they,lit
oli,they want,got
sto,want destabil,mean
ori,destabil greec,forward
 na,europ do,resist
cel,do allow,axi
min,best thing,fascist
am,thing defend,experi
c t,defend countri,inspir
thi,countri homer,univers
inv,homer s,
don,s iliad,commemor
e m,in bc,vote
pen,bc spartan,place
one,spartan thespian,taso
ani,thespian fought,b
ren,fought much,name
ot,much larger,ball
 pi,larger number,olympiaco
kis,number persian,lead
mor,persian thermopyla,highlight
s s,thermopyla order,post
tea,order defend,semi
ari,defend greec,fin
el,greec centuri,footbal
rke,centuri later,young
 at,later greek,after
ide,greek poet,lb
ong,poet c,busi
rig,c p,discuss
ppo,p kavafi,rg
ran,kavafi wrote,medic
n g,turk accus,hear
 pl,accus us,topic
l a,us cruel,semifinalist
r f,cruel they,dont
e n,they forget,claim
tec,forget turkey,trust
ria,turkey respons,guard
