charTrigrams,wordBigrams,wordUnigrams
 sa,rampal ji,ji
nt,ji maharaj,rampal
 co,saint rampal,maharaj
 ma,golden age,saint
amp,must watch,come
 ra,sant rampal,s
en,tv pm,golden
al,n t,the
t r,kabir yug,world
er,golden time,india
har,is come,amp
st,watch sadhna,watch
ram,sadhna tv,kabir
 in,intern scienc,pm
ji,whole world,time
int,scienc festiv,scienc
mpa,time is,must
 ji,india intern,age
i m,yug come,i
pal,do n,knowledg
ain,spiritu knowledg,god
com,miss call,peopl
me,new year,tv
ara,in golden,t
l j,time come,new
 go,maharaj ji,one
the,chandrashekhar azad,sant
on,suprem god,today
raj,knowledg saint,in
 th,lord kabir,is
an,given saint,yug
 re,ram rajya,n
 wo,rajya come,human
sai,follow saint,start
aha,no one,follow
mah,rampalji maharaj,he
t s,ishwar tv,like
ome,mani ratnam,satyug
 pr,medic care,year
n s,knowledg given,everyon
ent,watch ishwar,film
rea,give miss,sadhna
at,watch sadhana,azad
ind,satyug come,happi
ar,th india,go
in,deni medic,live
ri,god kabir,peac
aj,pm must,spiritu
den,true spiritu,devot
wor,magnum opu,true
 de,festiv kolkata,it
ter,medic treatment,festiv
he,it s,call
 st,hon bl,whole
ay,new era,intern
ld,sadhana tv,give
it,saint rampalji,present
 wa,devot god,bring
 li,age come,great
est,channel pm,era
e s,era come,do
ow,come must,no
ll,tatvagyan saint,societi
nd,at present,thi
th,golden era,medic
ir,a new,a
ndi,india vishwaguru,end
art,sister daughter,know
res,qualiti seen,now
 sc,seen devote,dowri
ch,live happili,life
 ch,to know,there
i s,world saint,need
n t,yug is,make
old,maharaj must,take
con,ponniyin selvan,all
pro,dir s,student
 so,union minist,jail
 pe,jail bcz,right
yug,wo n,would
n a,call number,women
 he,,get
dia,cast religion,look
eve,knowledg sant,earth
 ne,age children,part
ug,bring peac,use
now,kabir saheb,miss
 se,everi human,everi
her,in satyug,th
lde,world everyon,constitut
ver,peac harmoni,creat
ic,come soon,cast
ng,next schedul,kalyug
rt,address th,we
man,video confer,given
eat,come end,complet
 ka,rais voic,us
cie,follow sant,free
ear,come there,work
 s,children obedi,minist
r s,obedi respect,want
orl,respect elder,pleas
rld,rampalji saheb,mani
gol,the whole,for
ss,kabir era,number
t p,present satyug,see
 ha,maharaj s,next
 ca,dowri system,play
 am,age everyon,day
ve,savior world,role
ti,the golden,vegetarian
et,come kalyug,shoot
ct,true worship,kolkata
 fo,come leadership,first
 to,the great,good
 ev,leadership saint,releas
pre,save constitut,suprem
nc,caa nrc,becom
ad,first day,address
ke,with knowledg,delhi
 di,discipl saint,protest
han,thread human,also
sta,messag for,love
sci,come all,chandrashekhar
od,today qualiti,way
e c,seen follow,etc
 ti,devote sant,seen
t w,knowledg told,rampalji
ia,maharaj bring,lord
ien,p m,soon
ist,right path,heaven
ive,peac world,countri
 fi,know the,happen
 tr,like heaven,read
 sh,rain time,video
bir,becam widow,daughter
ant,today kalyug,man
enc,t v,health
 lo,the world,alway
 be,keep mind,immedi
 mu,t eat,mother
and,eat meat,to
kno,start saint,anna
wat,look forward,children
 kn,happi birthday,religion
tch,kalki s,worship
 me,women scientist,epic
ead,s amp,provid
s c,amp t,deni
atc,scienc teacher,treatment
t t,may suffer,chang
all,suffer cardiac,if
h s,cardiac arrest,say
abi,right protest,movi
eri,human right,begin
mp,that s,qualiti
ess,ca n,anyon
ect,delhi polic,care
am,i think,at
e w,chandrasekhar azad,power
ime,let s,feel
re,ji said,on
hi,world bound,even
t c,year messag,that
lea,god satyug,help
cha,women sister,caa
t a,end complet,social
ust,elder mother,sadhana
ion,mother servic,kill
or,becaus ram,tatvagyan
sti,free india,predict
kab,sadhana channel,with
 no,men women,voic
day,today peopl,arrest
t d,happili wed,leader
ot,wed without,let
 ta,without dowri,lead
 mo,the spiritu,wish
r a,sadhna channel,back
edi,path devot,wait
app,earth becom,nation
mus,god fear,best
tar,way worship,sister
na,come tatvagyan,evil
 po,satyug use,ram
id,use rain,rajya
tim,time son,saheb
t m,son die,hindu
e t,die father,team
li,father sister,scientist
 pa,widow at,what
 al,etc golden,keep
ght,new civilis,respect
d s,base spiritu,becaus
age,v pm,and
e i,go come,save
t f,there noth,indian
ut,noth world,show
 pm,world feel,sir
one,feel happi,actor
 su,happi in,said
 an,in world,marriag
 en,everyon alway,project
pl,alway keep,atmospher
is,mind world,ishwar
e p,world full,book
ur,full sorrow,schedul
 fa,god present,ratnam
 vi,spiritu atmospher,dir
le,ji golden,conclav
il,take naam,inaugur
 sp,one consum,polic
ven,take dowri,muslim
 do,want bright,lot
sat,bright futur,talk
 ag,futur then,you
 fe,then start,treat
ge,start follow,fight
g s,maharaj he,state
ake,he creat,long
hap,creat heaven,import
for,heaven earth,m
 on,earth sooner,famili
a t,now time,inspir
san,front eye,elimin
rn,sacr land,devote
 mi,age start,channel
men,now ram,listen
rd,must listen,of
ne,hindu saint,consid
v p,mother daughter,meat
igh,devote saint,tamil
t e,great hindu,may
dg,great man,still
itu,entir world,event
 br,predict foretel,full
 pl,prove saint,but
t h,period film,better
led,s shoot,set
ish,via video,stop
oll,scienc literatur,initi
oun,basic human,spread
 le,drink water,rule
edg,he deni,my
 ba,pleas retweet,discuss
e l,whi jail,drug
thi,bcz rais,messag
l s,voic modi,theft
hea,modi shah,corrupt
ew,shah s,briberi
rit,s dictatorship,base
 is,dictatorship step,leadership
god,step he,eat
owl,he jail,among
wle,bcz spoken,director
new,spoken favour,fan
e h,favour constitut,union
e a,constitut now,dr
par,now tourcherd,modi
 te,tourcherd jail,hi
 da,jail that,thank
di,s want,taken
el,medic assist,two
peo,immedi treatment,forward
eop,bring new,plan
opl,modi ji,tell
eas,bhim armi,anim
i t,it seem,intox
min,i would,widow
r t,nrc npr,harmoni
end,bl pm,savior
 wh,india s,after
sad,ji bring,excit
tv,kabir suprem,research
get,right divid,magnum
t g,divid name,opu
ste,name cast,novel
 tv,religion etc,technolog
dev,etc as,innov
 hi,as sant,bjp
 si,said golden,govern
per,come whole,they
ni,bound thread,well
ast,human new,made
as,for all,whi
e g,all delhi,mind
ing,delhi citizen,rais
yon,anim kill,share
adh,accord constitut,particip
ove,constitut god,court
 hu,everi man,commun
e m,daughter mother,alreadi
 gi,servic devot,requir
ole,maharaj give,sign
ons,maharaj complet,support
low,true devot,fear
 t,inspir knowledg,due
e e,told great,song
cre,great hindi,hon
nte,hindi saint,bl
dis,peopl live,told
dic,live live,around
ht,given sant,propheci
i p,bring golden,dream
spi,all live,maniratnam
t i,the aim,expo
eac,aim saint,drink
 fr,ji everi,never
m s,everi person,hear
hol,that come,trend
tor,come lead,when
ong,lead everyon,face
giv,everyon right,person
der,onli sant,tomorrow
ree,human happi,u
e f,happi earth,govt
tru,becom like,high
 ac,one god,accord
pea,must know,young
uma,tv p,law
 ja,golden yug,money
aty,daughter becam,futur
 cr,satyug possibl,who
sho,possibl tatvagyan,name
vot,s follow,as
 yu,follow complet,vishwaguru
ern,complet happi,discipl
our,make india,philosophi
iti,basi knowledg,salvat
t b,maharaj discrimin,happili
ery,high low,femal
evo,maharaj a,chyren
hum,civilis base,onli
pla,everyon afraid,mutual
med,afraid god,brotherhood
ren,god use,by
a c,use follow,titl
i c,follow good,screen
e d,good polici,ponniyin
ese,polici cheat,selvan
ani,cheat dishonesti,confirm
iv,dishonesti today,teacher
oth,kalyug see,harass
tod,see qualiti,suffer
oda,qualiti discipl,polit
rel,maharaj golden,an
bri,age is,bcz
pir,get proper,success
tyu,proper wage,condit
sen,maharaj go,speak
tre,of the,where
 we,world kabir,without
d t,true guru,chandrasekhar
r y,fear god,nrc
n g,atmospher around,prove
 gr,come no,more
se,come peac,so
llo,harm anyon,real
fil,naam deeksha,wo
n w,we alway,shri
aza,alway heard,anoth
ill,heard lot,consum
r c,lot heaven,path
era,heaven now,problem
act,time see,adulteri
us,see heaven,nostradamu
 ye,heaven front,tobacco
i r,eye thu,lion
ail,thu sacr,possibl
ini,land the,satsang
d a,start soon,origin
te,soon kabir,sorrow
rat,end mutual,satyuga
n e,mutual conflict,biggest
 us,like satyuga,alcohol
 na,begin golden,foretel
ere,maharaj make,big
 la,age peopl,latest
str,women treat,expect
see,treat mother,vikram
t l,peopl satyug,produc
d p,serv parent,star
 ex,bless us,direct
i a,sant rampalji,offici
 n,teach kabir,mega
r p,maharaj spread,charact
om,maharaj great,seri
ppi,kali yuga,confer
ort,consid devot,basic
oci,devot first,hope
s s,first duti,place
fol,duti life,think
hna,chyren savior,heard
cou,on basi,retweet
gre,s go,struggl
sh,come predict,attent
tit,foretel prove,ye
soc,bring satyug,step
r d,satyug earth,assist
rin,come kabir,be
 at,shoot begin,request
ike,schedul start,join
l p,anna amp,media
ilm,amp anna,via
eti,anna marriag,across
rth,marriag recept,chief
n i,recept erod,diseas
g c,erod today,histori
yea,ratnam s,thing
n d,start today,assembl
ed,dream project,session
ple,titl font,final
lik,shoot start,here
d c,epic novel,bless
n m,watch live,other
ee,address i,birthday
 wi,i spoke,thread
dre,scientist amp,obedi
t n,part india,elder
e r,particip student,bhakti
 ea,scienc film,remov
ord,film festiv,satbhakti
e b,biswa bangla,men
ryo,bangla convent,discrimin
ok,convent centr,appli
liv,student engin,south
dhn,engin model,crime
 ad,model competit,news
n c,scienc expo,system
iss,bl minist,fre
eli,give medic,v
ate,jama masjid,then
 i,still jail,sooner
r m,we need,teach
ang,azad s,entir
d k,medic attent,togeth
who,read share,period
zad,need immedi,challeng
 dr,immedi medic,differ
ari,urgent medic,announc
sha,s order,kalki
l c,medic help,attempt
ue,s health,engin
ook,azad requir,opportun
ra,requir immedi,how
vid,save life,hit
 ho,super hit,dalit
ber,he need,reject
hin,azad releas,about
 ar,polic deni,prison
im,health amp,tihar
 im,i m,instead
eed,i given,though
nst,given miss,scare
i d,alway caa,bail
n b,thi number,month
ip,reject caa,realiti
tha,pleas give,urgent
und,constitut india,hell
dow,today i,case
ag,shri ji,armi
rec,happi new,aiim
 az,i hope,super
l t,get readi,increas
c a,peac prosper,valu
 as,countri end,hand
i w,all human,seem
arr,human world,pic
lit,world vegetarian,guy
n f,vegetarian no,written
e n,no anim,she
shi,kill tast,noth
tiv,tast tongu,shock
s a,kalyug mein,citizen
 bo,mein satyug,vote
pi,satyug accord,girl
ras,satyug everi,north
go,man look,st
are,look women,hous
ugh,mother evil,educ
ers,evil today,hard
d m,all evil,our
hip,evil deed,build
n n,deed like,meet
d e,like lie,favorit
tur,lie fraud,kind
sup,fraud misde,prosper
rig,misde etc,bound
ote,etc end,lie
ac,make societi,guru
ali,devot devot,wed
spe,the wealth,p
p s,dowri free,rain
mon,corrupt free,die
ave,the follow,becam
d f,take bribe,basi
pt,the true,woman
chi,human religion,solut
 bi,peopl wast,danc
tu,god rampalji,quarrel
tri,ji today,border
cal,world live,bright
ann,live like,rt
r w,like famili,smoke
ade,famili fight,front
eal,fight religion,eye
way,everyon follow,land
ele,maharaj watch,visit
a s,kabir sahib,develop
em,india becom,upcom
mis,world all,exclus
war,corrupt briberi,audienc
iri,femal feticid,kundavai
ass,holi scriptur,chola
ood,now golden,recent
een,make life,d
d w,age the,largest
i b,chyren appear,model
rem,ji spiritu,literatur
u s,establish peac,tech
tak,maharaj come,interact
n p,you listen,regist
bl,listen hi,dissent
aug,hi knowledg,water
kal,knowledg he,forget
r h,he one,cardiac
c t,one who,readi
tte,who appli,twitter
dra,appli rule,hyderabad
son,rule regul,major
ian,regul explain,hospit
let,explain suprem,got
ria,saheb no,rememb
wri,one he,includ
h i,he onli,critic
gur,do know,shah
fes,the lord,favour
n h,lord sant,while
l m,maharaj god,ca
ori,god east,jamia
ash,east south,ll
n r,south north,far
 ki,north west,enough
bec,west sant,tweet
rue,maharaj best,can
lm,come everi,friend
 er,in everi,away
ck,know real,roll
i f,real way,level
 ri,worship watch,issu
i i,m ist,na
she,give freedom,understand
 un,freedom azaadi,from
ten,azaadi theft,turn
ict,theft dowri,npr
d r,dowri corrupt,art
ath,corrupt intox,gener
a i,intox tobacco,cultur
 ro,tobacco he,done
por,he true,celebr
ili,true liber,nd
c f,liber world,edit
del,world must,low
ami,world peac,tri
ard,satyug lion,line
 ge,lion goat,prevail
o n,goat use,intoxic
rsh,use drink,divid
che,water pond,fraud
fre,pond lion,reviv
lis,lion also,appear
hoo,also vegetarian,servic
ntr,vegetarian present,break
oli,maharaj human,hindi
hat,human anim,practic
ndr,anim vegetarian,scriptur
w s,for inform,daili
nam,theft briberi,addict
cas,discrimin rich,aim
tio,low cast,war
d l,cast elimin,avoid
mil,elimin all,establish
i h,atmospher mutual,rate
rot,mutual harmoni,ist
lic,india saint,son
d g,dowry fre,father
wom,femal foeticid,inform
kha,propheci woman,clean
tea,woman astrolog,astrolog
cri,astrolog america,civilis
tat,america jean,rural
 bu,jean dixon,polici
stu,dixon saint,cheat
 ve,spiritu would,him
iet,would probabl,nobodi
ovi,probabl origin,peak
