charTrigrams,wordBigrams,wordUnigrams
 li,,i
ove,n t,s
aaa,of the,love
ve,the world,good
 th,teenag forev,the
asu,i m,n
www,boy with,t
 lo,with luv,of
ow,kazu shimura,asuka
n t,sing out,day
lov,do n,world
 s,i love,happi
t s,let s,thank
day,j wavepop,thi
the,wavepop of,america
ooo,light boy,you
he,ca n,all
ri,kiss amp,song
ay,amp cri,j
 wo,mr ayab,luv
er,saturday night,boy
goo,night kasumin,teenag
ood,bump of,forev
ng,of chicken,out
hi,t move,sing
you,thi america,live
 ha,it s,let
 so,happi birthday,m
 mo,imit rain,morn
 sh,st live,your
one,good morn,bt
ave,your hair,with
th,hair fantasi,kazu
 bo,on light,shimura
it,luv bt,new
eri,shadow ego,tweet
 da,januari kazu,littl
hap,rabbit moon,kiss
app,everi day,see
 n,day women,mr
t t,women day,night
et,happi new,hey
 ka,new year,move
ame,year thank,birthday
on,thank follow,it
e l,follow i,show
 st,i ca,do
ong,t tweet,kasuga
 wa,tweet much,test
ll,much tweet,feel
wor,tweet littl,like
en,littl littl,harri
 fo,littl pace,have
 t,pace i,nice
 wi,i wish,mate
 am,wish wonder,time
for,wonder year,wavepop
igh,see mr,on
ght,sold out,light
ht,hey n,game
p o,move mr,year
 of,mr thi,ca
of,hey dont,much
ey,dont move,wish
thi,move wwwwww,wonder
e w,thank you,amp
i l,you mr,cri
shi,demon telephon,nut
suk,dont forget,ayab
uka,play schedul,saturday
t m,hide livewww,kasumin
ppi,thi is,bump
 ne,is america,chicken
tha,king gnu,dont
nk,gnu teenag,wwwwww
 i,key station,play
g f,i tire,is
sol,tire memori,king
 ni,memori nostalgia,tire
kas,psycho pass,pass
 ch,it piti,congrat
ing,piti lose,but
mer,lose lotteri,go
nt,lotteri aiko,super
liv,aiko s,noth
ive,s special,jr
rat,special live,stop
mor,live concert,one
 co,concert mar,imit
e s,mar congrat,rain
oth,congrat select,must
all,select but,st
est,but thank,amaz
op,thank god,english
son,god friend,pleas
 fa,friend i,so
orl,i abl,born
rld,abl go,hair
lea,go live,fantasi
 le,live show,absolut
orn,show budokan,solid
 as,budokan tomorrow,tune
our,tomorrow ca,got
ur,t wait,rock
 lu,hi do,get
me,super ninja,listen
ck,ninja brother,dark
ver,creepi nut,shadow
y w,all noth,ego
pi,readi player,global
ear,littl toothlt,januari
ar,s happen,tv
han,love tenga,video
ank,da pump,rabbit
ce,s show,moon
der,show taiga,everi
s a,young forest,women
een,shiggi jr,follow
ore,hey kasmin,pace
chi,kasmin do,type
hey,t stop,sold
ric,stop influenc,looser
ica,influenc america,demon
 yo,kasuga rent,telephon
ou,kasuga girlfriend,take
 ti,honey spice,forget
ter,congratul happi,schedul
gra,birthday audrey,tkepc
at,audrey s,hide
ut,s night,livewww
od,night nippon,gnu
an,one all,fortnit
 to,all all,key
rea,all fun,station
 pl,fun wwwwww,vibrat
i b,kasuga pass,iphon
ne,pass away,memori
let,t touch,nostalgia
tra,hot tweet,psycho
ack,s half,piti
har,thi travel,lose
i m,travel togeth,lotteri
ate,togeth drink,aiko
ain,drink lol,special
st,broken bone,concert
rn,bone usa,mar
n l,thank sooooo,select
f t,sooooo much,god
j w,love trackthi,friend
wav,trackthi song,abl
luv,song feel,budokan
ron,feel like,tomorrow
vep,like evolut,wait
boy,evolut step,touchdown
oy,step song,hi
h l,song ve,ninja
eve,ve done,brother
i d,done far,creepi
