charTrigrams,wordBigrams,wordUnigrams
er,n t,i
st,,s
 co,miss call,the
nd,far right,right
 th,white supremacist,peopl
 re,nd amend,we
an,it s,amp
the,chandrashekhar azad,gun
ay,i m,women
en,terrorist attack,today
nt,human right,thi
 st,shisha bar,attack
 pr,medic care,n
 de,gun right,t
 ma,law abid,day
t s,give miss,one
 wo,turkish armi,you
ar,allah give,like
ter,second amend,protest
ght,deni medic,call
man,may allah,it
ll,social secur,virginia
est,medic treatment,us
igh,start oper,border
ist,terror attack,take
ri,that s,turkish
on,greek border,know
it,intern women,white
 am,gun law,go
he,i would,a
men,right w,ralli
 in,fake news,love
at,white nationalist,support
ver,jail bcz,want
 ca,call number,get
pro,turkish soldier,peac
rea,women day,give
 pe,joe biden,countri
all,everi day,law
and,white men,world
t t,the media,greec
day,we stand,turkey
ht,i n,azad
ent,abid citizen,stand
 se,today s,he
e s,gun owner,say
 sh,ca n,show
ome,we re,see
et,do n,if
re,rais voic,constitut
 ri,let s,germani
ck,armi start,they
n t,give victori,mani
or,women s,thank
 li,like drum,happi
ow,ralph northam,everi
t a,peac protest,come
ad,yesterday i,time
tur,ralli virginia,keep
 to,the peopl,need
ke,i know,state
t p,look like,terrorist
 s,constitut right,miss
ve,peopl shot,no
 we,richmond virginia,dont
 vi,germani s,what
ss,save constitut,human
li,caa nrc,media
 wa,how mani,polic
con,oper may,pleas
rt,give strength,kill
her,spring shield,american
res,german citi,new
te,right terrorist,and
sta,we need,armi
 su,you n,re
 ar,nelson mandela,german
 po,i d,medic
eve,trump will,in
 me,will beat,war
th,secur cut,make
 fa,you know,arm
ic,get arrest,protect
 gr,pro gun,would
 ne,supremacist ralli,yesterday
t c,amend ralli,black
 i,open carri,must
 go,i think,fight
 he,dont know,look
 ra,take away,europ
ack,i want,democrat
ut,bear arm,violenc
ove,wo n,let
al,arm insurrectionist,amend
 la,s day,celebr
 al,we must,arrest
ia,i love,man
ng,t know,govern
 be,greec europ,patriot
rig,around world,refuge
 gu,thank you,jail
 pa,may suffer,tri
oun,suffer cardiac,all
n s,cardiac arrest,for
 so,right protest,happen
der,even though,care
id,delhi polic,may
r s,chandrasekhar azad,far
ote,hear sound,still
mp,armi world,live
end,whi alway,never
han,alway send,great
 tr,send poor,men
r a,protect turkish,citizen
i s,the hero,start
hi,hero turkish,greek
ur,strength allah,vote
tri,took place,to
 lo,mani other,work
in,right terror,last
amp,shot dead,racist
eop,celebr women,power
 ch,arrest tri,whi
t r,you ve,alway
ame,biden urg,so
thi,urg to,use
ni,to about,proud
peo,about past,syria
opl,past call,trump
ort,call for,way
 sa,for social,nation
 fo,civil right,muslim
pl,beat biden,life
ree,biden like,first
 di,we n,two
 ge,you re,w
ct,gov ralph,also
un,gun ralli,presid
ear,one day,open
 le,stand right,shot
e a,i dont,number
ead,donald trump,oper
ot,virginia gun,victim
eri,y all,there
pre,black men,even
t w,gun control,year
for,neo nazi,richmond
me,want see,talk
e m,pleas retweet,nazi
lea,dont forget,here
 an,tri take,nd
 ha,away gun,but
ld,one wear,stop
urk,black panther,woman
ake,t want,secur
 mo,amend right,m
t g,self defens,better
 ta,pick trash,good
we,make us,think
 no,state emerg,how
ant,so proud,thing
ill,gun safeti,well
com,i got,group
eat,i ve,defend
 wh,god bless,news
gre,say i,free
 da,mlk day,deni
ti,singl day,forc
ect,bad ass,immedi
ate,the right,terror
att,right wing,farmer
 te,the second,turk
e p,look forward,chandrashekhar
sho,well said,india
 tu,german farmer,biden
 ba,mainstream media,that
wom,tear ga,just
 ev,here s,back
 mi,border europ,face
rot,european countri,supremacist
str,defend europ,guy
t d,europ s,im
ne,protect border,long
n c,the real,now
sti,turkey s,rais
one,illeg immigr,anoth
ani,i hope,video
ess,basic human,voic
wor,he deni,these
 at,whi jail,dead
cha,bcz rais,allah
t i,voic modi,chang
our,modi shah,save
arm,shah s,parti
 si,s dictatorship,northam
art,dictatorship step,shoot
im,step he,th
cou,he jail,u
t f,bcz spoken,america
e c,spoken favour,crowd
gun,favour constitut,hear
t m,constitut now,amaz
 fi,now tourcherd,treatment
ord,tourcherd jail,social
e t,jail that,pass
i t,s want,made
ive,medic assist,yet
sh,i ll,left
 ho,immedi treatment,rememb
 bo,bhim armi,watch
edi,nrc npr,carri
ch,game drone,regim
ey,poor whi,on
 do,turkish air,around
e w,air forc,do
ons,allah protect,soldier
ass,assad regim,releas
ric,suspect found,lie
l s,found dead,leader
ish,the terrorist,help
rou,attack took,march
med,place two,ask
i m,commemor victim,week
ion,everi singl,hate
ini,happi intern,flag
erm,incred women,my
mer,u know,noth
iti,if n,thousand
d a,i guess,citi
hou,there s,intern
e r,would n,friend
us,good thing,delhi
you,you vote,caa
oli,vote caus,strong
app,caus get,not
n a,tri visit,alreadi
hat,visit nelson,said
har,mandela amp,read
d s,amp vote,polit
n r,vote iraq,place
t n,iraq war,equal
 us,war amp,demonstr
ing,amp stupid,forget
t b,stupid suck,second
il,suck someon,street
 im,someon dumb,share
ont,dumb bush,democraci
rn,bush way,immigr
t l,way better,shisha
tod,better integr,bar
oda,integr honesti,big
ger,honesti amp,best
s c,amp consist,ever
e n,should be,tell
r p,feel safer,is
r t,virginia governor,post
und,de escal,be
tre,two week,governor
whi,the govern,didnt
e b,new video,court
por,an arm,away
 pl,i wish,differ
tac,dress like,inspir
n p,the base,our
ern,stay safe,respons
d w,gun violenc,drone
 mu,domest terrorist,without
 na,wave trump,brother
emo,trump flag,play
sup,white supremaci,poor
lli,black hispan,singl
d r,debat stage,someth
eas,sheriff richard,of
pea,richard vaughan,your
t h,vaughan grayson,side
t e,grayson counti,much
nst,counti va,feel
rac,if bill,photo
 cr,bill go,send
ori,go propos,sign
ust,propos enforc,pictur
aci,enforc they,mask
ind,they unconstitut,hope
rma,arm patriot,speak
car,s constitut,incred
r c,never happen,fake
cal,mask gun,abid
unt,s time,got
get,there noth,other
tes,virginia s,follow
i p,background check,as
se,virginia today,weapon
gin,virginia one,racism
are,kkk robe,fear
ere,elect democrat,commun
i a,s open,children
 as,martin luther,found
 ex,luther king,eu
tta,king jr,european
rd,trash road,syrian
tha,road ralli,provid
 on,confeder flag,late
oth,democrat parti,joe
dem,democrat governor,where
e d,what happen,civil
per,black peopl,ve
r w,ralli support,d
ian,wan na,run
rem,noth say,lead
 fr,abid gun,team
e l,right protect,line
 n,ten thousand,word
pol,bring gun,control
ope,tell us,va
ide,whi becaus,safe
 t,face mask,hi
n w,governor northam,ye
nia,across countri,famili
nk,w o,threat
 en,i ask,are
cis,insurrectionist richmond,home
ong,would refus,togeth
now,today everi,politician
r f,of the,assist
i w,love one,sound
tte,social media,wonder
e g,s still,creat
vir,violenc he,order
d p,must stand,when
di,in virginia,took
 br,re proud,spread
rro,ralli richmond,mother
i c,hear voic,berni
 sp,s capitol,believ
rm,peopl call,record
dia,protect right,cut
ond,flood street,futur
as,you are,past
tan,northam out,put
tim,if re,wrong
ou,no one,came
ntr,you want,import
rde,constitut court,strength
nc,forward see,self
err,way berlin,messag
hap,see we,allow
tho,govern s,scare
bor,pension reform,though
d c,labour law,taken
ste,prime minist,elect
lit,democraci overr,air
ike,they want,young
i i,greec s,attend
ris,open border,bad
hit,greec defend,everyth
rgi,enter countri,illeg
 bl,stand greec,govt
ber,erdogan s,tweet
y s,intern law,invad
act,i dream,erdogan
n m,first time,health
tor,kill innoc,girl
enc,gon na,campaign
irg,time use,problem
tak,seem like,plan
e f,real face,could
r i,pleas call,littl
ron,open fire,stori
 yo,take care,wish
ag,give medic,k
 hu,jama masjid,check
par,muslim muslim,readi
 ye,still jail,destroy
 fe,azad s,stay
pen,medic attent,tomorrow
mon,read share,author
ed,need immedi,break
ppo,immedi medic,clear
d t,urgent medic,offic
r m,fight right,more
 gi,medic help,thought
den,s health,freedom
ele,azad requir,part
ica,requir immedi,unit
 ac,he need,solidar
n d,azad releas,safeti
how,polic deni,person
min,i given,gather
int,given miss,across
nte,alway caa,she
ee,thi number,ass
can,reject caa,anti
om,pleas give,mainz
lik,constitut india,berlin
ite,turkish forc,end
lic,the war,night
sto,bring peac,treat
ell,heroic turkish,assad
n l,shot turkish,bjp
is,go ahead,game
r r,ahead crush,su
eac,crush enemi,seem
i l,enemi may,leav
pla,soldier ameen,million
way,syrian regim,rt
 ci,oper spring,movement
spe,stop death,will
ugh,got ta,beat
e i,terrorist kill,speech
rop,a german,anyon
see,german suspect,voter
 un,dead apart,expect
i d,apart along,mind
ast,along mother,an
ran,mother s,via
k t,s dead,realli
e e,dead bodi,hello
l a,bodi the,fascist
ren,two differ,month
ict,differ shisha,fire
war,bar german,becaus
ten,citi left,event
ror,left peopl,pretti
mis,peopl dead,includ
 ki,dead mani,some
s s,other critic,hero
out,critic injur,wear
 wi,injur a,activist
 cl,a video,injur
d g,video dw,violent
mus,dw news,histori
am,racist attack,bless
l t,nine peopl,major
t o,but i,everyon
ail,last night,full
hin,mass kill,death
lac,attack germani,fuck
ac,across germani,turn
ank,nazi rau,issu
ral,rau nazi,god
tit,german author,mom
 bi,w terrorist,real
 op,empow women,enemi
hea,women across,hey
ole,d like,reform
tru,women team,extrem
tio,i promis,french
ari,young girl,innoc
new,woman i,victori
op,gender equal,hanau
sha,amaz women,ladi
 vo,strong women,femal
arr,biden s,old
nti,lie us,senat
 kn,now s,truth
kno,fals ad,decid
r d,support social,almost
r g,s attack,critic
 ti,there mani,someon
gov,where s,st
ria,cut social,tonight
oul,strong support,actual
 dr,movement you,pro
rk,mandela you,went
nor,beat like,antifa
iss,state s,societi
far,berni s,hour
kis,tell truth,reason
ep,patholog liar,r
cti,healthcar human,from
eed,s lead,organ
r b,t even,success
d b,d rather,enforc
nde,one one,f
ir,draw clock,attent
sid,berni sander,step
rke,amp yet,wont
shi,everi american,ll
hey,k ppl,extremist
 eu,fail american,silenc
s a,biden li,wait
n b,i gut,retweet
eec,gut endors,done
r h,endors clinton,owner
h a,clinton right,walk
tar,right thing,claim
don,thing time,particip
law,time amp,lot
n g,amp back,thread
giv,back berni,na
rki,think s,after
sen,where would,larg
tro,would feel,bring
i g,west virginia,nationalist
od,media amp,mean
len,week s,find
y a,a ralli,lost
aza,peac pro,hand
go,one man,continu
tat,w gun,collect
upp,week ago,current
pos,red flag,condit
s p,flag law,move
tic,protest right,migrant
ven,i cant,action
ref,i expect,demand
k s,zero violenc,memori
cra,violenc richmond,hospit
itu,antifa actual,bcz
rec,everi time,chandrasekhar
son,time i,nrc
uld,i see,requir
ost,we receiv,beauti
not,two hour,spring
nat,see happen,target
e h,better tomorrow,bodi
ard,virginia senat,daughter
l c,r flag,rule
gra,flag gun,becom
ain,want curb,complet
wan,curb gun,drum
ew,would like,mayb
d m,let show,fought
l d,ralli nazi,guess
mor,cover face,whole
h s,lucha bright,lose
 ga,revolut tour,stupid
dic,protest we,matter
ndi,call gun,join
ok,right ralli,mass
rat,a day,member
ook,clear messag,unconstitut
dea,counter protest,usa
ime,and here,tyranni
i f,sic semper,sick
eek,semper tyranni,defens
i r,happili marri,pay
cit,marri thank,respect
 hi,thank sean,sure
eep,sean spicier,petit
a s,spicier take,pick
rio,take leav,oppos
oug,leav lefti,msm
erd,lefti hilari,given
vio,hilari seeth,color
ema,sandi hook,gender
tut,my thought,did
lov,va if,king
ec,well arm,reject
ign,patriot side,difficult
ce,side side,virginian
if,side peac,ca
dis,protest now,morn
orl,now juxtapos,report
 bu,juxtapos that,close
n e,that imag,especi
key,imag antifa,result
zad,antifa ralli,kind
l p,beyond polit,worth
eal,polit guy,prison
ace,guy it,gener
ple,u s,enough
rld,gun grab,militari
inc,it never,dear
rti,media lie,christian
aw,pictur like,wow
ood,januari th,impress
bla,men mask,urgent
c t,amp gun,welcom
cia,s last,e
d d,pay attent,hard
de,the gun,art
c s,gun crowd,enter
so,all gun,bomb
p s,no riot,gate
ocr,taken lead,next
tal,civil war,justic
ek,the answer,foreign
 sy,extremist white,planet
 ja,no gun,suffer
ras,buy one,hit
eur,seem pretti,modi
ash,american patriot,indian
old,arent problem,born
ath,could n,evid
n f,didnt envis,interview
r l,news media,mandela
ici,media democrat,candid
moc,would never,about
say,the msm,heard
d f,we let,fail
 it,a man,die
iol,some say,polici
mi,hype i,caus
eco,arm citizen,visit
to,defeat the,true
lan,we are,gov
eme,say today,legal
rre,today peac,case
hum,pro a,ralph
ge,use gun,ago
eet,peac demonstr,neo
k p,tucker carlson,dress
she,carlson s,kkk
rmi,s show,arent
ins,show talk,receiv
l r,say peopl,domest
hel,polit parti,cover
mar,violenc amp,interest
adi,shot kill,sent
wha,free speech,mostli
rri,northam i,bill
row,i blackfac,minor
k a,blackfac today,ignor
i b,did know,crime
hot,appli conceal,answer
ppi,conceal carri,can
r e,rosa park,buy
uro,we fight,msnbc
 az,freedom love,blackfac
sec,love american,mlk
i h,antifa infiltr,stood
uma,forget still,huge
ali,still dont,remind
tra,know governor,cold
fre,governor tri,seriou
n h,right virginia,capitol
ial,wear kkk,least
n i,robe one,truli
pat,wear blackfac,divers
d i,blackfac other,ground
fir,other elect,folk
ati,democrat look,charlottesvil
s t,look way,outsid
 ke,way stay,promis
vid,stay power,ban
mil,power think,wo
def,think crazi,whatev
l b,gun activist,with
d h,left s,super
imp,today and,h
llo,dont give,twitter
loo,these men,sorri
c a,and or,propaganda
y t,men right,dictatorship
lat,they n,posit
imm,support nd,tank
em,countri we,minut
nee,we compli,page
ang,capitol today,mark
d l,right must,sens
ave,infring upon,written
fig,come togeth,grate
 fu,right self,hold
let,disarm citizen,brave
c c,msnbc call,seek
dra,s import,climat
l g,group pick,eye
mak,thank everi,crimin
wee,everi person,learn
cro,ralli today,forward
m s,today you,special
no,peopl i,parliament
wer,truli proud,tractor
gro,last one,direct
yri,your tell,shame
leg,mani arm,pm
may,everyday american,hous
som,right the,violat
ade,i feel,rest
d n,peopl fli,along
 is,fli confeder,dalit
le,almost polic,tihar
