charTrigrams,wordBigrams,wordUnigrams
rus,i want,i
uss,,russia
ssi,want bt,pleas
sia,in russia,bt
 ru,bt in,want
 wa,russia i,we
 i,i wan,in
ia,wan na,come
nt,pleas come,armi
 co,n t,moscow
i w,come russia,hope
wan,come to,biathlon
ple,to russia,love
eas,i hope,us
lea,ru armi,you
ant,we wait,year
 to,russian armi,wait
in,russia we,s
an,concert moscow,today
me,bt concert,see
 bt,give us,russian
bt,russia pleas,wan
we,i m,na
t b,let see,tour
ome,we hope,countri
 bi,notic us,my
ay,us pleas,stadium
st,pleas help,race
on,it s,guy
ve,hope believ,n
it,came russia,t
t i,want meet,give
as,come countri,world
com,luzhniki stadium,it
 re,us see,concert
 wo,dream come,m
 we,come true,best
 in,i live,team
n r,bt tour,big
rea,tour russia,thi
e r,realli want,let
sta,stadium moscow,time
ath,big hit,dream
 pl,us chanc,happi
 lo,moscow russia,wonder
 ar,pleas bt,new
est,russia moscow,relay
a i,saint petersburg,day
you,my heart,good
day,martin fourcad,look
arm,day i,hero
rmi,i miss,make
our,well done,to
rt,new year,star
ow,women s,go
thl,expert eat,boy
et,eat banana,ru
t s,look countri,need
lon,countri big,notic
 st,we togeth,help
mi,togeth joon,believ
 us,mean thi,came
mos,thi thank,much
 be,let repeat,miss
bia,pleas you,petersburg
iat,you havent,realli
 yo,havent year,meet
ear,pleas let,hi
 ho,see hero,so
ove,you alreadi,true
ld,alreadi half,live
ur,half russian,hit
con,russian guy,chanc
ll,guy understood,enough
ert,understood long,re
osc,long time,winner
sco,time ago,ibu
cow,ago gave,fourcad
oun,gave away,well
ri,everi year,women
t r,year bt,franc
 se,bt isnt,togeth
 he,isnt come,mean
adi,russia make,alreadi
 na,make nois,sad
t m,nois bt,understand
 go,someday see,no
hop,see post,way
ope,year kinda,he
e b,kinda sad,like
gra,sad rn,grandfath
 mo,na rap,just
at,rap star,use
hlo,star i,one
yea,na top,biggest
e h,top i,kid
d r,na rockstar,feel
n n,rockstar i,smile
na,want mine,rememb
 sh,mine i,still
lov,na rich,lot
ait,rich i,luzhniki
eam,na king,seat
er,king i,largest
n w,na go,would
unt,go win,union
e t,win i,ignor
n t,na interlud,size
let,interlud shadow,name
ou,we look,im
 ye,look forward,your
ian,forward see,part
ood,i learn,saint
ar,learn histori,two
t c,histori i,date
e p,i sit,the
s c,sit watch,what
ad,watch youtub,and
ter,youtub oh,woman
pe,oh yea,heart
t g,hope you,readi
ive,you hope,amp
re,hope j,comment
e u,j hope,bad
wai,we wo,first
and,wo n,champion
us,t give,martin
diu,give hope,biathlet
ium,we are,goodby
um,are bulletproof,podium
 so,bulletproof love,congrat
en,love u,shipulin
t p,u guy,simon
tod,my boy,done
oda,boy i,job
nd,i proud,french
 fi,russia year,place
rac,year ru,tora
ace,armi wait,show
cou,wait impatiencesometim,congratul
i b,impatiencesometim s,norway
 th,s sad,expert
hi,sad n,eat
 ha,t includ,banana
see,includ russia,run
nde,russia list,joon
der,list world,thank
e a,world tour,repeat
 sa,tour we,havent
ne,hope understand,half
ch,no way,understood
e l,way twit,long
 fo,he drink,ago
i s,drink like,gave
 s,like grandfath,away
 li,grandfath grandfath,everi
tou,grandfath way,isnt
am,way russian,nois
 ca,omg i,someday
l s,i ve,post
 me,ve connect,kinda
t t,connect dot,rn
goo,pl dm,rap
ion,dm need,top
 da,need talk,rockstar
art,we purpl,mine
ntr,purpl bt,rich
tri,help russian,king
big,armi just,win
th,just use,interlud
eat,use hashtag,shadow
ent,s one,forward
ee,one biggest,learn
her,biggest dream,histori
ers,dream life,sit
od,life ru,watch
ong,armi s,youtub
ke,s kid,oh
 no,kid want,yea
 ra,want feel,j
tor,feel atmospher,wo
t w,atmospher energi,are
 gi,energi sing,bulletproof
my,sing togeth,u
y i,togeth boy,proud
nce,boy cri,impatiencesometim
d t,cri smile,includ
ran,smile happi,list
e c,happi we,twit
 do,we stadium,drink
t f,stadium we,omg
 en,pleas rememb,ve
hap,rememb came,connect
app,we still,dot
e s,still support,pl
tad,support love,dm
ame,love soooooooo,talk
a w,soooooooo much,purpl
ooo,much even,hashtag
cer,even we,life
nor,we miss,atmospher
t a,miss want,energi
 tr,want see,sing
 ch,see preciou,cri
cha,preciou boy,support
anc,pleas give,soooooooo
 te,give concert,even
n f,moscow st,preciou
bes,st petersburg,st
men,petersburg wait,fan
 ba,wait year,often
ce,year lot,someon
thi,lot fan,ruarmi
i t,fan i,sleep
ead,i believ,take
i h,believ realli,care
 gu,realli notic,boraha
guy,notic russia,total
 un,russia come,capac
rst,come often,footbal
tim,often love,europ
way,meet someon,that
 ma,someon meet,goodnight
ake,meet russia,doesnt
 po,hi smile,also
tar,hi guy,ex
 mi,guy today,sovet
int,today ruarmi,ciz
for,ruarmi n,azerbaijan
 hi,t sleep,kazakhstan
 si,sleep hope,ukrain
e y,believ come,etc
e w,countri year,dont
 n,year take,youll
 t,take care,add
giv,care love,turkey
 bo,love boraha,ulan
r r,pleas came,ne
s s,stadium it,yaptik
wor,it total,da
orl,total seat,biz
rld,seat capac,bizi
 dr,capac make,gormuyorsuniz
 gr,make largest,there
t d,largest footbal,mani
l d,footbal stadium,attend
 ne,stadium russia,save
not,russia one,irina
hel,one largest,student
n a,largest stadium,ufa
one,stadium europ,bye
d w,pleas that,reach
l a,that s,upcom
ppi,s i,larg
onc,need understand,entertain
 pe,understand russia,bh
ot,russia doesnt,find
all,doesnt mean,shine
li,mean would,bomb
i g,would russian,ocean
ain,armi also,pleeeas
or,also armi,hello
nc,armi ex,know
ell,ex sovet,peopl
i m,sovet union,fill
 m,union ciz,twice
wom,ciz countri,arena
amp,countri like,happen
new,like azerbaijan,beg
ew,azerbaijan kazakhstan,ll
tea,kazakhstan ukrain,sold
ngr,ukrain etc,tell
rat,etc so,maximum
 fr,so pleas,repost
han,pleas dont,perform
ave,dont ignor,activ
u a,ignor us,ca
uy,see us,afford
und,see russia,travel
sto,ignor biggest,anoth
ng,biggest countri,fulfil
 ti,countri world,honestli
ime,world i,plenti
r b,hope youll,will
s b,youll add,visit
som,add moscow,consert
o r,moscow turkey,russiaw
 ki,turkey tour,for
ock,tour ulan,god
e i,ulan ne,tiril
 wi,ne yaptik,eckhoff
win,yaptik da,break
d s,da biz,antholz
orw,biz size,dad
i l,size bizi,son
ist,bizi gormuyorsuniz,onli
are,hi there,yaaaaaa
y t,there mani,finnish
he,mani armi,rocket
y r,armi russia,when
nne,russia want,rock
ic,want attend,young
ges,attend bt,sunglass
dre,concert make,girl
id,make dream,not
el,true hope,vice
ner,hope notic,presid
pi,i armi,said
ill,armi pleas,thing
 su,pleas save,shame
t l,save us,season
 mu,my name,batya
w s,name irina,enjoy
rg,irina im,success
eet,im im,watercolor
al,im student,portrait
so,student i,retweet
 ex,want concert,share
a b,moscow i,golf
the,live ufa,ball
i r,russia bye,setup
tru,hope reach,great
rue,reach russia,excel
hit,russia upcom,shoot
a p,upcom tour,back
shi,tour your,th
tra,your russian,gun
y h,armi realli,grand
aaa,meet we,victori
won,wait russia,fire
ond,russia your,all
inn,your armi,begin
ck,we larg,knew
n s,larg stadium,fight
y g,hit entertain,medal
ham,entertain love,anton
rel,love bt,ask
ela,bt give,around
lay,chanc give,track
sho,us tour,right
ana,let help,amount
loo,help bh,shot
ook,bh find,disqualifi
ok,find russia,loser
tog,want shine,b
get,shine part,zigi
eth,part armi,bravo
 jo,armi bomb,tbest
ean,bomb ocean,usual
 le,concert in,fantasi
ero,thi russia,say
 al,russia pleeeas,olymp
alr,hello big,better
di,hit we,biotlonisti
n g,we you,overtaken
go,you know,sprint
a m,know we,gabi
mak,we realli,kaisa
e n,moscow pleas,athlet
med,help dream,gold
pos,russia wait,our
to,wait bt,now
ind,it luzhniki,broadcast
a s,russia seat,held
a r,seat peopl,cool
r i,peopl fill,beauti
 ro,fill twice,social
roc,bt pleas,media
 ri,moscow we,whithout
ing,we big,rivalri
g i,big enough,get
n i,enough arena,soon
nte,arena enough,must
sha,enough armi,pleasur
rwa,armi happen,hockey
rd,happen we,nation
ori,we re,certain
wo,re beg,grief
boy,moscow saint,glad
oy,petersburg it,result
i p,it ll,berger
 pr,ll sold,happiest
rou,sold i,ongratul
ru,m tell,men
 im,tell just,lol
enc,just give,d
im,chanc two,truestori
tan,two date,nordic
 tw,guy the,emilhegl
rin,the maximum,account
pl,maximum repost,norwegian
nee,repost bt,instagram
eed,bt perform,sexi
l b,perform moscow,read
oti,moscow part,mind
tic,part tour,summer
elp,tour let,championship
lp,see activ,autograph
ust,russia saint,card
t u,petersburg moscow,collect
 on,moscow lot,rutrack
 at,lot ru,intern
mil,armi ca,histor
bel,ca n,yjwch
eli,t afford,pospon
lie,afford travel,due
iev,travel anoth,cold
cam,anoth countri,wether
sti,countri fulfil,start
muc,fulfil dream,luck
uch,tour date,finland
e m,date russia,excit
mis,honestli plenti,awesom
iss,plenti us,forest
s w,us will,r
pet,will visit,lt
ete,visit consert,russion
rsb,consert pleas,doubl
sbu,come russiaw,troubl
