text,url,lang
😱 what happened bitch ? #MariesAuPremierRegard https://t.co/efwNszf0P5,https://twitter.com/demavouz/status/1234585896558747648,french
"Pesquel iz the new black

#MariesAuPremierRegard
#MariesAu1erRegard https://t.co/iQqSSEjRkh",https://twitter.com/zecailloux/status/1234580965873397760,french
"Bravo Joachim, doucement mais surement ...Are you still together tho ? #MariesAuPremierRegard #mariesau1erregard https://t.co/vWMIDEXC7R",https://twitter.com/CommentandGo/status/1234594003502456838,french
Il a dit non  #MariesAuPremierRegard he gets some balls https://t.co/sh4Qhk4yRc,https://twitter.com/by_yamina/status/1234574655400357896,french
HE SAID... NO ! #MAPR #MariesAuPremierRegard #MariesAu1erRegard https://t.co/mu4z4o7WDF,https://twitter.com/FaannyDrc/status/1234574247693029382,french
Cyril.... #MariesAuPremierRegard https://t.co/It7QSxJhs5,https://twitter.com/Tchitchi8888/status/1234604153336475650,french
Romain #MariesAu1erRegard #MariesAuPremierRegard #mapr https://t.co/txnoXm7loc,https://twitter.com/jfroux06/status/1234597087209234434,french
"It's divoooooooooorce time ! 

#haveABreak
#MariesAuPremierRegard
#MariesAu1erRegard https://t.co/c45JnUVLcq",https://twitter.com/zecailloux/status/1234577894518788096,french
YES Elo Queen !!! #MariesAuPremierRegard,https://twitter.com/Mrs_Lyon_/status/1234591049818963969,french
« It’s too late to apologize » haha #MariesAuPremierRegard,https://twitter.com/une_cometee/status/1234589949854437379,french
"""Fank you"" #MariesAuPremierRegard",https://twitter.com/strawberrybitch/status/1234584449246953473,french
Breeeef NEXT !  #MariésAuPremierRegard,https://twitter.com/ByCJo/status/1234602141827895297,french
My man relax. #MariesAuPremierRegard,https://twitter.com/AsapBarry/status/1234588863508729857,french
From #MariesAuPremierRegard to #Faitesentrerlaccusé,https://twitter.com/MIAJOASG/status/1234590229484445697,french
Harryyyy 😍😍😍😍😍#MariesAuPremierRegard,https://twitter.com/_Ma_Deline/status/1234583620414779392,french
In the sha shamallow #mapr #mapr4 #MariesAuPremierRegard #MariesAu1erRegard,https://twitter.com/Mr_NiKolas_/status/1234606058099953664,french
"Vendeur : « Have a nice day.. » , Remy : « yes thank you » 😂 #mapr #mapr4 #mariesaupremierregard #MariesAu1erRegard",https://twitter.com/AurlienGuerrer1/status/1234583103479386112,french
