text,url,lang
The #Bahncard is about ethics in games journalism,https://twitter.com/Demelium/status/540436554091859969,german
#BAHNCARD 100 FIRST CLASS generation 60+: main European states got it. #GERMANY no! #Austria: http://t.co/fLDSiQ4e8K http://t.co/ScAQ8HzHUa,https://twitter.com/peterzburg/status/606099693005893632,german
"#DB
Happy Birthday: Die #BahnCard wird 25!
https://t.co/C6ay287DAQ",https://twitter.com/oekomobil/status/913867625775714304,german
"Interesting. Despite DB’s protests, HR maintains that abolishing the #BahnCard is still on DB board agenda next week http://t.co/iv5cfH15Wy",https://twitter.com/jonworth/status/540915778162556928,german
Can't believe I found it!!! @DB_Bahn #bahncard http://t.co/umwZ4MQscK,https://twitter.com/StuFFmc/status/575214340208484352,german
"keep away from sneaky offers by Deutsche Bahn - #bahncard is a fraud, they ask for annual subscription which cannot be cancelled unless it is cancelled straight away https://t.co/N0A3wSqwGH",https://twitter.com/dimitriadou_ana/status/1220070491974709248,german
Got this 25% discount on ALL DB trains in Germany but can't maximize it haha. I need one more trip before Feb29 to say it's sulit. #bahncard https://t.co/XfbuQPVniT,https://twitter.com/jrong13/status/1206127642228989952,german
Other negative opinions about Bahncard: http://j.mp/zm55q? #bahncard,https://twitter.com/AmplicateTL/status/27445841054,german
So happy this has arrived #bahncard #travel #erasmus #germany http://t.co/QoTQHm0IYh,https://twitter.com/tnealsmith/status/373490171230310400,german
#hate #bahncard ? 9 people agree. More on Bahncard page: http://j.mp/zm55q?,https://twitter.com/AmplicateTL/status/28936160285,german
"#ICantBreathe 
#AutumnStatement 
#traineauLDLC 
#MafiaCapitale  
#Bahncard

Syria
http://t.co/tS8wlsFlix",https://twitter.com/LiderSaadet/status/540441964504961024,german
#Bahncard (Deutsche Twitter Trends am 10.01.2020) https://t.co/vxW9131Dfc https://t.co/0VDWRwbjIc,https://twitter.com/trends_de/status/1215635428709228545,german
@LNeckermann Who is in for a #crowdfunding of a #bahncard sneaker as @bladewing678 has suggested?,https://twitter.com/julia_holze/status/951205777624182787,german
"@ant_scholkmann #Stockholm airport is the same. Now, given the number of faculty commuters with #BahnCard 50/100, why don’t we lobby @DB_Bahn for subscribing to #EDUROAM?",https://twitter.com/bolognalab_HU/status/1057325975753687043,german
Just received my @DB_Bahn #BahnCard! A big THANKS to @msg_group for helping me to be more environmentally friendly during business trips 🚆🌱😁 https://t.co/XOP6HlIsFC,https://twitter.com/dashammerbeast/status/1189841010966315008,german
Rage against the machine - chillin in the train yahhh...guter Song zum Bahnfahren mit #BahnCard #db,https://twitter.com/jakobroehle/status/866896752015798272,german
lesson learned: don't forget to cancel your #bahncard six weeks before the period ends!,https://twitter.com/fbrnc/status/9617614748,german
Long term goal: #BahnCard 100.,https://twitter.com/arndissler/status/1090267177079365633,german
Rick Steve's #BahnCard cancellation form: http://ow.ly/4PiL5,https://twitter.com/ASchurrle/status/66806487795773440,german
