text,url,lang
German farmers are staging another tractor protest. This is happening right now in Berlin. #Bauernproteste 🚜🚜🚜 https://t.co/TCQgD5OChk,https://twitter.com/BenjAlvarez1/status/1218138002867851264,german
"Thousands of farmers demonstrate at the Volksfestplatz in Nuremberg.
#Bauernproteste https://t.co/LBDXNzfDUw",https://twitter.com/CalebDaoud/status/1218162790290149376,german
Farmers from Bavaria and Thuringia on their way to Berlin to protest the state's agricultural policies. On their tractors. #Bauernproteste #Bauernprotest https://t.co/xAgF0ZGwyb,https://twitter.com/VitalistInt/status/1199294505129857024,german
"My favourite from today's #Sternfahrt in #Berlin: 'Without farmers you would be hungry, naked and sober.'

#Agrarpaket #Bundesregierung #LandSchafftVerbindung #Bauernprotest #Bauerndemo #Demo #Demonstration #TraktorDemo #Bauernprotest #bauernproteste #Landwirte https://t.co/1LReFaEzkF",https://twitter.com/hm_photo/status/1186652456178069504,german
"#Bauernproteste-Farmers demo in Hamburg today!
https://t.co/V4mwlYYslA",https://twitter.com/ZeppLaRouche/status/1194901103277727745,german
From the farmers strike in #Berlin today! #Bauerndemo #Bauernproteste https://t.co/mybPW4hhQS,https://twitter.com/marwasf/status/1199326858531278849,german
"German farmers are honking their way through Berlin on giant tractors protesting conditions and (judging by the banners on the tractors) low food prices? 
Despite EU agro subsidies. Has the EU been scaling back on those? What are the short and long term dynamics? #Bauernproteste",https://twitter.com/thegymnosophist/status/1199239848198057985,german
"There's a lot of tractors in Berlin today!

https://t.co/0NBeY12zAR

#Bauernproteste",https://twitter.com/ThePirateBen/status/1199291030903906304,german
"#Bauernproteste 
#Bauernprotest in #Berlijn
 video  from her :https://t.co/dpT7xeqvMh https://t.co/9tcwSnLPJ6",https://twitter.com/idjrouk/status/1199346453472141312,german
".@HopeInTheUSA today in Germany -  Berlin
#boerenprotest #Bauernproteste 
https://t.co/vrK0gbDB60",https://twitter.com/Hapsys/status/1199294048290426880,german
