text,url,lang
Those guys just dropped the hottest rap album of 2019 #Umweltsau https://t.co/N0eEky6DFN,https://twitter.com/ShahakShapira/status/1210905778347028485,german
"Was darf Satire? #Umweltsau https://t.co/OOabzbkJ6Y /via https://t.co/CVN18nDzmX

The same song was used to make fun of Fridays for Future in a live show/WDR5 and of climate destroyers on Facebook. https://t.co/W8gMGBv3tu",https://twitter.com/luca/status/1213807298239500288,german
"2. Worst-of-Liste #Umweltsau 
https://t.co/3uwp5ibpI7
https://t.co/xZrdAa6z17
https://t.co/wtWd9kW51R
https://t.co/oHvSrMhNWt (2 🙄)
https://t.co/gfXF1hpmIm
https://t.co/CWCQMOWGY9
https://t.co/N9029Cf6Dh (2 🙄)
https://t.co/mBRUv1KmtX
https://t.co/Rywd7RMKew
#wegdamit https://t.co/2y745efU9e",https://twitter.com/Tigerelch/status/1210965233021440000,german
"""My granny is a climate-bastard"" ( literally ""enviornment pig"" ): #umweltsau. The German broadcaster #wdr has taken it off its media feed after outrage from ""conservatives"" on social media which of course now made it hugely popular. Tune from an old German nursery rhyme. https://t.co/rXb6d28J3q",https://twitter.com/BerndPorr/status/1210912721438433281,german
Haha what?! #Umweltsau https://t.co/yrTBBZnCua,https://twitter.com/KOxofrmbl/status/1210945158151360513,german
#Umweltsau-Knigge https://t.co/4Zxddlep17,https://twitter.com/SebMeineck/status/1211068770728529920,german
"Wow, gutes Timing, hier ein neuer Film von @moviesforfuture zum Thema ""Omas CO2 Fußabdruck"",  oder aktuell auch ""#Umweltsau"" 💚

Achtung: We love our grandparents and they love us. Everyone at any age could be this grandma and can change his*her way now.

https://t.co/SbqnhpbheJ",https://twitter.com/parents4future/status/1211349716535054336,german
"This week's German social media #Shitstorm is about whether a public broadcaster getting kids to sing about a motorcycling grandma being an ""environmental pig"" (#Umweltsau) was ""insulting seniors"".

In case anyone thought Germans relax at this time of year.",https://twitter.com/tombarfield/status/1211231942873690112,german
"The @nytimes covered the dangerous development in Germany of publications giving in to far-right outrage, like around the recent #Umweltsau drama, and @luca, @pkreissel and me could give our insights:
https://t.co/r7ACduEKYh https://t.co/ZOxx57LZKv",https://twitter.com/DittrichMiro/status/1216000154123239424,german
Lets talk about Oma und Opa. #Umweltsau https://t.co/TZy34a4ip3,https://twitter.com/L_Petersdotter/status/1211234774016315394,german
"It's the Holzofen-#Umweltsau, stupid. https://t.co/o6c1nh8Yp8",https://twitter.com/Kachelmann/status/1217421618517024768,german
😂😂😂😂😂😂😂😂I can’t #umweltsau are you serious also .........,https://twitter.com/MOTSI_MABUSE/status/1211072909483139074,german
"🆘 SOS from the kids

Don't be an #Umweltsau, #ActNOW!

#GlobalStrike 2020-04-24 @FridayForFuture
2020-03-13 @Youth4Climatefr
2020-05-15 @StrikeClimate
#EarthDay 2020-04-22
#By2020WeRiseUp 💚✊🏼

📺 by @sosfromthekids &amp; 12 Islington schools, 100's of kids
https://t.co/9UuWfQ5Tf2",https://twitter.com/parents4future/status/1229301596414238720,german
"Surprise, surprise!  

#Umweltsau https://t.co/IyBhQKqSOf",https://twitter.com/SevimDagdelen/status/1211991238787960834,german
Nailed it. #Umweltsau https://t.co/o9XiKUv5zJ,https://twitter.com/Manu_Ela_Wild/status/1211289554239598594,german
"“I think there is still not enough awareness about the power of right-wing mobilization on the internet”
Our colleague @DittrichMiro spoke with the @nytimes 
about #Umweltsau - interesting how the debate is perceived in an US context. #englishread
https://t.co/3uODMDTNT6",https://twitter.com/AmadeuAntonio/status/1216645912342224896,german
"1. Worst-of-Liste #Umweltsau
auch #dasnetzwerk
https://t.co/XvpYa5Ylv0 (2 🙄)
https://t.co/5COp2jaayU
https://t.co/30fq65ifsx
https://t.co/YzXECahVDq
https://t.co/iIYQubo1Pm
https://t.co/lhjiJnQ97d
https://t.co/b1TPAixGi9
https://t.co/d5Qjo48OaO
https://t.co/D6bW5W1hkg
#wegdamit https://t.co/80m0isZI5y",https://twitter.com/Tigerelch/status/1210963372465885184,german
Spread the Word! #Umweltsau https://t.co/tJL3wPocA1,https://twitter.com/Wuergenippel/status/1211363494437826560,german
It must be a slow news day when a children's choir song about Grandma #Umweltsau polluting the environment triggers a debate about whether it's not more accurate to suggest Grandma was a Nazi and German Twitter goes into meltdown.,https://twitter.com/wirereporter/status/1210981237256527873,german
"#Kinski Reloaded: ""Du dumme #Umweltsau."" https://t.co/ud98x8mb7z",https://twitter.com/DrWetti/status/1210912848689422339,german
"Zommer: #Umweltsau
Boomer: https://t.co/Xf2spa05dY",https://twitter.com/NarayanSmash/status/1211769005276631040,german
Driving home for #Umweltsau https://t.co/9SL5QPhlS5,https://twitter.com/AndyGrobi22/status/1211363654786068480,german
Germany in a nutshell #WDR2 #Umweltsau https://t.co/wayrty2vTC,https://twitter.com/ChrisBreitfuss/status/1211270284831023105,german
