text,url,lang
#adinamoskrikosgr Elena Akrita has left the chat https://t.co/Pa2HPK1yiC,https://twitter.com/zintas_/status/1175439655321444352,greek
"Be people Greece. This  photo work of your police
#adinamoskrikosgr https://t.co/3ZYpCHi506",https://twitter.com/flank3s/status/1233809673079476225,greek
"Bank
 #adinamoskrikosgr https://t.co/VrMBQ7Xtup",https://twitter.com/Black_Sheep_3/status/1178344002199916545,greek
Bank #adinamoskrikosgr https://t.co/Pnht4oxKwl,https://twitter.com/nikotinakis/status/1206264978614968320,greek
Panagiotis is uncle fester #adinamoskrikosgr https://t.co/03Vufwrdz4,https://twitter.com/Mariza___/status/1216048616588152832,greek
MOOD #adinamoskrikosgr https://t.co/CHTVp6KGEv,https://twitter.com/Kostas_Thoneick/status/1175810102185680897,greek
"BAAAAAAAAAAAAAAAAAAAAAANKKKKKKKKKKKK

#adinamoskrikosgr https://t.co/8r7GamA1gc",https://twitter.com/antrian_LSF/status/1203364419671076864,greek
Let's do this shit 💪🏻😂 #adinamoskrikosgr https://t.co/UBNDxeFVZR,https://twitter.com/Christineff/status/1183059428737716224,greek
"Bank bank bank...
#adinamoskrikosgr https://t.co/ucrTJXOz8c",https://twitter.com/Penny_ruby_/status/1198281934574624769,greek
It's now or never o Bon Jovi;;;;; #adinamoskrikosgr,https://twitter.com/Hustler1976/status/1196111706411425793,greek
"You can't find this in #Greece. You can only find this in #Macedonia! 😉🇲🇰

#OnlyInMacedonia #Македонска #travel #Ohrid #Skopje #Скопје #paooly #adinamoskrikosgr #kalytera #annitakoita #festival_kne #elaxamogela #SaturdayThoughts  #ImAttractedToThe__Type #SaturdayMotivation https://t.co/LddMAI7gjZ",https://twitter.com/TheBSTravelers/status/1175878524802162693,greek
"Really My Child ? 

#adinamoskrikosgr https://t.co/X5xjRmBpyy",https://twitter.com/To_Psonio/status/1175446362391027712,greek
"Bank bank, Constantinos shot me down #adinamoskrikosgr",https://twitter.com/christosroukos/status/1211332874366009349,greek
And the Oscar goes to Tasos Tryfonos... #adinamoskrikosgr,https://twitter.com/billgeo17/status/1226552201352564736,greek
"#adinamoskrikosgr
#HumanRightsViolations 
Europe talking about humanity https://t.co/XLMlIxX4DO",https://twitter.com/alprn03/status/1233828891808215041,greek
bang bang you shot me down..... #adinamoskrikosgr,https://twitter.com/jim12691326/status/1175808797383766018,greek
"#BREAKING 

The Turkish Armed Forces ship tanks and soldiers to the Greek border.

 #annitakoita #volpao #thefinal4gr #adinamoskrikosgr",https://twitter.com/CptSencer1/status/1203752387426562050,greek
"Bank Bank
#AdinamosKrikosGr https://t.co/V39iujjAMU",https://twitter.com/Daimonas_gr/status/1203436583900319745,greek
"💥#BREAKING

The Greek Navy has entered a red alert. Turkish warplanes are flying in the region.

 #volpao #thefinal4gr #adinamoskrikosgr",https://twitter.com/CptSencer1/status/1203756875579305991,greek
Santa Klaus is come to to? to? to? #adinamoskrikosgr,https://twitter.com/AnastasiaXan/status/1209942402871545857,greek
#adinamoskrikosgr brothers https://t.co/sCv02552M1,https://twitter.com/Unbidden19/status/1213910126102491136,greek
Hahahahahahahha! #adinamoskrikosgr https://t.co/AdVAVbZLyt,https://twitter.com/thanasima_agna/status/1191043730180104192,greek
It’s not amazing it’s not fantastic 😂😂😂 #adinamoskrikosgr,https://twitter.com/frs88/status/1178343181563449344,greek
#Adinamoskrikosgr mood https://t.co/4TRvd0lo4c,https://twitter.com/osianouli/status/1231632884211109888,greek
Tragic 🤣🤣🤣#adinamoskrikosgr,https://twitter.com/GeorJoahnna/status/1188512633735057414,greek
"#adinamoskrikosgr 
no comment! 😂😂😂😂😂😂 https://t.co/bFdkPkIJYj",https://twitter.com/JiamaElisabeth/status/1216054945721606144,greek
"#adinamoskrikosgr 

B A N K!😂😂😂😂😂😂😂😂😂😂😂😂😂 https://t.co/hO14kDiF4A",https://twitter.com/JiamaElisabeth/status/1203449039469076480,greek
BANK!!! #adinamoskrikosgr https://t.co/iDjZa14E0P,https://twitter.com/Ria11Rialove/status/1188119422172577792,greek
Baaaank @constant_bank #adinamoskrikosgr,https://twitter.com/eleniec2310/status/1223656094402301952,greek
"BANK BANK
That awful sound
BANK BANK
My baby shot me down #adinamoskrikosgr",https://twitter.com/HawXFox/status/1175447867160432641,greek
"I don't get this game, they all know each other tandbthey are competing getting more money??? Or is a reality with funny faces :) #adinamoskrikosgr",https://twitter.com/Electra99917361/status/1190671362597236736,greek
Im a bambi girl.... #adinamoskrikosgr,https://twitter.com/2matsj/status/1191043803832111104,greek
I see dead people 😂😂😂#adinamoskrikosgr,https://twitter.com/despoinasek/status/1203724509716590592,greek
"I love your english, dear Tasos!!🥰 #adinamoskrikosgr",https://twitter.com/Matta1927/status/1216410782218571777,greek
"#adinamoskrikosgr
I like it",https://twitter.com/GHIU0OdGtP1Uggj/status/1210967134907588608,greek
Hashtag NOT 😂#adinamoskrikosgr,https://twitter.com/hannacatlover/status/1185593829572960259,greek
"My name is Bond, Tasos Bond #adinamoskrikosgr",https://twitter.com/bilefs/status/1224021793947705346,greek
It's complicated? 🤣😂#Adinamoskrikosgr,https://twitter.com/hannacatlover/status/1183409194160009216,greek
Bank bank bank baaaaaaaankkkk #adinamoskrikosgr,https://twitter.com/christina56626/status/1211326714304966656,greek
Its the most wonderful time...of the week #adinamoskrikosgr,https://twitter.com/archicringaros/status/1195744526448709632,greek
Here we go again! #TasosTryfonos #adinamoskrikosgr love them to the end!,https://twitter.com/doraspices/status/1195752732487045125,greek
"#adinamoskrikosgr
mOnO fAcEbOoK",https://twitter.com/kon90xx/status/1188497995706327041,greek
Hi! How bo you bo?? #adinamoskrikosgr,https://twitter.com/Niki_Mis/status/1216039407372861440,greek
#adinamoskrikosgr BANK BANK you shoot me down BANK BANK...........,https://twitter.com/FindMeAtLiams/status/1177975108809428994,greek
I'll send an SOS to the world #adinamoskrikosgr,https://twitter.com/hannoula/status/1190674741830594561,greek
#adinamoskrikosgr My animals are slow!,https://twitter.com/kantamouliana/status/1224015272610275334,greek
I love 💕 Tassos💕💕💕 #adinamoskrikosgr,https://twitter.com/NafsikaAlkinoou/status/1196109052633374721,greek
"My name is Tasos
#adinamoskrikosgr https://t.co/63uwp02Qf9",https://twitter.com/Amedeo_10/status/1224022629700591616,greek
BANK !!! BANK !!! #adinamoskrikosgr,https://twitter.com/Giannis_Vl/status/1180882652699738114,greek
"It's not amazing or fantastic, it's only TRAGIC #adinamoskrikosgr",https://twitter.com/anime_girl1100/status/1180874144356978688,greek
"Its amazing, it's fantastic!!!😂😂😂 #adinamoskrikosgr",https://twitter.com/mairhgeo/status/1178343991462518784,greek
"Turks are coming dont be fool. surrender immediately
#annitakoita #volpao #thefinal4gr #adinamoskrikosgr",https://twitter.com/bork_han/status/1203758005919072260,greek
Its complicated?😆😆😆#Adinamoskrikosgr,https://twitter.com/mairhgeo/status/1183409360581644288,greek
Black.... Eyed peas 😅😅😅😅😅#adinamoskrikosgr,https://twitter.com/aggelikiV/status/1231267657325961219,greek
"Going through 
#adinamoskrikosgr",https://twitter.com/okokoras/status/1195759062836809729,greek
show off😂 #adinamoskrikosgr,https://twitter.com/Citr0nella/status/1218951351868305410,greek
"How dare you
#adinamoskrikosgr https://t.co/lJj0nqe6mO",https://twitter.com/Amedeo_10/status/1236704403798753283,greek
Hahaha! #adinamoskrikosgr https://t.co/IHMJhn30j1,https://twitter.com/constant_bank/status/1211333773041766402,greek
Airrrr ball #adinamoskrikosgr,https://twitter.com/zeta_papas/status/1193208574664675328,greek
20€ bank! #adinamoskrikosgr,https://twitter.com/Kleanth35715549/status/1175805677543071744,greek
Black eyed peas 😂😂#adinamoskrikosgr,https://twitter.com/XrysaIsaacs/status/1231267639030317056,greek
"Better love 
Better love 😂😂😂😂#adinamoskrikosgr",https://twitter.com/strumfakia007/status/1175809215077781504,greek
Sweet child oooh mine.  #adinamoskrikosgr,https://twitter.com/mkoufogiannakis/status/1200829134030721032,greek
Power Rangers #adinamoskrikosgr,https://twitter.com/left_greece/status/1183412083750297601,greek
O Macron #adinamoskrikosgr https://t.co/41jtltIrob,https://twitter.com/mariejopeboscq/status/1234160105018576898,greek
@christosroukos respect #adinamoskrikosgr,https://twitter.com/mixxxalis/status/1183050787448070146,greek
guess my age 👏 #adinamoskrikosgr,https://twitter.com/akis71611/status/1234158824254210051,greek
Bank Bank.. #adinamoskrikosgr,https://twitter.com/akis71611/status/1183048750660554752,greek
Any #crypto owners? #adinamoskrikosgr,https://twitter.com/goldigger11/status/1196119375121698817,greek
Game of thrones  #adinamoskrikosgr,https://twitter.com/PelagiaVasiliou/status/1234172092788170753,greek
"Karma is a bitch! 
#adinamoskrikosgr",https://twitter.com/Fantasy_gReek/status/1236346413992329217,greek
Game  #adinamoskrikosgr,https://twitter.com/marthapao5/status/1234172085183877126,greek
Paul walker  #adinamoskrikosgr,https://twitter.com/PelagiaVasiliou/status/1234168433908027400,greek
