text,url,lang
All you need to know about Olympiacos &amp; PAOK meeting in the knockout rounds of the Greek Cup 👇🔥 #PAOKOLY https://t.co/Nm1D6rWMDV,https://twitter.com/TheSuperGreek_/status/1235243836475133954,greek
"Josip Misic casually ripping a CLEAN volley to equalize after PAOK trailed Olympiacos 0-2 inside 10 minutes 👀🔥

PAOK won 3-2!  #PAOKOLY
 https://t.co/jsinKnTtxX",https://twitter.com/TheSuperGreek_/status/1235318303284957185,greek
"💩 ERROR 404 - TWEET NOT FOUND💩 
#PAOKoly https://t.co/xQWhpmFTux",https://twitter.com/a_Katsandres_/status/1235379963257401345,greek
"FT: PAOK 3 - Olympiakos 2

Crazy start to the game with 4 goals in the first 12 minutes. Things settled and PAOK gained the lead with a penalty midway through the second half and that’s how it finished. 

#PAOKOLY https://t.co/arHUdw9Nta",https://twitter.com/HellasFooty/status/1235316282939133954,greek
"Is it a sign that I’m old when my team starts players for a derby that are younger than I am? 😅

#PAOKOLY",https://twitter.com/Gavrinho_/status/1235271363205595143,greek
One city. One team. #PAOKOLY https://t.co/wmReKcbV8d,https://twitter.com/GiouliChry/status/1235303477154324483,greek
📸#Photos Come ooooonnnnnn!!!! #PAOKOLY #GreekCup https://t.co/PiUXQRuH7y,https://twitter.com/PAOK_FC/status/1235292103309225988,greek
"Its official, i give up! #PAOKoly https://t.co/PwnM223V66",https://twitter.com/a_Katsandres_/status/1235319408450510849,greek
Guillerme. #paokoly https://t.co/90nK4pHwXQ,https://twitter.com/dimp_14/status/1235289149328035842,greek
Warmup before the... fight #PAOK #NeverGiveUp #PAOKOLY https://t.co/qihW4DxC8N,https://twitter.com/PAOK_FC/status/1235278355332837377,greek
"Olympiacos fans seem to be in a rather cheery cocky mood tonight. Now that they don't need to be spreading any conspiracy theories they can focus on dick size.
Get the microscope out boys.
#paokoly",https://twitter.com/sokinca/status/1235284346866724866,greek
"This guy about to keep a clean sheet at PAOK on his club debut aged 17 🔴⚪️🔴⚪️

Get in paidiaki 👊🏼

#PAOKOLY https://t.co/5FTweEl5To",https://twitter.com/Gavrinho_/status/1235272141534154752,greek
"Can’t watch because I’m working but it looks like #PAOKOLY has been a hell of a match so far. 2-2 45’ is massive, two away goals at Toumba will do wonders for us.",https://twitter.com/Gavrinho_/status/1235298288812863490,greek
"Twitter search ""#PAOKoly 0-2""",https://twitter.com/miakotara/status/1235348941694173184,greek
"What happened to all the cock talk from the dock jocks. 
That's why you should wait till the fat lady sings fuckfaces. Go back to smallville &amp; catch some anchovies.
#paokoly",https://twitter.com/sokinca/status/1235310493730041856,greek
"Just saw the highlights.

1) Tzolakis didn’t look bad at all, I’d even go as far to say he looked more assured than Paschalakis, but that isn’t saying much.

2) That penalty against Semedo was very harsh. Arms were at his side and he wasn’t even looking at the ball.

#PAOKOLY",https://twitter.com/Gavrinho_/status/1235333119609311233,greek
69' Pelkas converts the penalty. 3-2. #PAOKOLY,https://twitter.com/Olympiakos_eng/status/1235309237078761475,greek
@alainb_ where you at? Nothing to post? Where is that fucking arrogance that u were showing like two months ago? Bow to the greatest club in Greece.  #paokoly,https://twitter.com/S0KiN/status/1235289628741165056,greek
12' Unbelievable! It's all level. Misic gets the fourth goal of the game in just the 12th minute! 2-2. #PAOKOLY,https://twitter.com/Olympiakos_eng/status/1235290644677046273,greek
"#paokoly 

AMANDA LEAR - Enigma (Give a bit of hmm to me)
https://t.co/HvxpQXeMVE",https://twitter.com/To_pouli_tou_Ro/status/1235285383119867911,greek
"📽 Highlights of the midweek defeat to PAOK. The Reds went down 3-2 on the road in the first leg of the #GreekCup semi-final. #PAOKOLY 

https://t.co/8pZHJ8ivF9",https://twitter.com/Olympiakos_eng/status/1236209960259813376,greek
Valbuena scooped an incredible 72% of your votes to claim the #ThrylosWorldMOTM award for the #GreekCup loss to fierce rivals PAOK. #PAOKOLY https://t.co/zbyEWKza0L,https://twitter.com/Olympiakos_eng/status/1235884956934705153,greek
"Having earned a memorable win against #Olympiacos in the #GreekCup, #PAOK head coach Abel #Ferreira expressed his pride, but Pedro #Martins is still confident that his team will qualify. #PAOKOLY  https://t.co/OA0A0N6lTV",https://twitter.com/agonasport/status/1235385550934282240,greek
"Paschalakis #FM20 card:

Tendency To Punch Ball: 20/20
Handling: -3/20

#PAOKOLY",https://twitter.com/a_Katsandres_/status/1235375464664965123,greek
"Got to admit this was the kind of match I would like to see over and over between these two teams. Passion, thirst for the ball, tackling, penalties, red cards, goals, posts, action! #PAOKOLY #PAOK",https://twitter.com/PAOK_NewsFeed/status/1235344252583976962,greek
Pascha will never block. #PAOKoly #PAOK,https://twitter.com/alainb_/status/1235314590986182659,greek
90' We have 5 minutes of injury time. #PAOKOLY,https://twitter.com/Olympiakos_eng/status/1235314513257340929,greek
89' #Esiti in - #Biseswar out #PAOKOLY #GreekCup,https://twitter.com/PAOK_FC/status/1235313628015886336,greek
81' #Rodrigo in - #Pelkas out #PAOKOLY #GreekCup,https://twitter.com/PAOK_FC/status/1235311748984471552,greek
79' #Limnios in - @OEKaddouri out #PAOKOLY #GreekCup,https://twitter.com/PAOK_FC/status/1235310983721168897,greek
"77' SUB:

🔄 OFF: Masouras 
🔄 ON: Randelovic 

#PAOKOLY",https://twitter.com/Olympiakos_eng/status/1235310843086221312,greek
Noormality #PAOK #Olympiacos  #paokoly https://t.co/XVohX5LJRW,https://twitter.com/paokarakupello1/status/1235301808437891077,greek
❎ POLL. Vote for your star performer in the entertaining 3-2 #GreekCup defeat to PAOK. #ThrylosWorldMOTM #PAOKOLY,https://twitter.com/Olympiakos_eng/status/1235324737686994949,greek
"Chuba Akpom. He won't have got the experience of this sort of atmosphere at the Arsenal &amp; English football. 🔥 🔥 

Football's not all about money. #PAOKOLY",https://twitter.com/bobbeans83/status/1235295314388672512,greek
10' Pelkas with the instant reply reduces the deficit to one for PAOK. 1-2. #PAOKOLY,https://twitter.com/Olympiakos_eng/status/1235290439051366400,greek
Football bloody hell! #paokoly,https://twitter.com/sotiris_mil/status/1235289699725594630,greek
crazy match in Greek Cup semifinal... 12 minutes 2-2 #paokoly,https://twitter.com/morinaluan/status/1235289678674350081,greek
4' Hassan gives the Reds the lead in Thessaloniki. 0-1. #PAOKOLY,https://twitter.com/Olympiakos_eng/status/1235289539708694538,greek
"Hassan starts up front as Martins names a strong starting XI to challenge PAOK in tonight's #GreekCup first leg match.

Young GK, Tzolakis, comes in for Sa. #PAOKOLY https://t.co/Y2H792cp2U",https://twitter.com/Olympiakos_eng/status/1235282691223887877,greek
"Football - Greece - Greece Cup
4 Mar 2020 - 21:30
PAOK Salonika - Olympiakos Piraeus
#teamscormix
Market
Yellow Over/Under

Pick
Over | 5.5

#paokoly 
Stake
2/10
Bookmaker
1xBet
Odds
1.525 https://t.co/diVkixkzkT",https://twitter.com/scormix/status/1235259509997744129,greek
