text,url,lang
At the #reloadgreece event at @KingsCollegeLon https://t.co/7AL2ldLpLO,https://twitter.com/JuanSchinas/status/660439329114861568,greek
#reloadGreece at LBS https://t.co/XzPDk5WeeC,https://twitter.com/dacostajam/status/845345985115144193,greek
"Big day tomorrow, so a rehearsal is in order...  #ReloadGreece #startup #hustling #DragonsDen $btc https://t.co/tVoN5yNbMW",https://twitter.com/Mytracknet/status/1014531558492033030,greek
Scaling Up In The Tourism Industry @ReloadGreece #RGCon17 #reloadgreece https://t.co/15Xmln7xaU,https://twitter.com/Mr_Highline_/status/924275698856005632,greek
He is wearing what? Must be important! Off to #ReloadGreece dinner @ReloadGreece https://t.co/iAcW6uk02b,https://twitter.com/mike_the_greek/status/672091801000517632,greek
Speaking at #ReloadGreece forum tonight about @GreekCrowdfund https://t.co/hmafckNfFD,https://twitter.com/ThomFeeney/status/687713757087272964,greek
Help make it happen for 'Reload Greece - The Hub of Greek Entrepreneurship in London' http://t.co/0e5git1qDC #reloaders #ReloadGreece,https://twitter.com/Floaders/status/452496446911049728,greek
Reload Greece! Young entrepreneurs in the UK join forces and share ideas at LBS. #reloadgreece... http://t.co/RVeKopiG1g,https://twitter.com/GreeceinUK/status/610786276783038465,greek
"Pitch night in London 
Reload Greece.
In Greece we trust.

#ReloadGreece https://t.co/1IU2ay1VcA",https://twitter.com/WearewhatwedoGR/status/883025962891448320,greek
The weaknesses can be strengths - Marina Hatsopoulos  #reloadgreece https://t.co/KSkmJFPcLG,https://twitter.com/c_makiyama/status/779608075116376064,greek
"#reloadGreece (@ London Business School - @lbs in London, Greater London) https://t.co/7TUoZrn9bA https://t.co/GOkptWcLCj",https://twitter.com/kostasbotonakis/status/711157441245925376,greek
Waiting for the Dragons Den #RGChallenge18 #ReloadGreece  Good luck! https://t.co/B7qSvPp4rJ,https://twitter.com/gargyrakis/status/1014916876470714368,greek
"TMRW's founder Francois Mazoudier will be speaking at @reloadgreece Connect19 Conference this Saturday in Bishops Square London! #RGConnect is your chance to meet a vibrant international community of investors, entrepreneurs and policy makers shaping the future #reloadgreece https://t.co/PtyCplYPJz",https://twitter.com/tmrwhub/status/1179345025718738945,greek
"#Meet2atReload #ReloadGreece — feeling excited at Google Campus, London https://t.co/hG15ew6VJ8",https://twitter.com/GineAgrotis/status/673121002830880768,greek
