text,url,lang
Say no to nazism #28ηΟκτωβριου https://t.co/hgeQFasY3D,https://twitter.com/GiannisPolitis/status/659328990226829312,greek
*Fixed* #28ηΟκτωβριου https://t.co/41CRBsnatm,https://twitter.com/kagouriki/status/1056487829432360960,greek
Happy #OXIDAY!  🇬🇷 #28ηΟκτωβριου https://t.co/XxpgFJJZ40,https://twitter.com/destination_c/status/1056482102844231680,greek
Proud to be Greek!! 🇬🇷 #ΟΧΙ #28ηΟκτωβρίου https://t.co/AEmZmAYZPG,https://twitter.com/DimitrisArg19/status/1056493631983550464,greek
"#28ηΟκτωβριου
My dearest Greek brothers around the globe! Happy National Day! Never forget the heroes who kicked out foreign troops in WW2. https://t.co/sJJSUNb8LN",https://twitter.com/HelenaDaZeus/status/924228160232853505,greek
Back at the village home as we continue  with renovations. Kids found an old flag the previous owner had left behind. They insisted we put it out for tomorrow's public holiday. #28ηοκτωβρίου #ΟΧΙ https://t.co/DjYquGEdYj,https://twitter.com/Politicman/status/1056220446968950784,greek
"Οχι day, 28 October, symbolises the unity and bravery of the Greeks in 1940, who stood tall and resisted against the Axis Powers in WW2, when Ioannis Metaxas said 'οχι' to the ultimatum by fascist Italian Mussolini. Never forget the sacrifices of our soldiers! 🇬🇷 #28ηΟκτωβρίου https://t.co/Ts9CRuIePu",https://twitter.com/Michael_Vissini/status/1188705969213067265,greek
National holiday in Greece today and we are looking forward for the parade! 🇬🇷 #CatsofTwitter #28ηΟκτωβριου https://t.co/avMQs6FtjT,https://twitter.com/Chapy_cat/status/1056588619148869632,greek
"“When the entire world had lost all hope, the Greek people dared to question the invincibility of the German monster"" #28ηΟκτωβρίου #oxiday",https://twitter.com/VasilopoulosAt/status/924191468733964290,greek
"Odysseus Elytis, who was awarded the 1979 Nobel Prize for Literature, fought as an officer on the Albanian front during the Greco-Italian War of 1940.  
His experiences were later written into his magnum opus, ""Axion Esti"". #28ηΟκτωβριου https://t.co/0HSVYrX4dW",https://twitter.com/History_Twerp/status/1188835635672555520,greek
"Think out of the box people #MontyPython #28ηΟκτωβριου 

https://t.co/P1mFXaxwbS",https://twitter.com/G_Orfan/status/1189483722879504385,greek
"""Hence, we will not say that Greeks fight like heroes but that heroes fight like Greeks.”  W.Churchill
#OchiDay #28ηΟκτωβριου 🇬🇷 https://t.co/TvYNISj5g2",https://twitter.com/twitullas/status/1188763914009546757,greek
Celebrating the heroic Greeks of WW2 who are constantly inspiring the Greeks of today! #28ηΟκτωβριου #ΖήτωηΕλλάς https://t.co/XOI3SYkT7z,https://twitter.com/greekinhouston/status/659430016980135936,greek
"Greek Epos.
#oxiday #28ηΟκτωβριου #oxi https://t.co/wq0aTJ2XZH",https://twitter.com/plasticobilism/status/792037689155543040,greek
"75 years ago today, Greece saved the Allies' asses by saying no to the ultimatum offered by Mussolini 💙🇬🇷 #oxiday2015 #28ηΟκτωβρίου",https://twitter.com/GreekTeenAlways/status/659343343546159104,greek
"""OXI Day""#28ηΟκτωβριου #ΧρονιαΠολλα https://t.co/tK6OK1nWGx https://t.co/dFD3Fgp3Ca",https://twitter.com/hipgreece/status/791893185584922624,greek
"#28October1940 - The people of #Greece, not dictator Metaxas, said the proud ""NO"" to the fascist invaders of #Mussolini. Long live the resistance of the fighters of the #EAM-#ELAS! #28ηΟκτωβριου https://t.co/9ixplzLi8y",https://twitter.com/id_communism/status/1056514990650339328,greek
"The attack starts on October 28 at 05:30.

Let us never forget the sacrifices made for the Πατρίδα, by those who have gone before us. 

Days like today are a cause for reflection and remembrance, but also pride for the Great Nation that is Greece.

#28ηΟκτωβρίου #ΟΧΙ #OxiDay https://t.co/Y6c0via50y",https://twitter.com/HellasFooty/status/1188659308071833600,greek
"Mood.
#28ηΟκτωβριου https://t.co/c4gSHuPkvy",https://twitter.com/CakeRetake/status/659408363638398976,greek
#greeknationalday: Santorini... 28th October National Day  #28ηοκτωβρίου https://t.co/jrEzULy3mY https://t.co/XQ0YK3sOIt,https://twitter.com/MariaParavantes/status/659272349217353728,greek
"WW II
#28ηΟκτωβριου https://t.co/iDSqGMGtCl",https://twitter.com/princessekateri/status/1188709745345073153,greek
"Ohi Day | #28ηΟκτωβρίου 
 
#ohiday #nationalday #greece #hellas #oxi #mvneverstops https://t.co/AHPNsGsOdf",https://twitter.com/manosvellis/status/659324468817297408,greek
"#28ηΟκτωβρίου #Greece says #Όχι (No) to fascist dictator Mussolini on 28 Oct 1940, rejecting ultimatum that Axis forces enter Greek territory &amp; occupy strategic sites. Greece enters #WWII giving hope to many in the world that the Axis powers could be defeated #Oxi #OxiDay https://t.co/jXtMWxPAR1",https://twitter.com/LobbyforCyprus/status/1188956773312581634,greek
"Mornin' to the whole universe!Btw,today it's a special day for the Greek population!♥#28ηΟκτωβριου",https://twitter.com/mochieminhyuk/status/659272543753347072,greek
#Χρόνια #πολλά #Ελλαδα #ΟΧΙ #28ηοκτωβριου🇬🇷 #Ελληνικη #σημαια #ελληνικησημαια #Elliniki #simaia #Greek #National #Flag #oxiday #greekflag #alicestarjewelry #inlove with my #country #mycity #Athens #greekjewelry #supportgreece #buygreek #Greek #love https://t.co/BXy6bTulBB https://t.co/LzzZTxvLww,https://twitter.com/wwwalicestargr/status/1056459349634244608,greek
We are proud of THIS FLAG...we are believers of the FREEDOM...WE ARE PROUD GREEKS🇬🇷🇬🇷 #28ηΟκτωβριου 1940 #hellas #hellenism #OxiDay #OXI #Μεταξάς https://t.co/TziRXn6uGD,https://twitter.com/iliokastro/status/1056504926250192896,greek
"OXI DAY | ""NO"" Day https://t.co/8t5Kr48YGX #28ηΟκτωβρίου #ΟΧΙ #ΧρονιαΠολλα #parelasi #Μεταξας #greece #visitgreece https://t.co/zetIACnZ8d",https://twitter.com/hipgreece/status/659311042959450112,greek
Wishing our Greek team and all of our friends in #Greece a Happy #OhiDay! #28ηΟκτωβριου #OxiDay https://t.co/R4YXFXEYXv,https://twitter.com/customedialabs/status/659409774472208384,greek
#28ηΟκτωβριου #greece#corinth https://t.co/u0WwDdxSO3,https://twitter.com/billsimos1/status/659485234153562112,greek
Translator Kimon Friar describes how poet Odysseas #Elytis perceived #Greece's war-time resistance: #28ηΟκτωβριου: https://t.co/SE0Uge4sex,https://twitter.com/johnakritas/status/659334953130442752,greek
"On days like today, let us never forget the sacrifices made for the Πατρίδα, by those who have gone before us. 

Days like today are a cause for reflection and remembrance, but also pride for the Great Nation that is Greece.

#28ηΟκτωβρίου #ΟΧΙ https://t.co/573GQ5W8s0",https://twitter.com/HellasFooty/status/1056476536096714752,greek
"Happy National Oxi Day to all our fellow #GreekClique
Freedom is never free. 
Today we celebrate freedom.
#OchiDay #oxiday
#28ηΟκτωβριου https://t.co/BbCCtiWyB3",https://twitter.com/GreeceClique/status/924251768439148544,greek
"OXI DAY | ""NO"" Day https://t.co/8t5Kr48YGX … #28ηΟκτωβρίου #ΟΧΙ #ΧρονιαΠολλα #parelasi #greece https://t.co/CuKRBgN87N",https://twitter.com/hipgreece/status/1056600736719613953,greek
"Today, Greeks all over the world celebrate the day our small country refused to simply lay down and allow Axis forces to occupy our land. We honour the service and sacrifice of the people who fought and died so that today we can be free. Today and always #οχι #28ηΟκτωβριου",https://twitter.com/kmccee/status/1188719322186825728,greek
Commemorating in #London the 28th October 1940 &amp; the #Greeks that chose #freedom over comfort. #Orthodoxy #Greece #28ηΟκτωβριου https://t.co/0lHDu2qqIT,https://twitter.com/gkoutsika/status/1056553393727115264,greek
"it's ironic that on this day in 1940 we said no to nazis but now people are voting for them, democracy has been so fucked #28ηΟκτωβριου",https://twitter.com/skywalkerays/status/659360069826514944,greek
