text,url,lang
My body is in Sorbon but my heart belongs to Tsiknothursday. Many years to all. #Τσικνοπεμπτη https://t.co/987Qfc0mA4,https://twitter.com/Tsipras_int2/status/1230405845495795713,greek
"&lt;3 We Are Family &lt;3

#Τσικνοπεμπτη https://t.co/ZB3V3J3MR2",https://twitter.com/calypsolarah/status/1230479512619667456,greek
"Ciabatta roll, fruity coleslaw, Irish white pudding: #Τσικνοπέμπτη in the office https://t.co/NbXp4slt4Y",https://twitter.com/Vlattas_C/status/1230472939964944384,greek
"Ready...
Steady...
GOOOOOO!

#Τσικνοπέμπτη https://t.co/JNls6vf6Lp",https://twitter.com/gastone85/status/1230544560637534213,greek
I had so much fun today ! I'm so thankful for all my friends 🥺 καλή #Τσικνοπεμπτη ☺❤ https://t.co/3wj68hneVO,https://twitter.com/rennialuvuHazza/status/1230506217153400832,greek
"and when you finish a full course meal... they bring out the dessert
#Τσικνοπέμπτη https://t.co/VivtoDP91Z",https://twitter.com/Supereffingirl/status/961596222908837888,greek
".
Charging…

 #28Feb
#Τσικνοπεμπτη https://t.co/aIJnOKww53",https://twitter.com/Cosssssss/status/1101183179069816833,greek
"~ HAPPY GREEK ANTI-VEGAN DAY ~

#tsiknopempti #τσικνοπεμπτη #veganism #antivegan #vegans https://t.co/TUVuyL17r8",https://twitter.com/foivosloxias/status/1101025161942319104,greek
"Catholics have Fat Tuesday, we Greek Orthodox have Tsiknopempti (“Smoke Thursday”) - to gorge on grilled meat.

Had to work late so could not get to our church bbq this time.  But @tracylbrown bought dinner for the late crew. And Sayat Nova hooked us up ... #Τσικνοπεμπτη https://t.co/9GnSz52YyR",https://twitter.com/dmihalopoulos/status/1231003241300873219,greek
Mood of the day #Τσικνοπέμπτη https://t.co/37lHdpy6aj,https://twitter.com/pistoula1/status/961510605122428929,greek
"#Τσικνοπέμπτη stream fiesta
https://t.co/PCpCGPKkPq",https://twitter.com/ultmiyawakis/status/1230475707760947201,greek
"The man
The myth
The legend
Al Bundy - let's cook
#Τσικνοπέμπτη
https://t.co/9yzVd66u7O",https://twitter.com/belzeboulis/status/1101125950438367232,greek
happy #Τσικνοπεμπτη https://t.co/jYepuf57Mv,https://twitter.com/EYHK1/status/1101062135298355200,greek
"Meat Eaters Delight as Greece Celebrates Tsiknopempti - https://t.co/uGSs0dKCEY

#Τσικνοπεμπτη https://t.co/5qF1NwhiIA",https://twitter.com/GreekReporter/status/1230477298031353857,greek
#Τσικνοπέμπτη I eated enough meat today it was delicious but i'm stuffed up. https://t.co/5YVBOFoilP,https://twitter.com/CreatorsUpdate/status/961624306080940037,greek
Greek hospitality at its best. #Τσικνοπέμπτη https://t.co/IOs11g3T65,https://twitter.com/TassosMorfis/status/1230486921547255811,greek
#Τσικνοπέμπτη is coming https://t.co/zNwBnnJbAz,https://twitter.com/IACOVOSCH/status/705167622933913600,greek
Burnout drift #tsiknopempti #Τσικνοπέμπτη https://t.co/ApCjNr6Bt4,https://twitter.com/NikolaosLieas/status/1101045263442034690,greek
To all🎶🎶💪🏼#Τσικνοπεμπτη https://t.co/MI3vI13Jnu,https://twitter.com/kloybi/status/1101104691784626176,greek
"mood

#Τσικνοπέμπτη https://t.co/cjF9nsBfal",https://twitter.com/saitanasker/status/1101118433540878336,greek
#Τσικνοπέμπτη mood https://t.co/7Hp1uNOnDl,https://twitter.com/osianouli/status/1230480862703124481,greek
The amazing natural phenomenon of today in Gaza...#Τσικνοπεμπτη https://t.co/0UUNBhnUYu,https://twitter.com/steveroxani/status/832269647743483904,greek
Masque Party today in Greece #Τσικνοπεμπτη https://t.co/zS4i5aIiwN,https://twitter.com/NastaZiazm/status/1101194043269267456,greek
Need to know facts! #Tsiknopempti #τσικνοπεμπτη #cyprus #larnaca https://t.co/Cj4YufbhTX,https://twitter.com/aperivolaris/status/961651701441814535,greek
"The carnival mood sweeps to @Intrasoft_int #Thessaloniki ...🎭
#Τσικνοπέμπτη https://t.co/Gr1GmRBawL",https://twitter.com/ZisisT/status/961539298628718592,greek
"Tsiknothursday baby 
#Τσικνοπεμπτη #volcano #meatheals https://t.co/QHpcDHTcMf",https://twitter.com/Johnny43972417/status/1101197393125666824,greek
Grilling before #Τσικνοπέμπτη https://t.co/v50OX2uzE9,https://twitter.com/jubagaier/status/1230554904667643904,greek
Today is #Τσικνοπέμπτη and every #Greek should celebrate it in a #Homeric way: #HomericBarbecue #CholesterolOverdose https://t.co/71otHRDmYe,https://twitter.com/MariaGXanthou/status/1230648163876339712,greek
Mood of the day #Τσικνοπεμπτη #tsiknopempti https://t.co/agNu1iIc04,https://twitter.com/dino_sik/status/1101104472082784256,greek
Enjoy the Masquerade! #Τσικνοπέμπτη #dna #dnacenters https://t.co/hX9UZtEsAx https://t.co/c1Caug8jdm,https://twitter.com/DnaCenters/status/961531341635547136,greek
#Τσικνοπεμπτη dress code https://t.co/wwougqunGQ,https://twitter.com/with1word/status/832154245558366208,greek
"3,2,1..... Shut down. Eat.
#τσικνοπέμπτη http://t.co/akvlbphOOO",https://twitter.com/chrisandreikos/status/565945708310966272,greek
#Τσικνοπεμπτη via system failure . https://t.co/PyQKJgVISu,https://twitter.com/GigiV46/status/1101169470125629441,greek
"Happy Tsiknopempti, Grekaddicts! Enjoy this month of ever-lasting festivities! 

https://t.co/tAE6LoE1BY

#tsiknopempti #Grekaddict #Greece #meateater #travel #tradition #Τσικνοπέμπτη",https://twitter.com/grekaddict/status/1101142371205636097,greek
"#Τσικνοπέμπτη loading............
#foodporn #foodie https://t.co/rokBzU5L4z",https://twitter.com/thamaRestaurant/status/705046210843963392,greek
Happy #Tsiknopempti / #Τσικνοπέμπτη! Hmmm tasty souvla - enjoy all that lovely meat today :-) https://t.co/IvqmhPkZsf,https://twitter.com/RottieMarketing/status/705323273517568000,greek
mood of the day  #Τσικνοπεμπτη https://t.co/Jr4V8oKkgF,https://twitter.com/Stravoxylo/status/961969090385600512,greek
Masque Party today in Greece #Τσικνοπεμπτη https://t.co/tPMArnL4Ki,https://twitter.com/NastaZiazm/status/1101194188014710786,greek
"Training sessions  and party 🎉 tonight for @ARISLADIESFCDT U-17.
#Τσικνοπεμπτη https://t.co/Bdwx9rBvZD",https://twitter.com/ARISLADIESFCDT/status/832146907661234176,greek
"#Τσικνοπέμπτη #Tsiknopempti 
Happy bbq everyone! https://t.co/fpSxVAChUW",https://twitter.com/seasidelefkas/status/961528755142438914,greek
"#Τσικνοπέμπτη is about to get lit lit😉

Get it.... lit lit.....no??? 
literally 🔥 

oh nevermind😏

@BTS_twt we got a whole lot of meat waiting for the 🔥!!
#καλοτσικνισμα !!! https://t.co/laCAMOXwKb",https://twitter.com/katslifeview/status/1101074667778043904,greek
#Τσικνοπέμπτη Big day in Greece today. Everyone is Griliin. Hey I do this Everyday @ Uncle Gussy's https://t.co/voXo4033iZ,https://twitter.com/UncleGussys/status/1230467578230865920,greek
"Fat Tuesday in Greece is neither- Greece's Dionysian festival starts tomorrow.
#Τσικνοπέμπτη https://t.co/UxdYf2MWLR",https://twitter.com/Provocolate/status/704990066347806720,greek
The smell of meat on the BBQ will be prevalent in the air throughout #Greece today. Enjoy #tsiknopempti #ΤΣΙΚΝΟΠΕΜΠΤΗ https://t.co/yMNuaFNY9Q,https://twitter.com/FidelityTravelG/status/832220034458124290,greek
"Today in Greece is Tsiknopempti, which means ""grill Thursday"". Everyone eat meat 12 days before lent starts, 40 days before Easter Sunday. Looking forward seeing you Opa!!! Yamass!!!
#τσικνοπέμπτη #meat #greekfood #lent #easter https://t.co/msjovqAgWV",https://twitter.com/NikTheGreek_/status/1230450073777123329,greek
Dinner table is ALMOST ready! #Τσικνοπέμπτη http://twitpic.com/439vyh,https://twitter.com/ili4n4b/status/40803936898121728,greek
"Costumes on..Masks off! #Τσικνοπέμπτη 2013 vol.2
Like a Sir! ;) http://t.co/CnKENHHPr7",https://twitter.com/Absotinalutely/status/310730944610959360,greek
"#Τσικνοπέμπτη What do you mean he don't eat no meat?! Oh, that's OK, that's OK, I'll make lamb! Happy vegetarian day;-) https://t.co/SEJVQDfs8U",https://twitter.com/sophiefotini/status/961743506178940928,greek
Chicky Thursday... all my art has gone onto marinades and what not. #tabasco #τσικνοπέμπτη… https://t.co/nZwJiEyNxS,https://twitter.com/Alfred_Pimble/status/961689707628433408,greek
#Τσικνοπεμπτη  #tsiknopempti  mood of the day https://t.co/lT55gsNthx,https://twitter.com/ntinos___/status/832246479825797120,greek
Wholly smokes! 💣 #ΤσικνοΠεμπτη just got wayyyy sexy! @elenimenegaki is on fire 🔥!!! Tune i… https://t.co/TPsyxx8nhE https://t.co/lPOitYRqEm,https://twitter.com/SChristidouCom/status/832200673257259008,greek
Even if we are far from # Greece we did celebrate it properly!!happy #Τσικνοπέμπτη from #cardiff! @troycardiff http://t.co/Jhx8EZpEU1,https://twitter.com/MariaKasselouri/status/566034256036904960,greek
"Celebrating the annual feast of “Charred,” “Smoky,” or “Barbeque” Thursday today, due to the smell of grilled meat, a vital part of the traditional celebrations for Carnival season. #Τσικνοπεμπτη https://t.co/72JKQTkGqr",https://twitter.com/StSophiasSchool/status/1230497774434766851,greek
#Τσικνοπεμπτη #Α #Γ #αγαπημονο by staurianna_str http://t.co/zuBNdnlAOf http://t.co/Rg8FavoM65,https://twitter.com/AthensInsta/status/566089065364463616,greek
A wonderful Tsiknopempti! The dish on the bottom left was made by me. #tsiknopempti #τσικνοπέμπτη http://t.co/jAbkHkMCuS,https://twitter.com/chemicalpoisons/status/436674281909809152,greek
"#tsiknopempti (#τσικνοπέμπτη ) is an #orthodox #festival at 11 days before #clean #monday  (another Orthodox festival).In #tradition ,at that day #greeks usually #eat lots of #meat because… https://t.co/ruc9DgPAXK",https://twitter.com/wowahh/status/1122016127092166656,greek
i much prefer #τσικνοπεμπτη to todays bank holiday... what do u mean no meat? https://t.co/SR5bFGrViX,https://twitter.com/gellyskarlatou/status/965661898443313157,greek
Let's go back to Thursday ;) #Τσικνοπεμπτη #minnie @ Activum http://t.co/RmDaOuLV9M,https://twitter.com/OverwhelmByZac/status/437155455681703936,greek
This steak is too big for square format #tbonesteak #tsikno #tsiknopempti #τσικνοπέμπτη @… https://t.co/gMXiZNKJli,https://twitter.com/Alfred_Pimble/status/832300559675826178,greek
Gaining some weight  😂😂  #Τσικνοπέμπτη #ψήνουμε κ #τρώμε 😜  @SofiaBardhi19 @olga_olgaki27 https://t.co/4LmpXugNkg,https://twitter.com/ihaniyaaa/status/705379638059638785,greek
"Things I really miss:
1. my dad
2. running
3. wearing heels 
4. my life

#Τσικνοπέμπτη #inapu",https://twitter.com/Ina______/status/1230579765763084289,greek
