text,url,lang
"#NewEra_By_SaintRampalJi 
Get Ready!
.
Golden age is coming..
.
.
Saint Rampal ji will bring the new era full of peace and prosperity.

 https://t.co/MM2IoxNQEX https://t.co/bf14W9bmRS",https://twitter.com/Piyush27451582/status/1213043801427595264,indian
"#NewEra_By_SaintRampalJi
Yes...friends I want to tell everyone that #स्वर्ण_युग is Coming
👇👇 https://t.co/4qEVjFG4Y6",https://twitter.com/aHj6CBlSoHlJYl0/status/1212942152898154496,indian
"#NewEra_By_SaintRampalJi 
Kabir is supreme God https://t.co/jBfhqZKuPp",https://twitter.com/Jagwind59645394/status/1212693329156046848,indian
"India VishwaGuru
With the knowledge of Saint Rampal Ji Maharaj, the boundaries of the world and countries will end.
#NewEra_By_SaintRampalJi
Everyday from 7:30 on Sadhana TV. https://t.co/Dc7zkkjwFj",https://twitter.com/Ramuike34658484/status/1212717559193251840,indian
"#NewEra_By_SaintRampalJi 
No drugs, no intoxicants, better civil society. 
Disciples of Saint Rampal Ji do not consume drugs or intoxicants. These are the glimpses of a changing world &amp; Saint Rampal Ji is bringing about this change.🙏🙏
@SaintRampalJiM 
@satlok999 
@Satlok333 https://t.co/J8gWwc4PYP",https://twitter.com/RamKush04/status/1219608310220902400,indian
"#NewEra_By_SaintRampalJi
Right now we are divided in the name of caste, religion, etc, but As Sant Rampal Ji said: Golden time is coming,
the whole world will be bound in the thread of humanity.
New Year Message For All Delhi Citizen 🎉🎉🎉🎉🎉
https://t.co/oeoDaEFvlv",https://twitter.com/aHj6CBlSoHlJYl0/status/1212942052784295936,indian
"#NewEra_By_SaintRampalJi
Due to dowry taken in marriage, daughters are burden on the society, but by the knowledge of Sant Rampal Ji Maharaj, dowry will be completely eliminated and people will get married in a simple way. https://t.co/JWq1nm16sb",https://twitter.com/TCVideos19/status/1213464697745182720,indian
#NewEra_By_SaintRampalJi Rampal Ji Maharaj ji and his followers are on struggle to make this world free from all social editions and bringing #स्वर्ण_युग in Kalyug. https://t.co/1WFQd2yMCe https://t.co/P4hqvIhwZk,https://twitter.com/Priyank11228390/status/1212962165746831363,indian
"#NewEra_By_SaintRampalJi
Golden Time Is Coming
All humans of the world will be vegetarian. No animals will be killed for the taste of tongue.
https://t.co/pf4ktwrHAU",https://twitter.com/RamaRawat19/status/1213448780562882568,indian
"It's show time.
 #RamRajya_Is_Coming #NewEra_By_SaintRampalJi https://t.co/e9shXBO88u",https://twitter.com/SHIVAMD39/status/1213492524498604032,indian
