text,url,lang
"#AskSaiTej
One word About This Combination 🔥
@IamSaiDharamTej https://t.co/9mGBEM8gxT",https://twitter.com/chittibabuy2k/status/1211985504859774978,indian
".@IamSaiDharamTej One word about our hot seat 😉 &amp; @GeethaArts team.
#AskSaiTej",https://twitter.com/imsarathchandra/status/1211989212096008195,indian
Trying my max bro #AskSaiTej https://t.co/WrriI7rkLP,https://twitter.com/IamSaiDharamTej/status/1211991025759047680,indian
"What about kerala special made cake??

#AskSaiTej https://t.co/dEp5YCe655",https://twitter.com/RcfChandu/status/1211983657197428737,indian
"#AskSaiTej ❣️❣️❣️❣️love u darlinggg 
Expecting different script selection from u 😉 https://t.co/UqgK60Y2Pk https://t.co/cMRFYqs7GA",https://twitter.com/sksprabhas/status/1211994716163543048,indian
#AskSaiTej bro can we expect an energetic role like this again? https://t.co/ICsANxDamF,https://twitter.com/RafiSk9966/status/1211980544885452805,indian
"Anna one word about @tamannaahspeaks Mam 🙏

#AskSaiTej 
@IamSaiDharamTej",https://twitter.com/Tamannaahimakar/status/1211987660702535682,indian
"#AskSaiTej  
We Want Controversy Maaannn 😂😂 https://t.co/psNdixRWE0",https://twitter.com/DpAadhf/status/1211985980854419457,indian
"#AskSaiTej

Supreme Hero @iamsaidharamtej will be live for a chat session from 5PM to 6PM tomorrow. https://t.co/Le9zJ8GnCE",https://twitter.com/baraju_SuperHit/status/1211642932039540746,indian
#AskSaiTej Anna who's ur Favorite hero apart from MEGASTAR &amp; POWERSTAR ?? @IamSaiDharamTej  #AskSaiTej,https://twitter.com/Harishharry33/status/1211980119536881664,indian
@IamSaiDharamTej bro one word about our very own #Balayya baabu #NBK106 #AskSaiTej https://t.co/L3oouK7TsN,https://twitter.com/Tdp_Addanki/status/1212033893831827456,indian
"2019 has been a memorable, hope 2020 will be a blockbuster year @IamSaiDharamTej #AskSaiTej",https://twitter.com/bondsai01/status/1211975363774955521,indian
"Thanks for your replies Anna 
2 tweets petta renditiki replies ichav 
All the best for your future projects 
#AskSaiTej @IamSaiDharamTej https://t.co/NW7v3WuhVq",https://twitter.com/Iam_VinayPrince/status/1211983639698755584,indian
"BRO Post Your Fav Pic Of #RamCharan 

#AskSaiTej 
@IamSaiDharamTej",https://twitter.com/TeamDRHofficial/status/1211986451576967168,indian
"#AskSaiTej
@IamSaiDharamTej  Annaya is it true or false?????? https://t.co/2Hvm74JwMr",https://twitter.com/veera9392/status/1211996737327390721,indian
"#AskSaiTej Favourite Dancer in Tollywood

@IamSaiDharamTej",https://twitter.com/ChethanAAHCF/status/1211980085810491394,indian
"Bro @IamSaiDharamTej 
1) CAKE
2) BIRYANI
Which one would u choose for Celebrations??
#AskSaiTej",https://twitter.com/SairamTweetz/status/1211991408569044998,indian
"#AskSaiTej
@IamSaiDharamTej anna
Choose one 
Cake / Hyd Biryani",https://twitter.com/urstruly__kiran/status/1212015331050283009,indian
"#AskSaiTej
@IamSaiDharamTej bro 
#savevannurappa tag open chesi chud pls 

Help cheyandi anna pls 🙏🙏🙏❤",https://twitter.com/Rehanpawanist_/status/1212011542905901058,indian
"#AskSaiTej  @IamSaiDharamTej

Ee Video Chusi @PawanKalyan ki Forward chei bro

Will be Thankful to u https://t.co/19MtGDyH8j",https://twitter.com/TylerDurden_/status/1211989428639432704,indian
"@IamSaiDharamTej @IamSaiDharamTej Anna 
One Word About This Couple ❤

#RamCharan @upasanakonidela 
#AskSaiTej https://t.co/iAmSytkIHl",https://twitter.com/RamCharanHCF/status/1211987650812334080,indian
#AskSaiTej is trending now in India https://t.co/Sbq63AzhdM,https://twitter.com/bkrsatish/status/1211980088092180480,indian
"#AskSaiTej

About #prabhas https://t.co/7gcDxXhUXd",https://twitter.com/demigodprabhas/status/1211987446004535297,indian
@IamSaiDharamTej #AskSaiTej when can we see Vaishnav tej on screen?,https://twitter.com/KrishnaDVN/status/1211978483103977472,indian
"Thank you So much Anna ❤😙 

My #AskSaiTej ki replyicchinadhuku https://t.co/rmnv2TwWW9",https://twitter.com/kalyanDHFP/status/1211992440434855937,indian
Thank You @IamSaiDharamTej 😀 #AskSaiTej https://t.co/9iRgjy6DAX,https://twitter.com/AnandOfficiall/status/1211979442672689152,indian
"Happy New year @IamSaiDharamTej
Anna 😎😍
#AskSaiTej https://t.co/jMQPjinRLQ",https://twitter.com/Naveen8236/status/1211990454599729152,indian
"#Master @IamSaiDharamTej Anna 
One word about thalapathy vijay
#AskSaiTej",https://twitter.com/Karthic23851365/status/1211997350970834946,indian
@IamSaiDharamTej One Word About @Samanthaprabhu2 #AskSaiTej,https://twitter.com/Veekshit2/status/1211982823357206528,indian
"I'm Waiting For #SDT Rlpy
#AskSaiTej 
@IamSaiDharamTej https://t.co/bvqr2pnkqv",https://twitter.com/_Mahesh_KumarS/status/1211988691066818562,indian
"i don't know if you'll reply to my questions and that's okay. but please know that you and all your cousins have a huge fan in the netherlands who wishes well for all of you ❤️ bless you! 
@IamSaiDharamTej #AskSaiTej https://t.co/jPh44B3KMx",https://twitter.com/ayeshamalika/status/1211983998077063168,indian
"Will you accept the love proposal of your die hard female fan ...
#AskSaiTej https://t.co/rLsKdfDl55",https://twitter.com/Nishi_Reddy_/status/1211990117834878976,indian
"మేష్టారు @IamSaiDharamTej 
I Know Nuvvu naku reply iyyav,
Ma తమన్నాతో సినిమా తియ్యవ్
I Know sàar I Know ,it's 
Horrible sir horrible 🙃😐😬
#AskSaiTej",https://twitter.com/rampkfannnn/status/1211983164194738176,indian
"#AskSaiTej

reply anna 😍
@IamSaiDharamTej https://t.co/S1lxrTpyzH",https://twitter.com/Bhaskaredem20/status/1211979941203464192,indian
"#AskSaiTej
One word about @RaviTeja_offl anna 
And metho anna combo confirm aena??? 
Rply 🙏🙏💓",https://twitter.com/SreeGopal89/status/1211984967712038913,indian
Hi @IamSaiDharamTej 😊. Naku final exams deggariki vasthunnayi! I wish you to wish me all the best! Ntg makes me happy more than that! Monna chat session #AskSaiTej lo kuda naku reply ivvaledu😭😭. Nuvvu ippudu reply isthe it means a lot to me...!,https://twitter.com/Sahasrahere/status/1230902975658254336,indian
"Finally this 2019 end's up with sweet &amp; Special Surprising Replies from our #SupremeHero @IamSaiDharamTej Annaya #AskSaiTej Thanks a lot for your warmth Reply Annaya and Hearty congratulations for Blasting Block Buster of #PratiRojuPandaage &amp; #HappyNew2020 Anna 
#WeLoveYouTeju https://t.co/PaNvDcRVzZ",https://twitter.com/SHIVAPURI12/status/1212017517343830017,indian
"Vote YES

#RamRajya_is_coming 
#Thalapathy64FirstLook #AskSaiTej #IndiaSupportsCAA_NRC_NPR #IndiaSupportsCAA https://t.co/EwToPxz5Xd",https://twitter.com/bhav2406/status/1212002025593950208,indian
@NaveenYanamala @TheRockybhai @Nishi_Reddy_ @VannurappaBurr1 @IamSaiDharamTej #AskSaiTej sir please help... 🙏🙏,https://twitter.com/Mr_uncivilized/status/1212001433811374082,indian
"After watching #PratiRojuPandaage
oka trance lo undipoya Anna .One of the best film I have watched in 2019 
#AskSaiTej
@IamSaiDharamTej",https://twitter.com/segukranthi/status/1211992944842084354,indian
@imsarathchandra @GeethaArts Loved every bit of it you must’ve enjoyed my answers as well #AskSaiTej,https://twitter.com/IamSaiDharamTej/status/1211991481596006400,indian
@chittibabuy2k @Chanti_6666 Sorry boys for the delay #AskSaiTej,https://twitter.com/IamSaiDharamTej/status/1211991210342014978,indian
"Enni Typo Mistakes sir 😴

#AskSaiTej @IamSaiDharamTej https://t.co/zDsQ3ymQXG",https://twitter.com/RaghuCharanism/status/1211988412321783808,indian
"#AskSaiTej
Who is d better Co-Star
@RaashiKhanna or @ReginaCassandra 

@IamSaiDharamTej cheppu Bro",https://twitter.com/winsttonxavier/status/1211988378729635843,indian
#AskSaiTej Trending in India. https://t.co/gzG3fl5x3q,https://twitter.com/vamsikaka/status/1211988196008968192,indian
"In your view Who is the best CM of AndhraPradesh @ysjagan or @ncbn 
 #AskSaiTej",https://twitter.com/sindhubarghavi/status/1211986004199870465,indian
"One Word About @tarak9999
@IamSaiDharamTej #AskSaiTej",https://twitter.com/AnilTarakian/status/1211982950226518016,indian
"#Master First Look Is out ♥️

Your Opinion about it ? @IamSaiDharamTej
#AskSaiTej ?? https://t.co/YwttryXCcp",https://twitter.com/Sankalp_offl/status/1211982792239673344,indian
"@IamSaiDharamTej #AskSaiTej @IamSaiDharamTej Anna 
Which is Fav movie in 2019 In Telugu 😎❤️✌️😇😍",https://twitter.com/anand__9999/status/1211981424569413633,indian
"Best moment 2019 lo?!
U can share that picture also🙃..
 #AskSaiTej @IamSaiDharamTej",https://twitter.com/gpreethi59/status/1211981406122856455,indian
"Your Favourite movie of Mahesh's 

@IamSaiDharamTej
#AskSaiTej",https://twitter.com/Gurusaran_/status/1211978917021507584,indian
"@IamSaiDharamTej Anna Nidhhi agerwal gurinchi few words 😍
#AskSaiTej",https://twitter.com/Coolest_Vinay/status/1211978663035572225,indian
