text,url,lang
"Thank you sooooo much!
☆*:.｡. ♫o(≧▽≦)o ♬.｡.:*☆
#popjwave https://t.co/qSnptFU7Pi",https://twitter.com/noranekokurasi/status/1215595166859325441,japanese
"💙：I love this track、this song feels like an evolutional step to songs we've done so far
Harry：Yeah it feels very SixTONES＆the beat's so fast＆catchy。
❤️：Yeah that's why I'm grateful of Hugh Jackman
💙：He did nothing
Harry：🤣

Imitation Rain NEW WORLD
#votefor6T
#popjwave https://t.co/UQ0Y3dfURd",https://twitter.com/Aerialogic/status/1218318333860184065,japanese
"firework！！
#popjwave https://t.co/pGOp9MRM42",https://twitter.com/ZbbYF2jJrUNaCTz/status/1167552651040444416,japanese
"ᵍᵒᵒᵈ ᵐᵒʳᐢⁱᐢᵍ 🌥

#popjwave https://t.co/fDJQ29qZBo",https://twitter.com/asakusabashiume/status/1152340085750190080,japanese
"You must unlearn what you have learned...
 #popjwave https://t.co/wyTyZP1GEV",https://twitter.com/3rt_nogi0222/status/1159953833038008320,japanese
"TOP OF THE WORLD
#popjwave #齋藤飛鳥 https://t.co/S5fEZe0QQC",https://twitter.com/acchan_1110/status/1168196952732794880,japanese
"Now OnAir
Imitation Rain📻
#popjwave 
#SixTONES
#ImitationRain
https://t.co/vj6SyQmGQd",https://twitter.com/ngoc_ln56/status/1218300956149829632,japanese
"Harry’s Sandwich Company
https://t.co/yW10OppDrg

#popjwave #jwave #radiko #ハリー杉山 #乃木坂46 #齋藤飛鳥 #めがねちゃん",https://twitter.com/pop_813/status/1180232169379090432,japanese
Have a nice one👍#popjwave,https://twitter.com/CoolRyon/status/1236063688194285569,japanese
#pitbull #mrworldwide #inspirational #inspo #motivational #AZALEA 1st LIVE #AZALEA 1st LIVE #popjwave https://t.co/bimFOwvXL7,https://twitter.com/pitspiration/status/1236074701836992514,japanese
"[ Trending Topics JP🇯🇵 07:23 ]
 * #popjwave climbed quickly to position No. 4 🚀
 * 2 new entries on the list of trends https://t.co/3FRXuwft8L",https://twitter.com/50trends_jp/status/1236055970889023489,japanese
just ten more minutes. #popjwave,https://twitter.com/Banana_of_loss/status/1236052842198134786,japanese
"good stuffed
#popjwave",https://twitter.com/Tomoo_nogi/status/1236052483836764160,japanese
iPhone11？！？！ #popjwave,https://twitter.com/Lefty_extremist/status/1236046795102248960,japanese
🌈🎶🍋🌈Amazing✨✨✨#popjwave,https://twitter.com/CoolRyon/status/1236043841221754880,japanese
over the rainbow ♪#popjwave,https://twitter.com/royalstraightf5/status/1236043501239824385,japanese
"Asuka's English is wonderful！！
#popjwave",https://twitter.com/masamonlvasyu/status/1220834103362084864,japanese
Good morning #popjwave,https://twitter.com/Lefty_extremist/status/1162469298687713280,japanese
"Happy Birthday ! Asuka !
#popjwave",https://twitter.com/bihodaido/status/1159950853098242048,japanese
"beer please.
 #popjwave",https://twitter.com/koh_hori307/status/1149803670239731712,japanese
"Am I Loving？♪
 #popjwave",https://twitter.com/rute3246/status/1144726594545520641,japanese
"sing out!
#popjwave",https://twitter.com/rute3246/status/1132044060321914881,japanese
"But please do not overdo it.  Asuka.

 #popjwave",https://twitter.com/masamonlvasyu/status/1119365247926583296,japanese
"I like your sensibility
#popjwave",https://twitter.com/teshi_asu_eri/status/1114293208865955840,japanese
"morning morning
 #popjwave",https://twitter.com/NHwovzod24Mpn4c/status/1104142501609299969,japanese
"No thank you！笑
#popjwave",https://twitter.com/qw_1g/status/1101608524591710208,japanese
"against♪

#popjwave",https://twitter.com/nogi46_04/status/1086382461397827584,japanese
"#jwave
#popjwave

POP OF THE WORLD | J-WAVE | 2018/11/24/土 | 06:00-08:00 #jwave https://t.co/OJM8T1VWM9",https://twitter.com/hilowmi/status/1066076881554833408,japanese
"So, what do you like about me？ #popjwave",https://twitter.com/takuyume_kyk/status/1063556778435141633,japanese
"I don't know if your for real
#popjwave",https://twitter.com/JAL_737_846/status/1063556738702438401,japanese
