text,url,lang
"Happy National Winnie The Pooh day! 🙃
#WinnieThePoohDay https://t.co/qh6Xe4t5GE",https://twitter.com/Zedd/status/1218630129028493312,english
"She lost her mother.
She went overseas with Lieutenant Harry Colebourn.
She slept under his cot.

She, the beloved old bear.

Winnipeg, the Bear. 🇨🇦

#WinnieThePoohDay https://t.co/wqF8nADSXM",https://twitter.com/CAFinUS/status/1218689375812431872,english
Happy #WinnieThePoohDay &lt;3 https://t.co/jMkROimQzh,https://twitter.com/hitRECordJoe/status/1218661607544446982,english
Saw it was #WinnieThePoohDay  and I honestly had to do this https://t.co/3y8nMSNtNX,https://twitter.com/kohkohkrispies/status/1218654942178824198,english
"Revenue generated by these franchises:

Winnie the Pooh: $76 billion
Star Wars:     $68 billion
MCU:             $35 billion
Harry Potter: $32 billion
Batman:         $29 billion
Toy Story:      $20 billion
James Bond: $20 billion
Avengers:       $15 billion

#WinnieThePoohDay",https://twitter.com/NorbertElekes/status/1218699792026607616,english
Happy #winniethepoohday bounce bounce tigger ♥️ https://t.co/aXbEKGdQdv,https://twitter.com/Teacherglitter/status/1218912858383245312,english
"Some people are with you no matter 
where they are in 
the world. 
😊🙏☀️
💙🌎
🌺

#SaturdayMotivation #WinnieThePoohDay #Friendships https://t.co/v1GnWmwp40",https://twitter.com/BethFratesMD/status/1218684538077044738,english
"""I admire its purity. A survivor... unclouded by conscience, remorse, or delusions of morality"" - said Piglet

#WinnieThePoohDay https://t.co/TDRHtI2d4v",https://twitter.com/LASTEXITshirts/status/1218639197197754369,english
"“How do you spell love?”
“You don’t spell it~you feel it,” said Pooh. #WinnieThePoohDay 

I hope you know you’re ALWAYS with me in my dreams &amp; forever in my heart.

I’ll BBS reading #BraveWrite #vss365 #ConverStory #Sunthing #tanka...as soon as I’m better.

I so love you, Aspen🕊 https://t.co/grzst45CYS",https://twitter.com/Write2Fite/status/1218712494186749952,english
A very happy #WinnieThePoohDay to all celebrating today. https://t.co/nLGPsmegbg,https://twitter.com/GrayConnolly/status/1218722968563380225,english
"As you can clearly see, Cheeto is extremely happy to celebrate #WinnieThePoohDay with y’all 😂 https://t.co/ERfMXuksUS",https://twitter.com/evawut/status/1218909234504634368,english
happy #WinnieThePoohDay :-) 💛 https://t.co/6MLabU2eES,https://twitter.com/doridraws/status/1218670317691920385,english
"Today is A.A. Milne's birthday, which means it's #WinnieThePoohDay! Did you know that the Children's Center in our 42nd Street location has the real-life Winnie and friends?  https://t.co/ozv1apRRaf",https://twitter.com/nypl/status/1218640006614519808,english
We missed #WinnieThePoohDay yesterday but we thought this was perfect to share any day 😍😘😘😘 https://t.co/LXpAZpjI8Q,https://twitter.com/burrowingbolt/status/1218920663638999042,english
"Today is #WinnieThePoohDay. To celebrate, a repost of this wonderful book bag design created by E. H. Shepard. https://t.co/GCCF6lvJAi",https://twitter.com/tutubuslatinus/status/1218781852313407488,english
"Hello Twitterville!
It's #WinnieThePoohDay  
Sending virtual (((hugs))) to you all ❤
You are important. 
You are loved!
I am thinking of you...  always!
#HappySaturday https://t.co/j6iMqgyxu5",https://twitter.com/MommaSmallzz/status/1218656279347986432,english
youngjo said happy #WinnieThePoohDay 🐱💜🐻🍯 https://t.co/0mOh388JRz,https://twitter.com/0094line/status/1218643308068720643,english
"“Why Pooh son?”
One of my favourite lines ever.
@normwilner 
#WinnieThePoohDay https://t.co/9mXZ81nnOJ",https://twitter.com/JulianRichings/status/1218732229993603073,english
"This silly old bear has influenced not only my childhood (I found a hospital wristband for my pooh bear from when I had an operation at 4) but as an adult too. My art, my job, so much of my life has been surrounded by this bear. Happy #WinnieThePoohDay Pooh &lt;3 https://t.co/PAtzpX1sKB",https://twitter.com/ArtOfChloeRose/status/1218629027285651458,english
Happy #WinnieThePoohDay 🍯 https://t.co/59iUQL3iLa,https://twitter.com/Stephen_Stanton/status/1218634712052166656,english
"Happy #WinnieThePoohDay
Everyone.😁👍 https://t.co/8wNPlbAX0o",https://twitter.com/AllNightShow/status/1218644159277551617,english
"I'd also like to tweet on #WinnieThePoohDay that I am definitely Piglet and am married to Rabbit. (He thinks he's Eeyore, but OMG. He's definitely Rabbit.)

Who are you and YOUR partner?",https://twitter.com/shaindelr/status/1218678865662337025,english
"We teach this pearl in psychiatry as well 😀

#WinnieThePoohDay https://t.co/dEdk5wceL4",https://twitter.com/DrHowardLiu/status/1218652964799168512,english
"❤️🍯🐻 People say nothing is impossible, but I do nothing every day.” —Winnie-the-Pooh 🐻🍯❤️

#pug #pugs #dogsoftwitter #dog #dogs #winniethepooh #winnie #winniethepoohday #winniethepoohquotes #pooh #poohbear #Disney https://t.co/YS4pBcFYhX",https://twitter.com/TatumTotThePug/status/1218742881499975680,english
"@EmilyMaeHood @l_paterno @JulieKusma @JoePranaitis @CassieGannis @Adaliabrand8 @eevalancaster @MQuigley1963 @KathleenHarrym1 @Car01am @BookDuke @davepperlmutter @EdwardSelender @EichinChangLim @AuthorMBTosi @joanne_paulson @hijadelsol90 @PletchaPJWebb @SJTurner_Author @bradmanzo @skipbolden @Bella623 @BradleyBuxton @Johnldeboer @mafiahairdreser @ForevermanMedia @JDGreysonwrites @LilyBOW2 @AwesomeRex_ @woodcowbooks @MarthaPerezBook @Publishquest @Chrissy_Clarke @michelekwas @Annie_Acorn @ShenaeChase @WolfeStew @S_ThomasAuthor @ctamarketing @PGibesonRN @writerzoe @afinnontheloose @BellaBishof tHANK YOU eMILy😍

#WinnieThePoohDay 
hONEY? Ok then it is,

P @APaulWrites 
A @honeycakebooks 
N @BambiSommers1 
C @Readerhal54 
A @ReadingIsOurPas 
K @Wrix2 
E @TANYADEVINCENZO https://t.co/aIYHBgG4bH",https://twitter.com/EshaSharan/status/1218767070474555393,english
"Happy #WinnieThePoohDay ! No matter how old I get, I will always love that silly old bear 🐻😄🎈🍯 https://t.co/ACGAGvEnFY",https://twitter.com/nitnat0217/status/1218781978222186496,english
"Really, every day should be #WinnieThePoohDay https://t.co/n0RBGyMwqo",https://twitter.com/GrayConnolly/status/1219041628578435072,english
"The seven day photo challenge is back and I've been nominated by @h_myles

Rules are no humans just pets. You also nominate one different pal each day., if you want to. 

Here’s day 7/7 

Maybe not many new pals know my Pruny, I used to call her Pooh. Happy #WinnieThePoohDay https://t.co/zlgcbk2YP6",https://twitter.com/Pruny_thebeagle/status/1218648177043222531,english
"“Supposing a tree fell down, Pooh, when we were underneath it?'
'Supposing it didn't,' said Pooh after careful thought.
Piglet was comforted by this.”
#WinnieThePoohDay 
(Illustration by the great Ernest Shepard!) https://t.co/R6sQXJUta8",https://twitter.com/MothmanJim/status/1218658265921392641,english
"""I think we dream so we don't have to be apart for so long. If we're in each other's dreams, we can be together all the time."" #WinnieThePoohDay
@SimonSaysMoo https://t.co/lqF6Sqvp53",https://twitter.com/karnasoar/status/1218726695366250496,english
"“You’re braver than you believe, stronger than you seem, and smarter than you think.” Christopher Robin #WinnieThePoohDay",https://twitter.com/MoreReginaHall/status/1220073813540511745,english
Happy #WinnieThePoohDay! https://t.co/iYt4z6MROT,https://twitter.com/DigitalMapsAW/status/1218838582804144129,english
Windy Miller sent me this for #WinnieThePoohDay ... I'll have to have a word with him... https://t.co/irjLNmdwqG,https://twitter.com/therealmrbenn/status/1218648330995208192,english
"'If there ever comes a day when we can't be together;
Keep me in your heart, I'll stay there forever.'

       Winnie the Pooh.

           🙏♥️📘🦋

#WinnieThePoohDay https://t.co/sGf8udosEl",https://twitter.com/DrMarkRowe/status/1218628683830890498,english
"Hundred Acre Wood unrecognizable after years of unregulated resource extraction
#WinnieThePoohDay
https://t.co/I6qv5CIBUz",https://twitter.com/TheBeaverton/status/1218625395185999872,english
"#WinnieThePoohDay
My favourite thing about Winnie the Pooh is that they always support Eeyore even though he's depressed. They are always there for him &amp; give him the support that he needs. ❤️ https://t.co/CscmjhLnrk",https://twitter.com/Nina7Infinity/status/1218640378225664000,english
"Big Bear, Baby Bear and Little Bear #WinnieThePoohDay #TheCatsWeTweet https://t.co/Mn9LvoEvRS",https://twitter.com/PhoebeAndSelene/status/1218862745891803141,english
Happy Winnie the Pooh Day!! #WinnieThePoohDay https://t.co/HDVIT3f7td,https://twitter.com/HKWORLDCITY/status/1218837370490912768,english
That is all for the Silly Old Bear pics I've got online! last one is from 2011 from my deviantart (when I started trying to draw him). Happy #WinnieThePoohDay !! https://t.co/p3Pwlg3Acg,https://twitter.com/AshMichelleSims/status/1218681273654267906,english
When you have the high ground #WinnieThePoohDay https://t.co/7RHiznmeE8,https://twitter.com/mrjafri/status/1218643744381116417,english
"Oh bother! The real #WinnieThePooh’s story will break your heart.

It starts with her being sold for $20. #WinnieThePoohDay https://t.co/YtYdwY89ZG",https://twitter.com/peta/status/1218625363502419968,english
Happy #WinnieThePoohDay https://t.co/KbyQe8iKqx,https://twitter.com/JosephScrimshaw/status/1218732218874417153,english
"Oh bother, I've forgotten the honey.
Happy #WinnieThePoohDay 🍯
@OriginalFunko https://t.co/IBPedkgTN8",https://twitter.com/Buttwasted/status/1218640864811081728,english
"“you’re braver than you believe, stronger than you seem and smarter than you think.” 🐻🍯❤️ #winniethepoohday https://t.co/qKsNjvBUmj",https://twitter.com/crybabydeku/status/1218675624556089345,english
"Excited to share this item from my #etsy shop: RARE Vintage 1977 ‘Tiggers don’t climb trees’ by A.A. Milne in Hardback- Collectable  - Beautifully Illustrated Winnie-the-Pooh Fan Gift https://t.co/EfJthOrHat #WinnieThePoohDay
#Rare #Collectable #Vintage #StoryBook #AAMilne #etsy https://t.co/lye57cdjUs",https://twitter.com/WatsonsVintage/status/1218774836492865536,english
Seems a good day to bring this back.🥰 #WinnieThePoohDay https://t.co/V1L0PMtKF4,https://twitter.com/DDGreen19/status/1218703530652946432,english
"Happy #WinnieThePoohDay! Did you know that we have a bear named Pooh in our partner sanctuary in Pakistan? He was rescued from a sad life being forced to fight dogs, which left him blind. Now he lives happily at the sanctuary with other blind and disabled bears. https://t.co/jHdzVKuBD1",https://twitter.com/MoveTheWorldCA/status/1218650783799005191,english
"'You are braver than you believe, stronger than you seem and smarter than you think.' - Winnie the Pooh

Piglet: ""How do you spell 'love'?""
Pooh: ""You don't spell it... you feel it.""

#WinnieThePoohDay https://t.co/LT9bOhdFoA",https://twitter.com/FindYourHappiee/status/1218629718402093062,english
"I think I might cry, how did I possibly miss #WinnieThePoohDay yesterday 😭

To the cutest, tubby, little cubby all stuffed with fluff, I love you, you will forever be the very best bear 🐻❤️ https://t.co/zgBjyhKnJ4",https://twitter.com/Stephloves4/status/1218720021943287808,english
Happy #WinnieThePoohDay ur my idol❤️💛 all i want to do is wear no pants and a crop top all day https://t.co/xheHZxH48Q,https://twitter.com/localyeehaw/status/1218657577174732800,english
Chris Evans singing Pooh’s Corner #WinnieThePoohDay #WinniethePooh #NationalWinnieThePoohDay  https://t.co/PTZMYHpEzy,https://twitter.com/ChrisEvans_USA/status/1218672895368540165,english
"Don't worry if you didn't get around to celebrating #WinnieThePoohDay on Saturday...

Here's some belated wisdom from A.A.Milne to kick-start your week🧡 #MondayMotivation #BlueMonday https://t.co/SWe4KJdjoe",https://twitter.com/Bookbug_SBT/status/1219203808137490433,english
#WinnieThePoohDay today YAY!!!! https://t.co/dOGSaRKOlH,https://twitter.com/annlovesbears/status/1218685072385232896,english
"A little consideration, a little thought for others, makes all the difference. - - Winnie the Pooh 🐻🍯❤️🍯🐻

#pug #pugs #dogsoftwitter #dog #dogs #winniethepooh #winnie #winniethepoohday #winniethepoohquotes #pooh #poohbear #Disney #quote #quotes https://t.co/rJrL1kr0dx",https://twitter.com/ScribblePug/status/1218750496468557824,english
"Happy #WinnieThePoohDay! Some people might think we share one set of clothes, but one thing we definitely don't share is a middle name. While some bears have middle names, it's just #SmokeyBear for me! 

#repost @newyorkermag / Cartoon: @tbtoro https://t.co/ugQM9p0J3P",https://twitter.com/smokey_bear/status/1218977083763908610,english
"How did I not know?!
#WinnieThePoohDay https://t.co/pWC5w6sy7R",https://twitter.com/Crouchendtiger7/status/1218665217732874240,english
a few personal sketches to end #WinnieThePoohDay and pay homage to my favorite silly old bear 🎈🍃🌤 https://t.co/p0pWie08rm,https://twitter.com/britshipman/status/1218730073987133441,english
Old Man Pooh #WinnieThePoohDay https://t.co/rPgU9lWcyK,https://twitter.com/mrjafri/status/1218643792208846848,english
Happy #WinnieThePoohDay! https://t.co/D4wMpqgGAF https://t.co/Slo1vlCIMO,https://twitter.com/abc7newsbayarea/status/1218733650939789312,english
