text,url,lang
Acting @USACELRD Commander Col. Paul Kremer briefed #SAMESBC Small Business Conference in Pittsburgh on the #USACE environmental and remediation mission and upcoming business opportunities. USACE Small Business website: https://t.co/8CmkTkAnbz https://t.co/XeUBbr8XmK,https://twitter.com/USACEHQ/status/931507299008512003,english
"Very productive day at the SAME Small Business Conference in Pittsburgh. AEI is formidable prime for federal SB set aside contract opportunities and a sought-after civil, surveying, structural, and transportation partner for large businesses. Let's talk at booth #1023! #SAMESBC https://t.co/OZ8hGZriXb",https://twitter.com/AEI_Engineers/status/931196185632739330,english
"Congrats Sherri Plonski! Sherri was selected as the #USACE Small Business Program Specialist for fiscal year 2017 during the #SAMESBC Small Business Conference.
Sherri serves as the Small Business Coordinator for the @USACE_Buffalo and @PittsburghUSACE. https://t.co/9do7G4IZHW",https://twitter.com/USACEHQ/status/931205389223366656,english
"""For three days in November, Pittsburgh became the epicenter of federal acquisition for the A/E/C industry."" Learn more in our 2017 #SAMESBC recap at Bricks &amp; Clicks: https://t.co/Cc9dveZQWb https://t.co/7jgiL5sbPh",https://twitter.com/SAME_National/status/935522598682812416,english
"And the winner is...The SAME Small Business Conference is wrapping up and the winner of the AEI giveaway BOSE wireless headphones is Kimberly Regensberg, Procurement Representative and Small Business Liaison for Black and Veatch Special Projects Corporation. #SAMESBC https://t.co/Wz4nD1mtW2",https://twitter.com/AEI_Engineers/status/931591015055724547,english
Great SAME Small Business Conference. Making great connections. #SAMESBC https://t.co/uEPLEQ9dOT,https://twitter.com/galeconstruct/status/930918307045232640,english
Stop by booth #817! We’re ready for #SAMESBC 2017! https://t.co/3DepzsYoaX,https://twitter.com/CRAWFORD_CCS/status/930847712479674368,english
"Day Two at the #SAMESBC conference. Fingers crossed for more great connections, and pierogis!! @RedTeamConsult https://t.co/TMgkf1cNGI",https://twitter.com/MeghanRedTeam/status/931167375231279105,english
North Atlantic Region of @same_hq representing at #SAMESBC https://t.co/vaIvs88QXj,https://twitter.com/SharonKrock/status/930874333744033793,english
"This week's 2017 Society of American Military Engineers (SAME) Federal Small Business Conference has an impressive lineup of keynote speakers.  If you're going (Nov 15-17), stop by our booth #526 and say hello!  https://t.co/qVDs83Knkv #SAMESBC https://t.co/CUh3zWdbHi",https://twitter.com/mckimcreed/status/930436490441711616,english
Recap the 2017 #SAMESBC in words and pictures: https://t.co/Cc9dveZQWb https://t.co/Ys4HWpKi1J,https://twitter.com/SAME_National/status/933339205274652673,english
SMPS Course is off to a great start @ #SAMESBC @SMPSHQ @same_hq https://t.co/1SKdrXfVpz,https://twitter.com/ColeMarieM/status/930505986821017600,english
Enjoying opening day of the #SAMESBC today! @same_hq https://t.co/hKJLV92DZZ,https://twitter.com/PrimeraEng/status/930875746242977792,english
“Effort without purpose is chaos.” @isaaclidsky @same_hq #SAMESBC https://t.co/h29NIETGXP,https://twitter.com/_SammyMdO/status/931181598455861248,english
"Kurt Hellauer will be in Pittsburgh, PA for the SAME Small Business Conference! Check it out Nov 15-17: https://t.co/HOKOaFlpSC #SAMESBC",https://twitter.com/hmmhinc/status/930492186277371909,english
AXIS GeoSpatial is en route to Pittsburgh for #SAMESBC! Will we see you there? Stop by booth 711 to enter into a drawing for a DJI Spark Mini-Drone! https://t.co/SbxmFiFz9A,https://twitter.com/axisgeospatial/status/930538843928965121,english
"Acting @USACELRD CDR COL Paul Kremer briefed #SAMESBC attendees on the #USACE environmental/remediation mission &amp; future business ops. FY17, the Corps provided $1.4 billion worth of environmental program/project management, technical &amp; contract support to DOD/non-DOD agencies. https://t.co/7ONfwFUGM3",https://twitter.com/USACELRD/status/931180358254686208,english
We're excited to be in #Pittsburgh for #SAMESBC! Find us at Booth 855. https://t.co/SYbtYtbRBq,https://twitter.com/icatsystems/status/930803341520543744,english
Come visit our booth #1250 at the @same_hq  #SAMESBC https://t.co/eziFhqdSvg,https://twitter.com/NWDUSACE/status/1197560642678472709,english
"Sadly, all good things must come to an end. #SAMESBC was three great days of networking, education and partnering! Nice job @same_hq https://t.co/6nfBOjuxgd",https://twitter.com/OllingerK/status/931613496160243712,english
Stop by our booth #422 at #SAMESBC 2017 today! Don't miss major players from @WestonSolutions' federal team participating in various roundtables and forums. Pic: Stephanie Sherwood (left) &amp; Brianna Risch at booth. https://t.co/CG7JAobW86,https://twitter.com/WestonSolutions/status/931185608705363970,english
The @ENERGY briefing focused on #smallbiz prime &amp; sub opportunities &amp; the mentor-protege program. DOE will increase communication w/ other Fed agencies re: best practices &amp; increasing opportunities for #smallbusinesses. Great #SAMESBC session moderated by @AECOM's Shawn Ralston! https://t.co/RSEEoeuvGt,https://twitter.com/AECOMGovernment/status/931558936645382144,english
This Thursday JR Steele will participate in the #SAMESBC CEO Roundtable discussion about the successful delivery of federal projects https://t.co/vpDRWsVizY,https://twitter.com/atkinsglobal/status/930510745669980160,english
Paula and Sheri from our built environment and transport and tunnels teams are busy setting up at @same_hq. Drop by booth 926 at #SAMESBC ! https://t.co/06sWsMLVRp https://t.co/zzoZVsFpW8,https://twitter.com/MottMacDonald/status/930831309701869568,english
APTIM's Mike Rogers had the pleasure of introducing the keynote speaker at the SAME SBC conference. #SAMESBC https://t.co/5xcj9JHpeg,https://twitter.com/aptimglobal/status/1058100905768312833,english
You know you’re in Pittsburgh when... #HereWeGo #SAMESBC https://t.co/qJ1P481njv,https://twitter.com/icatsystems/status/930851756917084160,english
This week at #SAMESBC find out how we team with small businesses to solve complex problems and win work  https://t.co/gOfVlXauZz https://t.co/AUkPv2BMNb,https://twitter.com/atkinsglobal/status/930165195288215552,english
Thank you @BusinessDefense #smallbiz builds our communities #SAMESBC https://t.co/VwxZ6kxaCB,https://twitter.com/aptimglobal/status/930883317469274117,english
"Are you visiting #SAMESBC in Pittsburgh, PA this week? Connect with our Small Business team at booth 706! #Woodplc https://t.co/PF5QyMThBl",https://twitter.com/Woodplc/status/930850492569268224,english
We're at the 2017 Society of American Military Engineers Federal Small Business Conference thru Friday. Stop by our booth #526 and say hello! https://t.co/qVDs83Knkv #SAMESBC https://t.co/YiP5FvxE3H,https://twitter.com/mckimcreed/status/930831600153169920,english
"It's been real, #Pittsburgh! @same_hq, thanks for another great #SAMESBC and congrats on your record attendance. See you in New Orleans in 2018! https://t.co/ewvdlSw4s5",https://twitter.com/AECOMGovernment/status/931619164111998987,english
Col. Kelly experiences VR with us at #SAMESBC.  @same_hq | #SMMA | #WeDesignPlaces https://t.co/HaizN3DQRB,https://twitter.com/smma_design/status/930895016133890048,english
"RECON​ is currently attending the Society of American Military Engineers (SAME) Federal Small Business Conference in Pittsburgh, PA. For more information on the conference visit: https://t.co/6FUJb1IpEK #SAMESBC https://t.co/Z3ZYHIQSGT",https://twitter.com/RECONenv/status/930916602039607296,english
