text,url,lang
"god is a woman and her name is Tiril Eckhoff
#биатлон https://t.co/CG2nUOicrE",https://twitter.com/ivanillacrusher/status/1218877883155931136,russian
My heart is breaking.... #биатлон #Olympics https://t.co/qefuopgNXN,https://twitter.com/charlie_rzk/status/964918370259931137,russian
"IN MY HEART 💙
#биатлон https://t.co/gkoyQWUslz",https://twitter.com/EmiliyaRez/status/842818620975669253,russian
"` antholz 2018

#биатлон https://t.co/FoQgTgKlgJ",https://twitter.com/carolnxt/status/1231658975587946497,russian
"dad and son

#биатлон https://t.co/NEUAo1aevA",https://twitter.com/carolnxt/status/1229060940588552193,russian
"Biathlon = love ❤
#биатлон #TMN18 https://t.co/G59C3HTCF0",https://twitter.com/EmiliyaRez/status/976877908798173184,russian
Only true 90s kids will remember this #биатлон https://t.co/a6yBrIbfPP,https://twitter.com/ks_dwain/status/977922173833752576,russian
"It's me today 
#биатлон https://t.co/y0hDXfAAS1",https://twitter.com/Sorenatsore/status/1084465803205005312,russian
"Let's dance on Sunday 🕺💃

#DonDiablo #switch #танцы #биатлон #зажигайкакони https://t.co/JufyughV2e",https://twitter.com/LilyaBlinova/status/818021226341953536,russian
Yaaaaaa! 🇫🇮🇫🇮🇫🇮🇫🇮🇫🇮🇫🇮🇫🇮🇫🇮Wonder woman of the world biathlon!🇫🇮🇫🇮🇫🇮🇫🇮🇫🇮 Finnish rocket🇫🇮🇫🇮🇫🇮🇫🇮🇫🇮🇫🇮🚀🚀🚀🚀🚀 #gokaisa #biathlon #biathlonworld #biathlon_is_my_life #biathlonfamily #биатлон #kaisamäkäräinen #kaisamakarainen #бхг  #тюмень https://t.co/XmS47YO4vI,https://twitter.com/blue_dobby/status/978140698942869504,russian
we are ready #Biathlon #биатлон https://t.co/tthgNM3wOo,https://twitter.com/ks_dwain/status/1103606737637122048,russian
"best✨🥰

#биатлон https://t.co/z2lrVHC6fG",https://twitter.com/_germionaSve_/status/1201267646861369344,russian
"When you won &amp; you're rock star! #MartinFourcade #биатлон #biathlon #Olympics 
https://t.co/2Apo7T0mwt https://t.co/S0mMbkxVW1",https://twitter.com/No_Ackles_/status/965203874993774592,russian
"no comments
  #биатлон https://t.co/BjVpqKyZLA",https://twitter.com/BadGuy54901338/status/1084453124994146305,russian
"No comments.

#биатлонХМ #биатлон #ХМ #ibu #biathlon https://t.co/KvZJ6gGKSg",https://twitter.com/ilove_hm/status/710847545040367617,russian
Ready for race in ➡ #Beitostølen #skidskytte #skiskyting #biathlon #биатлон https://t.co/AbngFRO2mx,https://twitter.com/TArwidson/status/801506298479181824,russian
"4. Young 👼🏼🌸

#биатлон 🇳🇴 https://t.co/Bf0BeoGpls",https://twitter.com/BKrilsik/status/1237123451313426432,russian
"1. In sunglasses 🌸🧡

#биатлон 🇳🇴❤️ https://t.co/R44AFODg36",https://twitter.com/BKrilsik/status/1236198176182464512,russian
"Check out my Gig on Fiverr: psd to responsive HTML5  css3  bootstrap4 https://t.co/muGS6augpn

#биатлон #igot7selcaday #FelizViernesATodos #QueremosRock #AvancemosJuntasEnConvoy #ComoHombre",https://twitter.com/DavidRo19480669/status/1236001338745470977,russian
"Check out my Gig on Fiverr: complete your wordpress website development https://t.co/BDXX6qthir

#биатлон #igot7selcaday #FelizViernesATodos #QueremosRock #AvancemosJuntasEnConvoy #ComoHombre",https://twitter.com/DavidRo19480669/status/1236001389551091713,russian
"My girls 😭
#биатлон https://t.co/4K9aZKAdp9",https://twitter.com/little_gray_rat/status/1234559871816753152,russian
"Check out my Gig on Fiverr: design hand drawn feminine watercolor logo for you #星街すいせい3D #ON3rdWin #ガルパ3周年直前SP #麒麟がくる #WeLoveYouXiaoZhan
#名前を3文字消すとかわいい
#ТамбовРубин
#БПЛА
#биатлон
#Проща #ななにー https://t.co/16JXdywDjl",https://twitter.com/KhatoonAkhtar1/status/1234095328158199808,russian
"When is Apple 5G Coming? 🧐🧐🧐 https://t.co/i8hvs3chhh
:
.@Apple .@tim_cook #AfterTheSexIsOver #SaturdayThoughts #BernieKnew #SaturdayMorning #SaturdayMotivation #TurnThePartyON #ятебянехочу #GoAllOutForX1 #биатлон #世界一受けたい授業 #猫の日 #AskTamannaah",https://twitter.com/techgenez/status/1231207355414609920,russian
"US claims Russia is behind Georgia cyber-attacks 🧐
#techgenez #AfterTheSexIsOver #SaturdayThoughts #BernieKnew #SaturdayMorning #SaturdayMotivation #TurnThePartyON #ятебянехочу #GoAllOutForX1 #биатлон #世界一受けたい授業 #猫の日 #AskTamannaah 
https://t.co/fPwXdd1L7z",https://twitter.com/techgenez/status/1231185504177213440,russian
"Inspiring!

#travel #россиябудущего #happyjaehyunday #триггер #2월생_재현이를_1등으로_4랑해 #биатлон #monbebeselcaday #longlivespringday #устныйрусский #триггер

https://t.co/nE5JsWN9bE",https://twitter.com/TheBSTravelers/status/1228074320926298113,russian
"My free Templetes website, I do #Logodesign
#businesscard #tshirtprint #brandidentity
https://t.co/Z0HynX5Zq2 mahamud?rid=253729971&amp;utm_medium=email&amp;utm_source=ctrbreferral-t-link

#AtinySelcaDay #MiracleByulDay #MOASelcaDay
#China_is_terrorist #биатлон",https://twitter.com/nadimujjl/status/1208426252362747905,russian
"Not bad, not bad. 
#Биатлон",https://twitter.com/Kyschik/status/1205800272930295808,russian
"winners
2018/2019
#biathlon #биатлон https://t.co/09xGUMAma2",https://twitter.com/ks_dwain/status/1110893668658003968,russian
"I'm wondering how an first vice- president of IBU can said such things? What a shame, IBU🤦🏼‍♀️ @biathlonworld #биатлон #гамза https://t.co/OJ5mcSIVh9",https://twitter.com/elonalok/status/1072941338428170241,russian
new season #biathlon #biathlonart #биатлон https://t.co/DGxjhyf5bV,https://twitter.com/ks_dwain/status/1045701617067151360,russian
"Batya is coming...
#biathlonislife
#биатлон https://t.co/cesnlFfXeo",https://twitter.com/bolakons/status/934759948797521921,russian
"This is the best team. 🇷🇺♥️
I'm happy that I live in Russia, because I can enjoy the success of this wonderful team. 🇷🇺♥️
#биатлон #HOL17 https://t.co/5PUAvHWdTs",https://twitter.com/Juliiiichka/status/842967724070518784,russian
"#Russia 🇷🇺 is the world Champion in #Biathlon Relay 🙋🙌🌌🎆🎖

#biathlonwm #BiathlonWorldCup #биатлон #Россия #поздравления",https://twitter.com/marco_belarus/status/832971199927959552,russian
Martin Fourcade watercolor portrait. Best biathlete. #biathlon #watercolor #биатлон #спорт #portrait https://t.co/ZQigIFxU39,https://twitter.com/stasiabu/status/812000312009625600,russian
Retweet &amp; share the feeling of 50m hitting golf ball size🔫👺🎿💓💗💕💔 #biathlon #биатлон #skiskyting… https://t.co/ReK5BRpFMF,https://twitter.com/TArwidson/status/761967892447526912,russian
"Follow plz👉  @SuhilaBnLachhab 
ARABIC POP STAR💋💙💐

#уНикифораДР
#биатлон
#РоссияЧехия https://t.co/bcfgLz7hWm",https://twitter.com/ainess_zk/status/678547593337692161,russian
"Samsung Electronics confirms Coronavirus case at phone factory🧐🧐🧐  https://t.co/WW1CHdrmr0
:
.@Samsung
#TechGenez #Samsung #SaturdayThoughts #BernieKnew #SaturdayMorning #SaturdayMotivation #TurnThePartyON #ятебянехочу #GoAllOutForX1 #биатлон #世界一受けたい授業 #猫の日 #Messi",https://twitter.com/techgenez/status/1231277358608416768,russian
"Expensive Doesn't Always Mean Better!

#travel #CHEMUN #RTXOn #dax18 #HappyBirthdayJhope #ourremedyjhope #nrkmgp #MUFC #HappyHopeTime #AskMonstaX #neozonechartshow #skamfrance #биатлон
#реалсельта #RHOA #TravelTuesday #budgettravel #cashcoach #travelmore

https://t.co/E5Q35ngnmP",https://twitter.com/TheBSTravelers/status/1229518990667603968,russian
stars. #biathlon #биатлон https://t.co/q5jUjqxJwk,https://twitter.com/ks_dwain/status/1037661384161542144,russian
"Greetings from @ibu_WC at  #KON18!

Some moments from the 1st days mens 10km sprint. 

#biathlon #biatlons #биатлон 

https://t.co/QtBcQiNc3L",https://twitter.com/MarweSports/status/972009169636200448,russian
I’m broken. It was the worse day in this year. I had problems with my personal life and I heard very bad news in my favorite interest. I really want that people who made decisions about Russian sportsman will burn in the hell. #Olympics2018 #Russia #биатлон #norussianogames https://t.co/lHHh6U6clF,https://twitter.com/JaneRussia/status/956595655685890049,russian
"Hey, why do we see so few Russian citizens discussing on Twitter?
Norwegians, Dutch, even Ukrainians we get; no Russians, be they for or against invading our country.  We need to talk with them.
#HappyBirthdayZayn #биатлон #Putin #Ростова https://t.co/xujv28mlwA",https://twitter.com/Bwonk_Bwonk/status/951831482041094144,russian
"Migrants, #Catalonia, #CES: Your #Thursday Briefing https://t.co/51eyszGAo8

#ThursdayThoughts #wada #биатлон #танк #танковыйбиатлон #сборнаяроссии #спорт #новости #kremlin #russia #russian #ru #россия #страна #news #политика #ss11 #ss10 #nt1 #tf1 #endemol #lmvsmonde2 #lmsa https://t.co/bNUJpMXVtn",https://twitter.com/TheBeyondersLTD/status/951360100857499648,russian
"How do journalists know about the terror attack in turkey?
They are not journalists, they are terrorist collaborators
#Turkei 
#биатлон https://t.co/OJfDnKtW6f",https://twitter.com/XqQk9GsrZQ8Vm7Q/status/807941093203574785,russian
"#биатлон
@SuperSvendsen you are still the best",https://twitter.com/irina_takishina/status/676106994739249152,russian
URSS Trends: #RUNwithBTS | #WeLoveYouCalum | #биатлон |FREE Unfollow nonfollowers &amp; Trendsmap| https://t.co/UFqGzNZi92,https://twitter.com/tweeealo_Russia/status/671022078901006336,russian
#Биатлон setup http://t.co/FsPoJmSmed,https://twitter.com/georgeolaworev/status/604970853256830976,russian
"@kmakarainen for a Finnish magazine ""Fit-lehti"" #Кайса_Макарайнен #Kaisa_Mäkäräinen #biathlon #биатлон http://t.co/qiLiVyoMMO",https://twitter.com/olesy_8181/status/589019884366999552,russian
"goodbye @klahtibiathlon, these were great days with you! I will miss... #bwch2015 #biathlon #биатлон #sadness #kontiolahti",https://twitter.com/ianacowperwood/status/577531126333464578,russian
And again excellent shooting by Russia and back to 7th. Gunning for a podium!!! #biathlon #биатлон,https://twitter.com/SvenVink/status/576780225230610432,russian
Congrats !!! #yurlova for grand victory #биатлон #Biathlonwm http://t.co/7kTDvk8Ma2,https://twitter.com/shuubur/status/575715440514617345,russian
Two days until I go into the fire. All in. #Kontiolahti2015 #bwch2015 #skidskytte #biathlon #биатлон… https://t.co/dI42hr9ONk,https://twitter.com/TArwidson/status/575391329401753600,russian
"”Already before the beginning of the race I knew I would be fighting for medals."" -Anton Shipulin #bwch2015 #kontiolahti #биатлон",https://twitter.com/KlahtiBiathlon/status/574575416335319040,russian
"Simon @SimonSchempp, well done, today you're our hero in Russia ;) don't ask why ;) #биатлон #biathlon",https://twitter.com/the_tatti/status/564436145808080896,russian
Good job @DaryaDomracheva !! #win #biathlon #победа #биатлон http://t.co/8aEh4ccpZU,https://twitter.com/il_koshevoy/status/559005905501814787,russian
"Around the track. Today I used the right amount of shots, not disqualified👍 #twittski #skidskytte #biathlon #биатлон http://t.co/TYdtQSuO2I",https://twitter.com/TArwidson/status/555774924770791425,russian
